        Frequency / MHz                S1,1 (29)/abs,dB
----------------------------------------------------------------------
                      40                      -4.2176962
               40.259998                      -4.2669006
                   40.52                      -4.3167942
               40.779999                      -4.3674169
               41.040001                      -4.4187972
               41.299999                      -4.4709589
               41.560001                      -4.5239355
                   41.82                      -4.5777782
               42.079998                      -4.6325424
                   42.34                      -4.6882867
               42.599998                       -4.745056
               42.860001                      -4.8028815
               43.119999                      -4.8617853
               43.380001                      -4.9217857
               43.639999                      -4.9829117
               43.900002                      -5.0452007
                   44.16                       -5.108697
               44.419998                      -5.1734387
                   44.68                      -5.2394516
               44.939999                      -5.3067491
               45.200001                      -5.3753308
               45.459999                       -5.445199
               45.720001                      -5.5163589
                   45.98                       -5.588826
               46.240002                       -5.662616
                    46.5                      -5.7377346
               46.759998                      -5.8141743
                   47.02                       -5.891912
               47.279999                      -5.9709126
               47.540001                      -6.0511432
               47.799999                      -6.1325722
               48.060001                      -6.2151741
                   48.32                       -6.298919
               48.579998                      -6.3837651
                   48.84                      -6.4696549
               49.099998                      -6.5565128
               49.360001                      -6.6442527
               49.619999                      -6.7327887
               49.880001                      -6.8220371
               50.139999                      -6.9119161
               50.400002                      -7.0023372
                   50.66                      -7.0931986
               50.919998                      -7.1843783
                   51.18                      -7.2757386
               51.439999                      -7.3671329
               51.700001                       -7.458415
               51.959999                      -7.5494447
               52.220001                      -7.6400819
                   52.48                      -7.7301796
               52.740002                      -7.8195777
                      53                      -7.9080972
               53.259998                      -7.9955479
                   53.52                      -8.0817384
               53.779999                       -8.166482
               54.040001                      -8.2496053
               54.299999                      -8.3309429
               54.560001                       -8.410324
                   54.82                      -8.4875702
               55.079998                       -8.562489
                   55.34                      -8.6348921
               55.599998                      -8.7045988
               55.860001                      -8.7714501
               56.119999                      -8.8353169
               56.380001                      -8.8960845
               56.639999                      -8.9536418
               56.900002                      -9.0078696
                   57.16                      -9.0586389
               57.419998                      -9.1058196
                   57.68                      -9.1493092
               57.939999                      -9.1890436
               58.200001                      -9.2250211
               58.459999                      -9.2572903
               58.720001                      -9.2859383
                   58.98                      -9.3110726
               59.240002                      -9.3328032
                    59.5                      -9.3512447
               59.759998                      -9.3665199
                   60.02                      -9.3787792
               60.279999                      -9.3882149
               60.540001                      -9.3950664
               60.799999                       -9.399621
               61.060001                      -9.4022052
                   61.32                      -9.4031783
               61.579998                      -9.4029348
                   61.84                      -9.4019121
               62.099998                      -9.4005938
               62.360001                      -9.3995258
               62.619999                      -9.3993131
               62.880001                      -9.4006234
               63.139999                      -9.4041781
               63.400002                      -9.4107609
                   63.66                      -9.4212125
               63.919998                      -9.4364459
                   64.18                      -9.4574525
               64.440002                      -9.4853062
               64.699997                      -9.5211646
               64.959999                      -9.5662595
               65.220001                      -9.6218818
               65.480003                      -9.6893723
               65.739998                      -9.7701061
                      66                      -9.8654856
               66.260002                      -9.9769322
               66.519997                      -10.105868
               66.779999                      -10.253698
               67.040001                      -10.421786
               67.300003                      -10.611419
               67.559998                      -10.823777
                   67.82                      -11.059903
               68.080002                       -11.32068
               68.339996                      -11.606812
               68.599998                       -11.91882
               68.860001                      -12.257028
               69.120003                      -12.621571
               69.379997                      -13.012393
               69.639999                      -13.429255
               69.900002                      -13.871755
               70.159996                      -14.339325
               70.419998                      -14.831253
                   70.68                      -15.346669
               70.940002                      -15.884531
               71.199997                      -16.443589
               71.459999                      -17.022309
               71.720001                       -17.61879
               71.980003                      -18.230637
               72.239998                      -18.854809
                    72.5                      -19.487431
               72.760002                      -20.123559
               73.019997                      -20.756934
               73.279999                      -21.379738
               73.540001                      -21.982438
               73.800003                      -22.553827
               74.059998                      -23.081382
                   74.32                      -23.552085
               74.580002                      -23.953708
               74.839996                      -24.276397
               75.099998                      -24.514226
