        Time / ns                i1 (31)/real
----------------------------------------------------------------------
                       0                  -1.0599365e-08
             0.069734253                   1.5087479e-06
              0.13946851                   1.7159937e-06
              0.20920277                   1.9392783e-06
              0.27893701                   2.1773121e-06
              0.34867129                   2.4280366e-06
              0.41840553                   2.6884527e-06
              0.48813981                   2.9544481e-06
              0.55787402                   3.2205758e-06
               0.6276083                   3.4798427e-06
              0.69734257                   3.7234411e-06
              0.76707679                   3.9404968e-06
              0.83681107                   4.1177536e-06
              0.90654534                   4.2392721e-06
              0.97627962                   4.2860929e-06
               1.0460138                   4.2358965e-06
                1.115748                   4.0626473e-06
               1.1854824                   3.7362395e-06
               1.2552166                   3.2221483e-06
               1.3249508                   2.4810865e-06
               1.3946851                   1.4687004e-06
               1.4644194                   1.3529232e-07
               1.5341536                   -1.574403e-06
               1.6038879                  -3.7213576e-06
               1.6736221                  -6.3723278e-06
               1.7433563                  -9.5997839e-06
               1.8130907                  -1.3481738e-05
               1.8828248                   -1.810138e-05
               1.9525592                   -2.354654e-05
               2.0222933                  -2.9908912e-05
               2.0920277                  -3.7283029e-05
                2.161762                  -4.5764944e-05
               2.2314961                  -5.5450568e-05
               2.3012304                  -6.6433669e-05
               2.3709648                  -7.8803423e-05
               2.4406989                   -9.264156e-05
               2.5104332                  -0.00010801902
               2.5801675                  -0.00012499208
               2.6499016                  -0.00014359796
                2.719636                  -0.00016384989
               2.7893703                  -0.00018573154
               2.8591044                  -0.00020919084
               2.9288387                  -0.00023413335
               2.9985728                  -0.00026041482
               3.0683072                  -0.00028783345
               3.1380415                  -0.00031612144
               3.2077758                  -0.00034493615
               3.2775099                  -0.00037385093
               3.3472443                  -0.00040234561
               3.4169784                  -0.00042979684
               3.4867127                  -0.00045546854
                3.556447                  -0.00047850239
               3.6261814                  -0.00049790874
               3.6959155                  -0.00051255827
               3.7656496                  -0.00052117428
               3.8353839                   -0.0005223265
               3.9051185                  -0.00051442621
               3.9748526                  -0.00049572304
               4.0445867                  -0.00046430461
               4.1143208                  -0.00041809818
               4.1840553                  -0.00035487584
               4.2537899                  -0.00027226299
                4.323524                  -0.00016775081
               4.3932581                  -3.8713421e-05
               4.4629922                   0.00011757047
               4.5327268                   0.00030389024
               4.6024609                   0.00052307063
                4.672195                   0.00077793247
               4.7419295                    0.0010712475
               4.8116636                    0.0014056863
