        Time / ns                o1,1 (21)/real
----------------------------------------------------------------------
                       0                  -9.9405156e-08
             0.070024624                  -6.2343321e-07
              0.14004925                  -4.5534676e-07
              0.21007386                  -3.5199685e-07
               0.2800985                  -3.3118653e-07
              0.35012311                  -3.1561066e-07
              0.42014772                  -3.3236316e-07
              0.49017236                  -3.3161803e-07
                0.560197                  -3.3439443e-07
              0.63022161                  -3.2108349e-07
              0.70024621                  -3.1854958e-07
              0.77027082                   -2.941261e-07
              0.84029543                  -2.5409022e-07
               0.9103201                  -2.0087077e-07
              0.98034471                  -1.3245464e-07
               1.0503694                  -3.8576463e-08
                1.120394                   8.4946294e-08
               1.1904186                   2.4663393e-07
               1.2604432                   4.4317022e-07
               1.3304678                   6.8339875e-07
               1.4004924                   9.7486031e-07
                1.470517                   1.3225492e-06
               1.5405416                   1.7306578e-06
               1.6105664                   2.2092449e-06
               1.6805909                   2.7700805e-06
               1.7506156                    3.411363e-06
               1.8206402                   4.1468288e-06
               1.8906647                   4.9801292e-06
               1.9606894                   5.9184531e-06
                2.030714                   6.9656062e-06
               2.1007388                   8.1352355e-06
               2.1707633                   9.4185571e-06
                2.240788                   1.0822807e-05
               2.3108125                   1.2349537e-05
               2.3808372                   1.3995959e-05
               2.4508617                   1.5752194e-05
               2.5208864                   1.7609771e-05
               2.5909111                   1.9555615e-05
               2.6609356                   2.1570746e-05
               2.7309604                   2.3628223e-05
               2.8009849                   2.5697342e-05
               2.8710093                   2.7745267e-05
               2.9410341                   2.9719753e-05
               3.0110588                   3.1566193e-05
               3.0810833                   3.3226854e-05
                3.151108                    3.462219e-05
               3.2211328                   3.5671077e-05
                3.291157                    3.627894e-05
               3.3611817                   3.6334972e-05
               3.4312065                   3.5722165e-05
               3.5012312                   3.4312619e-05
               3.5712557                   3.1956519e-05
               3.6412804                   2.8503664e-05
               3.7113051                   2.3785751e-05
               3.7813294                   1.7627675e-05
               3.8513544                   9.8414002e-06
               3.9213789                   2.3663733e-07
               3.9914036                    -1.13894e-05
               4.0614281                  -2.5237472e-05
               4.1314526                  -4.1511379e-05
               4.2014775                  -6.0412756e-05
                4.271502                  -8.2132457e-05
               4.3415265                  -0.00010685347
                4.411551                  -0.00013474294
                4.481576                   -0.0001659414
               4.5516005                  -0.00020056676
               4.6216249                  -0.00023869639
               4.6916499                  -0.00028036843
               4.7616744                  -0.00032557224
               4.8316989                  -0.00037423754
               4.9017234                    -0.000426226
               4.9717484                  -0.00048132782
               5.0417728                  -0.00053924945
               5.1117973                  -0.00059960363
               5.1818223                  -0.00066190353
               5.2518463                  -0.00072555285
               5.3218713                    -0.000789841
               5.3918958                  -0.00085393153
               5.4619207                  -0.00091686816
               5.5319452                  -0.00097755063
               5.6019697                   -0.0010347515
               5.6719942                   -0.0010871019
               5.7420187                   -0.0011330987
               5.8120437                   -0.0011711085
               5.8820682                    -0.001199365
               5.9520931                   -0.0012159869
               6.0221176                   -0.0012189839
               6.0921421                   -0.0012062704
               6.1621666                   -0.0011756903
               6.2321911                   -0.0011250279
               6.3022161                   -0.0010520413
               6.3722405                  -0.00095448515
               6.4422655                  -0.00083015102
                 6.51229                  -0.00067689049
                6.582314                  -0.00049266743
                6.652339                  -0.00027558958
               6.7223635                  -2.3959206e-05
               6.7923884                   0.00026367727
               6.8624129                   0.00058848638
               6.9324379                   0.00095129071
               7.0024624                    0.0013525179
               7.0724864                    0.0017921516
               7.1425114                    0.0022696769
               7.2125359                    0.0027840312
               7.2825608                    0.0033335579
               7.3525853                      0.00391596
               7.4226103                    0.0045282631
               7.4926348                    0.0051667849
               7.5626588                    0.0058271005
               7.6326838                     0.006504029
               7.7027087                     0.007191625
               7.7727327                    0.0078831716
               7.8427577                    0.0085712001
               7.9127822                    0.0092475042
               7.9828072                    0.0099031832
               8.0528316                     0.010528685
               8.1228561                     0.011113873
               8.1928806                     0.011648097
               8.2629051                     0.012120292
               8.3329296                     0.012519074
               8.4029551                     0.012832867
               8.4729795                     0.013050034
                8.543004                     0.013159013
               8.6130285                     0.013148483
                8.683053                     0.013007526
               8.7530775                      0.01272579
                8.823102                     0.012293698
               8.8931274                     0.011702581
               8.9631519                     0.010944935
               9.0331764                     0.010014535
               9.1032009                    0.0089066587
               9.1732254                    0.0076182419
               9.2432499                    0.0061480678
               9.3132744                    0.0044968855
               9.3832998                    0.0026675644
               9.4533243                   0.00066520768
               9.5233488                   -0.0015027525
               9.5933733                   -0.0038264878
               9.6633978                   -0.0062937303
               9.7334223                   -0.0088897618
               9.8034468                    -0.011597439
               9.8734722                    -0.014397235
               9.9434967                    -0.017267335
                10.01352                    -0.020183785
               10.083546                    -0.023120621
                10.15357                    -0.026050091
               10.223595                    -0.028942879
               10.293619                    -0.031768374
               10.363645                    -0.034494974
               10.433669                    -0.037090421
               10.503693                    -0.039522149
               10.573718                    -0.041757666
               10.643743                    -0.043764964
               10.713767                      -0.0455129
               10.783792                    -0.046971645
               10.853817                    -0.048113108
               10.923841                    -0.048911314
               10.993865                     -0.04934286
                11.06389                    -0.049387313
               11.133915                    -0.049027503
               11.203939                    -0.048249952
               11.273964                    -0.047045186
               11.343988                    -0.045407888
               11.414014                    -0.043337312
               11.484037                    -0.040837277
               11.554063                     -0.03791634
               11.624087                    -0.034587983
               11.694112                    -0.030870365
