        Frequency / MHz                S1,1 (38)/arg,degrees
----------------------------------------------------------------------
                      40                      -100.91971
               40.259998                      -103.85898
                   40.52                       -106.8056
               40.779999                      -109.75983
               41.040001                      -112.72223
               41.299999                      -115.69388
               41.560001                        -118.676
                   41.82                      -121.66968
               42.079998                      -124.67562
                   42.34                      -127.69424
               42.599998                      -130.72574
               42.860001                      -133.77066
               43.119999                      -136.82996
               43.380001                      -139.90494
               43.639999                        -142.997
               43.900002                      -146.10736
                   44.16                      -149.23675
               44.419998                      -152.38574
                   44.68                      -155.55484
               44.939999                      -158.74494
               45.200001                      -161.95734
               45.459999                      -165.19367
               45.720001                      -168.45556
                   45.98                      -171.74433
               46.240002                      -175.06097
                    46.5                      -178.40619
               46.759998                       178.21905
                   47.02                       174.81357
               47.279999                       171.37558
               47.540001                       167.90317
               47.799999                        164.3945
               48.060001                       160.84809
                   48.32                       157.26276
               48.579998                       153.63751
                   48.84                       149.97119
               49.099998                       146.26211
               49.360001                       142.50836
               49.619999                        138.7078
               49.880001                       134.85852
               50.139999                       130.95905
               50.400002                       127.00823
                   50.66                       123.00506
               50.919998                       118.94834
                   51.18                       114.83642
               51.439999                       110.66755
               51.700001                       106.43985
               51.959999                       102.15184
               52.220001                       97.802561
                   52.48                       93.391352
               52.740002                       88.917851
                      53                        84.38154
               53.259998                       79.781627
                   53.52                       75.117345
               53.779999                       70.388095
               54.040001                       65.593821
               54.299999                        60.73507
               54.560001                       55.813154
                   54.82                       50.829631
               55.079998                       45.786352
                   55.34                       40.685268
               55.599998                       35.528695
               55.860001                       30.319418
               56.119999                       25.061293
               56.380001                       19.759044
               56.639999                        14.41852
               56.900002                       9.0463027
                   57.16                       3.6495783
               57.419998                      -1.7641933
                   57.68                      -7.1870357
               57.939999                      -12.610507
               58.200001                      -18.025535
               58.459999                      -23.422506
               58.720001                      -28.791416
                   58.98                      -34.122107
               59.240002                      -39.404928
                    59.5                      -44.631144
               59.759998                      -49.792689
                   60.02                      -54.882547
               60.279999                      -59.894266
               60.540001                      -64.822028
               60.799999                      -69.660645
               61.060001                      -74.405851
                   61.32                      -79.054423
               61.579998                      -83.604448
                   61.84                      -88.055246
               62.099998                      -92.407033
               62.360001                      -96.660656
               62.619999                      -100.81724
               62.880001                      -104.87814
               63.139999                      -108.84528
               63.400002                      -112.72111
                   63.66                      -116.50886
               63.919998                      -120.21213
                   64.18                      -123.83448
               64.440002                      -127.37902
               64.699997                      -130.84859
               64.959999                      -134.24565
               65.220001                      -137.57365
               65.480003                      -140.83706
               65.739998                      -144.04162
                      66                      -147.19389
               66.260002                      -150.29994
               66.519997                      -153.36467
               66.779999                      -156.39186
               67.040001                      -159.38501
               67.300003                      -162.34882
               67.559998                      -165.29078
                   67.82                      -168.22148
               68.080002                      -171.15403
               68.339996                      -174.10293
               68.599998                      -177.08307
               68.860001                       179.88869
               69.120003                       176.79068
               69.379997                       173.59115
               69.639999                       170.24108
               69.900002                       166.66638
               70.159996                       162.75492
               70.419998                       158.33398
                   70.68                       153.12075
               70.940002                        146.6136
               71.199997                       137.84631
               71.459999                        124.8501
               71.720001                       103.96508
               71.980003                       72.928095
               72.239998                       41.811009
                    72.5                       20.865279
               72.760002                       7.9236007
               73.019997                     -0.69806535
               73.279999                       -6.988997
               73.540001                      -11.923619
               73.800003                      -16.005557
               74.059998                      -19.517258
                   74.32                      -22.631878
               74.580002                      -25.462418
               74.839996                      -28.084226
               75.099998                      -30.546648
               75.360001                      -32.880221
               75.620003                      -35.104297
               75.879997                      -37.232582
               76.139999                      -39.278196
               76.400002                      -41.254908
               76.659996                      -43.175613
               76.919998                      -45.050361
                   77.18                      -46.884678
               77.440002                       -48.68009
               77.699997                       -50.43638
               77.959999                      -52.154361
               78.220001                      -53.837265
               78.480003                      -55.490663
               78.739998                      -57.119797
                      79                      -58.727955
               79.260002                      -60.315235
               79.519997                      -61.879841
               79.779999                      -63.419801
               80.040001                      -64.935448
               80.300003                      -66.429565
               80.559998                      -67.906088
                   80.82                      -69.368077
               81.080002                      -70.816296
               81.339996                      -72.248887
               81.599998                      -73.663393
               81.860001                      -75.058335
               82.120003                      -76.434972
               82.379997                      -77.796366
               82.639999                      -79.145685
               82.900002                      -80.484292
               83.159996                      -81.811261
               83.419998                       -83.12386
                   83.68                      -84.419683
               83.940002                      -85.698677
               84.199997                      -86.962918
               84.459999                      -88.215629
               84.720001                      -89.459106
               84.980003                      -90.693075
               85.239998                      -91.915023
                    85.5                      -93.122109
               85.760002                      -94.312911
               86.019997                      -95.488688
               86.279999                      -96.652387
               86.540001                      -97.806908
               86.800003                      -98.953014
               87.059998                      -100.08874
                   87.32                       -101.2108
               87.580002                      -102.31658
               87.839996                      -103.40624
               88.099998                      -104.48241
               88.360001                      -105.54846
               88.620003                      -106.60616
               88.879997                      -107.65429
               89.139999                      -108.68948
               89.400002                      -109.70789
               89.659996                      -110.70837
               89.919998                      -111.69274
                   90.18                      -112.66492
               90.440002                      -113.62765
               90.699997                      -114.58082
               90.959999                      -115.52087
               91.220001                      -116.44305
               91.480003                      -117.34447
               91.739998                      -118.22579
                      92                      -119.09087
               92.260002                      -119.94399
               92.519997                      -120.78607
               92.779999                      -121.61394
               93.040001                      -122.42154
               93.300003                      -123.20379
               93.559998                      -123.95954
                   93.82                      -124.69233
               94.080002                       -125.4077
               94.339996                      -126.10854
               94.599998                      -126.79199
               94.860001                      -127.45064
               95.120003                      -128.07601
               95.379997                      -128.66412
               95.639999                      -129.21747
               95.900002                      -129.74302
               96.159996                       -130.2461
               96.419998                      -130.72509
                   96.68                      -131.17014
               96.940002                      -131.56782
               97.199997                      -131.90851
               97.459999                      -132.19221
               97.720001                      -132.42744
               97.980003                      -132.62388
               98.239998                      -132.78229
                    98.5                      -132.88905
               98.760002                      -132.92058
               99.019997                       -132.8555
               99.279999                      -132.68716
               99.540001                      -132.42695
               99.800003                      -132.09495
                  100.06                       -131.6994
                  100.32                      -131.21987
                  100.58                       -130.6063
                  100.84                      -129.79979
                   101.1                      -128.76608
                  101.36                      -127.52484
                  101.62                      -126.15132
