        Frequency / MHz                S1,1 (61)/abs,dB
----------------------------------------------------------------------
                      40                      -21.453327
               40.259998                      -20.101123
                   40.52                      -18.987926
               40.779999                       -18.11903
               41.040001                      -17.495325
               41.299999                      -17.118293
               41.560001                      -16.992751
                   41.82                      -17.127893
               42.079998                      -17.535913
                   42.34                      -18.224831
               42.599998                      -19.174999
               42.860001                       -20.27342
               43.119999                      -21.183885
               43.380001                      -21.333075
               43.639999                      -20.453762
               43.900002                      -18.975619
                   44.16                      -17.430097
               44.419998                      -16.074725
                   44.68                      -14.983644
               44.939999                      -14.162168
               45.200001                       -13.59709
               45.459999                      -13.274032
               45.720001                      -13.182777
                   45.98                      -13.318395
               46.240002                      -13.680378
                    46.5                      -14.269478
               46.759998                      -15.079479
                   47.02                      -16.077021
               47.279999                      -17.157293
               47.540001                      -18.077398
               47.799999                      -18.468581
               48.060001                      -18.112039
                   48.32                      -17.199024
               48.579998                      -16.100257
                   48.84                      -15.070667
               49.099998                      -14.221425
               49.360001                      -13.585949
               49.619999                      -13.166459
               49.880001                      -12.955657
               50.139999                       -12.94578
               50.400002                      -13.132266
                   50.66                      -13.514747
               50.919998                      -14.095558
                   51.18                      -14.873705
               51.439999                      -15.828702
               51.700001                      -16.883289
               51.959999                      -17.839156
               52.220001                      -18.351442
                   52.48                      -18.133712
               52.740002                      -17.280077
                      53                      -16.151462
               53.259998                      -15.040731
                   53.52                      -14.086938
               53.779999                      -13.334311
               54.040001                      -12.785851
               54.299999                      -12.429981
               54.560001                      -12.251892
                   54.82                      -12.238216
               55.079998                      -12.378748
                   55.34                      -12.666521
               55.599998                      -13.096409
               55.860001                      -13.661955
               56.119999                      -14.349664
               56.380001                      -15.129727
               56.639999                      -15.943063
               56.900002                      -16.689801
                   57.16                      -17.236922
               57.419998                      -17.468033
                   57.68                      -17.356291
               57.939999                      -16.983337
               58.200001                      -16.480112
               58.459999                      -15.961286
               58.720001                      -15.502041
                   58.98                      -15.144302
               59.240002                       -14.90956
                    59.5                      -14.808799
               59.759998                      -14.848542
                   60.02                      -15.034249
               60.279999                      -15.372328
               60.540001                      -15.871514
               60.799999                      -16.544027
               61.060001                        -17.4066
                   61.32                      -18.481049
               61.579998                      -19.793027
                   61.84                      -21.364079
               62.099998                      -23.180712
               62.360001                      -25.094585
               62.619999                        -26.6119
               62.880001                      -26.960115
               63.139999                      -26.069394
               63.400002                      -24.688261
                   63.66                      -23.362233
               63.919998                      -22.268051
                   64.18                      -21.428421
               64.440002                      -20.824898
               64.699997                      -20.433639
               64.959999                      -20.234542
               65.220001                      -20.212613
               65.480003                      -20.357319
               65.739998                      -20.661551
                      66                      -21.120549
               66.260002                      -21.730545
               66.519997                      -22.486556
               66.779999                      -23.378164
               67.040001                      -24.381574
               67.300003                      -25.446186
               67.559998                      -26.477456
                   67.82                      -27.331411
               68.080002                      -27.855006
               68.339996                      -27.978825
               68.599998                      -27.772637
               68.860001                      -27.388303
               69.120003                      -26.967357
               69.379997                      -26.601158
               69.639999                      -26.335718
               69.900002                      -26.186872
               70.159996                      -26.150516
               70.419998                      -26.206117
                   70.68                      -26.315777
               70.940002                      -26.422648
               71.199997                      -26.454523
               71.459999                      -26.338922
               71.720001                      -26.028792
               71.980003                      -25.523401
               72.239998                      -24.866433
                    72.5                      -24.123621
               72.760002                      -23.359145
               73.019997                      -22.623376
               73.279999                      -21.950981
               73.540001                      -21.363697
               73.800003                      -20.873909
               74.059998                      -20.487718
                   74.32                      -20.207368
               74.580002                      -20.033252
               74.839996                      -19.965641
               75.099998                      -20.006113
               75.360001                      -20.158612
               75.620003                      -20.430076
               75.879997                      -20.830713
               76.139999                      -21.374186
               76.400002                      -22.078035
               76.659996                      -22.964659
               76.919998                      -24.062812
                   77.18                      -25.408197
               77.440002                      -27.036457
               77.699997                      -28.941076
               77.959999                      -30.901481
               78.220001                      -32.095375
               78.480003                      -31.512721
               78.739998                       -29.67438
                      79                      -27.659287
               79.260002                      -25.888319
               79.519997                      -24.421155
               79.779999                       -23.22721
               80.040001                      -22.264677
               80.300003                      -21.497831
               80.559998                      -20.899455
                   80.82                      -20.450013
               81.080002                      -20.136184
               81.339996                      -19.949313
               81.599998                      -19.883975
               81.860001                       -19.93685
               82.120003                      -20.106103
               82.379997                        -20.3914
               82.639999                      -20.794544
               82.900002                      -21.320655
               83.159996                      -21.979668
               83.419998                       -22.78806
                   83.68                      -23.770857
               83.940002                      -24.964429
               84.199997                      -26.420949
               84.459999                      -28.215256
               84.720001                      -30.449899
               84.980003                      -33.215009
               85.239998                      -36.201696
                    85.5                      -37.342747
               85.760002                      -35.291271
               86.019997                      -32.588538
               86.279999                       -30.35721
               86.540001                      -28.627956
               86.800003                      -27.293992
               87.059998                      -26.267723
                   87.32                      -25.488202
               87.580002                      -24.913345
               87.839996                      -24.513873
               88.099998                      -24.269856
               88.360001                       -24.16879
               88.620003                      -24.204368
               88.879997                      -24.375331
               89.139999                      -24.684218
               89.400002                      -25.135979
               89.659996                       -25.73636
               89.919998                      -26.489492
                   90.18                      -27.392884
               90.440002                      -28.425514
               90.699997                      -29.520957
               90.959999                      -30.519945
               91.220001                      -31.139785
               91.480003                      -31.094236
               91.739998                      -30.365391
                      92                      -29.224656
               92.260002                      -27.963683
               92.519997                      -26.750936
               92.779999                      -25.654571
               93.040001                      -24.692521
               93.300003                      -23.862914
               93.559998                      -23.158063
                   93.82                      -22.569975
               94.080002                      -22.091932
               94.339996                      -21.718427
               94.599998                      -21.444643
               94.860001                      -21.266139
               95.120003                      -21.179019
               95.379997                      -21.180577
               95.639999                      -21.270163
               95.900002                      -21.449953
               96.159996                      -21.725326
               96.419998                      -22.104831
                   96.68                      -22.599979
               96.940002                      -23.225357
               97.199997                      -23.999713
               97.459999                       -24.94871
               97.720001                      -26.110335
               97.980003                      -27.544699
               98.239998                      -29.352224
                    98.5                      -31.709658
               98.760002                       -34.93649
               99.019997                      -39.381387
               99.279999                       -41.67008
               99.540001                      -37.382705
