        Time / ns                i1 (38)/real
----------------------------------------------------------------------
                       0                  -1.0676217e-08
             0.070236474                   1.5101809e-06
              0.14047295                   1.7190958e-06
              0.21070942                   1.9442718e-06
               0.2809459                   2.1843694e-06
              0.35118237                   2.4372675e-06
              0.42141885                   2.6998671e-06
              0.49165532                   2.9679156e-06
              0.56189179                   3.2357736e-06
               0.6321283                   3.4962127e-06
              0.70236474                   3.7401046e-06
              0.77260119                   3.9561837e-06
              0.84283769                   4.1307085e-06
               0.9130742                   4.2471452e-06
              0.98331064                   4.2858328e-06
               1.0535471                   4.2236088e-06
               1.1237836                   4.0334562e-06
               1.1940202                   3.6841238e-06
               1.2642566                   3.1397751e-06
               1.3344929                   2.3596333e-06
               1.4047295                   1.2976664e-06
               1.4749659                  -9.7696635e-08
               1.5452024                  -1.8837694e-06
               1.6154389                  -4.1237704e-06
               1.6856754                  -6.8868576e-06
               1.7559118                  -1.0248058e-05
               1.8261484                  -1.4288044e-05
               1.8963848                  -1.9092731e-05
               1.9666213                  -2.4752684e-05
               2.0368578                  -3.1362259e-05
               2.1070943                   -3.901848e-05
               2.1773307                  -4.7819609e-05
               2.2475672                  -5.7863352e-05
               2.3178036                  -6.9244677e-05
               2.3880403                    -8.20532e-05
               2.4582767                  -9.6370095e-05
               2.5285132                   -0.0001122645
               2.5987496                  -0.00012978938
               2.6689858                  -0.00014897685
               2.7392223                  -0.00016983281
                2.809459                  -0.00019233111
               2.8796954                  -0.00021640694
               2.9499319                  -0.00024194973
               3.0201683                  -0.00026879541
               3.0904047                  -0.00029671803
               3.1606412                  -0.00032542099
               3.2308779                  -0.00035452773
               3.3011143                  -0.00038357198
               3.3713508                  -0.00041198812
               3.4415872                  -0.00043910087
               3.5118237                  -0.00046411558
               3.5820601                  -0.00048610845
               3.6522968                  -0.00050401728
               3.7225332                  -0.00051663321
               3.7927697                  -0.00052259309
               3.8630059                  -0.00052037364
               3.9332426                  -0.00050828693
                4.003479                  -0.00048447828
               4.0737157                  -0.00044692669
               4.1439519                  -0.00039344782
               4.2141886                  -0.00032170079
               4.2844248                  -0.00022919886
               4.3546615                  -0.00011332407
               4.4248977                   2.8652785e-05
               4.4951344                   0.00019954727
               4.5653706                   0.00040223045
               4.6356072                   0.00063959195
               4.7058439                   0.00091449643
               4.7760806                    0.0012297335
               4.8463168                    0.0015879597
               4.9165535                    0.0019916347
               4.9867897                    0.0024429485
               5.0570264                     0.002943743
               5.1272626                    0.0034954248
               5.1974993                    0.0040988731
               5.2677355                    0.0047543412
               5.3379717                    0.0054613501
               5.4082084                    0.0062185819
               5.4784446                    0.0070237652
               5.5486817                    0.0078735622
               5.6189179                    0.0087634521
               5.6891546                    0.0096876193
               5.7593908                      0.01063884
               5.8296275                     0.011608381
               5.8998637                     0.012585896
               5.9701004                     0.013559346
               6.0403366                     0.014514918
               6.1105733                     0.015436973
               6.1808095                     0.016308006
               6.2510462                     0.017108627
               6.3212824                     0.017817572
               6.3915195                     0.018411746
               6.4617558                      0.01886628
               6.5319924                     0.019154647
               6.6022286                     0.019248795
               6.6724653                      0.01911933
               6.7427015                     0.018735742
               6.8129382                     0.018066663
               6.8831744                     0.017080182
               6.9534111                       0.0157442
               7.0236473                     0.014026828
               7.0938835                     0.011896832
               7.1641202                    0.0093241204
               7.2343569                    0.0062802723
               7.3045936                    0.0027390984
               7.3748298                   -0.0013227591
               7.4450665                   -0.0059252037
               7.5153031                    -0.011084039
               7.5855393                    -0.016810309
               7.6557755                     -0.02310963
               7.7260118                    -0.029981531
               7.7962489                    -0.037418801
               7.8664851                    -0.045406863
               7.9367213                    -0.053923182
                8.006958                    -0.062936716
               8.0771952                    -0.072407432
               8.1474314                    -0.082285896
               8.2176676                    -0.092512913
               8.2879038                     -0.10301933
               8.3581409                     -0.11372589
               8.4283772                     -0.12454322
               8.4986134                     -0.13537194
               8.5688496                     -0.14610298
               8.6390867                     -0.15661792
               8.7093229                     -0.16678962
               8.7795591                      -0.1764829
               8.8497953                     -0.18555547
               8.9200315                     -0.19385897
               8.9902687                      -0.2012402
               9.0605049                     -0.20754248
               9.1307411                      -0.2126072
               9.2009773                     -0.21627557
               9.2712145                     -0.21839026
               9.3414516                      -0.2187975
               9.4116879                     -0.21734905
               9.4819241                     -0.21390428
               9.5521612                     -0.20833234
               9.6223974                     -0.20051444
               9.6926336                     -0.19034591
               9.7628698                      -0.1777385
                9.833107                     -0.16262247
               9.9033432                     -0.14494853
               9.9735794                     -0.12468988
               10.043816                     -0.10184389
