        Frequency / MHz                S1,1 (Mesh Pass=5)/abs,dB
----------------------------------------------------------------------
                      40                      -6.6234812
               40.259998                      -6.6808224
                   40.52                      -6.7378666
               40.779999                      -6.7945934
               41.040001                      -6.8509803
               41.299999                      -6.9070079
               41.560001                      -6.9626544
                   41.82                      -7.0179014
               42.079998                      -7.0727299
                   42.34                      -7.1271208
               42.599998                      -7.1810586
               42.860001                      -7.2345251
               43.119999                      -7.2875064
               43.380001                       -7.339985
               43.639999                      -7.3919485
               43.900002                      -7.4433835
                   44.16                       -7.494278
               44.419998                      -7.5446213
                   44.68                      -7.5944026
               44.939999                       -7.643613
               45.200001                      -7.6922436
               45.459999                      -7.7402873
               45.720001                      -7.7877372
                   45.98                      -7.8345877
               46.240002                       -7.880834
                    46.5                      -7.9264709
               46.759998                      -7.9714961
                   47.02                      -8.0159071
               47.279999                      -8.0596998
               47.540001                      -8.1028743
               47.799999                      -8.1454304
               48.060001                      -8.1873679
                   48.32                       -8.228687
               48.579998                      -8.2693903
                   48.84                      -8.3094806
               49.099998                      -8.3489605
               49.360001                      -8.3878363
               49.619999                      -8.4261116
               49.880001                      -8.4637946
               50.139999                      -8.5008916
               50.400002                       -8.537413
                   50.66                      -8.5733663
               50.919998                       -8.608765
                   51.18                      -8.6436191
               51.439999                      -8.6779431
               51.700001                        -8.71175
               51.959999                      -8.7450556
               52.220001                      -8.7778749
                   52.48                      -8.8102253
               52.740002                      -8.8421236
                      53                      -8.8735883
               53.259998                      -8.9046363
                   53.52                      -8.9352874
               53.779999                      -8.9655612
               54.040001                      -8.9954756
               54.299999                      -9.0250517
               54.560001                      -9.0543081
                   54.82                      -9.0832652
               55.079998                      -9.1119444
                   55.34                      -9.1403649
               55.599998                      -9.1685477
               55.860001                      -9.1965139
               56.119999                      -9.2242857
               56.380001                      -9.2518858
               56.639999                      -9.2793337
               56.900002                      -9.3066555
                   57.16                      -9.3338739
               57.419998                      -9.3610139
                   57.68                      -9.3881022
               57.939999                      -9.4151634
               58.200001                       -9.442225
               58.459999                      -9.4693165
               58.720001                      -9.4964649
                   58.98                      -9.5237007
               59.240002                      -9.5510553
                    59.5                      -9.5785572
               59.759998                      -9.6062405
                   60.02                      -9.6341346
               60.279999                      -9.6622718
               60.540001                      -9.6906864
               60.799999                      -9.7194081
               61.060001                      -9.7484712
                   61.32                      -9.7779058
               61.579998                      -9.8077458
                   61.84                      -9.8380213
               62.099998                      -9.8687647
               62.360001                      -9.9000076
               62.619999                      -9.9317814
               62.880001                      -9.9641172
               63.139999                      -9.9970456
               63.400002                      -10.030598
                   63.66                      -10.064808
               63.919998                      -10.099706
                   64.18                      -10.135324
               64.440002                      -10.171698
               64.699997                       -10.20886
               64.959999                      -10.246845
               65.220001                      -10.285691
               65.480003                      -10.325434
               65.739998                       -10.36611
                      66                      -10.407763
               66.260002                      -10.450429
               66.519997                      -10.494154
               66.779999                      -10.538976
               67.040001                      -10.584944
               67.300003                      -10.632099
               67.559998                      -10.680487
                   67.82                      -10.730154
               68.080002                      -10.781147
               68.339996                      -10.833514
               68.599998                      -10.887299
               68.860001                      -10.942553
               69.120003                      -10.999323
               69.379997                      -11.057655
               69.639999                      -11.117597
               69.900002                      -11.179197
               70.159996                      -11.242501
               70.419998                      -11.307558
                   70.68                      -11.374413
               70.940002                      -11.443115
               71.199997                      -11.513709
               71.459999                      -11.586242
               71.720001                      -11.660764
               71.980003                      -11.737319
               72.239998                      -11.815956
                    72.5                      -11.896723
               72.760002                      -11.979668
               73.019997                      -12.064839
               73.279999                      -12.152286
