        Frequency / MHz                S1,1 (Mesh Pass=5)/arg,degrees
----------------------------------------------------------------------
                      40                       75.754707
               40.259998                       73.908971
                   40.52                       72.065374
               40.779999                       70.223948
               41.040001                       68.384714
               41.299999                       66.547707
               41.560001                       64.712961
                   41.82                       62.880511
               42.079998                       61.050381
                   42.34                       59.222614
               42.599998                       57.397235
               42.860001                       55.574271
               43.119999                       53.753771
               43.380001                       51.935754
               43.639999                       50.120258
               43.900002                       48.307322
                   44.16                       46.496971
               44.419998                       44.689248
                   44.68                       42.884183
               44.939999                       41.081817
               45.200001                       39.282182
               45.459999                       37.485328
               45.720001                       35.691283
                   45.98                       33.900096
               46.240002                       32.111794
                    46.5                       30.326429
               46.759998                       28.544035
                   47.02                       26.764652
               47.279999                       24.988314
               47.540001                        23.21506
               47.799999                       21.444927
               48.060001                        19.67794
                   48.32                       17.914129
               48.579998                       16.153517
                   48.84                       14.396132
               49.099998                       12.641986
               49.360001                       10.891096
               49.619999                        9.143473
               49.880001                       7.3991207
               50.139999                       5.6580459
               50.400002                       3.9202467
                   50.66                       2.1857208
               50.919998                      0.45446265
                   51.18                      -1.2735357
               51.439999                      -2.9982845
               51.700001                      -4.7197948
               51.959999                      -6.4380803
               52.220001                      -8.1531539
                   52.48                      -9.8650343
               52.740002                      -11.573735
                      53                      -13.279277
               53.259998                      -14.981676
                   53.52                      -16.680957
               53.779999                      -18.377148
               54.040001                      -20.070263
               54.299999                       -21.76034
               54.560001                      -23.447411
                   54.82                      -25.131511
               55.079998                      -26.812692
                   55.34                       -28.49098
               55.599998                      -30.166456
               55.860001                      -31.839151
               56.119999                      -33.509166
               56.380001                      -35.176527
               56.639999                      -36.841319
               56.900002                      -38.503677
                   57.16                      -40.163613
               57.419998                      -41.821301
                   57.68                      -43.476754
               57.939999                      -45.130138
               58.200001                      -46.781537
               58.459999                       -48.43107
               58.720001                      -50.078839
                   58.98                      -51.724926
               59.240002                      -53.369487
                    59.5                      -55.012614
               59.759998                       -56.65443
                   60.02                      -58.294997
               60.279999                      -59.934494
               60.540001                      -61.572973
               60.799999                       -63.21058
               61.060001                      -64.847414
                   61.32                      -66.483579
               61.579998                      -68.119205
                   61.84                      -69.754372
               62.099998                      -71.389227
               62.360001                      -73.023882
               62.619999                      -74.658448
               62.880001                       -76.29307
               63.139999                      -77.927868
               63.400002                      -79.562995
                   63.66                      -81.198586
               63.919998                      -82.834792
                   64.18                      -84.471778
               64.440002                      -86.109705
               64.699997                      -87.748731
               64.959999                      -89.389049
               65.220001                      -91.030808
               65.480003                       -92.67422
               65.739998                      -94.319441
                      66                      -95.966678
               66.260002                      -97.616086
               66.519997                      -99.267886
               66.779999                      -100.92223
               67.040001                      -102.57931
               67.300003                      -104.23932
               67.559998                      -105.90242
                   67.82                      -107.56879
               68.080002                      -109.23859
               68.339996                        -110.912
               68.599998                      -112.58919
               68.860001                      -114.27031
               69.120003                      -115.95554
               69.379997                      -117.64501
               69.639999                       -119.3389
               69.900002                      -121.03737
               70.159996                       -122.7406
               70.419998                      -124.44875
                   70.68                      -126.16197
               70.940002                      -127.88044
               71.199997                      -129.60436
               71.459999                      -131.33389
               71.720001                      -133.06924
               71.980003                      -134.81062
               72.239998                      -136.55821
                    72.5                      -138.31224
               72.760002                      -140.07294
               73.019997                      -141.84053
               73.279999                      -143.61525
               73.540001                      -145.39737
               73.800003                      -147.18712
               74.059998                       -148.9848
                   74.32                      -150.79066
               74.580002                      -152.60501
               74.839996                      -154.42814
               75.099998                      -156.26037
               75.360001                      -158.10204
               75.620003                      -159.95343
               75.879997                      -161.81495
               76.139999                      -163.68694
               76.400002                       -165.5698
               76.659996                      -167.46392
               76.919998                      -169.36972
                   77.18                      -171.28766
               77.440002                      -173.21821
               77.699997                      -175.16188
               77.959999                      -177.11918
               78.220001                      -179.09069
               78.480003                       178.92304
               78.739998                       176.92131
                      79                        174.9035
               79.260002                       172.86888
               79.519997                        170.8167
               79.779999                       168.74614
               80.040001                       166.65635
               80.300003                       164.54643
               80.559998                       162.41543
                   80.82                       160.26228
               81.080002                       158.08595
               81.339996                       155.88528
               81.599998                       153.65906
               81.860001                       151.40601
               82.120003                       149.12482
               82.379997                       146.81404
               82.639999                       144.47222
               82.900002                       142.09781
               83.159996                       139.68922
               83.419998                       137.24473
                   83.68                       134.76267
               83.940002                       132.24121
               84.199997                       129.67856
               84.459999                       127.07285
               84.720001                       124.42224
               84.980003                       121.72486
               85.239998                       118.97888
                    85.5                       116.18255
               85.760002                       113.33417
               86.019997                       110.43218
               86.279999                       107.47531
               86.540001                       104.46232
               86.800003                       101.39243
               87.059998                       98.265129
                   87.32                       95.080348
               87.580002                       91.838522
               87.839996                       88.540579
               88.099998                       85.188213
               88.360001                       81.783609
               88.620003                       78.329775
               88.879997                       74.830532
               89.139999                       71.290446
               89.400002                       67.714731
               89.659996                       64.109458
               89.919998                       60.481315
                   90.18                       56.837546
               90.440002                       53.185879
               90.699997                       49.534241
               90.959999                       45.890802
               91.220001                       42.263724
               91.480003                       38.660938
               91.739998                        35.09006
                      92                        31.55825
               92.260002                       28.072094
               92.519997                        24.63741
               92.779999                       21.259473
               93.040001                       17.942595
               93.300003                       14.690388
               93.559998                       11.505743
