        Frequency / MHz                S1,1 (114)/abs,dB
----------------------------------------------------------------------
                      40                       -1.347047
               40.259998                      -1.3663715
                   40.52                      -1.3854477
               40.779999                      -1.4042706
               41.040001                      -1.4228397
               41.299999                      -1.4411584
               41.560001                      -1.4592326
                   41.82                      -1.4770717
               42.079998                      -1.4946832
                   42.34                      -1.5120681
               42.599998                      -1.5292278
               42.860001                      -1.5461637
               43.119999                      -1.5628779
               43.380001                      -1.5793772
               43.639999                      -1.5956724
               43.900002                      -1.6117756
                   44.16                      -1.6276989
               44.419998                      -1.6434516
                   44.68                      -1.6590397
               44.939999                      -1.6744682
               45.200001                      -1.6897391
               45.459999                      -1.7048608
               45.720001                      -1.7198417
                   45.98                      -1.7346951
               46.240002                      -1.7494348
                    46.5                      -1.7640719
               46.759998                      -1.7786156
                   47.02                      -1.7930714
               47.279999                      -1.8074445
               47.540001                      -1.8217392
               47.799999                      -1.8359619
               48.060001                       -1.850124
                   48.32                      -1.8642366
               48.579998                       -1.878312
                   48.84                       -1.892361
               49.099998                      -1.9063903
               49.360001                       -1.920403
               49.619999                      -1.9344039
               49.880001                      -1.9483963
               50.139999                      -1.9623875
               50.400002                      -1.9763873
                   50.66                      -1.9904042
               50.919998                      -2.0044512
                   51.18                      -2.0185333
               51.439999                      -2.0326561
               51.700001                      -2.0468229
               51.959999                      -2.0610341
               52.220001                      -2.0752957
                   52.48                      -2.0896111
               52.740002                      -2.1039895
                      53                      -2.1184404
               53.259998                      -2.1329711
                   53.52                      -2.1475856
               53.779999                      -2.1622878
               54.040001                      -2.1770773
               54.299999                      -2.1919567
               54.560001                      -2.2069281
                   54.82                      -2.2219961
               55.079998                      -2.2371681
                   55.34                      -2.2524515
               55.599998                      -2.2678501
               55.860001                      -2.2833683
               56.119999                      -2.2990063
               56.380001                      -2.3147618
               56.639999                      -2.3306382
               56.900002                      -2.3466343
                   57.16                       -2.362757
               57.419998                      -2.3790106
                   57.68                      -2.3953985
               57.939999                      -2.4119256
               58.200001                      -2.4285922
               58.459999                      -2.4453961
               58.720001                      -2.4623363
                   58.98                      -2.4794118
               59.240002                      -2.4966225
                    59.5                      -2.5139731
               59.759998                      -2.5314659
                   60.02                      -2.5491035
               60.279999                      -2.5668869
               60.540001                      -2.5848139
               60.799999                      -2.6028816
               61.060001                      -2.6210862
                   61.32                      -2.6394251
               61.579998                      -2.6578984
                   61.84                      -2.6765054
               62.099998                      -2.6952503
               62.360001                      -2.7141313
               62.619999                      -2.7331453
               62.880001                      -2.7522891
               63.139999                      -2.7715561
               63.400002                      -2.7909397
                   63.66                      -2.8104358
               63.919998                      -2.8300419
                   64.18                      -2.8497581
               64.440002                      -2.8695817
               64.699997                      -2.8895116
               64.959999                      -2.9095411
               65.220001                      -2.9296623
               65.480003                      -2.9498629
               65.739998                      -2.9701338
                      66                      -2.9904624
               66.260002                      -3.0108448
               66.519997                      -3.0312719
               66.779999                      -3.0517407
               67.040001                      -3.0722444
               67.300003                      -3.0927752
               67.559998                      -3.1133214
                   67.82                      -3.1338713
               68.080002                      -3.1544125
               68.339996                      -3.1749296
               68.599998                      -3.1954117
               68.860001                      -3.2158484
               69.120003                      -3.2362244
               69.379997                      -3.2565288
               69.639999                      -3.2767446
               69.900002                      -3.2968567
               70.159996                      -3.3168431
               70.419998                      -3.3366888
                   70.68                      -3.3563743
               70.940002                      -3.3758817
               71.199997                      -3.3951929
               71.459999                      -3.4142915
               71.720001                      -3.4331557
               71.980003                      -3.4517646
               72.239998                      -3.4700916
                    72.5                      -3.4881122
               72.760002                      -3.5058035
               73.019997                       -3.523138
               73.279999                      -3.5400938
               73.540001                      -3.5566459
               73.800003                      -3.5727668
               74.059998                      -3.5884316
                   74.32                      -3.6036075
               74.580002                      -3.6182658
               74.839996                      -3.6323727
               75.099998                      -3.6458972
               75.360001                      -3.6588072
               75.620003                      -3.6710709
               75.879997                      -3.6826588
               76.139999                      -3.6935378
               76.400002                      -3.7036719
               76.659996                      -3.7130275
               76.919998                      -3.7215638
                   77.18                      -3.7292447
               77.440002                      -3.7360322
               77.699997                      -3.7418899
               77.959999                      -3.7467811
               78.220001                      -3.7506708
               78.480003                      -3.7535228
               78.739998                      -3.7552979
                      79                      -3.7559554
               79.260002                      -3.7554572
               79.519997                      -3.7537629
               79.779999                      -3.7508333
               80.040001                      -3.7466318
               80.300003                      -3.7411238
               80.559998                      -3.7342754
                   80.82                      -3.7260531
               81.080002                      -3.7164232
               81.339996                      -3.7053507
               81.599998                         -3.6928
               81.860001                      -3.6787419
               82.120003                      -3.6631486
               82.379997                      -3.6459936
               82.639999                      -3.6272567
               82.900002                      -3.6069213
               83.159996                      -3.5849723
               83.419998                      -3.5613975
                   83.68                      -3.5361834
               83.940002                      -3.5093266
               84.199997                      -3.4808236
               84.459999                      -3.4506805
               84.720001                      -3.4189092
               84.980003                       -3.385531
               85.239998                      -3.3505734
                    85.5                      -3.3140779
               85.760002                      -3.2760863
               86.019997                      -3.2366555
               86.279999                       -3.195848
               86.540001                      -3.1537428
               86.800003                      -3.1104285
               87.059998                      -3.0660118
                   87.32                      -3.0206133
               87.580002                      -2.9743684
