        Frequency / MHz                S1,1 (21)/abs,dB
----------------------------------------------------------------------
                      40                      -5.5435886
               40.259998                      -5.5952183
                   40.52                      -5.6467967
               40.779999                      -5.6982994
               41.040001                      -5.7497085
               41.299999                      -5.8009954
               41.560001                      -5.8521443
                   41.82                      -5.9031308
               42.079998                      -5.9539361
                   42.34                      -6.0045353
               42.599998                      -6.0549117
               42.860001                      -6.1050427
               43.119999                       -6.154909
               43.380001                      -6.2044908
               43.639999                      -6.2537689
               43.900002                      -6.3027236
                   44.16                       -6.351338
               44.419998                      -6.3995926
                   44.68                      -6.4474711
               44.939999                       -6.494954
               45.200001                      -6.5420278
               45.459999                      -6.5886731
               45.720001                      -6.6348763
                   45.98                       -6.680622
               46.240002                      -6.7258943
                    46.5                      -6.7706809
               46.759998                      -6.8149673
                   47.02                      -6.8587407
               47.279999                        -6.90199
               47.540001                      -6.9447023
               47.799999                      -6.9868685
               48.060001                      -7.0284768
                   48.32                      -7.0695182
               48.579998                      -7.1099843
                   48.84                      -7.1498666
               49.099998                      -7.1891588
               49.360001                      -7.2278545
               49.619999                      -7.2659471
               49.880001                      -7.3034324
               50.139999                      -7.3403067
               50.400002                      -7.3765658
                   50.66                      -7.4122076
               50.919998                      -7.4472325
                   51.18                      -7.4816364
               51.439999                      -7.5154218
               51.700001                      -7.5485886
               51.959999                      -7.5811399
               52.220001                       -7.613076
                   52.48                      -7.6444023
               52.740002                      -7.6751219
                      53                      -7.7052404
               53.259998                      -7.7347638
                   53.52                      -7.7636975
               53.779999                      -7.7920498
               54.040001                      -7.8198284
               54.299999                      -7.8470426
               54.560001                      -7.8737007
                   54.82                      -7.8998133
               55.079998                      -7.9253935
                   55.34                      -7.9504495
               55.599998                       -7.974995
               55.860001                      -7.9990433
               56.119999                      -8.0226064
               56.380001                      -8.0456997
               56.639999                      -8.0683364
               56.900002                      -8.0905325
                   57.16                      -8.1123036
               57.419998                      -8.1336652
                   57.68                      -8.1546342
               57.939999                      -8.1752278
               58.200001                      -8.1954633
               58.459999                      -8.2153586
               58.720001                      -8.2349337
                   58.98                      -8.2542051
               59.240002                      -8.2731929
                    59.5                      -8.2919181
               59.759998                      -8.3103997
                   60.02                       -8.328658
               60.279999                      -8.3467156
               60.540001                      -8.3645924
               60.799999                       -8.382311
               61.060001                      -8.3998932
                   61.32                      -8.4173617
               61.579998                      -8.4347388
                   61.84                      -8.4520494
               62.099998                      -8.4693168
               62.360001                      -8.4865638
               62.619999                      -8.5038163
               62.880001                      -8.5210995
               63.139999                       -8.538438
               63.400002                      -8.5558583
                   63.66                      -8.5733846
               63.919998                      -8.5910468
                   64.18                      -8.6088695
               64.440002                      -8.6268799
               64.699997                      -8.6451074
               64.959999                      -8.6635788
               65.220001                      -8.6823226
               65.480003                      -8.7013685
               65.739998                      -8.7207469
                      66                      -8.7404842
               66.260002                       -8.760614
               66.519997                      -8.7811646
               66.779999                      -8.8021685
               67.040001                       -8.823655
               67.300003                      -8.8456596
               67.559998                      -8.8682108
                   67.82                      -8.8913428
               68.080002                      -8.9150891
               68.339996                      -8.9394831
               68.599998                       -8.964558
               68.860001                      -8.9903489
               69.120003                      -9.0168907
               69.379997                      -9.0442197
               69.639999                      -9.0723711
               69.900002                      -9.1013806
               70.159996                      -9.1312864
               70.419998                      -9.1621261
                   70.68                       -9.193937
               70.940002                      -9.2267583
               71.199997                      -9.2606306
               71.459999                      -9.2955912
               71.720001                       -9.331682
               71.980003                      -9.3689455
               72.239998                      -9.4074216
                    72.5                      -9.4471532
               72.760002                      -9.4881856
               73.019997                      -9.5305589
               73.279999                      -9.5743203
               73.540001                      -9.6195161
               73.800003                      -9.6661899
               74.059998                      -9.7143899
                   74.32                      -9.7641612
               74.580002                      -9.8155551
