        Frequency / MHz                S1,1 (97)/arg,degrees
----------------------------------------------------------------------
                      40                       159.54707
               40.259998                        157.3311
                   40.52                       155.11783
               40.779999                       152.90706
               41.040001                       150.69867
               41.299999                       148.49252
               41.560001                       146.28848
                   41.82                       144.08645
               42.079998                       141.88625
                   42.34                       139.68779
               42.599998                       137.49098
               42.860001                       135.29568
               43.119999                       133.10181
               43.380001                       130.90924
               43.639999                       128.71786
               43.900002                       126.52759
                   44.16                       124.33829
               44.419998                       122.14985
                   44.68                       119.96216
               44.939999                       117.77511
               45.200001                       115.58856
               45.459999                        113.4024
               45.720001                       111.21652
                   45.98                       109.03077
               46.240002                       106.84506
                    46.5                       104.65926
               46.759998                       102.47327
                   47.02                       100.28701
               47.279999                       98.100368
               47.540001                         95.9133
               47.799999                       93.725754
               48.060001                       91.537704
                   48.32                       89.349154
               48.579998                       87.160126
                   48.84                       84.970674
               49.099998                       82.780875
               49.360001                       80.590857
               49.619999                       78.400764
               49.880001                       76.210779
               50.139999                       74.021097
               50.400002                        71.83198
                   50.66                       69.643689
               50.919998                       67.456532
                   51.18                       65.270838
               51.439999                        63.08694
               51.700001                       60.905214
               51.959999                       58.726041
               52.220001                       56.549819
                   52.48                       54.376945
               52.740002                       52.207832
                      53                       50.042884
               53.259998                       47.882517
                   53.52                       45.727121
               53.779999                       43.577101
               54.040001                       41.432833
               54.299999                       39.294697
               54.560001                       37.163051
                   54.82                       35.038238
               55.079998                       32.920611
                   55.34                       30.810469
               55.599998                       28.708138
               55.860001                       26.613912
               56.119999                       24.528086
               56.380001                       22.450944
               56.639999                        20.38276
               56.900002                       18.323812
                   57.16                       16.274374
               57.419998                       14.234715
                   57.68                       12.205109
               57.939999                        10.18583
               58.200001                       8.1771545
               58.459999                        6.179357
               58.720001                       4.1927144
                   58.98                       2.2175023
               59.240002                      0.25399087
                    59.5                      -1.6975531
               59.759998                      -3.6368841
                   60.02                       -5.563734
               60.279999                      -7.4778876
               60.540001                      -9.3791221
               60.799999                      -11.267272
               61.060001                      -13.142164
                   61.32                       -15.00367
               61.579998                       -16.85169
                   61.84                       -18.68616
               62.099998                      -20.507052
               62.360001                      -22.314376
               62.619999                      -24.108188
               62.880001                      -25.888566
               63.139999                      -27.655636
               63.400002                      -29.409554
                   63.66                      -31.150505
               63.919998                       -32.87871
                   64.18                       -34.59441
               64.440002                      -36.297855
               64.699997                      -37.989325
               64.959999                      -39.669097
               65.220001                      -41.337461
               65.480003                      -42.994709
               65.739998                      -44.641113
                      66                      -46.276956
               66.260002                      -47.902499
               66.519997                      -49.517992
               66.779999                      -51.123671
               67.040001                      -52.719769
               67.300003                      -54.306481
               67.559998                      -55.884012
                   67.82                       -57.45254
               68.080002                      -59.012263
               68.339996                       -60.56335
               68.599998                      -62.105975
               68.860001                       -63.64034
               69.120003                      -65.166652
               69.379997                      -66.685109
               69.639999                      -68.195982
               69.900002                      -69.699527
               70.159996                      -71.196049
               70.419998                      -72.685877
                   70.68                      -74.169393
               70.940002                      -75.647015
               71.199997                      -77.119195
               71.459999                      -78.586407
               71.720001                      -80.049188
               71.980003                      -81.508077
               72.239998                      -82.963686
                    72.5                      -84.416603
               72.760002                      -85.867451
               73.019997                      -87.316886
               73.279999                      -88.765541
               73.540001                      -90.214067
               73.800003                      -91.663099
               74.059998                      -93.113292
                   74.32                       -94.56524
               74.580002                      -96.019558
               74.839996                       -97.47684
               75.099998                       -98.93764
               75.360001                      -100.40252
               75.620003                      -101.87203
               75.879997                      -103.34668
               76.139999                        -104.827
               76.400002                       -106.3135
               76.659996                      -107.80673
               76.919998                      -109.30721
                   77.18                      -110.81553
               77.440002                      -112.33226
               77.699997                      -113.85804
               77.959999                      -115.39355
               78.220001                      -116.93948
               78.480003                      -118.49665
               78.739998                      -120.06587
                      79                      -121.64806
               79.260002                      -123.24412
               79.519997                      -124.85511
               79.779999                      -126.48207
               80.040001                       -128.1261
               80.300003                      -129.78838
               80.559998                      -131.47005
                   80.82                      -133.17234
               81.080002                      -134.89645
               81.339996                      -136.64362
               81.599998                      -138.41501
               81.860001                      -140.21184
               82.120003                      -142.03523
               82.379997                      -143.88631
               82.639999                      -145.76611
               82.900002                      -147.67567
               83.159996                      -149.61591
               83.419998                      -151.58774
                   83.68                      -153.59198
               83.940002                      -155.62944
               84.199997                      -157.70087
               84.459999                        -159.807
               84.720001                      -161.94859
               84.980003                      -164.12637
               85.239998                      -166.34118
                    85.5                      -168.59392
               85.760002                      -170.88564
               86.019997                       -173.2176
               86.279999                      -175.59135
               86.540001                      -178.00879
               86.800003                       179.52771
               87.059998                       177.01515
                   87.32                       174.44969
               87.580002                       171.82651
               87.839996                       169.13939
               88.099998                       166.38035
               88.360001                       163.53917
               88.620003                       160.60246
               88.879997                        157.5528
               89.139999                       154.36716
               89.400002                       151.01475
               89.659996                       147.45401
               89.919998                       143.62772
                   90.18                       139.45599
               90.440002                       134.82514
               90.699997                       129.57005
               90.959999                       123.44743
               91.220001                       116.09624
               91.480003                       106.99108
               91.739998                       95.434999
                      92                       80.758426
               92.260002                       63.027908
               92.519997                       43.972228
               92.779999                       26.359493
               93.040001                       11.876459
               93.300003                      0.55957373
               93.559998                      -8.2677619
                   93.82                      -15.300208
               94.080002                      -21.059833
               94.339996                      -25.905686
               94.599998                      -30.080355
               94.860001                      -33.749011
               95.120003                      -37.026332
               95.379997                      -39.993609
               95.639999                       -42.70992
               95.900002                      -45.218921
               96.159996                      -47.553808
               96.419998                      -49.740206
                   96.68                      -51.798251
               96.940002                      -53.744227
               97.199997                      -55.591355
               97.459999                       -57.35065
               97.720001                       -59.03134
               97.980003                      -60.641352
               98.239998                      -62.187488
                    98.5                      -63.675732
               98.760002                      -65.111193
               99.019997                      -66.498541
               99.279999                      -67.841792
               99.540001                      -69.144556
               99.800003                      -70.409971
                  100.06                      -71.640881
                  100.32                      -72.839661
                  100.58                      -74.008607
                  100.84                      -75.149549
                   101.1                        -76.2641
                  101.36                       -77.35376
                  101.62                      -78.419761
                  101.88                      -79.463196
                  102.14                      -80.484992
                   102.4                      -81.485943
                  102.66                      -82.466784
                  102.92                       -83.42823
                  103.18                      -84.370796
                  103.44                      -85.295112
                   103.7                      -86.201669
                  103.96                       -87.09096
                  104.22                      -87.963585
                  104.48                      -88.820036
                  104.74                      -89.660832
                     105                      -90.486493
                  105.26                      -91.297564
                  105.52                      -92.094675
                  105.78                      -92.878261
                  106.04                      -93.648952
                   106.3                      -94.407185
                  106.56                      -95.153561
                  106.82                       -95.88849
                  107.08                      -96.612407
                  107.34                      -97.325671
                   107.6                      -98.028688
                  107.86                      -98.721733
                  108.12                      -99.404916
                  108.38                      -100.07854
                  108.64                      -100.74265
                   108.9                      -101.39731
                  109.16                      -102.04246
                  109.42                      -102.67811
                  109.68                      -103.30419
                  109.94                      -103.92049
                   110.2                      -104.52696
                  110.46                      -105.12337
                  110.72                      -105.70962
                  110.98                      -106.28549
                  111.24                      -106.85075
                   111.5                      -107.40547
                  111.76                      -107.94927
                  112.02                      -108.48224
                  112.28                      -109.00428
                  112.54                      -109.51518
                   112.8                       -110.0151
                  113.06                      -110.50392
                  113.32                      -110.98171
                  113.58                      -111.44845
                  113.84                      -111.90416
                   114.1                      -112.34894
                  114.36                       -112.7828
                  114.62                      -113.20561
                  114.88                      -113.61761
                  115.14                      -114.01862
                   115.4                      -114.40855
                  115.66                      -114.78749
                  115.92                      -115.15511
                  116.18                      -115.51127
                  116.44                        -115.856
                   116.7                      -116.18882
                  116.96                      -116.50957
                  117.22                      -116.81807
                  117.48                      -117.11385
                  117.74                      -117.39667
                     118                      -117.66628
                  118.26                      -117.92238
                  118.52                      -118.16455
                  118.78                      -118.39262
                  119.04                      -118.60638
                   119.3                       -118.8056
                  119.56                      -118.99007
                  119.82                      -119.15963
                  120.08                      -119.31426
                  120.34                      -119.45393
                   120.6                      -119.57856
                  120.86                      -119.68823
                  121.12                      -119.78303
                  121.38                      -119.86297
                  121.64                      -119.92821
                   121.9                      -119.97903
                  122.16                      -120.01531
                  122.42                      -120.03739
                  122.68                      -120.04547
                  122.94                      -120.03963
                   123.2                      -120.01996
                  123.46                      -119.98674
                  123.72                      -119.94002
                  123.98                      -119.87997
                  124.24                      -119.80669
                   124.5                      -119.72041
                  124.76                      -119.62108
                  125.02                      -119.50895
                  125.28                       -119.3842
                  125.54                        -119.247
                   125.8                       -119.0975
                  126.06                      -118.93598
                  126.32                      -118.76276
                  126.58                      -118.57808
                  126.84                      -118.38224
                   127.1                      -118.17586
                  127.36                      -117.95921
                  127.62                      -117.73277
                  127.88                       -117.4971
                  128.14                      -117.25269
               128.39999                      -116.99998
                  128.66                      -116.73961
                  128.92                      -116.47208
               129.17999                      -116.19784
                  129.44                      -115.91742
                   129.7                       -115.6311
               129.96001                      -115.33942
                  130.22                      -115.04266
                  130.48                       -114.7411
               130.74001                      -114.43488
                     131                      -114.12419
               131.25999                      -113.80924
                  131.52                      -113.48992
                  131.78                      -113.16633
               132.03999                      -112.83842
                   132.3                      -112.50609
                  132.56                      -112.16923
               132.81999                      -111.82783
                  133.08                      -111.48173
                  133.34                      -111.13082
               133.60001                      -110.77494
                  133.86                      -110.41414
                  134.12                      -110.04821
                  134.38                      -109.67719
                  134.64                       -109.3011
               134.89999                      -108.91992
                  135.16                      -108.53355
                  135.42                      -108.14215
               135.67999                      -107.74578
                  135.94                      -107.34444
                   136.2                      -106.93823
               136.46001                      -106.52722
                  136.72                      -106.11145
                  136.98                      -105.69104
               137.24001                      -105.26598
                   137.5                      -104.83634
               137.75999                      -104.40221
                  138.02                      -103.96349
                  138.28                      -103.52041
               138.53999                      -103.07284
                   138.8                       -102.6209
                  139.06                      -102.16475
               139.31999                      -101.70434
                  139.58                      -101.23994
                  139.84                      -100.77156
               140.10001                      -100.29962
                  140.36                       -99.82418
                  140.62                      -99.345631
                  140.88                      -98.864348
                  141.14                      -98.380716
               141.39999                      -97.895227
                  141.66                      -97.408344
                  141.92                      -96.920695
               142.17999                      -96.432747
                  142.44                      -95.945152
                   142.7                      -95.458597
               142.96001                      -94.973572
                  143.22                      -94.490787
                  143.48                       -94.01087
               143.74001                      -93.534369
                     144                      -93.061857
               144.25999                      -92.593907
                  144.52                      -92.130984
                  144.78                      -91.673607
               145.03999                      -91.222186
                   145.3                      -90.777131
                  145.56                      -90.338824
               145.81999                      -89.907593
                  146.08                      -89.483766
                  146.34                      -89.067617
               146.60001                      -88.659417
                  146.86                      -88.259469
                  147.12                      -87.867989
                  147.38                      -87.485226
                  147.64                      -87.111451
               147.89999                      -86.746828
                  148.16                      -86.391658
                  148.42                      -86.046132
               148.67999                      -85.710469
                  148.94                      -85.384888
                   149.2                      -85.069551
               149.46001                       -84.76468
                  149.72                      -84.470407
                  149.98                      -84.186873
               150.24001                      -83.914157
                   150.5                      -83.652369
               150.75999                      -83.401592
                  151.02                      -83.161771
                  151.28                       -82.93296
               151.53999                      -82.715049
                   151.8                      -82.508039
                  152.06                      -82.311739
               152.31999                      -82.126069
                  152.58                      -81.950887
                  152.84                      -81.786034
               153.10001                      -81.631289
                  153.36                      -81.486489
                  153.62                      -81.351442
                  153.88                      -81.225959
                  154.14                      -81.109845
               154.39999                      -81.002912
                  154.66                      -80.904938
                  154.92                      -80.815819
               155.17999                      -80.735415
                  155.44                      -80.663506
                   155.7                      -80.599985
               155.96001                      -80.544715
                  156.22                      -80.497587
                  156.48                      -80.458463
               156.74001                      -80.427236
                     157                      -80.403822
               157.25999                      -80.388058
                  157.52                      -80.379835
                  157.78                      -80.378987
               158.03999                      -80.385462
                   158.3                      -80.399069
                  158.56                      -80.419641
               158.81999                      -80.447071
                  159.08                      -80.481167
                  159.34                      -80.521738
               159.60001                      -80.568593
                  159.86                      -80.621623
                  160.12                      -80.680555
                  160.38                       -80.74525
                  160.64                      -80.815491
               160.89999                      -80.891142
                  161.16                      -80.972012
                  161.42                      -81.057963
               161.67999                      -81.148777
                  161.94                      -81.244345
                   162.2                      -81.344585
               162.46001                      -81.449305
                  162.72                      -81.558397
                  162.98                      -81.671833
               163.24001                      -81.789449
                   163.5                      -81.911217
               163.75999                       -82.03703
                  164.02                      -82.166803
                  164.28                      -82.300538
               164.53999                      -82.438098
                   164.8                      -82.579456
                  165.06                      -82.724556
               165.31999                      -82.873291
                  165.58                      -83.025631
                  165.84                      -83.181469
               166.10001                      -83.340694
                  166.36                      -83.503253
                  166.62                      -83.669089
                  166.88                      -83.838014
                  167.14                      -84.009998
               167.39999                      -84.184905
                  167.66                      -84.362627
                  167.92                      -84.543108
               168.17999                      -84.726239
                  168.44                      -84.911829
                   168.7                      -85.099905
               168.96001                       -85.29033
                  169.22                      -85.483024
                  169.48                      -85.677958
               169.74001                      -85.874995
                     170                      -86.074163
               170.25999                      -86.275353
                  170.52                      -86.478538
                  170.78                      -86.683744
               171.03999                      -86.890863
                   171.3                      -87.099921
                  171.56                      -87.310865
               171.81999                      -87.523693
                  172.08                       -87.73838
                  172.34                      -87.954897
               172.60001                      -88.173217
                  172.86                      -88.393313
                  173.12                      -88.615103
                  173.38                      -88.838614
                  173.64                      -89.063819
               173.89999                      -89.290554
                  174.16                      -89.518873
                  174.42                      -89.748668
               174.67999                      -89.979857
                  174.94                      -90.212384
                   175.2                      -90.446195
               175.46001                      -90.681235
                  175.72                      -90.917396
                  175.98                      -91.154676
               176.24001                      -91.392914
                   176.5                      -91.632107
               176.75999                      -91.872256
                  177.02                      -92.113225
                  177.28                      -92.354986
               177.53999                      -92.597486
                   177.8                      -92.840722
                  178.06                      -93.084615
               178.31999                       -93.32919
                  178.58                      -93.574394
                  178.84                      -93.820171
               179.10001                      -94.066468
                  179.36                      -94.313284
                  179.62                      -94.560619
                  179.88                      -94.808309
                  180.14                      -95.056408
               180.39999                      -95.304781
                  180.66                      -95.553373
                  180.92                      -95.802156
               181.17999                      -96.050966
                  181.44                      -96.299748
                   181.7                      -96.548395
               181.96001                      -96.796795
                  182.22                      -97.044758
                  182.48                      -97.292257
               182.74001                      -97.539073
                     183                      -97.785069
               183.25999                      -98.030081
                  183.52                      -98.274029
                  183.78                      -98.516664
               184.03999                      -98.757852
                   184.3                        -98.9974
                  184.56                      -99.235145
               184.81999                      -99.470979
                  185.08                      -99.704626
                  185.34                      -99.935977
               185.60001                      -100.16471
                  185.86                      -100.39081
                  186.12                      -100.61397
                  186.38                       -100.8339
                  186.64                      -101.05061
               186.89999                       -101.2636
                  187.16                      -101.47277
                  187.42                      -101.67784
               187.67999                      -101.87854
                  187.94                       -102.0747
                   188.2                      -102.26578
               188.46001                      -102.45173
                  188.72                       -102.6321
                  188.98                      -102.80657
               189.24001                      -102.97487
                   189.5                       -103.1366
               189.75999                      -103.29146
                  190.02                       -103.4391
                  190.28                      -103.57915
               190.53999                      -103.71138
                   190.8                       -103.8353
                  191.06                      -103.95076
               191.31999                      -104.05737
