        Frequency / MHz                S1,1 (73)/arg,degrees
----------------------------------------------------------------------
                      40                      -44.147273
               40.259998                      -45.550615
                   40.52                      -46.955276
               40.779999                      -48.361365
               41.040001                      -49.768917
               41.299999                      -51.177918
               41.560001                      -52.588293
                   41.82                      -53.999987
               42.079998                      -55.412957
                   42.34                       -56.82722
               42.599998                      -58.242855
               42.860001                      -59.659938
               43.119999                      -61.078585
               43.380001                      -62.498847
               43.639999                       -63.92072
               43.900002                       -65.34416
                   44.16                      -66.769094
               44.419998                      -68.195465
                   44.68                      -69.623239
               44.939999                      -71.052437
               45.200001                      -72.483142
               45.459999                      -73.915455
               45.720001                      -75.349349
                   45.98                       -76.78496
               46.240002                      -78.222276
                    46.5                      -79.661179
               46.759998                      -81.101612
                   47.02                      -82.543622
               47.279999                      -83.987107
               47.540001                      -85.432177
               47.799999                      -86.878832
               48.060001                      -88.327255
                   48.32                      -89.777386
               48.579998                      -91.229293
                   48.84                       -92.68303
               49.099998                      -94.138476
               49.360001                      -95.595628
               49.619999                      -97.054428
               49.880001                       -98.51494
               50.139999                      -99.977161
               50.400002                      -101.44127
                   50.66                      -102.90727
               50.919998                       -104.3752
                   51.18                      -105.84511
               51.439999                      -107.31703
               51.700001                      -108.79088
               51.959999                      -110.26665
               52.220001                      -111.74437
                   52.48                      -113.22405
               52.740002                       -114.7058
                      53                      -116.18962
               53.259998                      -117.67565
                   53.52                      -119.16396
               53.779999                      -120.65453
               54.040001                      -122.14739
               54.299999                      -123.64247
               54.560001                      -125.13984
                   54.82                      -126.63948
               55.079998                      -128.14147
                   55.34                      -129.64586
               55.599998                      -131.15276
               55.860001                      -132.66222
               56.119999                      -134.17433
               56.380001                       -135.6891
               56.639999                      -137.20649
               56.900002                      -138.72651
                   57.16                      -140.24925
               57.419998                      -141.77467
                   57.68                      -143.30288
               57.939999                       -144.8339
               58.200001                      -146.36791
               58.459999                      -147.90489
               58.720001                      -149.44493
                   58.98                      -150.98802
               59.240002                      -152.53423
                    59.5                      -154.08351
               59.759998                      -155.63594
                   60.02                      -157.19148
               60.279999                      -158.75032
               60.540001                      -160.31242
               60.799999                      -161.87796
               61.060001                      -163.44695
                   61.32                      -165.01943
               61.579998                      -166.59546
                   61.84                      -168.17501
               62.099998                      -169.75811
               62.360001                      -171.34478
               62.619999                      -172.93508
               62.880001                      -174.52908
               63.139999                      -176.12688
               63.400002                      -177.72854
                   63.66                      -179.33416
               63.919998                       179.05625
                   64.18                       177.44268
               64.440002                       175.82507
               64.699997                       174.20346
               64.959999                       172.57782
