        Frequency / MHz                S1,1 (16)/abs,dB
----------------------------------------------------------------------
                      40                      -7.1382233
               40.259998                      -7.2490988
                   40.52                      -7.3594793
               40.779999                      -7.4693425
               41.040001                      -7.5786611
               41.299999                      -7.6874023
               41.560001                      -7.7955248
                   41.82                      -7.9029794
               42.079998                      -8.0097187
                   42.34                      -8.1156986
               42.599998                      -8.2208861
               42.860001                       -8.325259
               43.119999                      -8.4287978
               43.380001                      -8.5314872
               43.639999                      -8.6333069
               43.900002                       -8.734227
                   44.16                      -8.8342087
               44.419998                      -8.9332101
                   44.68                      -9.0311922
               44.939999                      -9.1281215
               45.200001                      -9.2239784
               45.459999                      -9.3187505
               45.720001                      -9.4124336
                   45.98                      -9.5050223
               46.240002                      -9.5965081
                    46.5                      -9.6868742
               46.759998                      -9.7760956
                   47.02                      -9.8641474
               47.279999                      -9.9510043
               47.540001                      -10.036654
               47.799999                      -10.121085
               48.060001                      -10.204299
                   48.32                      -10.286297
               48.579998                      -10.367082
                   48.84                      -10.446645
               49.099998                      -10.524977
               49.360001                      -10.602061
               49.619999                      -10.677883
               49.880001                      -10.752438
               50.139999                       -10.82573
               50.400002                      -10.897772
                   50.66                      -10.968583
               50.919998                      -11.038184
                   51.18                      -11.106589
               51.439999                      -11.173807
               51.700001                      -11.239833
               51.959999                      -11.304659
               52.220001                      -11.368271
                   52.48                      -11.430662
               52.740002                       -11.49183
                      53                      -11.551781
               53.259998                      -11.610536
                   53.52                      -11.668118
               53.779999                      -11.724561
               54.040001                      -11.779901
               54.299999                       -11.83418
               54.560001                      -11.887446
                   54.82                      -11.939747
               55.079998                      -11.991132
                   55.34                      -12.041643
               55.599998                      -12.091308
               55.860001                      -12.140137
               56.119999                      -12.188121
               56.380001                       -12.23523
               56.639999                      -12.281425
               56.900002                      -12.326662
                   57.16                      -12.370912
               57.419998                      -12.414163
                   57.68                      -12.456427
               57.939999                      -12.497738
               58.200001                      -12.538144
               58.459999                      -12.577701
               58.720001                       -12.61646
                   58.98                      -12.654463
               59.240002                      -12.691739
                    59.5                      -12.728305
               59.759998                      -12.764172
                   60.02                       -12.79935
               60.279999                      -12.833852
               60.540001                      -12.867694
               60.799999                      -12.900894
               61.060001                      -12.933473
                   61.32                      -12.965446
               61.579998                      -12.996825
                   61.84                      -13.027619
               62.099998                      -13.057837
               62.360001                       -13.08749
               62.619999                       -13.11659
               62.880001                      -13.145161
               63.139999                      -13.173221
               63.400002                      -13.200791
                   63.66                      -13.227892
               63.919998                      -13.254535
                   64.18                       -13.28073
               64.440002                      -13.306482
               64.699997                      -13.331799
               64.959999                      -13.356692
               65.220001                      -13.381178
               65.480003                      -13.405277
               65.739998                      -13.429016
                      66                      -13.452417
               66.260002                      -13.475507
               66.519997                      -13.498303
               66.779999                      -13.520828
               67.040001                      -13.543099
               67.300003                      -13.565143
               67.559998                      -13.586992
                   67.82                      -13.608685
               68.080002                      -13.630269
               68.339996                      -13.651794
               68.599998                      -13.673319
               68.860001                      -13.694901
               69.120003                      -13.716604
               69.379997                      -13.738501
               69.639999                      -13.760668
               69.900002                      -13.783204
               70.159996                      -13.806218
               70.419998                      -13.829841
                   70.68                      -13.854222
               70.940002                      -13.879524
               71.199997                      -13.905932
               71.459999                      -13.933646
               71.720001                      -13.962886
               71.980003                      -13.993894
               72.239998                      -14.026942
                    72.5                      -14.062326
               72.760002                      -14.100377
               73.019997                      -14.141458
               73.279999                      -14.185963
               73.540001                      -14.234321
               73.800003                      -14.286993
               74.059998                       -14.34447
                   74.32                      -14.407287
               74.580002                      -14.476012
               74.839996                      -14.551258
               75.099998                      -14.633679
               75.360001                       -14.72397
               75.620003                      -14.822866
               75.879997                      -14.931126
               76.139999                      -15.049531
               76.400002                      -15.178869
               76.659996                      -15.319916
               76.919998                      -15.473427
                   77.18                      -15.640108
               77.440002                      -15.820611
               77.699997                      -16.015497
               77.959999                      -16.225228
               78.220001                      -16.450133
               78.480003                      -16.690387
               78.739998                      -16.945992
                      79                      -17.216751
               79.260002                      -17.502253
               79.519997                      -17.801856
               79.779999                      -18.114677
               80.040001                       -18.43959
               80.300003                      -18.775215
               80.559998                      -19.119929
                   80.82                      -19.471868
               81.080002                      -19.828937
               81.339996                      -20.188831
               81.599998                      -20.549057
               81.860001                      -20.906962
               82.120003                      -21.259792
               82.379997                      -21.604727
               82.639999                      -21.938964
               82.900002                      -22.259783
               83.159996                      -22.564635
               83.419998                      -22.851216
                   83.68                      -23.117557
               83.940002                      -23.362085
               84.199997                      -23.583677
               84.459999                      -23.781689
               84.720001                      -23.955969
               84.980003                      -24.106827
               85.239998                      -24.235014
                    85.5                      -24.341644
               85.760002                      -24.428141
               86.019997                       -24.49615
               86.279999                      -24.547464
               86.540001                      -24.583946
               86.800003                      -24.607467
               87.059998                      -24.619847
                   87.32                      -24.622818
               87.580002                      -24.617992
               87.839996                      -24.606846
               88.099998                      -24.590717
               88.360001                      -24.570802
               88.620003                      -24.548159
               88.879997                      -24.523718
               89.139999                      -24.498287
               89.400002                       -24.47256
               89.659996                      -24.447127
               89.919998                      -24.422484
                   90.18                      -24.399046
               90.440002                      -24.377162
               90.699997                      -24.357125
               90.959999                      -24.339186
               91.220001                      -24.323559
               91.480003                      -24.310433
               91.739998                      -24.299966
                      92                       -24.29229
               92.260002                      -24.287509
               92.519997                      -24.285706
               92.779999                      -24.286939
               93.040001                      -24.291249
               93.300003                      -24.298669
               93.559998                      -24.309223
                   93.82                      -24.322935
               94.080002                      -24.339828
               94.339996                      -24.359922
               94.599998                      -24.383235
               94.860001                       -24.40978
               95.120003                       -24.43957
               95.379997                      -24.472612
               95.639999                      -24.508917
               95.900002                      -24.548499
               96.159996                      -24.591375
               96.419998                      -24.637566
                   96.68                      -24.687097
               96.940002                      -24.739988
               97.199997                      -24.796257
               97.459999                      -24.855919
               97.720001                      -24.918986
               97.980003                      -24.985469
               98.239998                      -25.055387
                    98.5                      -25.128766
               98.760002                      -25.205641
               99.019997                      -25.286054
               99.279999                      -25.370053
               99.540001                      -25.457686
               99.800003                      -25.548996
                  100.06                      -25.644026
                  100.32                      -25.742815
                  100.58                      -25.845399
                  100.84                       -25.95182
                   101.1                      -26.062121
                  101.36                      -26.176351
                  101.62                      -26.294559
                  101.88                      -26.416794
                  102.14                      -26.543103
                   102.4                      -26.673523
                  102.66                       -26.80809
                  102.92                      -26.946833
                  103.18                      -27.089782
                  103.44                      -27.236963
                   103.7                      -27.388398
                  103.96                      -27.544096
                  104.22                      -27.704055
                  104.48                      -27.868247
                  104.74                      -28.036614
                     105                      -28.209069
                  105.26                      -28.385492
                  105.52                      -28.565728
                  105.78                      -28.749589
                  106.04                      -28.936848
                   106.3                      -29.127229
                  106.56                      -29.320398
                  106.82                       -29.51595
                  107.08                      -29.713387
                  107.34                      -29.912122
                   107.6                      -30.111457
                  107.86                      -30.310584
                  108.12                      -30.508581
                  108.38                       -30.70441
                  108.64                      -30.896911
                   108.9                      -31.084804
                  109.16                       -31.26669
                  109.42                       -31.44107
                  109.68                       -31.60636
                  109.94                      -31.760938
                   110.2                      -31.903183
                  110.46                      -32.031541
                  110.72                      -32.144575
                  110.98                      -32.241024
                  111.24                      -32.319864
                   111.5                      -32.380345
                  111.76                      -32.422038
                  112.02                      -32.444868
                  112.28                       -32.44913
                  112.54                      -32.435494
                   112.8                      -32.404981
                  113.06                      -32.358929
                  113.32                      -32.298924
                  113.58                      -32.226736
                  113.84                      -32.144247
                   114.1                      -32.053379
                  114.36                      -31.956043
                  114.62                      -31.854095
                  114.88                      -31.749306
                  115.14                      -31.643338
                   115.4                      -31.537724
                  115.66                      -31.433865
                  115.92                      -31.333012
                  116.18                      -31.236272
                  116.44                      -31.144601
                   116.7                      -31.058821
                  116.96                      -30.979617
                  117.22                      -30.907551
                  117.48                      -30.843061
                  117.74                      -30.786461
                     118                      -30.737946
                  118.26                      -30.697586
                  118.52                      -30.665329
                  118.78                      -30.641015
                  119.04                      -30.624393
                   119.3                      -30.615144
                  119.56                      -30.612912
                  119.82                      -30.617328
                  120.08                       -30.62803
                  120.34                      -30.644669
                   120.6                      -30.666908
                  120.86                      -30.694409
                  121.12                      -30.726809
                  121.38                      -30.763704
                  121.64                      -30.804625
                   121.9                      -30.849031
                  122.16                      -30.896301
                  122.42                       -30.94574
                  122.68                      -30.996591
                  122.94                      -31.048052
                   123.2                      -31.099287
                  123.46                      -31.149449
                  123.72                      -31.197692
                  123.98                      -31.243185
                  124.24                      -31.285124
                   124.5                      -31.322737
                  124.76                      -31.355289
                  125.02                      -31.382095
                  125.28                       -31.40252
                  125.54                       -31.41599
                   125.8                      -31.421995
                  126.06                       -31.42011
                  126.32                      -31.409987
                  126.58                      -31.391375
                  126.84                      -31.364115
                   127.1                      -31.328134
                  127.36                      -31.283451
                  127.62                      -31.230162
                  127.88                      -31.168438
                  128.14                      -31.098521
               128.39999                      -31.020717
