        Frequency / MHz                S1,1 (8)/arg,degrees
----------------------------------------------------------------------
                      40                       110.24887
               40.259998                        107.9162
                   40.52                       105.59119
               40.779999                       103.27368
               41.040001                       100.96349
               41.299999                       98.660457
               41.560001                       96.364441
                   41.82                       94.075303
               42.079998                       91.792941
                   42.34                       89.517258
               42.599998                       87.248215
               42.860001                       84.985783
               43.119999                       82.729956
               43.380001                       80.480761
               43.639999                       78.238231
               43.900002                       76.002425
                   44.16                       73.773386
               44.419998                       71.551177
                   44.68                       69.335838
               44.939999                       67.127386
               45.200001                       64.925861
               45.459999                       62.731229
               45.720001                       60.543486
                   45.98                        58.36258
               46.240002                        56.18847
                    46.5                       54.021084
               46.759998                       51.860368
                   47.02                       49.706269
               47.279999                       47.558747
               47.540001                       45.417775
               47.799999                       43.283365
               48.060001                       41.155533
                   48.32                       39.034332
               48.579998                       36.919847
                   48.84                       34.812176
               49.099998                       32.711431
               49.360001                       30.617745
               49.619999                       28.531243
               49.880001                       26.452043
               50.139999                       24.380254
               50.400002                       22.315969
                   50.66                       20.259242
               50.919998                       18.210117
                   51.18                       16.168595
               51.439999                       14.134649
               51.700001                       12.108234
               51.959999                       10.089283
               52.220001                       8.0777132
                   52.48                       6.0734428
               52.740002                       4.0763871
                      53                       2.0864724
               53.259998                      0.10364199
                   53.52                      -1.8721413
               53.779999                      -3.8408946
               54.040001                      -5.8026116
               54.299999                      -7.7572687
               54.560001                      -9.7048285
                   54.82                      -11.645251
               55.079998                      -13.578489
                   55.34                      -15.504515
               55.599998                      -17.423317
               55.860001                      -19.334907
               56.119999                      -21.239325
               56.380001                      -23.136696
               56.639999                      -25.027107
               56.900002                      -26.910713
                   57.16                      -28.787756
               57.419998                      -30.658422
                   57.68                      -32.523017
               57.939999                      -34.381783
               58.200001                      -36.234964
               58.459999                      -38.082863
               58.720001                      -39.925757
                   58.98                       -41.76386
               59.240002                      -43.597389
                    59.5                      -45.426581
               59.759998                      -47.251625
                   60.02                      -49.072671
               60.279999                      -50.889927
               60.540001                      -52.703538
               60.799999                      -54.513732
               61.060001                      -56.320701
                   61.32                      -58.124712
               61.579998                      -59.926052
                   61.84                      -61.725053
               62.099998                      -63.522118
               62.360001                      -65.317686
               62.619999                      -67.112242
               62.880001                      -68.906314
               63.139999                      -70.700478
               63.400002                      -72.495301
                   63.66                      -74.291408
               63.919998                      -76.089394
                   64.18                      -77.889885
               64.440002                      -79.693487
               64.699997                      -81.500795
               64.959999                        -83.3124
               65.220001                      -85.128889
               65.480003                      -86.950856
               65.739998                      -88.778901
                      66                      -90.613647
               66.260002                      -92.455763
               66.519997                      -94.305945
               66.779999                      -96.164979
               67.040001                      -98.033698
               67.300003                      -99.913025
               67.559998                      -101.80396
                   67.82                      -103.70757
               68.080002                      -105.62503
               68.339996                      -107.55756
               68.599998                      -109.50648
               68.860001                      -111.47311
               69.120003                      -113.45885
               69.379997                      -115.46515
               69.639999                      -117.49343
               69.900002                      -119.54521
               70.159996                      -121.62191
               70.419998                      -123.72508
                   70.68                      -125.85622
               70.940002                      -128.01687
               71.199997                      -130.20865
               71.459999                      -132.43315
               71.720001                       -134.6921
               71.980003                      -136.98723
               72.239998                       -139.3204
                    72.5                      -141.69352
               72.760002                      -144.10859
               73.019997                      -146.56772
               73.279999                      -149.07305
               73.540001                      -151.62677
               73.800003                      -154.23114
               74.059998                      -156.88838
                   74.32                      -159.60073
               74.580002                      -162.37032
               74.839996                      -165.19924
               75.099998                      -168.08949
               75.360001                      -171.04288
               75.620003                      -174.06106
               75.879997                       -177.1456
               76.139999                       179.70223
               76.400002                       176.48122
               76.659996                       173.19042
               76.919998                         169.829
                   77.18                       166.39623
               77.440002                       162.89152
               77.699997                       159.31437
               77.959999                       155.66429
               78.220001                        151.9408
               78.480003                       148.14334
               78.739998                       144.27134
                      79                       140.32409
               79.260002                       136.30073
               79.519997                       132.20025
               79.779999                        128.0215
               80.040001                        123.7631
               80.300003                       119.42366
               80.559998                       115.00166
                   80.82                       110.49559
               81.080002                       105.90415
               81.339996                       101.22632
               81.599998                       96.461713
               81.860001                       91.610558
               82.120003                       86.674353
               82.379997                       81.655939
               82.639999                       76.559936
               82.900002                        71.39306
               83.159996                       66.164305
               83.419998                       60.885171
                   83.68                       55.569644
               83.940002                       50.234065
               84.199997                       44.896845
               84.459999                       39.577794
               84.720001                       34.297483
               84.980003                       29.076624
               85.239998                       23.935077
                    85.5                       18.891226
               85.760002                       13.961362
               86.019997                       9.1591905
               86.279999                       4.4957023
               86.540001                    -0.020965037
               86.800003                       -4.385456
               87.059998                       -8.594929
                   87.32                      -12.648646
               87.580002                      -16.547863
               87.839996                      -20.295261
               88.099998                      -23.894798
               88.360001                      -27.351311
               88.620003                      -30.670266
               88.879997                       -33.85753
               89.139999                      -36.919284
               89.400002                      -39.861757
               89.659996                      -42.691231
               89.919998                       -45.41388
                   90.18                      -48.035692
               90.440002                      -50.562534
               90.699997                      -52.999901
               90.959999                      -55.353091
               91.220001                      -57.627108
               91.480003                      -59.826594
               91.739998                       -61.95589
                      92                      -64.019018
               92.260002                      -66.019635
               92.519997                      -67.961158
               92.779999                      -69.846645
               93.040001                       -71.67891
               93.300003                      -73.460607
               93.559998                      -75.193973
                   93.82                       -76.88122
               94.080002                      -78.524318
               94.339996                      -80.125151
               94.599998                      -81.685412
               94.860001                      -83.206713
               95.120003                       -84.69064
               95.379997                      -86.138585
               95.639999                      -87.551943
               95.900002                      -88.931996
               96.159996                      -90.279948
               96.419998                       -91.59689
                   96.68                      -92.883807
               96.940002                      -94.141682
               97.199997                       -95.37128
               97.459999                      -96.573175
               97.720001                       -97.74805
               97.980003                      -98.896204
               98.239998                      -100.01799
                    98.5                      -101.11367
               98.760002                      -102.18322
               99.019997                      -103.22682
               99.279999                       -104.2443
               99.540001                       -105.2356
               99.800003                      -106.20057
