        Frequency / MHz                S1,1 (Mesh Pass=5)/arg,degrees
----------------------------------------------------------------------
                      40                       66.682351
               40.259998                       64.881613
                   40.52                       63.084338
               40.779999                       61.290491
               41.040001                       59.500031
               41.299999                        57.71292
               41.560001                        55.92911
                   41.82                       54.148547
               42.079998                       52.371176
                   42.34                       50.596936
               42.599998                       48.825772
               42.860001                        47.05763
               43.119999                       45.292453
               43.380001                       43.530192
               43.639999                       41.770795
               43.900002                       40.014234
                   44.16                       38.260457
               44.419998                       36.509443
                   44.68                       34.761166
               44.939999                       33.015603
               45.200001                       31.272731
               45.459999                       29.532534
               45.720001                       27.794986
                   45.98                        26.06007
               46.240002                       24.327764
                    46.5                       22.598028
               46.759998                       20.870825
                   47.02                       19.146115
               47.279999                       17.423838
               47.540001                       15.703926
               47.799999                        13.98632
               48.060001                       12.270935
                   48.32                       10.557688
               48.579998                        8.846488
                   48.84                       7.1372431
               49.099998                       5.4298592
               49.360001                       3.7242403
               49.619999                       2.0202938
               49.880001                      0.31792951
               50.139999                      -1.3829382
               50.400002                        -3.08239
                   50.66                      -4.7805015
               50.919998                       -6.477345
                   51.18                      -8.1729829
               51.439999                      -9.8674816
               51.700001                      -11.560899
               51.959999                      -13.253293
               52.220001                      -14.944727
                   52.48                       -16.63527
               52.740002                      -18.324983
                      53                      -20.013946
               53.259998                      -21.702252
                   53.52                      -23.389988
               53.779999                      -25.077265
               54.040001                      -26.764199
               54.299999                      -28.450914
               54.560001                      -30.137563
                   54.82                      -31.824265
               55.079998                      -33.511217
                   55.34                      -35.198533
               55.599998                       -36.88646
               55.860001                      -38.575059
               56.119999                      -40.264574
               56.380001                      -41.955125
               56.639999                       -43.64696
               56.900002                      -45.340135
                   57.16                      -47.034835
               57.419998                      -48.731249
                   57.68                      -50.429491
               57.939999                      -52.129747
               58.200001                      -53.832199
               58.459999                       -55.53691
               58.720001                      -57.244066
                   58.98                       -58.95384
               59.240002                      -60.666371
                    59.5                       -62.38194
               59.759998                      -64.100629
                   60.02                      -65.822678
               60.279999                      -67.548386
               60.540001                      -69.277898
               60.799999                      -71.011526
               61.060001                      -72.749507
