        Frequency / MHz                S1,1 (24)/arg,degrees
----------------------------------------------------------------------
                      40                       21.322551
               40.259998                       19.131174
                   40.52                       16.942329
               40.779999                       14.755869
               41.040001                       12.571613
               41.299999                       10.389423
               41.560001                       8.2092605
                   41.82                       6.0311912
               42.079998                       3.8553438
                   42.34                       1.6818452
               42.599998                     -0.48924354
               42.860001                      -2.6579483
               43.119999                      -4.8243673
               43.380001                      -6.9886173
               43.639999                      -9.1507894
               43.900002                      -11.310919
                   44.16                      -13.468996
               44.419998                      -15.625002
                   44.68                      -17.778935
               44.939999                      -19.930851
               45.200001                      -22.080845
               45.459999                      -24.229019
               45.720001                      -26.375463
                   45.98                       -28.52023
               46.240002                      -30.663361
                    46.5                      -32.804879
               46.759998                      -34.944849
                   47.02                      -37.083361
               47.279999                      -39.220529
               47.540001                      -41.356486
               47.799999                      -43.491319
               48.060001                      -45.625126
                   48.32                      -47.757974
               48.579998                      -49.889946
                   48.84                      -52.021145
               49.099998                      -54.151696
               49.360001                      -56.281762
               49.619999                      -58.411462
               49.880001                      -60.540947
               50.139999                      -62.670339
               50.400002                      -64.799766
                   50.66                      -66.929311
               50.919998                      -69.059132
                   51.18                      -71.189443
               51.439999                      -73.320367
               51.700001                      -75.452109
               51.959999                      -77.584829
               52.220001                      -79.718648
                   52.48                      -81.853779
               52.740002                      -83.990351
                      53                      -86.128562
               53.259998                      -88.268638
                   53.52                      -90.410791
               53.779999                      -92.555231
               54.040001                      -94.702144
               54.299999                      -96.851707
               54.560001                      -99.004146
                   54.82                      -101.15969
               55.079998                      -103.31854
                   55.34                      -105.48101
               55.599998                       -107.6473
               55.860001                      -109.81768
               56.119999                      -111.99236
               56.380001                      -114.17165
               56.639999                      -116.35574
               56.900002                      -118.54494
                   57.16                      -120.73952
               57.419998                      -122.93981
                   57.68                      -125.14611
               57.939999                       -127.3587
               58.200001                      -129.57788
               58.459999                      -131.80392
               58.720001                       -134.0372
                   58.98                      -136.27805
               59.240002                       -138.5268
                    59.5                      -140.78382
               59.759998                       -143.0495
                   60.02                      -145.32416
               60.279999                      -147.60821
               60.540001                        -149.902
               60.799999                      -152.20593
               61.060001                      -154.52043
                   61.32                      -156.84594
               61.579998                      -159.18289
                   61.84                      -161.53173
               62.099998                      -163.89292
               62.360001                      -166.26687
               62.619999                      -168.65408
               62.880001                      -171.05504
               63.139999                      -173.47026
               63.400002                      -175.90028
                   63.66                      -178.34562
               63.919998                       179.19316
                   64.18                       176.71555
               64.440002                         174.221
               64.699997                       171.70891
               64.959999                       169.17871
               65.220001                       166.62978
               65.480003                       164.06146
               65.739998                       161.47316
                      66                       158.86425
               66.260002                       156.23406
               66.519997                         153.582
               66.779999                       150.90736
               67.040001                       148.20949
               67.300003                       145.48764
               67.559998                       142.74115
                   67.82                       139.96929
               68.080002                        137.1714
               68.339996                       134.34679
               68.599998                       131.49474
               68.860001                       128.61453
               69.120003                       125.70547
               69.379997                       122.76682
               69.639999                       119.79787
               69.900002                       116.79795
               70.159996                       113.76638
               70.419998                       110.70252
                   70.68                       107.60574
               70.940002                       104.47538
               71.199997                       101.31082
               71.459999                        98.11145
               71.720001                       94.876781
               71.980003                       91.606241
               72.239998                       88.299446
                    72.5                       84.955932
               72.760002                       81.575398
               73.019997                       78.157571
               73.279999                       74.702125
               73.540001                       71.208948
               73.800003                       67.678011
               74.059998                       64.109374
                   74.32                       60.503201
               74.580002                       56.859839
               74.839996                       53.179679
               75.099998                       49.463347
               75.360001                       45.711522
               75.620003                        41.92514
               75.879997                       38.105316
               76.139999                       34.253389
               76.400002                       30.370892
               76.659996                       26.459623
               76.919998                       22.521556
                   77.18                       18.558925
               77.440002                       14.574193
               77.699997                       10.570036
               77.959999                       6.5495132
               78.220001                       2.5157671
               78.480003                      -1.5277048
               78.739998                       -5.577406
                      79                      -9.6294567
               79.260002                      -13.680088
               79.519997                      -17.725308
               79.779999                      -21.761102
               80.040001                      -25.783428
               80.300003                      -29.788215
               80.559998                      -33.771497
                   80.82                      -37.729373
               81.080002                      -41.658235
               81.339996                      -45.554559
               81.599998                      -49.415171
               81.860001                      -53.236965
               82.120003                      -57.017253
               82.379997                      -60.753477
               82.639999                      -64.443446
               82.900002                      -68.085248
               83.159996                      -71.677299
               83.419998                      -75.218452
                   83.68                      -78.707722
               83.940002                      -82.144482
               84.199997                      -85.528185
               84.459999                       -88.85864
               84.720001                      -92.135738
               84.980003                      -95.359723
               85.239998                       -98.53109
                    85.5                      -101.65052
               85.760002                      -104.71897
               86.019997                      -107.73742
               86.279999                       -110.7068
               86.540001                      -113.62805
               86.800003                      -116.50208
               87.059998                      -119.33011
                   87.32                      -122.11333
               87.580002                      -124.85344
               87.839996                       -127.5524
               88.099998                      -130.21218
               88.360001                      -132.83487
               88.620003                       -135.4222
               88.879997                      -137.97587
               89.139999                       -140.4973
               89.400002                      -142.98813
               89.659996                      -145.45012
               89.919998                      -147.88538
                   90.18                      -150.29644
               90.440002                      -152.68586
               90.699997                      -155.05648
               90.959999                      -157.41093
               91.220001                      -159.75232
               91.480003                      -162.08376
               91.739998                       -164.4087
                      92                      -166.73146
               92.260002                        -169.057
               92.519997                      -171.39112
               92.779999                      -173.74038
               93.040001                      -176.11242
               93.300003                      -178.51659
               93.559998                       179.03601
                   93.82                       176.53135
               94.080002                       173.95151
               94.339996                       171.27359
               94.599998                       168.46742
               94.860001                       165.49306
               95.120003                       162.29626
               95.379997                       158.80128
               95.639999                       154.89944
               95.900002                       150.42992
               96.159996                       145.14838
               96.419998                       138.67364
                   96.68                       130.40622
               96.940002                       119.43868
               97.199997                       104.64077
               97.459999                       85.527937
               97.720001                       64.135729
               97.980003                       44.631769
               98.239998                        29.40411
                    98.5                       18.154622
               98.760002                       9.7588993
               99.019997                       3.2731703
               99.279999                       -1.932745
               99.540001                      -6.2595333
               99.800003                      -9.9634627
                  100.06                      -13.212448
                  100.32                      -16.119869
                  100.58                      -18.764407
                  100.84                      -21.202182
                   101.1                      -23.474232
                  101.36                      -25.610989
                  101.62                      -27.635567
                  101.88                      -29.565669
                  102.14                      -31.415229
                   102.4                      -33.195451
                  102.66                      -34.915184
                  102.92                      -36.581856
                  103.18                      -38.201595
                  103.44                      -39.779368
                   103.7                       -41.31933
                  103.96                      -42.824978
                  104.22                      -44.299261
                  104.48                      -45.744803
                  104.74                      -47.163897
                     105                      -48.558457
                  105.26                      -49.930286
                  105.52                      -51.280805
                  105.78                      -52.611383
                  106.04                      -53.922995
                   106.3                      -55.216798
                  106.56                      -56.493661
                  106.82                      -57.754407
                  107.08                      -58.999961
                  107.34                      -60.230814
                   107.6                      -61.447735
                  107.86                      -62.651161
