        Frequency / MHz                S1,1 (Mesh Pass=8)/abs,dB
----------------------------------------------------------------------
                      40                      -5.3149628
               40.259998                      -5.3616254
                   40.52                      -5.4088899
               40.779999                      -5.4567887
               41.040001                      -5.5053545
               41.299999                       -5.554616
               41.560001                      -5.6046003
                   41.82                      -5.6553298
               42.079998                      -5.7068269
                   42.34                       -5.759109
               42.599998                      -5.8121931
               42.860001                       -5.866088
               43.119999                       -5.920801
               43.380001                      -5.9763319
               43.639999                      -6.0326801
               43.900002                      -6.0898362
                   44.16                      -6.1477899
               44.419998                      -6.2065241
                   44.68                       -6.266015
               44.939999                      -6.3262338
               45.200001                      -6.3871437
               45.459999                      -6.4486997
               45.720001                      -6.5108533
                   45.98                      -6.5735466
               46.240002                      -6.6367156
                    46.5                      -6.7002885
               46.759998                      -6.7641853
                   47.02                      -6.8283154
               47.279999                      -6.8925793
               47.540001                      -6.9568705
               47.799999                       -7.021071
               48.060001                      -7.0850576
                   48.32                      -7.1486997
               48.579998                      -7.2118536
                   48.84                      -7.2743718
               49.099998                      -7.3360947
               49.360001                      -7.3968587
               49.619999                      -7.4564921
               49.880001                      -7.5148217
               50.139999                      -7.5716735
               50.400002                      -7.6268707
                   50.66                      -7.6802404
               50.919998                      -7.7316113
                   51.18                      -7.7808227
               51.439999                      -7.8277227
               51.700001                      -7.8721801
               51.959999                      -7.9140857
               52.220001                      -7.9533573
                   52.48                      -7.9899482
               52.740002                      -8.0238511
                      53                      -8.0551062
               53.259998                      -8.0838062
                   53.52                      -8.1101068
               53.779999                      -8.1342353
               54.040001                      -8.1564958
               54.299999                       -8.177276
               54.560001                      -8.1970521
                   54.82                      -8.2163886
               55.079998                      -8.2359444
                   55.34                      -8.2564661
               55.599998                      -8.2787881
               55.860001                      -8.3038314
               56.119999                      -8.3325898
               56.380001                      -8.3661119
               56.639999                      -8.4054937
               56.900002                      -8.4518499
                   57.16                      -8.5062876
               57.419998                      -8.5698864
                   57.68                      -8.6436659
               57.939999                      -8.7285663
               58.200001                      -8.8254238
               58.459999                      -8.9349482
               58.720001                      -9.0577109
                   58.98                      -9.1941332
               59.240002                      -9.3444826
                    59.5                      -9.5088709
               59.759998                       -9.687269
                   60.02                      -9.8795152
               60.279999                      -10.085338
               60.540001                      -10.304371
               60.799999                      -10.536179
               61.060001                      -10.780278
                   61.32                      -11.036156
               61.579998                      -11.303287
                   61.84                      -11.581163
               62.099998                      -11.869292
               62.360001                      -12.167226
               62.619999                      -12.474562
               62.880001                      -12.790956
               63.139999                      -13.116123
               63.400002                       -13.44984
                   63.66                      -13.791957
               63.919998                       -14.14238
                   64.18                      -14.501094
               64.440002                      -14.868151
               64.699997                      -15.243678
               64.959999                      -15.627872
               65.220001                      -16.021008
               65.480003                      -16.423434
               65.739998                      -16.835569
                      66                      -17.257913
               66.260002                       -17.69105
               66.519997                      -18.135654
               66.779999                      -18.592497
               67.040001                      -19.062454
               67.300003                      -19.546518
               67.559998                      -20.045803
                   67.82                      -20.561558
               68.080002                      -21.095192
               68.339996                      -21.648282
               68.599998                      -22.222604
               68.860001                      -22.820148
               69.120003                      -23.443136
               69.379997                      -24.094035
               69.639999                      -24.775553
               69.900002                      -25.490618
               70.159996                      -26.242305
               70.419998                      -27.033673
                   70.68                      -27.867431
               70.940002                      -28.745286
               71.199997                      -29.666731
               71.459999                      -30.626868
               71.720001                      -31.612668
               71.980003                       -32.59707
               72.239998                      -33.531224
                    72.5                      -34.338543
               72.760002                       -34.92078
               73.019997                      -35.188329
               73.279999                      -35.106577
               73.540001                      -34.718078
               73.800003                       -34.11566
               74.059998                      -33.396252
                   74.32                      -32.633444
               74.580002                      -31.873388
               74.839996                      -31.141325
               75.099998                      -30.449224
               75.360001                      -29.801439
               75.620003                      -29.198231
               75.879997                      -28.637806
               76.139999                      -28.117451
               76.400002                      -27.634135
               76.659996                      -27.184835
               76.919998                      -26.766685
                   77.18                      -26.377057
               77.440002                      -26.013563
               77.699997                      -25.674058
               77.959999                      -25.356615
               78.220001                      -25.059505
               78.480003                      -24.781183
               78.739998                      -24.520266
                      79                       -24.27552
               79.260002                      -24.045844
               79.519997                       -23.83025
               79.779999                       -23.62785
               80.040001                      -23.437833
               80.300003                      -23.259467
               80.559998                      -23.092086
                   80.82                      -22.935086
               81.080002                      -22.787923
               81.339996                      -22.650104
               81.599998                       -22.52118
               81.860001                      -22.400737
               82.120003                      -22.288392
               82.379997                       -22.18379
               82.639999                      -22.086607
               82.900002                      -21.996546
               83.159996                      -21.913342
               83.419998                      -21.836746
                   83.68                      -21.766531
               83.940002                      -21.702484
               84.199997                      -21.644405
               84.459999                      -21.592105
               84.720001                      -21.545416
               84.980003                      -21.504183
               85.239998                      -21.468269
                    85.5                      -21.437545
               85.760002                      -21.411888
               86.019997                      -21.391185
               86.279999                      -21.375328
               86.540001                      -21.364218
               86.800003                      -21.357769
               87.059998                      -21.355903
                   87.32                      -21.358555
               87.580002                       -21.36566
               87.839996                      -21.377157
               88.099998                      -21.392992
               88.360001                      -21.413112
               88.620003                      -21.437476
               88.879997                      -21.466049
               89.139999                      -21.498806
               89.400002                      -21.535726
               89.659996                      -21.576792
               89.919998                      -21.621983
                   90.18                      -21.671288
               90.440002                      -21.724696
               90.699997                      -21.782213
               90.959999                      -21.843845
               91.220001                      -21.909609
               91.480003                       -21.97952
               91.739998                      -22.053598
                      92                      -22.131864
               92.260002                      -22.214342
               92.519997                       -22.30107
               92.779999                      -22.392089
               93.040001                      -22.487452
               93.300003                      -22.587214
               93.559998                      -22.691432
                   93.82                      -22.800162
               94.080002                      -22.913472
               94.339996                       -23.03143
               94.599998                      -23.154121
               94.860001                      -23.281639
               95.120003                      -23.414083
               95.379997                      -23.551552
               95.639999                      -23.694153
               95.900002                      -23.841991
               96.159996                      -23.995184
               96.419998                      -24.153861
                   96.68                      -24.318164
               96.940002                       -24.48824
               97.199997                       -24.66424
               97.459999                      -24.846318
               97.720001                      -25.034626
               97.980003                      -25.229323
               98.239998                      -25.430576
                    98.5                      -25.638562
               98.760002                      -25.853459
               99.019997                      -26.075442
               99.279999                       -26.30467
               99.540001                      -26.541285
               99.800003                       -26.78541
                  100.06                       -27.03715
                  100.32                       -27.29658
                  100.58                      -27.563736
                  100.84                      -27.838587
                   101.1                       -28.12101
                  101.36                       -28.41076
                  101.62                      -28.707441
                  101.88                      -29.010478
                  102.14                      -29.319081
                   102.4                      -29.632185
                  102.66                      -29.948374
                  102.92                      -30.265798
                  103.18                      -30.582072
                  103.44                      -30.894192
                   103.7                      -31.198474
                  103.96                      -31.490504
                  104.22                      -31.765141
                  104.48                      -32.016581
                  104.74                      -32.238512
                     105                      -32.424399
                  105.26                      -32.567907
                  105.52                      -32.663429
                  105.78                      -32.706642
                  106.04                      -32.694987
                   106.3                      -32.627972
                  106.56                      -32.507223
                  106.82                      -32.336286
                  107.08                      -32.120234
                  107.34                      -31.865142
                   107.6                      -31.577554
                  107.86                      -31.263997
                  108.12                      -30.930623
                  108.38                      -30.582969
                  108.64                       -30.22586
                   108.9                      -29.863385
                  109.16                      -29.498946
                  109.42                      -29.135324
                  109.68                      -28.774756
                  109.94                      -28.419015
                   110.2                      -28.069498
                  110.46                      -27.727288
                  110.72                      -27.393237
                  110.98                      -27.068023
                  111.24                      -26.752193
                   111.5                      -26.446197
                  111.76                      -26.150415
                  112.02                      -25.865172
                  112.28                      -25.590768
                  112.54                      -25.327485
                   112.8                       -25.07561
                  113.06                      -24.835435
                  113.32                      -24.607269
                  113.58                      -24.391421
                  113.84                      -24.188207
                   114.1                      -23.997937
                  114.36                      -23.820909
                  114.62                      -23.657405
                  114.88                      -23.507677
                  115.14                      -23.371934
                   115.4                      -23.250316
                  115.66                       -23.14288
                  115.92                      -23.049575
                  116.18                      -22.970227
                  116.44                       -22.90453
                   116.7                      -22.852032
                  116.96                      -22.812137
                  117.22                       -22.78409
                  117.48                      -22.766985
                  117.74                      -22.759772
                     118                      -22.761269
                  118.26                      -22.770189
                  118.52                      -22.785177
                  118.78                       -22.80483
                  119.04                      -22.827737
                   119.3                      -22.852511
                  119.56                      -22.877808
                  119.82                      -22.902365
                  120.08                      -22.925028
                  120.34                      -22.944768
                   120.6                      -22.960705
                  120.86                      -22.972119
                  121.12                      -22.978441
                  121.38                      -22.979262
                  121.64                      -22.974306
                   121.9                      -22.963437
                  122.16                      -22.946643
                  122.42                      -22.924021
                  122.68                      -22.895765
                  122.94                      -22.862145
                   123.2                      -22.823483
                  123.46                      -22.780142
                  123.72                      -22.732505
                  123.98                      -22.680975
                  124.24                      -22.625961
                   124.5                      -22.567879
                  124.76                       -22.50713
                  125.02                      -22.444105
                  125.28                      -22.379167
                  125.54                      -22.312655
                   125.8                      -22.244884
                  126.06                      -22.176147
                  126.32                      -22.106722
                  126.58                       -22.03686
                  126.84                      -21.966792
                   127.1                      -21.896721
                  127.36                      -21.826827
                  127.62                      -21.757268
                  127.88                      -21.688187
                  128.14                      -21.619713
               128.39999                      -21.551967
                  128.66                      -21.485053
                  128.92                      -21.419059
               129.17999                       -21.35406
                  129.44                      -21.290116
                   129.7                      -21.227281
               129.96001                      -21.165605
                  130.22                      -21.105133
                  130.48                      -21.045906
               130.74001                      -20.987954
                     131                      -20.931304
               131.25999                      -20.875968
                  131.52                       -20.82196
                  131.78                      -20.769292
               132.03999                      -20.717975
                   132.3                      -20.668025
                  132.56                      -20.619449
               132.81999                      -20.572251
                  133.08                      -20.526426
                  133.34                      -20.481972
               133.60001                      -20.438885
                  133.86                      -20.397167
                  134.12                      -20.356818
                  134.38                       -20.31784
                  134.64                       -20.28023
               134.89999                       -20.24398
                  135.16                       -20.20908
                  135.42                      -20.175522
               135.67999                      -20.143303
                  135.94                      -20.112422
                   136.2                      -20.082877
               136.46001                      -20.054665
                  136.72                      -20.027778
                  136.98                      -20.002205
               137.24001                      -19.977938
                   137.5                      -19.954971
               137.75999                      -19.933302
                  138.02                      -19.912931
                  138.28                      -19.893855
               138.53999                      -19.876071
                   138.8                      -19.859563
                  139.06                      -19.844327
               139.31999                      -19.830353
                  139.58                      -19.817642
                  139.84                      -19.806192
               140.10001                      -19.796003
                  140.36                      -19.787072
                  140.62                      -19.779386
                  140.88                      -19.772939
                  141.14                      -19.767721
               141.39999                       -19.76373
                  141.66                      -19.760967
                  141.92                      -19.759431
               142.17999                       -19.75912
                  142.44                      -19.760024
                   142.7                      -19.762132
               142.96001                      -19.765437
                  143.22                      -19.769933
                  143.48                      -19.775619
               143.74001                      -19.782496
                     144                      -19.790562
               144.25999                      -19.799807
                  144.52                      -19.810219
                  144.78                      -19.821787
               145.03999                      -19.834503
                   145.3                      -19.848366
                  145.56                      -19.863375
               145.81999                      -19.879526
                  146.08                      -19.896811
                  146.34                      -19.915214
               146.60001                      -19.934724
                  146.86                      -19.955327
                  147.12                       -19.97702
                  147.38                      -19.999797
                  147.64                      -20.023657
               147.89999                      -20.048588
                  148.16                      -20.074573
                  148.42                      -20.101595
               148.67999                      -20.129638
                  148.94                      -20.158691
                   149.2                      -20.188749
               149.46001                      -20.219805
                  149.72                      -20.251846
                  149.98                      -20.284852
               150.24001                        -20.3188
                   150.5                      -20.353671
               150.75999                      -20.389444
                  151.02                      -20.426109
                  151.28                      -20.463658
               151.53999                      -20.502073
                   151.8                      -20.541331
                  152.06                      -20.581402
               152.31999                      -20.622257
                  152.58                      -20.663869
                  152.84                      -20.706223
               153.10001                      -20.749302
                  153.36                      -20.793086
                  153.62                      -20.837546
                  153.88                      -20.882643
                  154.14                      -20.928339
               154.39999                      -20.974599
                  154.66                      -21.021396
                  154.92                      -21.068707
               155.17999                      -21.116509
                  155.44                      -21.164761
                   155.7                       -21.21342
               155.96001                      -21.262434
                  156.22                      -21.311756
                  156.48                       -21.36135
               156.74001                      -21.411182
                     157                      -21.461221
               157.25999                      -21.511425
                  157.52                      -21.561736
                  157.78                      -21.612092
               158.03999                      -21.662431
                   158.3                      -21.712702
                  158.56                      -21.762868
               158.81999                      -21.812887
                  159.08                       -21.86271
                  159.34                      -21.912272
               159.60001                      -21.961497
                  159.86                      -22.010309
                  160.12                      -22.058647
                  160.38                      -22.106462
                  160.64                      -22.153708
               160.89999                      -22.200333
                  161.16                      -22.246265
                  161.42                      -22.291417
               161.67999                      -22.335701
                  161.94                      -22.379045
                   162.2                      -22.421393
               162.46001                      -22.462703
                  162.72                      -22.502923
                  162.98                      -22.541979
               163.24001                       -22.57978
                   163.5                      -22.616229
               163.75999                      -22.651246
                  164.02                      -22.684778
                  164.28                      -22.716791
               164.53999                      -22.747246
                   164.8                      -22.776079
                  165.06                        -22.8032
               165.31999                      -22.828509
                  165.58                      -22.851923
                  165.84                      -22.873402
               166.10001                      -22.892932
                  166.36                      -22.910507
                  166.62                      -22.926081
                  166.88                      -22.939579
                  167.14                      -22.950894
               167.39999                      -22.959948
                  167.66                      -22.966715
                  167.92                      -22.971226
               168.17999                      -22.973527
                  168.44                      -22.973621
                   168.7                      -22.971437
               168.96001                      -22.966839
                  169.22                      -22.959709
                  169.48                      -22.950019
               169.74001                      -22.937885
                     170                      -22.923541
               170.25999                      -22.907237
                  170.52                      -22.889124
                  170.78                      -22.869168
               171.03999                      -22.847161
                   171.3                       -22.82282
                  171.56                      -22.795911
               171.81999                      -22.766369
                  172.08                      -22.734307
                  172.34                      -22.699968
               172.60001                      -22.663604
                  172.86                      -22.625386
                  173.12                      -22.585367
                  173.38                      -22.543521
                  173.64                      -22.499809
               173.89999                      -22.454252
                  174.16                      -22.406939
                  174.42                      -22.358005
               174.67999                      -22.307579
                  174.94                      -22.255745
                   175.2                      -22.202546
               175.46001                      -22.148006
                  175.72                      -22.092174
                  175.98                      -22.035133
               176.24001                      -21.977006
                   176.5                      -21.917913
               176.75999                      -21.857954
                  177.02                      -21.797196
                  177.28                      -21.735693
               177.53999                      -21.673506
                   177.8                      -21.610723
                  178.06                      -21.547451
               178.31999                       -21.48381
                  178.58                      -21.419904
                  178.84                      -21.355814
               179.10001                      -21.291606
                  179.36                      -21.227346
                  179.62                      -21.163119
                  179.88                      -21.099029
                  180.14                      -21.035183
               180.39999                      -20.971684
                  180.66                      -20.908616
                  180.92                      -20.846045
               181.17999                      -20.784036
                  181.44                      -20.722665
                   181.7                      -20.662015
               181.96001                      -20.602179
                  182.22                      -20.543247
                  182.48                      -20.485283
               182.74001                      -20.428344
                     183                      -20.372472
               183.25999                      -20.317715
                  183.52                      -20.264127
                  183.78                      -20.211762
               184.03999                      -20.160671
                   184.3                      -20.110889
                  184.56                      -20.062428
               184.81999                      -20.015296
                  185.08                      -19.969489
                  185.34                      -19.925009
               185.60001                      -19.881861
                  185.86                      -19.840042
                  186.12                      -19.799535
                  186.38                      -19.760308
                  186.64                      -19.722316
               186.89999                      -19.685509
                  187.16                      -19.649839
                  187.42                      -19.615263
               187.67999                      -19.581735
                  187.94                      -19.549203
                   188.2                      -19.517606
               188.46001                      -19.486871
                  188.72                      -19.456926
                  188.98                      -19.427703
               189.24001                      -19.399144
                   189.5                      -19.371195
               189.75999                      -19.343803
                  190.02                      -19.316907
