        Frequency / MHz                S1,1 (29)/arg,degrees
----------------------------------------------------------------------
                      40                      -82.131044
               40.259998                      -85.058409
                   40.52                      -87.989885
               40.779999                      -90.925637
               41.040001                      -93.865931
               41.299999                      -96.811122
               41.560001                      -99.761647
                   41.82                      -102.71801
               42.079998                      -105.68053
                   42.34                      -108.64956
               42.599998                      -111.62529
               42.860001                      -114.60802
               43.119999                      -117.59807
               43.380001                      -120.59581
               43.639999                      -123.60174
               43.900002                      -126.61627
                   44.16                      -129.63986
               44.419998                      -132.67276
                   44.68                       -135.7153
               44.939999                      -138.76772
               45.200001                      -141.83048
               45.459999                       -144.9039
               45.720001                      -147.98849
                   45.98                      -151.08474
               46.240002                      -154.19309
                    46.5                      -157.31375
               46.759998                      -160.44711
                   47.02                      -163.59344
               47.279999                      -166.75317
               47.540001                      -169.92673
               47.799999                      -173.11459
               48.060001                      -176.31729
                   48.32                      -179.53513
               48.579998                       177.23154
                   48.84                       173.98245
               49.099998                       170.71719
               49.360001                       167.43545
               49.619999                       164.13674
               49.880001                       160.82059
               50.139999                        157.4866
               50.400002                       154.13442
                   50.66                       150.76382
               50.919998                       147.37455
                   51.18                       143.96633
               51.439999                       140.53878
               51.700001                       137.09164
               51.959999                       133.62449
               52.220001                       130.13703
                   52.48                       126.62916
               52.740002                       123.10076
                      53                        119.5518
               53.259998                       115.98215
                   53.52                       112.39168
               53.779999                       108.78031
               54.040001                       105.14786
               54.299999                       101.49436
               54.560001                       97.819964
                   54.82                       94.124915
               55.079998                       90.409401
                   55.34                       86.673643
               55.599998                       82.917749
               55.860001                       79.141884
               56.119999                       75.346129
               56.380001                       71.530894
               56.639999                       67.696563
               56.900002                       63.843763
                   57.16                       59.972874
               57.419998                       56.084203
                   57.68                       52.177797
               57.939999                       48.253444
               58.200001                        44.31095
               58.459999                       40.350015
               58.720001                       36.370581
                   58.98                       32.372654
               59.240002                       28.356259
                    59.5                       24.321282
               59.759998                       20.267403
                   60.02                       16.194013
               60.279999                       12.100188
               60.540001                       7.9848909
               60.799999                       3.8468892
               61.060001                     -0.31515495
                   61.32                      -4.5027169
               61.579998                      -8.7175164
                   61.84                      -12.961415
               62.099998                      -17.236621
               62.360001                      -21.545405
               62.619999                      -25.890225
               62.880001                      -30.273648
               63.139999                      -34.698219
               63.400002                      -39.166581
                   63.66                      -43.681445
               63.919998                      -48.245516
                   64.18                      -52.861413
               64.440002                      -57.531676
               64.699997                      -62.258526
               64.959999                      -67.043837
               65.220001                      -71.888926
               65.480003                      -76.794639
               65.739998                      -81.761309
                      66                      -86.788656
               66.260002                      -91.875699
               66.519997                      -97.020935
               66.779999                      -102.22196
               67.040001                      -107.47569
               67.300003                      -112.77837
               67.559998                      -118.12554
                   67.82                      -123.51243
               68.080002                      -128.93385
               68.339996                      -134.38499
               68.599998                        -139.861
               68.860001                      -145.35794
               69.120003                      -150.87269
               69.379997                      -156.40345
               69.639999                      -161.94994
               69.900002                      -167.51376
               70.159996                      -173.09856
               70.419998                      -178.71068
                   70.68                       175.64119
               70.940002                       169.94558
               71.199997                         164.188
               71.459999                       158.35109
               71.720001                       152.41418
               71.980003                        146.3535
               72.239998                       140.14246
                    72.5                       133.75181
               72.760002                       127.15116
               73.019997                       120.31048
               73.279999                       113.20283
               73.540001                       105.80835
               73.800003                       98.119145
               74.059998                       90.144325
                   74.32                       81.916023
               74.580002                        73.49194
               74.839996                       64.954968
               75.099998                       56.407234
               75.360001                        47.95971
               75.620003                       39.718952
               75.879997                       31.775388
               76.139999                       24.195735
               76.400002                       17.020264
               76.659996                       10.265208
               76.919998                       3.9276119
                   77.18                      -2.0090792
               77.440002                      -7.5698909
               77.699997                       -12.78362
               77.959999                      -17.680428
               78.220001                      -22.289933
               78.480003                      -26.639998
               78.739998                      -30.756578
                      79                      -34.663394
               79.260002                      -38.381585
               79.519997                      -41.929949
               79.779999                      -45.324881
               80.040001                      -48.580751
               80.300003                      -51.710014
               80.559998                      -54.723987
                   80.82                      -57.632664
               81.080002                      -60.445174
               81.339996                      -63.169652
               81.599998                      -65.813156
               81.860001                      -68.381797
               82.120003                      -70.880717
