        Frequency / MHz                S1,1 (49)/abs,dB
----------------------------------------------------------------------
                      40                      -4.4411979
               40.259998                      -4.5551706
                   40.52                      -4.6714031
               40.779999                      -4.7897614
               41.040001                      -4.9101243
               41.299999                        -5.03235
               41.560001                      -5.1562673
                   41.82                      -5.2816554
               42.079998                      -5.4082653
                   42.34                      -5.5358414
               42.599998                      -5.6641507
               42.860001                      -5.7929942
               43.119999                      -5.9221981
               43.380001                      -6.0515927
               43.639999                      -6.1809856
               43.900002                      -6.3101568
                   44.16                      -6.4388751
               44.419998                      -6.5669276
                   44.68                      -6.6941505
               44.939999                      -6.8204488
               45.200001                      -6.9457786
               45.459999                      -7.0701171
               45.720001                      -7.1934289
                   45.98                      -7.3156563
               46.240002                      -7.4367284
                    46.5                      -7.5566008
               46.759998                       -7.675293
                   47.02                      -7.7929039
               47.279999                      -7.9095938
               47.540001                      -8.0255452
               47.799999                      -8.1409189
               48.060001                      -8.2558344
                   48.32                      -8.3703784
               48.579998                      -8.4846567
                   48.84                       -8.598829
               49.099998                      -8.7131305
               49.360001                      -8.8278535
               49.619999                      -8.9432963
               49.880001                      -9.0597105
               50.139999                      -9.1772778
               50.400002                      -9.2961313
                   50.66                      -9.4164043
               50.919998                      -9.5382859
                   51.18                       -9.662043
               51.439999                      -9.7879986
               51.700001                      -9.9164657
               51.959999                      -10.047689
               52.220001                      -10.181817
                   52.48                      -10.318935
               52.740002                      -10.459124
                      53                      -10.602539
               53.259998                      -10.749425
                   53.52                       -10.90009
               53.779999                      -11.054815
               54.040001                      -11.213788
               54.299999                      -11.377071
               54.560001                      -11.544641
                   54.82                      -11.716478
               55.079998                      -11.892655
                   55.34                      -12.073362
               55.599998                      -12.258846
               55.860001                      -12.449306
               56.119999                      -12.644792
               56.380001                      -12.845165
               56.639999                      -13.050157
               56.900002                      -13.259489
                   57.16                      -13.472986
               57.419998                      -13.690596
                   57.68                       -13.91231
               57.939999                      -14.137991
               58.200001                      -14.367221
               58.459999                      -14.599236
               58.720001                      -14.832989
                   58.98                      -15.067318
               59.240002                      -15.301107
                    59.5                      -15.533335
               59.759998                      -15.762985
                   60.02                      -15.988823
               60.279999                      -16.209171
               60.540001                       -16.42179
               60.799999                      -16.623946
               61.060001                       -16.81264
                   61.32                      -16.984884
               61.579998                      -17.137929
                   61.84                      -17.269339
               62.099998                      -17.376946
               62.360001                      -17.458776
               62.619999                      -17.513089
               62.880001                       -17.53857
               63.139999                      -17.534676
               63.400002                      -17.501966
                   63.66                      -17.442313
               63.919998                       -17.35889
                   64.18                      -17.255964
               64.440002                      -17.138653
               64.699997                      -17.012803
               64.959999                      -16.885089
               65.220001                      -16.763316
               65.480003                      -16.656761
