        Frequency / MHz                S1,1 (71)/abs,dB
----------------------------------------------------------------------
                      40                      -5.8477288
               40.259998                      -6.0402085
                   40.52                      -6.2287197
               40.779999                      -6.4116377
               41.040001                      -6.5883296
               41.299999                      -6.7589932
               41.560001                      -6.9241426
                   41.82                       -7.084014
               42.079998                      -7.2381951
                   42.34                      -7.3856832
               42.599998                      -7.5253698
               42.860001                      -7.6567461
               43.119999                       -7.780482
               43.380001                      -7.8985694
               43.639999                      -8.0139275
               43.900002                      -8.1296199
                   44.16                      -8.2480416
               44.419998                      -8.3704672
                   44.68                      -8.4971635
               44.939999                      -8.6280416
               45.200001                      -8.7635261
               45.459999                       -8.905198
               45.720001                      -9.0558537
                   45.98                      -9.2189125
               46.240002                      -9.3974295
                    46.5                      -9.5932188
               46.759998                       -9.806501
                   47.02                      -10.036316
               47.279999                      -10.281505
               47.540001                      -10.541834
               47.799999                      -10.818651
               48.060001                      -11.114683
                   48.32                      -11.433043
               48.579998                      -11.775859
                   48.84                      -12.143218
               49.099998                       -12.53292
               49.360001                      -12.941224
               49.619999                      -13.364265
               49.880001                      -13.799423
               50.139999                       -14.24588
               50.400002                      -14.703922
                   50.66                      -15.173197
               50.919998                      -15.650697
                   51.18                       -16.12942
               51.439999                      -16.598426
               51.700001                      -17.044498
               51.959999                      -17.454909
               52.220001                      -17.820263
                   52.48                      -18.136159
               52.740002                      -18.403003
                      53                      -18.624218
               53.259998                      -18.803816
                   53.52                      -18.944573
               53.779999                      -19.047687
               54.040001                      -19.114219
               54.299999                      -19.147667
               54.560001                      -19.156195
                   54.82                      -19.152958
               55.079998                      -19.153839
                   55.34                      -19.173478
               55.599998                        -19.2214
               55.860001                      -19.300045
               56.119999                      -19.405724
               56.380001                      -19.532425
               56.639999                      -19.677012
               56.900002                      -19.843241
                   57.16                      -20.042185
               57.419998                      -20.288631
                   57.68                      -20.595289
               57.939999                      -20.967694
               58.200001                      -21.402261
               58.459999                      -21.888819
               58.720001                      -22.417377
                   58.98                       -22.98647
               59.240002                      -23.608484
                    59.5                       -24.30821
               59.759998                      -25.114813
                   60.02                      -26.050848
               60.279999                       -27.12195
               60.540001                       -28.30885
               60.799999                      -29.561547
               61.060001                      -30.793332
                   61.32                       -31.87128
               61.579998                      -32.615261
                   61.84                      -32.858095
               62.099998                      -32.581547
               62.360001                      -31.963576
               62.619999                      -31.242039
               62.880001                      -30.577337
               63.139999                      -30.024959
               63.400002                      -29.571028
                   63.66                      -29.187267
               63.919998                      -28.885543
                   64.18                      -28.746231
               64.440002                      -28.906928
               64.699997                      -29.523656
               64.959999                      -30.666915
               65.220001                       -31.84523
               65.480003                      -31.185076
               65.739998                      -28.247077
                      66                      -25.037529
               66.260002                      -22.378998
               66.519997                      -20.316207
               66.779999                      -18.764689
               67.040001                        -17.6421
               67.300003                       -16.88087
               67.559998                      -16.422741
                   67.82                      -16.212305
               68.080002                       -16.19269
               68.339996                      -16.305081
               68.599998                       -16.49359
               68.860001                      -16.714808
               69.120003                      -16.947133
               69.379997                      -17.192726
               69.639999                      -17.469406
               69.900002                      -17.797283
               70.159996                       -18.18755
               70.419998                      -18.637858
                   70.68                      -19.134891
               70.940002                       -19.66245
               71.199997                      -20.211304
               71.459999                      -20.785505
               71.720001                      -21.401247
               71.980003                      -22.079037
               72.239998                      -22.833705
                    72.5                       -23.66669
               72.760002                       -24.56248
               73.019997                      -25.488762
               73.279999                      -26.398071
               73.540001                      -27.228033
               73.800003                      -27.900487
               74.059998                      -28.328926
                   74.32                      -28.447051
               74.580002                      -28.247275
               74.839996                      -27.788772
               75.099998                      -27.161891
               75.360001                      -26.446971
               75.620003                      -25.698868
               75.879997                      -24.952546
               76.139999                      -24.232997
               76.400002                      -23.560168
               76.659996                      -22.948509
               76.919998                      -22.404633
                   77.18                      -21.926399
               77.440002                      -21.504794
               77.699997                      -21.128204
               77.959999                      -20.787328
               78.220001                      -20.478461
               78.480003                      -20.203559
               78.739998                      -19.967361
                      79                      -19.773446
               79.260002                       -19.62144
               79.519997                      -19.506695
               79.779999                      -19.422382
               80.040001                      -19.362795
               80.300003                      -19.326004
               80.559998                      -19.314352
                   80.82                      -19.332616
               81.080002                      -19.384976
               81.339996                      -19.472601
               81.599998                      -19.593104
               81.860001                       -19.74212
               82.120003                      -19.916106
               82.379997                       -20.11479
               82.639999                      -20.341832
               82.900002                      -20.603322
               83.159996                      -20.905041
               83.419998                      -21.250095
                   83.68                      -21.638276
               83.940002                      -22.067551
               84.199997                         -22.537
               84.459999                      -23.049669
               84.720001                      -23.613716
               84.980003                      -24.241246
               85.239998                      -24.945612
                    85.5                      -25.738858
               85.760002                       -26.63099
               86.019997                      -27.631848
               86.279999                      -28.755184
               86.540001                      -30.023032
               86.800003                      -31.466652
               87.059998                      -33.116695
                   87.32                      -34.961966
               87.580002                      -36.819733
               87.839996                      -38.088203
               88.099998                      -37.961794
               88.360001                      -36.589071
               88.620003                      -34.804478
               88.879997                      -33.082741
               89.139999                       -31.55126
               89.400002                      -30.217975
               89.659996                      -29.063543
               89.919998                      -28.064833
                   90.18                      -27.198753
               90.440002                      -26.442697
               90.699997                       -25.77578
               90.959999                      -25.180924
               91.220001                      -24.646503
               91.480003                      -24.166389
               91.739998                      -23.738162
                      92                      -23.360397
               92.260002                      -23.030396
               92.519997                      -22.743396
               92.779999                       -22.49341
               93.040001                      -22.275035
               93.300003                      -22.085072
               93.559998                      -21.922998
                   93.82                      -21.790036
               94.080002                      -21.687412
               94.339996                      -21.614888
               94.599998                       -21.57036
               94.860001                      -21.550711
               95.120003                      -21.553361
               95.379997                       -21.57759
               95.639999                      -21.624787
               95.900002                      -21.697513
               96.159996                       -21.79796
               96.419998                       -21.92673
                   96.68                       -22.08269
               96.940002                      -22.263975
               97.199997                      -22.469582
               97.459999                       -22.70059
               97.720001                      -22.960268
               97.980003                      -23.252996
               98.239998                      -23.582657
                    98.5                       -23.95153
               98.760002                      -24.360382
               99.019997                       -24.80986
               99.279999                      -25.302489
               99.540001                       -25.84422
               99.800003                      -26.444701
                  100.06                      -27.116234
                  100.32                      -27.872361
                  100.58                      -28.727385
                  100.84                       -29.69808
                   101.1                      -30.808251
                  101.36                      -32.096506
                  101.62                      -33.628272
                  101.88                      -35.517104
                  102.14                      -37.974307
                   102.4                      -41.464168
                  102.66                      -47.442006
                  102.92                      -74.207331
                  103.18                      -47.636991
                  103.44                      -41.617188
                   103.7                       -38.11229
                  103.96                      -35.630858
                  104.22                        -33.7102
                  104.48                      -32.149016
                  104.74                      -30.842655
                     105                      -29.728426
                  105.26                      -28.763533
                  105.52                      -27.916007
                  105.78                      -27.161538
                  106.04                      -26.482607
                   106.3                      -25.867762
                  106.56                      -25.310119
                  106.82                      -24.805187
                  107.08                      -24.348841
                  107.34                      -23.936198
                   107.6                      -23.561703
                  107.86                      -23.220095
                  108.12                      -22.907488
                  108.38                       -22.62187
                  108.64                      -22.362674
                   108.9                      -22.129727
                  109.16                      -21.922207
                  109.42                      -21.738206
                  109.68                      -21.575104
                  109.94                      -21.430457
                   110.2                      -21.302837
                  110.46                      -21.192091
                  110.72                      -21.098871
                  110.98                      -21.023748
                  111.24                      -20.966489
                   111.5                      -20.925906
                  111.76                      -20.900359
                  112.02                      -20.888594
                  112.28                      -20.890343
                  112.54                      -20.906348
                   112.8                      -20.937764
                  113.06                       -20.98535
                  113.32                       -21.04896
                  113.58                      -21.127642
                  113.84                      -21.220291
                   114.1                      -21.326438
                  114.36                      -21.446657
                  114.62                      -21.582341
                  114.88                       -21.73496
                  115.14                      -21.905314
                   115.4                      -22.093213
                  115.66                      -22.297873
                  115.92                      -22.518714
                  116.18                      -22.756133
                  116.44                      -23.011673
                   116.7                      -23.287504
                  116.96                      -23.585496
                  117.22                      -23.906497
                  117.48                      -24.250305
                  117.74                      -24.616396
                     118                      -25.004971
                  118.26                      -25.417638
                  118.52                      -25.857184
                  118.78                       -26.32649
                  119.04                      -26.827168
                   119.3                      -27.358753
                  119.56                      -27.918938
                  119.82                      -28.504628
                  120.08                      -29.112859
                  120.34                      -29.740322
                   120.6                      -30.380791
                  120.86                      -31.021012
                  121.12                      -31.636954
                  121.38                      -32.193129
                  121.64                      -32.647084
                   121.9                      -32.958555
                  122.16                      -33.099265
                  122.42                      -33.058701
                  122.68                      -32.844774
                  122.94                       -32.48139
                   123.2                       -32.00401
                  123.46                      -31.452909
                  123.72                      -30.865385
                  123.98                       -30.26987
                  124.24                      -29.684009
                   124.5                      -29.116485
                  124.76                      -28.570713
                  125.02                      -28.048343
                  125.28                       -27.55117
                  125.54                      -27.081215
                   125.8                      -26.639757
                  126.06                      -26.226446
                  126.32                      -25.839257
                  126.58                      -25.475337
                  126.84                      -25.132213
                   127.1                      -24.808596
                  127.36                      -24.504386
                  127.62                      -24.219937
                  127.88                      -23.955165
                  128.14                      -23.709069
               128.39999                      -23.479916
                  128.66                      -23.265952
                  128.92                      -23.066107
               129.17999                      -22.880265
                  129.44                       -22.70894
                   129.7                      -22.552588
               129.96001                      -22.411029
                  130.22                      -22.283327
                  130.48                      -22.168169
               130.74001                        -22.0645
                     131                      -21.971959
               131.25999                      -21.890877
                  131.52                      -21.821816
                  131.78                      -21.765018
               132.03999                      -21.720071
                   132.3                      -21.686044
                  132.56                      -21.661966
               132.81999                      -21.647339
                  133.08                      -21.642333
                  133.34                      -21.647558
               133.60001                      -21.663542
                  133.86                      -21.690305
                  134.12                      -21.727257
                  134.38                      -21.773543
                  134.64                      -21.828548
               134.89999                      -21.892276
                  135.16                      -21.965301
                  135.42                      -22.048355
               135.67999                      -22.141809
                  135.94                      -22.245396
                   136.2                      -22.358376
               136.46001                      -22.480017
                  136.72                      -22.610096
                  136.98                      -22.749055
               137.24001                      -22.897705
                   137.5                      -23.056668
               137.75999                       -23.22592
                  138.02                      -23.404768
                  138.28                      -23.592256
               138.53999                      -23.787776
                   138.8                      -23.991416
                  139.06                      -24.203811
               139.31999                      -24.425559
                  139.58                      -24.656574
                  139.84                      -24.895832
               140.10001                      -25.141683
                  140.36                      -25.392543
                  140.62                      -25.647461
                  140.88                      -25.906118
                  141.14                      -26.168185
               141.39999                      -26.432448
                  141.66                      -26.696297
                  141.92                      -26.955971
               142.17999                      -27.207436
                  142.44                      -27.447266
                   142.7                      -27.672846
               142.96001                      -27.881716
                  143.22                      -28.070552
                  143.48                      -28.234675
               143.74001                       -28.36867
                     144                      -28.467838
               144.25999                      -28.529532
                  144.52                      -28.553405
                  144.78                       -28.54048
               145.03999                      -28.491891
                   145.3                      -28.408375
                  145.56                      -28.290872
               145.81999                      -28.141636
                  146.08                      -27.964784
                  146.34                      -27.765738
               146.60001                      -27.549899
                  146.86                      -27.321499
                  147.12                      -27.083344
                  147.38                      -26.837465
                  147.64                      -26.586063
               147.89999                      -26.331986
                  148.16                       -26.07846
                  148.42                       -25.82831
               148.67999                      -25.583317
                  148.94                      -25.344126
                   149.2                      -25.110766
               149.46001                      -24.883368
                  149.72                      -24.662621
                  149.98                      -24.449661
               150.24001                      -24.245556
                   150.5                      -24.050774
               150.75999                      -23.865013
                  151.02                      -23.687509
                  151.28                      -23.517585
               151.53999                      -23.355086
                   151.8                      -23.200396
                  152.06                      -23.054065
               152.31999                      -22.916313
                  152.58                      -22.786762
                  152.84                      -22.664592
               153.10001                      -22.548996
                  153.36                      -22.439646
                  153.62                      -22.336838
                  153.88                      -22.241232
                  154.14                      -22.153353
               154.39999                      -22.073183
                  154.66                      -22.000109
                  154.92                       -21.93325
               155.17999                      -21.871949
                  155.44                      -21.816114
                   155.7                      -21.766184
               155.96001                      -21.722761
