        Time / ns                i1 (Mesh Pass=5)/real
----------------------------------------------------------------------
                       0                  -1.1010002e-08
             0.024574418                   1.3833475e-06
             0.049148835                   1.4507227e-06
             0.073723249                   1.5201489e-06
              0.09829767                   1.5916479e-06
              0.12287208                   1.6651547e-06
               0.1474465                   1.7407226e-06
              0.17202093                   1.8182799e-06
              0.19659534                   1.8977473e-06
              0.22116975                    1.979135e-06
              0.24574417                   2.0622756e-06
               0.2703186                   2.1471462e-06
                0.294893                   2.2336503e-06
              0.31946743                   2.3216571e-06
              0.34404185                   2.4110373e-06
              0.36861625                   2.5016773e-06
              0.39319068                   2.5933896e-06
              0.41776511                   2.6860157e-06
              0.44233951                   2.7793594e-06
              0.46691394                    2.873184e-06
              0.49148834                   2.9672485e-06
              0.51606274                   3.0613369e-06
               0.5406372                   3.1551224e-06
              0.56521159                   3.2483017e-06
              0.58978599                   3.3405588e-06
              0.61436045                   3.4314926e-06
              0.63893485                    3.520722e-06
              0.66350925                   3.6078284e-06
              0.68808371                   3.6923461e-06
              0.71265811                   3.7737955e-06
              0.73723251                   3.8516459e-06
              0.76180696                   3.9252891e-06
              0.78638136                   3.9941706e-06
              0.81095576                   4.0576124e-06
              0.83553022                   4.1149365e-06
              0.86010462                   4.1654152e-06
              0.88467902                   4.2082465e-06
              0.90925348                   4.2426045e-06
              0.93382788                    4.267637e-06
              0.95840228                   4.2823831e-06
              0.98297668                   4.2858646e-06
               1.0075512                   4.2770434e-06
               1.0321255                   4.2548209e-06
                  1.0567                   4.2180318e-06
               1.0812744                   4.1654653e-06
               1.1058488                    4.095828e-06
               1.1304232                   4.0077753e-06
               1.1549977                   3.8998865e-06
                1.179572                   3.7706789e-06
               1.2041465                   3.6185891e-06
               1.2287209                   3.4419963e-06
               1.2532953                   3.2391779e-06
               1.2778697                     3.00837e-06
               1.3024441                   2.7477022e-06
               1.3270185                   2.4552271e-06
               1.3515929                   2.1289409e-06
               1.3761674                   1.7667387e-06
               1.4007417                   1.3664104e-06
               1.4253162                   9.2570269e-07
               1.4498906                   4.4225268e-07
                1.474465                  -8.6384318e-08
               1.4990394                  -6.6274157e-07
               1.5236139                  -1.2894561e-06
               1.5481882                  -1.9692177e-06
               1.5727627                  -2.7048454e-06
               1.5973371                  -3.4992283e-06
               1.6219115                  -4.3553314e-06
               1.6464859                  -5.2762407e-06
               1.6710604                  -6.2651043e-06
               1.6956347                  -7.3251581e-06
               1.7202092                  -8.4597477e-06
               1.7447836                  -9.6722715e-06
                1.769358                   -1.096624e-05
               1.7939324                  -1.2345226e-05
                1.818507                  -1.3812877e-05
               1.8430812                   -1.537292e-05
               1.8676558                  -1.7029159e-05
               1.8922302                  -1.8785457e-05
               1.9168046                  -2.0645753e-05
               1.9413791                  -2.2614035e-05
