        Time / ns                i1 (73)/real
----------------------------------------------------------------------
                       0                  -5.7607394e-09
             0.053572394                    1.463112e-06
              0.10714479                   1.6178903e-06
              0.16071717                   1.7823847e-06
              0.21428958                    1.956178e-06
              0.26786196                   2.1385993e-06
              0.32143435                   2.3287751e-06
              0.37500674                   2.5254467e-06
              0.42857915                   2.7270294e-06
              0.48215154                   2.9315208e-06
              0.53572392                   3.1364261e-06
              0.58929634                   3.3387348e-06
               0.6428687                   3.5348376e-06
              0.69644105                    3.720442e-06
              0.75001347                   3.8905196e-06
              0.80358589                   4.0392142e-06
               0.8571583                   4.1597586e-06
              0.91073066                   4.2444012e-06
              0.96430308                   4.2842908e-06
               1.0178754                   4.2694091e-06
               1.0714478                   4.1884605e-06
               1.1250201                     4.02878e-06
               1.1785927                   3.7762429e-06
                1.232165                   3.4151665e-06
               1.2857374                   2.9282216e-06
               1.3393098                   2.2963491e-06
               1.3928821                   1.4986754e-06
               1.4464546                   5.1244723e-07
               1.5000269                  -6.8702042e-07
               1.5535994                  -2.1264041e-06
               1.6071718                   -3.834381e-06
               1.6607442                  -5.8416463e-06
               1.7143166                  -8.1808848e-06
               1.7678889                  -1.0886732e-05
               1.8214613                  -1.3995694e-05
               1.8750337                  -1.7546021e-05
               1.9286062                  -2.1577567e-05
               1.9821784                  -2.6131562e-05
               2.0357509                  -3.1250373e-05
               2.0893233                  -3.6977173e-05
               2.1428957                  -4.3355583e-05
               2.1964681                  -5.0429197e-05
               2.2500403                  -5.8241076e-05
               2.3036129                  -6.6833141e-05
               2.3571854                  -7.6245473e-05
               2.4107575                  -8.6515538e-05
                 2.46433                  -9.7677286e-05
               2.5179024                   -0.0001097602
               2.5714748                  -0.00012278814
               2.6250472                  -0.00013677821
               2.6786196                  -0.00015173935
                2.732192                  -0.00016767095
               2.7857642                  -0.00018456127
               2.8393369                  -0.00020238571
               2.8929093                  -0.00022110506
               2.9464815                  -0.00024066353
               3.0000539                  -0.00026098674
               3.0536265                  -0.00028197945
               3.1071987                   -0.0003035235
               3.1607711                  -0.00032547524
               3.2143435                  -0.00034766321
                3.267916                   -0.0003698857
               3.3214884                  -0.00039190799
               3.3750606                  -0.00041346002
               3.4286332                  -0.00043423352
               3.4822054                  -0.00045387979
               3.5357778                  -0.00047200688
               3.5893505                  -0.00048817732
               3.6429226                   -0.0005019058
               3.6964951                  -0.00051265705
               3.7500675                  -0.00051984389
               3.8036397                  -0.00052282552
               3.8572123                  -0.00052090618
               3.9107845                  -0.00051333441
               3.9643569                    -0.000499302
               4.0179296                  -0.00047794441
               4.0715017                  -0.00044834096
               4.1250739                  -0.00040951598
               4.1786466                  -0.00036044072
               4.2322192                  -0.00030003578
               4.2857914                   -0.0002271745
               4.3393641                  -0.00014068736
               4.3929362                  -3.9367122e-05
               4.4465084                   7.8024765e-05
               4.5000806                   0.00021275081
               4.5536532                   0.00036608879
               4.6072259                   0.00053932203
               4.6607981                   0.00073372811
               4.7143707                   0.00095056655
               4.7679429                    0.0011910648
               4.8215151                    0.0014564033
               4.8750877                    0.0017476981
               4.9286599                    0.0020659834
               4.9822326                    0.0024121918
               5.0358047                    0.0027871332
               5.0893774                    0.0031914723
               5.1429496                    0.0036257054
               5.1965218                     0.004090135
               5.2500944                    0.0045848438
               5.3036671                    0.0051096678
               5.3572392                    0.0056641679
               5.4108119                    0.0062476019
               5.4643841                    0.0068588946
               5.5179563                    0.0074966075
               5.5715284                    0.0081589101
               5.6251011                    0.0088435505
               5.6786737                     0.009547825
               5.7322459                      0.01026855
               5.7858186                     0.011002038
               5.8393908                     0.011744064
               5.8929629                     0.012489852
               5.9465356                     0.013234042
               6.0001078                     0.013970681
               6.0536804                     0.014693202
               6.1072531                     0.015394409
               6.1608253                     0.016066477
               6.2143974                      0.01670094
               6.2679696                     0.017288698
               6.3215423                     0.017820016
               6.3751144                     0.018284544
               6.4286871                     0.018671338
               6.4822598                     0.018968871
               6.5358319                     0.019165086
               6.5894041                      0.01924742
               6.6429768                      0.01920286
               6.6965489                     0.019017998
               6.7501211                     0.018679097
               6.8036938                     0.018172165
               6.8572664                     0.017483035
               6.9108386                     0.016597459
               6.9644108                     0.015501207
               7.0179834                     0.014180178
               7.0715556                     0.012620515
               7.1251283                     0.010808735
               7.1787009                    0.0087318607
               7.2322731                    0.0063775601
               7.2858453                    0.0037342992
               7.3394175                    0.0007914959
               7.3929901                   -0.0024603219
               7.4465623                   -0.0060293488
               7.5001349                   -0.0099223359
               7.5537071                    -0.014144417
               7.6072793                    -0.018698938
               7.6608524                    -0.023587286
               7.7144246                     -0.02880872
               7.7679968                      -0.0343602
                7.821569                     -0.04023622
               7.8751416                    -0.046428669
               7.9287138                    -0.052926671
               7.9822869                    -0.059716437
               8.0358591                    -0.066781163
               8.0894318                    -0.074100897
               8.1430035                    -0.081652462
               8.1965761                    -0.089409351
               8.2501478                    -0.097341694
               8.3037205                      -0.1054162
               8.3572931                     -0.11359615
               8.4108658                      -0.1218414
               8.4644384                     -0.13010843
               8.5180101                      -0.1383504
               8.5715828                     -0.14651722
               8.6251545                     -0.15455571
               8.6787281                     -0.16240974
               8.7322998                     -0.17002037
               8.7858725                     -0.17732617
               8.8394451                     -0.18426335
               8.8930168                     -0.19076611
               8.9465895                     -0.19676696
               9.0001612                     -0.20219703
