        Time / ns                i1 (8)/real
----------------------------------------------------------------------
                       0                  -6.3517973e-09
             0.027085321                   1.3902163e-06
             0.054170642                   1.4647846e-06
             0.081255957                   1.5418551e-06
              0.10834128                   1.6214526e-06
               0.1354266                   1.7035417e-06
              0.16251191                   1.7880558e-06
              0.18959723                   1.8749465e-06
              0.21668257                   1.9641332e-06
              0.24376787                   2.0555326e-06
              0.27085319                   2.1490243e-06
               0.2979385                   2.2444833e-06
              0.32502383                    2.341759e-06
              0.35210913                   2.4406809e-06
              0.37919447                   2.5410477e-06
               0.4062798                   2.6426424e-06
              0.43336514                   2.7452143e-06
              0.46045044                   2.8484831e-06
              0.48753574                   2.9521375e-06
              0.51462108                   3.0558422e-06
              0.54170638                   3.1592076e-06
              0.56879175                   3.2618234e-06
              0.59587699                   3.3632416e-06
              0.62296236                   3.4629509e-06
              0.65004766                   3.5604228e-06
              0.67713302                   3.6550573e-06
              0.70421827                   3.7462221e-06
              0.73130363                   3.8332319e-06
              0.75838894                   3.9153383e-06
               0.7854743                   3.9917327e-06
               0.8125596                   4.0615641e-06
              0.83964491                   4.1239023e-06
              0.86673027                   4.1777571e-06
              0.89381558                   4.2220668e-06
              0.92090088                   4.2557022e-06
              0.94798625                   4.2774559e-06
              0.97507149                   4.2860433e-06
               1.0021569                   4.2800934e-06
               1.0292422                   4.2581628e-06
               1.0563275                   4.2187062e-06
               1.0834128                   4.1601006e-06
               1.1104982                   4.0806212e-06
               1.1375835                   3.9784472e-06
               1.1646688                   3.8516555e-06
                1.191754                   3.6982317e-06
               1.2188394                   3.5160413e-06
               1.2459247                   3.3028423e-06
                 1.27301                   3.0562931e-06
               1.3000953                   2.7739268e-06
               1.3271807                   2.4531555e-06
                1.354266                   2.0912842e-06
               1.3813512                   1.6854858e-06
               1.4084365                   1.2328184e-06
                1.435522                   7.3020112e-07
               1.4626073                   1.7443561e-07
               1.4896926                  -4.3780798e-07
               1.5167779                  -1.1099876e-06
               1.5438633                  -1.8456988e-06
               1.5709486                  -2.6486653e-06
               1.5980338                  -3.5227381e-06
               1.6251192                  -4.4719095e-06
               1.6522045                  -5.5002947e-06
               1.6792898                  -6.6121388e-06
               1.7063751                  -7.8118183e-06
               1.7334605                  -9.1038373e-06
               1.7605458                  -1.0492817e-05
               1.7876312                  -1.1983506e-05
               1.8147163                  -1.3580761e-05
               1.8418018                  -1.5289557e-05
               1.8688871                  -1.7114973e-05
               1.8959725                  -1.9062179e-05
               1.9230577                  -2.1136455e-05
                1.950143                  -2.3343153e-05
               1.9772284                  -2.5687699e-05
               2.0043137                  -2.8175602e-05
                2.031399                  -3.0812407e-05
               2.0584843                  -3.3603712e-05
               2.0855696                   -3.655515e-05
               2.1126549                  -3.9672363e-05
               2.1397402                  -4.2961001e-05
               2.1668255                  -4.6426703e-05
               2.1939108                  -5.0075058e-05
               2.2209964                  -5.3911623e-05
               2.2480814                  -5.7941877e-05
                2.275167                  -6.2171195e-05
               2.3022521                  -6.6604858e-05
               2.3293376                  -7.1247974e-05
               2.3564229                  -7.6105513e-05
                2.383508                  -8.1182217e-05
               2.4105935                  -8.6482636e-05
               2.4376788                  -9.2011018e-05
               2.4647641                  -9.7771364e-05
               2.4918494                  -0.00010376731
               2.5189347                  -0.00011000215
                 2.54602                  -0.00011647877
               2.5731053                   -0.0001231996
               2.6001906                  -0.00013016658
               2.6272759                  -0.00013738115
               2.6543615                  -0.00014484415
               2.6814466                  -0.00015255576
               2.7085321                  -0.00016051553
               2.7356174                  -0.00016872225
               2.7627025                  -0.00017717396
                2.789788                  -0.00018586779
               2.8168731                  -0.00019480001
               2.8439586                  -0.00020396592
               2.8710439                   -0.0002133598
               2.8981292                  -0.00022297482
               2.9252145                  -0.00023280298
               2.9523001                   -0.0002428351
               2.9793851                  -0.00025306066
               3.0064704                  -0.00026346772
               3.0335557                  -0.00027404304
               3.0606411                   -0.0002847717
               3.0877266                  -0.00029563729
               3.1148117                  -0.00030662163
               3.1418972                  -0.00031770486
               3.1689825                  -0.00032886525
               3.1960676                   -0.0003400791
               3.2231531                  -0.00035132081
               3.2502384                   -0.0003625626
               3.2773237                   -0.0003737745
                3.304409                  -0.00038492438
               3.3314943                  -0.00039597764
               3.3585796                  -0.00040689736
               3.3856652                  -0.00041764404
               3.4127502                  -0.00042817558
               3.4398355                   -0.0004384472
               3.4669211                  -0.00044841133
               3.4940062                  -0.00045801763
               3.5210917                   -0.0004672127
               3.5481768                  -0.00047594021
               3.5752623                  -0.00048414076
               3.6023476                  -0.00049175177
               3.6294327                  -0.00049870729
               3.6565182                  -0.00050493836
               3.6836035                   -0.0005103724
               3.7106888                  -0.00051493349
               3.7377741                  -0.00051854231
               3.7648594                   -0.0005211159
                3.791945                  -0.00052256772
                 3.81903                  -0.00052280776
               3.8461154                  -0.00052174221
               3.8732009                  -0.00051927369
                3.900286                  -0.00051530107
               3.9273713                  -0.00050971954
               3.9544568                  -0.00050242059
               3.9815421                  -0.00049329206
               4.0086274                  -0.00048221802
               4.0357127                  -0.00046907898
                4.062798                   -0.0004537518
               4.0898833                  -0.00043610978
               4.1169686                  -0.00041602273
               4.1440539                  -0.00039335698
               4.1711392                  -0.00036797556
               4.1982245                  -0.00033973833
               4.2253098                  -0.00030850185
               4.2523952                  -0.00027411987
               4.2794805                  -0.00023644313
               4.3065658                  -0.00019531978
               4.3336511                  -0.00015059543
               4.3607368                  -0.00010211334
               4.3878217                  -4.9714705e-05
                4.414907                   6.7611563e-06
               4.4419928                   6.7476569e-05
               4.4690776                   0.00013259519
               4.4961629                   0.00020228176
               4.5232487                   0.00027670176
                4.550334                   0.00035602105
               4.5774188                   0.00044040562
               4.6045041                   0.00053002109
               4.6315899                   0.00062503247
               4.6586752                   0.00072560349
                 4.68576                   0.00083189644
               4.7128458                   0.00094407145
               4.7399311                    0.0010622862
               4.7670159                    0.0011866954
               4.7941017                      0.00131745
                4.821187                    0.0014546969
               4.8482723                    0.0015985782
               4.8753576                    0.0017492307
               4.9024429                    0.0019067853
               4.9295282                    0.0020713662
               4.9566135                    0.0022430902
               4.9836988                    0.0024220659
               5.0107841                     0.002608394
               5.0378695                    0.0028021645
               5.0649548                     0.003003458
               5.0920401                    0.0032123437
               5.1191254                    0.0034288787
               5.1462107                    0.0036531081
                5.173296                    0.0038850624
               5.2003813                    0.0041247583
               5.2274671                    0.0043721972
               5.2545519                    0.0046273642
               5.2816372                    0.0048902268
                5.308723                     0.005160735
               5.3358078                    0.0054388191
               5.3628931                      0.00572439
               5.3899789                    0.0060173371
               5.4170642                    0.0063175284
                5.444149                    0.0066248085
               5.4712348                    0.0069389986
               5.4983201                    0.0072598942
               5.5254049                    0.0075872652
               5.5524902                    0.0079208547
                5.579576                    0.0082603795
               5.6066613                    0.0086055249
               5.6337461                    0.0089559471
               5.6608319                    0.0093112737
               5.6879172                    0.0096710976
               5.7150025                     0.010034982
               5.7420878                     0.010402455
               5.7691731                     0.010773011
               5.7962584                     0.011146108
               5.8233438                      0.01152117
               5.8504291                     0.011897583
               5.8775144                     0.012274698
               5.9046001                     0.012651824
                5.931685                     0.013028234
               5.9587703                      0.01340316
               5.9858556                     0.013775798
               6.0129409                     0.014145298
               6.0400262                     0.014510773
               6.0671115                     0.014871295
               6.0941973                     0.015225892
               6.1212821                     0.015573554
               6.1483674                     0.015913226
               6.1754532                     0.016243814
                6.202538                     0.016564181
               6.2296233                     0.016873147
               6.2567091                     0.017169494
               6.2837944                     0.017451961
               6.3108792                     0.017719245
                6.337965                     0.017970005
               6.3650503                     0.018202862
               6.3921351                     0.018416394
               6.4192209                     0.018609144
               6.4463062                     0.018779617
               6.4733915                     0.018926283
               6.5004768                     0.019047581
               6.5275621                     0.019141907
               6.5546474                     0.019207634
               6.5817323                     0.019243104
               6.6088181                     0.019246627
               6.6359034                     0.019216487
               6.6629887                      0.01915095
                6.690074                     0.019048249
               6.7171593                     0.018906608
               6.7442446                     0.018724227
               6.7713304                     0.018499291
               6.7984152                     0.018229978
               6.8255005                      0.01791445
               6.8525863                     0.017550871
               6.8796711                     0.017137393
               6.9067564                     0.016672179
               6.9338422                     0.016153386
               6.9609275                     0.015579185
               6.9880123                     0.014947758
               7.0150976                     0.014257299
               7.0421834                     0.013506025
               7.0692682                     0.012692176
               7.0963535                     0.011814018
               7.1234393                     0.010869852
               7.1505246                    0.0098580169
               7.1776094                    0.0087768901
               7.2046952                       0.0076249
               7.2317805                    0.0064005232
               7.2588654                     0.005102295
               7.2859511                    0.0037288121
               7.3130364                    0.0022787394
               7.3401217                   0.00075081299
               7.3672071                  -0.00085615186
               7.3942924                   -0.0025432571
               7.4213777                    -0.004311515
                7.448463                   -0.0061618439
               7.4755483                   -0.0080950605
               7.5026331                    -0.010111878
               7.5297189                    -0.012212896
               7.5568042                    -0.014398596
                 7.58389                    -0.016669339
               7.6109748                    -0.019025356
               7.6380601                    -0.021466741
               7.6651459                    -0.023993455
               7.6922307                    -0.026605304
                7.719316                    -0.029301954
               7.7464018                    -0.032082904
               7.7734866                      -0.0349475
               7.8005719                    -0.037894912
               7.8276577                    -0.040924147
               7.8547425                     -0.04403403
               7.8818278                    -0.047223207
               7.9089136                    -0.050490133
               7.9359984                    -0.053833079
               7.9630842                    -0.057250112
               7.9901695                    -0.060739111
               8.0172548                    -0.064297743
               8.0443401                    -0.067923471
               8.0714254                    -0.071613558
               8.0985107                    -0.075365044
                8.125596                     -0.07917475
               8.1526814                    -0.083039284
               8.1797667                    -0.086955048
                8.206852                    -0.090918198
               8.2339373                    -0.094924688
               8.2610226                    -0.098970234
               8.2881079                     -0.10305034
               8.3151932                     -0.10716029
               8.3422785                     -0.11129512
               8.3693638                     -0.11544965
               8.3964491                     -0.11961851
               8.4235344                     -0.12379605
               8.4506197                     -0.12797646
                8.477705                     -0.13215369
               8.5047903                     -0.13632147
               8.5318756                     -0.14047332
               8.5589609                     -0.14460257
               8.5860462                     -0.14870234
               8.6131315                     -0.15276556
               8.6402178                     -0.15678494
               8.6673021                     -0.16075304
               8.6943874                     -0.16466226
               8.7214737                     -0.16850476
                8.748558                     -0.17227261
               8.7756433                     -0.17595768
               8.8027296                     -0.17955172
                8.829814                     -0.18304631
               8.8568993                     -0.18643296
               8.8839855                     -0.18970302
               8.9110699                     -0.19284773
               8.9381552                     -0.19585827
               8.9652414                     -0.19872572
               8.9923258                     -0.20144108
                9.019412                     -0.20399533
               9.0464973                     -0.20637938
               9.0735817                     -0.20858411
                9.100668                     -0.21060041
               9.1277523                     -0.21241914
               9.1548376                      -0.2140312
               9.1819239                     -0.21542752
               9.2090082                     -0.21659906
               9.2360935                     -0.21753687
               9.2631798                     -0.21823207
               9.2902641                     -0.21867588
               9.3173504                     -0.21885963
               9.3444357                      -0.2187748
                 9.37152                     -0.21841301
               9.3986063                     -0.21776606
               9.4256916                     -0.21682593
                9.452776                      -0.2155848
               9.4798622                     -0.21403511
               9.5069475                     -0.21216951
               9.5340319                     -0.20998092
               9.5611181                     -0.20746256
               9.5882034                     -0.20460793
               9.6152878                     -0.20141089
                9.642374                     -0.19786556
               9.6694593                     -0.19396651
               9.6965446                     -0.18970862
                 9.72363                      -0.1850872
               9.7507153                     -0.18009794
               9.7778006                     -0.17473701
               9.8048859                     -0.16900095
               9.8319712                     -0.16288684
               9.8590565                      -0.1563922
               9.8861418                     -0.14951506
               9.9132271                     -0.14225395
               9.9403124                     -0.13460793
               9.9673977                     -0.12657659
                9.994483                      -0.1181601
               10.021568                     -0.10935918
               10.048654                     -0.10017513
               10.075739                    -0.090609863
               10.102824                    -0.080665857
                10.12991                    -0.070346229
               10.156995                    -0.059654698
                10.18408                    -0.048595633
               10.211165                    -0.037174027
               10.238251                    -0.025395524
               10.265336                    -0.013266404
               10.292421                  -0.00079361006
               10.319507                     0.012015264
               10.346592                     0.025151964
               10.373678                     0.038607582
               10.400763                     0.052372541
               10.427848                     0.066436619
               10.454934                      0.08078894
               10.482018                     0.095417954
               10.509104                       0.1103115
                10.53619                      0.12545675
               10.563274                      0.14084026
                10.59036                      0.15644795
               10.617446                      0.17226511
                10.64453                       0.1882765
               10.671616                      0.20446621
               10.698702                      0.22081777
               10.725786                      0.23731418
               10.752872                      0.25393787
               10.779958                      0.27067077
               10.807042                      0.28749427
               10.834128                      0.30438927
               10.861214                      0.32133621
               10.888298                      0.33831513
               10.915384                      0.35530558
                10.94247                      0.37228677
               10.969554                      0.38923746
                10.99664                      0.40613621
               11.023726                      0.42296109
                11.05081                      0.43968999
               11.077896                      0.45630056
                11.10498                      0.47277015
               11.132067                      0.48907599
               11.159152                      0.50519508
               11.186236                      0.52110434
               11.213323                      0.53678054
               11.240408                       0.5522005
               11.267492                      0.56734091
               11.294579                      0.58217859
               11.321664                      0.59669024
               11.348748                      0.61085272
               11.375834                      0.62464321
                11.40292                      0.63803869
               11.430005                      0.65101659
                11.45709                      0.66355461
               11.484176                      0.67563051
               11.511261                       0.6872226
               11.538346                      0.69830942
               11.565432                      0.70886981
               11.592517                      0.71888328
               11.619602                      0.72832966
               11.646688                      0.73718929
               11.673773                      0.74544305
               11.700858                      0.75307244
               11.727943                       0.7600596
               11.755029                      0.76638716
               11.782114                       0.7720387
                 11.8092                      0.77699834
               11.836285                      0.78125095
                11.86337                      0.78478229
               11.890456                      0.78757882
               11.917541                      0.78962797
               11.944626                      0.79091793
               11.971711                      0.79143786
               11.998796                      0.79117793
               12.025882                      0.79012913
               12.052967                      0.78828341
               12.080052                      0.78563392
               12.107138                      0.78217471
               12.134223                      0.77790082
               12.161308                      0.77280843
               12.188395                      0.76689482
               12.215479                       0.7601583
               12.242564                      0.75259835
                12.26965                      0.74421555
               12.296735                      0.73501164
                12.32382                       0.7249893
               12.350906                      0.71415269
               12.377991                      0.70250678
               12.405076                      0.69005799
               12.432162                       0.6768136
               12.459247                      0.66278225
               12.486333                       0.6479736
               12.513418                      0.63239855
               12.540503                      0.61606896
               12.567589                      0.59899801
               12.594674                      0.58119982
               12.621758                      0.56268972
               12.648845                      0.54348397
                12.67593                       0.5236001
               12.703014                      0.50305647
               12.730101                       0.4818725
               12.757186                      0.46006873
                12.78427                      0.43766654
               12.811357                      0.41468829
               12.838442                      0.39115724
               12.865527                      0.36709753
               12.892612                      0.34253418
               12.919698                      0.31749296
               12.946783                       0.2920005
               12.973868                       0.2660841
               13.000954                       0.2397718
               13.028039                      0.21309228
               13.055124                      0.18607487
               13.082209                      0.15874948
               13.109295                      0.13114651
                13.13638                      0.10329692
               13.163465                     0.075232066
               13.190551                      0.04698373
               13.217636                     0.018584035
               13.244721                   -0.0099345818
               13.271807                    -0.038539432
               13.298892                    -0.067197613
               13.325977                    -0.095876068
               13.353063                     -0.12454164
               13.380148                     -0.15316109
               13.407233                      -0.1817012
               13.434319                     -0.21012878
               13.461404                     -0.23841074
               13.488489                     -0.26651412
               13.515574                     -0.29440618
               13.542661                     -0.32205439
               13.569745                     -0.34942654
                13.59683                     -0.37649077
               13.623917                     -0.40321562
               13.651001                     -0.42956999
               13.678086                      -0.4555234
               13.705173                     -0.48104581
               13.732257                     -0.50610775
               13.759342                     -0.53068048
               13.786428                     -0.55473584
               13.813513                     -0.57824636
               13.840598                     -0.60118544
               13.867684                     -0.62352711
               13.894769                     -0.64524639
               13.921855                     -0.66631907
               13.948939                     -0.68672186
               13.976025                     -0.70643246
               14.003111                     -0.72542948
               14.030195                     -0.74369252
               14.057281                     -0.76120234
               14.084367                     -0.77794057
               14.111451                        -0.79389
               14.138536                     -0.80903465
               14.165623                     -0.82335949
               14.192707                     -0.83685064
               14.219792                     -0.84949559
               14.246879                     -0.86128277
               14.273963                     -0.87220192
               14.301049                     -0.88224399
               14.328135                     -0.89140117
