        Time / ns                i1 (41)/real
----------------------------------------------------------------------
                       0                  -6.3522521e-09
             0.025493838                   1.3859067e-06
             0.050987676                   1.4558882e-06
             0.076481514                   1.5280792e-06
              0.10197535                   1.6025324e-06
              0.12746918                   1.6791766e-06
              0.15296303                   1.7579863e-06
              0.17845687                   1.8389329e-06
               0.2039507                   1.9219381e-06
              0.22944455                   2.0069388e-06
              0.25493836                   2.0938417e-06
              0.28043222                   2.1825645e-06
              0.30592605                    2.272991e-06
              0.33141989                   2.3649739e-06
              0.35691375                    2.458386e-06
              0.38240758                    2.553043e-06
              0.40790141                   2.6487564e-06
              0.43339527                   2.7453286e-06
               0.4588891                   2.8425163e-06
              0.48438293                   2.9400649e-06
              0.50987673                   3.0376902e-06
              0.53537065                   3.1350805e-06
              0.56086445                   3.2318958e-06
              0.58635831                   3.3277615e-06
              0.61185211                   3.4222892e-06
              0.63734597                   3.5150283e-06
              0.66283977                    3.605506e-06
              0.68833369                   3.6932138e-06
              0.71382749                   3.7776047e-06
              0.73932135                   3.8580829e-06
              0.76481515                    3.934008e-06
              0.79030901                   4.0047012e-06
              0.81580281                   4.0694408e-06
              0.84129667                   4.1274384e-06
              0.86679053                   4.1778671e-06
              0.89228433                   4.2198367e-06
              0.91777819                   4.2524075e-06
              0.94327199                   4.2745792e-06
              0.96876585                   4.2852876e-06
              0.99425966                   4.2834117e-06
               1.0197535                    4.267757e-06
               1.0452473                   4.2370675e-06
               1.0707413                   4.1900103e-06
               1.0962352                   4.1251869e-06
               1.1217289                   4.0411182e-06
               1.1472228                   3.9362476e-06
               1.1727166                   3.8089468e-06
               1.1982105                   3.6574975e-06
               1.2237042                   3.4800992e-06
               1.2491981                   3.2748674e-06
               1.2746919                   3.0398273e-06
               1.3001857                   2.7729207e-06
               1.3256795                   2.4719839e-06
               1.3511734                   2.1347696e-06
               1.3766674                   1.7589354e-06
               1.4021611                   1.3420312e-06
                1.427655                   8.8151938e-07
               1.4531488                   3.7476121e-07
               1.4786427                  -1.8099095e-07
               1.5041364                  -7.8857829e-07
               1.5296303                  -1.4509479e-06
               1.5551242                  -2.1711526e-06
                1.580618                  -2.9523464e-06
               1.6061118                  -3.7977798e-06
               1.6316056                  -4.7108197e-06
               1.6570995                  -5.6949289e-06
               1.6825933                  -6.7536675e-06
               1.7080872                  -7.8907051e-06
               1.7335811                  -9.1098009e-06
               1.7590749                  -1.0414817e-05
               1.7845687                  -1.1809709e-05
               1.8100625                  -1.3298518e-05
               1.8355564                  -1.4885382e-05
               1.8610502                  -1.6574517e-05
                1.886544                  -1.8370216e-05
               1.9120378                  -2.0276852e-05
               1.9375317                  -2.2298867e-05
               1.9630256                   -2.444076e-05
               1.9885193                  -2.6707094e-05
               2.0140133                   -2.910247e-05
               2.0395069                  -3.1631538e-05
               2.0650008                  -3.4298977e-05
               2.0904946                  -3.7109479e-05
               2.1159887                  -4.0067764e-05
               2.1414826                  -4.3178534e-05
               2.1669765                  -4.6446487e-05
               2.1924703                  -4.9876297e-05
               2.2179639                   -5.347258e-05
               2.2434578                  -5.7239922e-05
               2.2689517                  -6.1182829e-05
               2.2944455                    -6.53057e-05
               2.3199394                  -6.9612841e-05
               2.3454332                  -7.4108444e-05
               2.3709271                  -7.8796533e-05
                2.396421                   -8.368097e-05
               2.4219146                  -8.8765439e-05
               2.4474084                  -9.4053386e-05
               2.4729023                   -9.954803e-05
               2.4983962                  -0.00010525231
                 2.52389                  -0.00011116891
               2.5493839                  -0.00011730011
               2.5748777                  -0.00012364793
               2.6003714                  -0.00013021393
               2.6258652                  -0.00013699928
               2.6513591                  -0.00014400469
               2.6768529                  -0.00015123039
               2.7023468                  -0.00015867606
               2.7278409                  -0.00016634082
               2.7533348                   -0.0001742232
               2.7788284                  -0.00018232106
               2.8043222                  -0.00019063156
               2.8298161                  -0.00019915115
                 2.85531                  -0.00020787548
               2.8808038                  -0.00021679937
               2.9062977                  -0.00022591674
               2.9317915                  -0.00023522064
               2.9572854                  -0.00024470306
                2.982779                  -0.00025435502
               3.0082729                  -0.00026416642
               3.0337667                  -0.00027412604
               3.0592606                  -0.00028422143
               3.0847545                  -0.00029443888
               3.1102483                  -0.00030476344
               3.1357422                  -0.00031517868
                3.161236                  -0.00032566683
               3.1867297                  -0.00033620853
               3.2122235                  -0.00034678297
               3.2377174                  -0.00035736765
               3.2632113                  -0.00036793837
               3.2887051                  -0.00037846927
                3.314199                  -0.00038893262
               3.3396931                  -0.00039929882
               3.3651867                  -0.00040953638
               3.3906806                  -0.00041961178
               3.4161744                  -0.00042948942
               3.4416683                  -0.00043913163
               3.4671621                  -0.00044849853
                3.492656                  -0.00045754798
               3.5181499                  -0.00046623559
               3.5436437                  -0.00047451456
               3.5691373                  -0.00048233569
               3.5946312                  -0.00048964727
               3.6201251                  -0.00049639522
               3.6456189                  -0.00050252263
               3.6711128                  -0.00050797022
               3.6966066                  -0.00051267585
               3.7221005                  -0.00051657477
               3.7475941                  -0.00051959947
                3.773088                  -0.00052167964
               3.7985818                  -0.00052274216
               3.8240757                  -0.00052271108
               3.8495696                  -0.00052150752
               3.8750634                  -0.00051904982
               3.9005573                  -0.00051525334
               3.9260511                  -0.00051003054
               3.9515448                  -0.00050329097
               3.9770386                  -0.00049494143
               4.0025325                  -0.00048488562
               4.0280266                  -0.00047302447
               4.0535202                  -0.00045925609
               4.0790138                   -0.0004434757
               4.1045079                  -0.00042557588
               4.1300015                  -0.00040544636
               4.1554956                  -0.00038297431
               4.1809893                  -0.00035804429
               4.2064834                  -0.00033053829
               4.2319775                  -0.00030033593
               4.2574711                  -0.00026731458
               4.2829652                  -0.00023134926
               4.3084588                  -0.00019231302
               4.3339529                  -0.00015007688
               4.3594465                  -0.00010451012
               4.3849406                   -5.548029e-05
               4.4104342                  -2.8535223e-06
               4.4359279                   5.3505362e-05
                4.461422                   0.00011373265
               4.4869156                    0.0001779655
               4.5124097                   0.00024634175
               4.5379033                   0.00031899964
               4.5633974                   0.00039607758
                4.588891                   0.00047771385
               4.6143847                   0.00056404638
               4.6398787                   0.00065521244
               4.6653724                    0.0007513481
               4.6908665                   0.00085258839
               4.7163601                   0.00095906632
               4.7418542                     0.001070913
               4.7673478                    0.0011882572
               4.7928419                    0.0013112248
               4.8183355                    0.0014399381
               4.8438292                    0.0015745161
               4.8693233                    0.0017150735
               4.8948169                    0.0018617205
                4.920311                     0.002014562
               4.9458046                    0.0021736973
               4.9712987                    0.0023392199
               4.9967923                    0.0025112166
               5.0222859                    0.0026897665
                 5.04778                    0.0028749416
               5.0732737                    0.0030668052
               5.0987678                    0.0032654118
               5.1242614                    0.0034708066
               5.1497555                    0.0036830239
               5.1752491                    0.0039020882
               5.2007427                    0.0041280114
               5.2262368                     0.004360795
               5.2517304                    0.0046004257
               5.2772245                    0.0048468783
               5.3027182                    0.0051001129
               5.3282123                    0.0053600743
               5.3537059                    0.0056266934
                  5.3792                    0.0058998824
               5.4046936                    0.0061795386
               5.4301877                    0.0064655407
               5.4556818                    0.0067577488
               5.4811754                    0.0070560044
               5.5066695                    0.0073601292
               5.5321631                    0.0076699238
               5.5576568                    0.0079851672
               5.5831509                    0.0083056176
               5.6086445                    0.0086310096
               5.6341386                    0.0089610536
               5.6596322                    0.0092954366
               5.6851263                    0.0096338224
