        Time / ns                i1 (Mesh Pass=8)/real
----------------------------------------------------------------------
                       0                  -1.0679514e-08
             0.070258178                   1.5102429e-06
              0.14051636                     1.71923e-06
              0.21077456                   1.9444881e-06
              0.28103271                    2.184674e-06
              0.35129091                   2.4376675e-06
              0.42154911                     2.70036e-06
              0.49180725                   2.9684975e-06
              0.56206542                   3.2364303e-06
              0.63232362                   3.4969187e-06
              0.70258182                    3.740822e-06
              0.77284002                   3.9568558e-06
              0.84309822                   4.1312587e-06
              0.91335636                   4.2474708e-06
               0.9836145                   4.2857992e-06
               1.0538728                   4.2230445e-06
               1.1241308                   4.0321484e-06
               1.1943891                   3.6818071e-06
               1.2646472                   3.1361283e-06
               1.3349054                   2.3542673e-06
               1.4051636                   1.2901216e-06
               1.4754218                  -1.0796398e-07
                 1.54568                  -1.8973919e-06
               1.6159382                  -4.1414801e-06
               1.6861964                  -6.9094904e-06
               1.7564546                  -1.0276564e-05
               1.8267127                  -1.4323486e-05
               1.8969707                  -1.9136296e-05
                1.967229                  -2.4805671e-05
               2.0374873                  -3.1426083e-05
               2.1077456                   -3.909467e-05
               2.1780035                  -4.7909783e-05
               2.2482617                   -5.796921e-05
               2.3185201                  -6.9367961e-05
               2.3887782                  -8.2195671e-05
               2.4590364                  -9.6533477e-05
               2.5292945                  -0.00011245043
               2.5995529                  -0.00012999936
               2.6698108                  -0.00014921212
               2.7400692                  -0.00017009431
               2.8103273                  -0.00019261929
               2.8805854                  -0.00021672172
               2.9508436                  -0.00024229029
               3.0211017                  -0.00026916002
               3.0913601                  -0.00029710389
                3.161618                  -0.00032582402
               3.2318764                  -0.00035494228
               3.3021345                  -0.00038399076
               3.3723929                  -0.00041240169
               3.4426508                  -0.00043949753
               3.5129092                  -0.00046448101
               3.5831673                  -0.00048642539
               3.6534255                  -0.00050426536
               3.7236836                  -0.00051678839
               3.7939415                  -0.00052262767
               3.8642001                  -0.00052025565
                3.934458                  -0.00050798012
               4.0047164                  -0.00048394187
               4.0749745                  -0.00044611501
               4.1452327                  -0.00039231041
               4.2154913                  -0.00032018224
                4.285749                   -0.0002272389
               4.3560071                  -0.00011085771
               4.4262657                   3.1694948e-05
               4.4965234                   0.00020323863
               4.5667815                    0.0004066478
               4.6370401                   0.00064481469
               4.7072983                   0.00092060567
               4.7775564                    0.0012368107
               4.8478146                    0.0015960856
               4.9180727                    0.0020008869
               4.9883313                    0.0024534008
                5.058589                    0.0029554612
               5.1288471                    0.0035084663
               5.1991057                    0.0041132835
               5.2693634                    0.0047701495
               5.3396215                    0.0054785674
               5.4098802                    0.0062371977
               5.4801383                    0.0070437421
               5.5503964                    0.0078948326
               5.6206546                    0.0087859156
               5.6909127                    0.0097111352
               5.7611709                     0.010663225
                5.831429                     0.011633405
               5.9016871                     0.012611276
               5.9719458                     0.013584742
               6.0422034                     0.014539933
               6.1124616                     0.015461144
               6.1827202                     0.016330805
               6.2529783                     0.017129455
                6.323236                     0.017835762
               6.3934946                     0.018426558
               6.4637527                     0.018876905
               6.5340109                     0.019160202
                6.604269                     0.019248333
               6.6745272                     0.019111842
               6.7447858                     0.018720157
               6.8150434                     0.018041866
               6.8853016                     0.017045014
               6.9555602                     0.015697472
               7.0258183                     0.013967336
                7.096076                     0.011823371
               7.1663346                    0.0092355013
               7.2365928                    0.0061753406
               7.3068509                    0.0026167561
               7.3771091                   -0.0014635312
               7.4473672                   -0.0060853208
               7.5176258                    -0.011264286
                7.587883                    -0.017011313
               7.6581416                     -0.02333183
               7.7284002                    -0.030225152
               7.7986584                    -0.037683822
                7.868916                    -0.045692984
               7.9391747                      -0.0542298
               8.0094328                    -0.063262895
               8.0796909                    -0.072751872
               8.1499491                    -0.082646906
               8.2202072                    -0.092888407
               8.2904654                     -0.10340679
               8.3607235                     -0.11412235
               8.4309826                     -0.12494527
               8.5012398                     -0.13577572
               8.5714979                     -0.14650415
                8.641757                      -0.1570117
               8.7120142                     -0.16717081
               8.7822723                     -0.17684586
               8.8525314                     -0.18589419
               8.9227886                     -0.19416709
               8.9930468                     -0.20151106
               9.0633059                     -0.20776914
                9.133563                     -0.21278259
               9.2038221                     -0.21639241
               9.2740803                     -0.21844131
               9.3443375                     -0.21877553
               9.4145966                     -0.21724696
               9.4848547                      -0.2137152
               9.5551128                     -0.20804974
                9.625371                     -0.20013222
               9.6956291                     -0.18985856
               9.7658873                     -0.17714113
               9.8361454                     -0.16191095
               9.9064035                     -0.14411968
               9.9766626                     -0.12374146
                10.04692                     -0.10077477
               10.117178                    -0.075243905
               10.187437                    -0.047200397
               10.257694                    -0.016724026
               10.327952                     0.016076319
               10.398211                     0.051062148
               10.468469                       0.0880652
               10.538727                       0.1268876
               10.608986                      0.16730246
               10.679243                      0.20905468
               10.749502                      0.25186238
                10.81976                       0.2954185
               10.890018                      0.33939293
               10.960277                      0.38343492
               11.030535                      0.42717591
               11.100793                      0.47023267
               11.171051                      0.51221073
               11.241309                      0.55270821
               11.311567                      0.59131962
               11.381825                      0.62764025
               11.452084                      0.66127044
               11.522342                      0.69181997
                 11.5926                      0.71891254
               11.662858                      0.74219054
               11.733117                      0.76131904
               11.803374                      0.77599049
               11.873632                      0.78592873
               11.943892                      0.79089278
               12.014149                      0.79068065
               12.084407                      0.78513247
               12.154666                      0.77413332
               12.224923                      0.75761586
               12.295182                      0.73556185
                12.36544                        0.708004
               12.435698                      0.67502648
               12.505957                      0.63676548
               12.576215                      0.59340847
               12.646472                      0.54519373
               12.716731                      0.49240854
               12.786989                      0.43538707
               12.857247                      0.37450787
               12.927505                      0.31019041
               12.997764                      0.24289139
               13.068022                      0.17310062
                13.13828                      0.10133622
               13.208538                     0.028139587
               13.278797                    -0.045929871
               13.349054                     -0.12030042
               13.419312                     -0.19439375
               13.489572                     -0.26763088
               13.559829                     -0.33943808
               13.630087                     -0.40925282
               13.700346                     -0.47652948
               13.770603                     -0.54074502
               13.840861                     -0.60140437
                13.91112                     -0.65804529
               13.981378                     -0.71024317
               14.051637                     -0.75761527
               14.121895                     -0.79982436
               14.192152                     -0.83658189
               14.262411                     -0.86765057
               14.332669                      -0.8928467
               14.402926                     -0.91204101
               14.473186                     -0.92515993
               14.543444                     -0.93218547
               14.613702                      -0.9331547
                14.68396                      -0.9281587
               14.754218                     -0.91734082
               14.824477                     -0.90089434
               14.894734                     -0.87905979
               14.964993                     -0.85212153
               15.035252                     -0.82040399
                15.10551                      -0.7842676
               15.175766                     -0.74410439
               15.246025                     -0.70033318
               15.316283                     -0.65339482
               15.386541                     -0.60374689
                 15.4568                     -0.55185902
               15.527059                     -0.49820727
               15.597317                     -0.44326955
               15.667574                     -0.38752034
               15.737832                     -0.33142623
               15.808091                     -0.27544114
               15.878349                     -0.22000232
               15.948607                     -0.16552636
               16.018866                     -0.11240557
               16.089123                    -0.061004985
               16.159382                    -0.011659544
               16.229639                     0.035328154
               16.299898                     0.079689682
               16.370157                      0.12119216
               16.440414                      0.15963915
               16.510672                      0.19487114
               16.580931                      0.22676554
                16.65119                       0.2552363
               16.721447                      0.28023306
               16.791706                      0.30174005
               16.861965                      0.31977457
                16.93222                      0.33438513
                17.00248                      0.34564936
               17.072739                      0.35367176
               17.142996                      0.35858116
               17.213255                      0.36052808
               17.283514                       0.3596819
               17.353771                      0.35622814
               17.424028                      0.35036555
               17.494287                      0.34230322
               17.564545                      0.33225784
               17.634804                      0.32045096
               17.705063                      0.30710629
                17.77532                      0.29244733
               17.845577                      0.27669489
               17.915836                      0.26006511
               17.986094                       0.2427673
               18.056353                      0.22500235
               18.126612                      0.20696104
               18.196869                      0.18882282
               18.267126                      0.17075464
               18.337385                      0.15291013
               18.407644                      0.13542883
               18.477901                      0.11843588
               18.548161                      0.10204164
                18.61842                     0.086341687
               18.688675                     0.071416944
               18.758934                     0.057333939
               18.829193                     0.044145234
                18.89945                     0.031890001
               18.969709                     0.020594679
               19.039968                      0.01027376
               19.110226                   0.00093063747
               19.180483                   -0.0074414867
               19.250742                    -0.014858639
               19.320999                    -0.021345086
               19.391258                    -0.026932333
               19.461517                    -0.031658124
               19.531775                    -0.035565451
               19.602032                    -0.038701586
               19.672291                    -0.041117154
               19.742548                    -0.042865247
               19.812807                    -0.044000596
               19.883066                    -0.044578779
               19.953325                    -0.044655528
               20.023581                    -0.044286054
                20.09384                    -0.043524504
               20.164099                    -0.042423412
               20.234356                    -0.041033294
               20.304615                    -0.039402258
               20.374874                    -0.037575703
               20.445129                    -0.035596088
               20.515388                    -0.033502746
               20.585648                    -0.031331766
               20.655905                    -0.029115921
               20.726164                     -0.02688466
               20.796423                    -0.024664128
                20.86668                    -0.022477224
               20.936937                    -0.020343708
               21.007196                    -0.018280324
               21.077454                     -0.01630095
               21.147713                    -0.014416773
               21.217972                    -0.012636466
               21.288229                    -0.010966395
               21.358486                   -0.0094108144
               21.428745                   -0.0079720765
               21.499004                    -0.006650839
               21.569262                   -0.0054462659
               21.639521                   -0.0043562301
                21.70978                   -0.0033775019
               21.780035                   -0.0025059329
               21.850294                   -0.0017366279
               21.920553                   -0.0010641034
                21.99081                  -0.00048243735
               22.061069                   1.4597913e-05
               22.131329                    0.0004334134
               22.201586                    0.0007804957
               22.271843                    0.0010623122
               22.342102                    0.0012852288
               22.412359                    0.0014554407
               22.482618                    0.0015789137
               22.552877                    0.0016613381
               22.623135                    0.0017080916
               22.693392                    0.0017242115
               22.763651                    0.0017143772
               22.833908                    0.0016828978
               22.904167                    0.0016337086
               22.974426                    0.0015703724
               23.044683                    0.0014960859
               23.114941                    0.0014136912
                 23.1852                    0.0013256893
               23.255459                    0.0012342579
               23.325716                    0.0011412706
               23.395975                    0.0010483173
