        Time / ns                i1 (29)/real
----------------------------------------------------------------------
                       0                  -9.1057473e-09
             0.070374787                   1.5105769e-06
              0.14074957                   1.7199483e-06
              0.21112438                    1.945639e-06
              0.28149915                   2.1863066e-06
              0.35187396                    2.439808e-06
              0.42224875                   2.7030123e-06
              0.49262357                   2.9716143e-06
              0.56299829                   3.2399516e-06
              0.63337314                   3.5007049e-06
              0.70374793                   3.7446673e-06
              0.77412271                   3.9604565e-06
               0.8444975                   4.1341932e-06
              0.91487229                   4.2491956e-06
              0.98524714                   4.2855854e-06
                1.055622                   4.2199699e-06
               1.1259966                   4.0250588e-06
               1.1963714                   3.6692788e-06
               1.2667463                   3.1164177e-06
               1.3371211                   2.3252903e-06
               1.4074959                   1.2493908e-06
               1.4778706                  -1.6337688e-07
               1.5482454                  -1.9709059e-06
               1.6186203                  -4.2370366e-06
                1.688995                  -7.0316023e-06
               1.7593699                   -1.043034e-05
               1.8297446                  -1.4514671e-05
               1.9001194                  -1.9371268e-05
               1.9704943                  -2.5091445e-05
                2.040869                  -3.1770302e-05
                2.111244                   -3.950555e-05
               2.1816187                  -4.8396047e-05
               2.2519932                  -5.8539983e-05
               2.3223681                  -7.0032627e-05
               2.3927429                  -8.2963685e-05
               2.4631176                  -9.7414115e-05
               2.5334926                  -0.00011345251
               2.6038673                  -0.00013113084
               2.6742423                  -0.00015047968
                2.744617                  -0.00017150282
               2.8149917                  -0.00019417123
               2.8853664                  -0.00021841639
               2.9557412                  -0.00024412309
               3.0261161                  -0.00027112151
               3.0964909                  -0.00029917873
               3.1668656                  -0.00032798992
               3.2372406                  -0.00035716873
               3.3076153                  -0.00038623763
                 3.37799                  -0.00041461794
                3.448365                  -0.00044161957
               3.5187397                  -0.00046643114
               3.5891144                  -0.00048811024
               3.6594892                  -0.00050557411
               3.7298639                  -0.00051759119
               3.8002388                  -0.00052277395
               3.8706136                  -0.00051957276
               3.9409885                  -0.00050627184
                4.011363                  -0.00048098722
                4.081738                  -0.00044166727
                4.152113                  -0.00038609662
               4.2224879                  -0.00031190299
               4.2928624                  -0.00021656854
               4.3632374                  -9.7445431e-05
               4.4336123                   4.8223712e-05
               4.5039864                   0.00022327974
               4.5743613                   0.00043061518
               4.6447363                   0.00067313615
               4.7151108                   0.00095371756
               4.7854857                    0.0012751513
               4.8558607                    0.0016400872
               4.9262352                    0.0020509674
               4.9966102                    0.0025099516
               5.0669851                     0.003018837
               5.1373601                    0.0035789697
               5.2077346                    0.0041911509
               5.2781096                    0.0048555345
               5.3484845                    0.0055715227
                5.418859                    0.0063376534
                5.489234                    0.0071514877
               5.5596089                    0.0080094943
               5.6299834                    0.0089069316
               5.7003584                    0.0098377354
               5.7707329                     0.010794405
               5.8411074                       0.0117679
               5.9114823                     0.012747544
               5.9818573                     0.013720936
               6.0522323                     0.014673881
               6.1226068                     0.015590332
               6.1929817                     0.016452359
               6.2633567                     0.017240129
               6.3337312                     0.017931933
               6.4041061                     0.018504212
               6.4744811                     0.018931648
               6.5448556                     0.019187266
               6.6152306                     0.019242592
               6.6856055                     0.019067829
                 6.75598                     0.018632106
                6.826355                     0.017903743
               6.8967299                     0.016850574
               6.9671044                     0.015440317
               7.0374794                     0.013640988
               7.1078539                     0.011421352
               7.1782289                    0.0087514305
               7.2486033                     0.005603035
               7.3189783                    0.0019503488
