        Time / ns                i2 (Mesh Pass=6)/real
----------------------------------------------------------------------
                       0                   -1.295291e-08
             0.058887485                   1.4780002e-06
              0.11777497                   1.6497638e-06
              0.17666245                   1.8331498e-06
              0.23554994                   2.0275602e-06
              0.29443741                   2.2320298e-06
              0.35332489                   2.4451472e-06
              0.41221237                   2.6650239e-06
              0.47109988                   2.8892011e-06
              0.52998734                   3.1145382e-06
              0.58887482                   3.3371539e-06
               0.6477623                   3.5522908e-06
              0.70664978                   3.7542052e-06
              0.76553726                   3.9360762e-06
              0.82442474                   4.0898394e-06
              0.88331228                   4.2060819e-06
              0.94219977                   4.2738634e-06
               1.0010872                   4.2806137e-06
               1.0599747                   4.2119659e-06
               1.1188622                   4.0515806e-06
               1.1777496                   3.7810196e-06
               1.2366371                   3.3795955e-06
               1.2955246                   2.8242143e-06
               1.3544121                   2.0892371e-06
               1.4132996                   1.1463737e-06
                1.472187                  -3.5436141e-08
               1.5310745                  -1.4901243e-06
                1.589962                  -3.2545181e-06
               1.6488495                  -5.3683939e-06
                1.707737                  -7.8744442e-06
               1.7666246                  -1.0818237e-05
               1.8255119                  -1.4248069e-05
               1.8843995                  -1.8214792e-05
               1.9432869                  -2.2771581e-05
               2.0021744                  -2.7973558e-05
               2.0610619                  -3.3877372e-05
               2.1199493                  -4.0540675e-05
               2.1788368                  -4.8021433e-05
               2.2377243                  -5.6377186e-05
               2.2966118                  -6.5664099e-05
               2.3554993                  -7.5935881e-05
               2.4143867                  -8.7242603e-05
               2.4732742                  -9.9629222e-05
               2.5321617                  -0.00011313405
               2.5910492                  -0.00012778695
               2.6499367                  -0.00014360734
               2.7088242                  -0.00016060202
               2.7677116                  -0.00017876283
               2.8265991                  -0.00019806389
               2.8854866                   -0.0002184589
               2.9443741                  -0.00023987803
               3.0032616                  -0.00026222473
                3.062149                  -0.00028537217
               3.1210365                  -0.00030915972
                3.179924                  -0.00033338915
               3.2388115                  -0.00035782059
                3.297699                   -0.0003821686
               3.3565865                  -0.00040609806
               3.4154739                  -0.00042921986
               3.4743614                  -0.00045108699
               3.5332491                  -0.00047119032
               3.5921364                  -0.00048895477
               3.6510239                   -0.0005037355
               3.7099113                  -0.00051481469
               3.7687991                  -0.00052139821
               3.8276861                  -0.00052261329
               3.8865738                  -0.00051750644
               3.9454613                  -0.00050504203
               4.0043488                  -0.00048410194
               4.0632362                  -0.00045348585
               4.1221237                  -0.00041191274
               4.1810112                  -0.00035802362
               4.2398987                  -0.00029038536
               4.2987862                  -0.00020749614
               4.3576736                  -0.00010779261
               4.4165611                   1.0341459e-05
               4.4754486                   0.00014856448
               4.5343361                    0.0003085644
               4.5932236                   0.00049204397
               4.6521111                   0.00070070371
               4.7109985                   0.00093622244
               4.7698865                    0.0012002357
               4.8287735                    0.0014943115
                4.887661                    0.0018199233
               4.9465485                     0.002178421
               5.0054359                    0.0025709991
               5.0643234                    0.0029986622
               5.1232109                    0.0034621882
               5.1820984                    0.0039620898
               5.2409859                    0.0044985726
               5.2998734                    0.0050714933
               5.3587608                    0.0056803138
               5.4176483                    0.0063240565
               5.4765358                    0.0070012547
               5.5354233                    0.0077099092
               5.5943108                    0.0084474357
               5.6531982                    0.0092106229
               5.7120857                    0.0099955797
               5.7709732                     0.010797697
               5.8298607                     0.011611601
               5.8887482                     0.012431114
               5.9476357                     0.013249221
               6.0065231                     0.014058037
               6.0654106                     0.014848779
               6.1242981                     0.015611752
               6.1831856                     0.016336333
               6.2420731                     0.017010968
               6.3009605                     0.017623175
                6.359848                     0.018159563
                6.418736                     0.018605852
                6.477623                     0.018946921
               6.5365105                     0.019166846
               6.5953979                     0.019248966
               6.6542854                     0.019175967
               6.7131729                     0.018929966
               6.7720604                     0.018492624
               6.8309479                     0.017845262
               6.8898354                     0.016969003
               6.9487228                     0.015844923
               7.0076103                     0.014454221
               7.0664983                     0.012778406
               7.1253853                     0.010799493
               7.1842728                    0.0085002128
               7.2431602                    0.0058642486
               7.3020477                    0.0028764666
               7.3609352                  -0.00047683078
               7.4198227                   -0.0042076455
               7.4787102                   -0.0083260182
               7.5375981                    -0.012839755
               7.5964851                    -0.017754152
               7.6553721                    -0.023071723
               7.7142606                    -0.028791917
               7.7731476                    -0.034910858
               7.8320355                    -0.041421078
               7.8909225                    -0.048311267
               7.9498096                     -0.05556605
               8.0086975                    -0.063165754
                8.067585                    -0.071086206
               8.1264725                    -0.079298608
                 8.18536                    -0.087769344
               8.2442474                    -0.096459903
               8.3031349                     -0.10532679
               8.3620224                     -0.11432152
               8.4209099                     -0.12339061
               8.4797974                     -0.13247564
               8.5386848                     -0.14151336
               8.5975723                     -0.15043586
               8.6564598                     -0.15917079
               8.7153473                     -0.16764157
               8.7742348                     -0.17576776
               8.8331223                      -0.1834655
               8.8920097                     -0.19064781
               8.9508972                      -0.1972252
               9.0097847                     -0.20310618
               9.0686722                     -0.20819786
               9.1275597                     -0.21240662
               9.1864471                     -0.21563883
               9.2453346                     -0.21780156
               9.3042221                     -0.21880344
               9.3631096                     -0.21855541
               9.4219971                     -0.21697167
               9.4808846                     -0.21397048
                9.539773                     -0.20947511
               9.5986595                     -0.20341477
                9.657547                     -0.19572546
               9.7164345                      -0.1863509
                9.775322                     -0.17524347
               9.8342094                     -0.16236502
               9.8930969                      -0.1476877
               9.9519844                     -0.13119479
               10.010872                     -0.11288136
               10.069759                    -0.092755027
               10.128647                    -0.070836499
               10.187534                    -0.047160082
               10.246422                    -0.021774143
               10.305309                    0.0052585928
               10.364197                      0.03386081
               10.423084                     0.063940503
               10.481972                     0.095390983
                10.54086                      0.12809102
               10.599747                      0.16190509
               10.658634                      0.19668382
               10.717522                      0.23226447
               10.776409                       0.2684716
               10.835297                      0.30511791
               10.894184                      0.34200513
               10.953072                      0.37892511
               11.011959                      0.41566098
               11.070847                      0.45198843
               11.129734                      0.48767716
               11.188622                      0.52249235
               11.247509                      0.55619639
               11.306396                      0.58855027
               11.365284                      0.61931562
               11.424171                      0.64825636
               11.483059                      0.67514068
               11.541946                       0.6997425
               11.600834                      0.72184396
               11.659721                      0.74123675
               11.718609                      0.75772411
               11.777496                      0.77112275
               11.836385                      0.78126442
               11.895271                      0.78799748
               11.954159                      0.79118878
               12.013046                      0.79072469
               12.071934                      0.78651273
               12.130821                       0.7784825
               12.189709                      0.76658702
               12.248596                      0.75080311
               12.307484                      0.73113269
               12.366371                       0.7076025
               12.425259                      0.68026513
               12.484146                      0.64919865
               12.543034                      0.61450648
               12.601921                      0.57631749
               12.660809                      0.53478497
               12.719696                      0.49008608
               12.778584                      0.44242105
               12.837472                      0.39201179
               12.896358                      0.33910072
               12.955246                       0.2839492
               13.014133                      0.22683582
               13.073021                      0.16805464
               13.131909                       0.1079131
               13.190796                     0.046730023
               13.249683                    -0.015166692
               13.308571                    -0.077442318
               13.367458                     -0.13975769
               13.426346                     -0.20177165
               13.485233                     -0.26314342
               13.544121                      -0.3235352
               13.603008                     -0.38261443
               13.661896                     -0.44005638
               13.720783                     -0.49554634
