        Time / ns                i1 (49)/real
----------------------------------------------------------------------
                       0                  -9.0697085e-09
             0.070099771                    1.509792e-06
              0.14019954                   1.7182473e-06
              0.21029931                    1.942904e-06
              0.28039908                   2.1824435e-06
              0.35049886                   2.4347501e-06
              0.42059863                   2.6967568e-06
              0.49069843                   2.9642422e-06
              0.56079817                   3.2316393e-06
              0.63089794                   3.4917593e-06
              0.70099771                   3.7355805e-06
              0.77109748                   3.9519382e-06
              0.84119725                   4.1272201e-06
              0.91129702                   4.2450661e-06
              0.98139685                   4.2860038e-06
               1.0514965                   4.2270999e-06
               1.1215963                   4.0416094e-06
                1.191696                   3.6985982e-06
               1.2617959                   3.1625882e-06
               1.3318957                   2.3932164e-06
               1.4019954                   1.3449052e-06
               1.4720953                  -3.3393352e-08
                1.542195                  -1.7984337e-06
               1.6122948                  -4.0128152e-06
               1.6823945                  -6.7450378e-06
               1.7524942                  -1.0069425e-05
                1.822594                  -1.4065921e-05
               1.8926938                  -1.8819695e-05
               1.9627937                   -2.442056e-05
               2.0328934                   -3.096215e-05
                2.102993                  -3.8540809e-05
               2.1730928                  -4.7254209e-05
               2.2431927                  -5.7199573e-05
               2.3132925                  -6.8471549e-05
               2.3833921                  -8.1159662e-05
               2.4534922                  -9.5345255e-05
               2.5235918                    -0.000111098
               2.5936916                  -0.00012847182
               2.6637914                  -0.00014750025
                2.733891                   -0.0001681913
               2.8039908                  -0.00019052153
               2.8740907                  -0.00021442976
               2.9441905                   -0.0002398099
               3.0142901                  -0.00026650346
               3.0843899                  -0.00029429118
               3.1544898                  -0.00032288453
               3.2245896                  -0.00035191639
               3.2946892                  -0.00038093154
                3.364789                  -0.00040937698
               3.4348888                  -0.00043659189
               3.5049884                  -0.00046179784
               3.5750885                  -0.00048408922
               3.6451881                  -0.00050242397
               3.7152879                  -0.00051561516
               3.7853875                  -0.00052232365
               3.8554876                  -0.00052105176
               3.9255874                  -0.00051013898
                3.995687                  -0.00048775945
               4.0657868                  -0.00045192189
               4.1358867                  -0.00040047264
                4.205986                  -0.00033110176
               4.2760863                   -0.0002413531
               4.3461857                  -0.00012863838
               4.4162855                   9.7436714e-06
               4.4863853                    0.0001765833
               4.5564852                   0.00037472986
                4.626585                   0.00060705614
               4.6966848                   0.00087641593
               4.7667842                    0.0011855952
                4.836884                    0.0015372562
               4.9069843                    0.0019338741
               4.9770837                    0.0023776672
               5.0471835                    0.0028705187
               5.1172833                    0.0034138928
               5.1873832                    0.0040087439
                5.257483                    0.0046554185
               5.3275828                    0.0053535532
               5.3976822                    0.0061019668
                5.467782                    0.0068985499
               5.5378823                    0.0077401511
               5.6079817                    0.0086224638
               5.6780815                    0.0095399115
               5.7481813                     0.010485542
               5.8182812                     0.011450914
                5.888381                     0.012426008
               5.9584804                     0.013399131
               6.0285802                     0.014356848
                 6.09868                     0.015283915
               6.1687799                     0.016163245
               6.2388797                     0.016975878
               6.3089795                     0.017700994
               6.3790789                     0.018315945
               6.4491792                     0.018796312
                6.519279                     0.019116007
               6.5893784                     0.019247402
               6.6594782                       0.0191615
                6.729578                     0.018828157
               6.7996778                     0.018216323
               6.8697777                     0.017294349
               6.9398775                      0.01603033
               7.0099769                     0.014392486
               7.0800772                     0.012349606
                7.150177                    0.0098715099
               7.2202764                    0.0069295708
               7.2903762                    0.0034972627
                7.360476                  -0.00044925266
               7.4305758                    -0.004930513
               7.5006757                   -0.0099631203
                7.570775                    -0.015559089
               7.6408753                    -0.021725189
               7.7109752                    -0.028462283
               7.7810745                    -0.035764683
               7.8511748                    -0.043619528
               7.9212742                    -0.052006174
                7.991374                    -0.060895659
               8.0614738                    -0.070250191
               8.1315737                    -0.080022745
               8.2016735                    -0.090156674
               8.2717733                      -0.1005855
               8.3418732                     -0.11123271
                8.411972                     -0.12201177
               8.4820719                     -0.13282619
               8.5521727                     -0.14356975
               8.6222715                     -0.15412687
               8.6923714                     -0.16437317
               8.7624712                      -0.1741761
                8.832571                     -0.18339582
               8.9026709                     -0.19188622
               8.9727707                       -0.199496
               9.0428705                     -0.20607017
               9.1129704                     -0.21145138
               9.1830702                     -0.21548158
                 9.25317                     -0.21800387
               9.3232689                     -0.21886426
               9.3933697                     -0.21791375
               9.4634695                     -0.21501036
               9.5335684                     -0.21002126
               9.6036692                     -0.20282495
                9.673768                     -0.19331345
               9.7438679                     -0.18139444
               9.8139687                     -0.16699342
               9.8840675                     -0.15005568
               9.9541674                     -0.13054827
               10.024267                     -0.10846179
               10.094367                    -0.083811983
               10.164467                     -0.05664115
               10.234567                    -0.027019277
               10.304667                    0.0049550333
               10.374766                     0.039153975
               10.444866                     0.075420253
               10.514966                      0.11356714
               10.585065                      0.15337889
               10.655166                      0.19461152
               10.725266                      0.23699398
               10.795364                      0.28022966
               10.865465                      0.32399833
               10.935564                      0.36795849
               11.005664                      0.41174987
               11.075765                      0.45499665
               11.145864                      0.49731052
               11.215963                      0.53829449
               11.286063                      0.57754672
               11.356163                      0.61466438
               11.426263                      0.64924812
               11.496363                      0.68090647
               11.566463                      0.70926011
               11.636562                      0.73394632
               11.706662                      0.75462353
               11.776762                      0.77097565
               11.846861                      0.78271604
               11.916961                      0.78959173
               11.987062                      0.79138678
                12.05716                      0.78792596
                12.12726                      0.77907765
                12.19736                      0.76475626
                12.26746                      0.74492437
                12.33756                      0.71959448
                12.40766                       0.6888299
               12.477759                      0.65274531
               12.547859                      0.61150664
               12.617959                      0.56533039
               12.688059                      0.51448238
               12.758158                      0.45927596
               12.828259                      0.40006936
               12.898358                      0.33726293
               12.968457                      0.27129552
               13.038558                      0.20264049
               13.108657                      0.13180126
               13.178757                     0.059306491
               13.248857                    -0.014295059
               13.318956                    -0.088440031
               13.389056                      -0.1625561
               13.459156                     -0.23606773
               13.529256                     -0.30840212
               13.599356                     -0.37899497
               13.669456                     -0.44729632
               13.739555                     -0.51277614
               13.809655                     -0.57492983
               13.879755                      -0.6332832
               13.949855                      -0.6873973
               14.019954                     -0.73687297
               14.090055                     -0.78135443
               14.160154                      -0.8205328
               14.230253                     -0.85414904
               14.300354                     -0.88199621
               14.370453                     -0.90392095
               14.440553                      -0.9198246
               14.510653                     -0.92966372
               14.580752                      -0.9334498
               14.650852                     -0.93124837
               14.720952                     -0.92317766
               14.791052                     -0.90940654
               14.861152                      -0.8901521
               14.931251                     -0.86567634
               15.001351                     -0.83628297
               15.071451                     -0.80231327
                15.14155                      -0.7641421
               15.211651                     -0.72217309
               15.281751                     -0.67683399
                15.35185                     -0.62857187
                15.42195                      -0.5778479
                15.49205                     -0.52513242
               15.562149                     -0.47089976
               15.632249                     -0.41562355
                15.70235                     -0.35977173
               15.772449                     -0.30380204
               15.842548                     -0.24815769
               15.912649                     -0.19326335
               15.982748                     -0.13952141
               16.052849                     -0.08730869
               16.122948                    -0.036973599
               16.193047                     0.011166427
               16.263147                     0.056826942
               16.333248                     0.099758059
               16.403347                      0.13974561
               16.473446                      0.17661183
               16.543547                      0.21021557
               16.613646                      0.24045216
               16.683746                       0.2672528
               16.753847                      0.29058364
               16.823944                      0.31044438
               16.894045                      0.32686666
               16.964144                      0.33991224
               17.034245                      0.34967065
               17.104345                      0.35625696
               17.174442                      0.35980916
               17.244543                      0.36048552
               17.314644                      0.35846183
               17.384743                      0.35392851
               17.454844                      0.34708783
               17.524942                      0.33815119
               17.595041                      0.32733619
               17.665142                      0.31486419
               17.735243                      0.30095756
               17.805342                      0.28583744
               17.875443                      0.26972139
               17.945541                      0.25282148
                18.01564                       0.2353422
               18.085741                      0.21747907
               18.155842                        0.199417
               18.225941                      0.18132916
                18.29604                      0.16337599
                18.36614                      0.14570437
               18.436239                      0.12844709
                18.50634                      0.11172243
               18.576441                     0.095634088
               18.646538                     0.080271073
               18.716639                     0.065707996
               18.786739                     0.052005325
               18.856838                     0.039209925
               18.926939                     0.027355624
               18.997038                     0.016463932
               19.067137                    0.0065448359
               19.137238                   -0.0024023301
               19.207338                    -0.010387967
               19.277437                     -0.01743125
               19.347536                    -0.023559138
               19.417637                     -0.02880539
               19.487736                    -0.033209573
               19.557837                    -0.036816087
               19.627937                    -0.039673235
               19.698034                    -0.041832309
               19.768135                    -0.043346729
               19.838236                    -0.044271257
               19.908335                    -0.044661224
               19.978436                    -0.044571869
               20.048534                    -0.044057723
               20.118633                    -0.043172043
               20.188734                    -0.041966353
               20.258835                     -0.04049002
               20.328934                    -0.038789921
               20.399035                    -0.036910158
               20.469133                    -0.034891848
               20.539232                    -0.032772962
               20.609333                    -0.030588234
               20.679434                    -0.028369097
               20.749533                    -0.026143696
               20.819632                    -0.023936912
               20.889732                    -0.021770446
               20.959831                     -0.01966292
               21.029932                    -0.017630018
               21.100033                     -0.01568464
                21.17013                    -0.013837066
               21.240231                    -0.012095159
               21.310331                    -0.010464552
                21.38043                   -0.0089488514
               21.450531                   -0.0075498442
                21.52063                   -0.0062676999
               21.590729                   -0.0051011718
                21.66083                    -0.004047791
                21.73093                   -0.0031040534
               21.801029                   -0.0022655963
               21.871128                   -0.0015273663
               21.941229                  -0.00088377239
               22.011328                  -0.00032882922
               22.081429                     0.000143714
               22.151529                   0.00054025749
               22.221626                   0.00086724776
               22.291727                    0.0011310874
               22.361828                     0.001338058
               22.431927                     0.001494254
               22.502028                    0.0016055288
               22.572126                    0.0016774512
               22.642225                    0.0017152722
               22.712326                    0.0017238996
               22.782427                    0.0017078824
               22.852526                    0.0016714013
               22.922626                    0.0016182662
               22.992725                    0.0015519192
               23.062824                    0.0014754419
               23.132925                     0.001391568
               23.203026                    0.0013026973
               23.273125                    0.0012109141
               23.343224                    0.0011180061
               23.413324                    0.0010254852
               23.483423                   0.00093461014
               23.553524                   0.00084640743
               23.623623                   0.00076169416
               23.693722                   0.00068109977
               23.763823                   0.00060508703
               23.833921                   0.00053397258
               23.904022                   0.00046794632
               23.974123                   0.00040708936
                24.04422                   0.00035139098
               24.114321                   0.00030076443
               24.184422                   0.00025506085
                24.25452                   0.00021408229
               24.324621                   0.00017759312
                24.39472                   0.00014533017
               24.464819                   0.00011701162
                24.53492                   9.2344671e-05
               24.605021                   7.1032242e-05
               24.675119                   5.2778236e-05
               24.745218                   3.7292262e-05
               24.815319                   2.4293155e-05
               24.885418                   1.3512013e-05
               24.955519                     4.69418e-06
                25.02562                  -2.3990156e-06
               25.095718                  -7.9894435e-06
               25.165817                  -1.2281437e-05
               25.235918                  -1.5461734e-05
               25.306017                  -1.7699709e-05
               25.376118                  -1.9147581e-05
               25.446218                  -1.9941295e-05
               25.516315                  -2.0201236e-05
               25.586416                  -2.0032976e-05
               25.656517                  -1.9528654e-05
               25.726616                  -1.8767632e-05
               25.796717                  -1.7817825e-05
               25.866816                  -1.6736669e-05
               25.936914                  -1.5572177e-05
               26.007015                  -1.4363988e-05
               26.077116                  -1.3144258e-05
               26.147215                  -1.1938704e-05
               26.217314                  -1.0767369e-05
               26.287415                  -9.6453523e-06
               26.357513                  -8.5836818e-06
               26.427614                   -7.589887e-06
               26.497715                  -6.6685143e-06
               26.567812                  -5.8217529e-06
               26.637913                  -5.0498925e-06
               26.708014                  -4.3516852e-06
               26.778112                  -3.7246746e-06
               26.848213                  -3.1654931e-06
               26.918312                  -2.6702835e-06
               26.988411                  -2.2346485e-06
