        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                      40                       -2.250544
               40.259998                      -2.3441719
                   40.52                      -2.4432964
               40.779999                      -2.5479788
               41.040001                       -2.658225
               41.299999                      -2.7739812
               41.560001                      -2.8951323
                   41.82                      -3.0215118
               42.079998                        -3.15291
                   42.34                      -3.2890959
               42.599998                       -3.429831
               42.860001                      -3.5748776
               43.119999                      -3.7240102
               43.380001                      -3.8770038
               43.639999                      -4.0336269
               43.900002                      -4.1936154
                   44.16                      -4.3566523
               44.419998                      -4.5223478
                   44.68                      -4.6902142
               44.939999                      -4.8596654
               45.200001                      -5.0300192
               45.459999                      -5.2005129
               45.720001                      -5.3703234
                   45.98                      -5.5385999
               46.240002                      -5.7044913
                    46.5                      -5.8671659
               46.759998                      -6.0258238
                   47.02                      -6.1796969
               47.279999                      -6.3280374
               47.540001                      -6.4701035
               47.799999                      -6.6051379
               48.060001                      -6.7323657
                   48.32                      -6.8509935
               48.579998                      -6.9602292
                   48.84                      -7.0593242
               49.099998                      -7.1476099
               49.360001                      -7.2245526
               49.619999                      -7.2897885
               49.880001                        -7.34315
               50.139999                       -7.384668
               50.400002                      -7.4145523
                   50.66                      -7.4331582
               50.919998                      -7.4409404
                   51.18                      -7.4384103
               51.439999                      -7.4261019
               51.700001                      -7.4045546
               51.959999                      -7.3743094
               52.220001                      -7.3359214
                   52.48                       -7.289982
               52.740002                      -7.2371312
                      53                      -7.1780729
               53.259998                      -7.1135712
                   53.52                      -7.0444344
               53.779999                      -6.9714917
               54.040001                      -6.8955576
               54.299999                       -6.817396
               54.560001                      -6.7376992
                   54.82                      -6.6570654
               55.079998                      -6.5760026
                   55.34                      -6.4949324
               55.599998                      -6.4142128
               55.860001                      -6.3341611
               56.119999                      -6.2550768
               56.380001                      -6.1772588
               56.639999                      -6.1010152
               56.900002                      -6.0266581
                   57.16                      -5.9544991
               57.419998                      -5.8848224
                   57.68                      -5.8178718
               57.939999                      -5.7538317
               58.200001                      -5.6928143
               58.459999                      -5.6348566
               58.720001                      -5.5799256
                   58.98                      -5.5279346
               59.240002                      -5.4787604
                    59.5                      -5.4322691
               59.759998                      -5.3883264
                   60.02                      -5.3468224
               60.279999                      -5.3076674
               60.540001                      -5.2707987
               60.799999                      -5.2361615
               61.060001                      -5.2037014
                   61.32                      -5.1733516
               61.579998                      -5.1450096
                   61.84                      -5.1185464
               62.099998                       -5.093788
               62.360001                       -5.070539
               62.619999                      -5.0485934
               62.880001                      -5.0277451
               63.139999                      -5.0078149
               63.400002                      -4.9886668
                   63.66                      -4.9702102
               63.919998                      -4.9524089
                   64.18                      -4.9352717
               64.440002                      -4.9188437
               64.699997                      -4.9031959
               64.959999                      -4.8883983
               65.220001                      -4.8745272
               65.480003                      -4.8616434
               65.739998                       -4.849804
                      66                      -4.8390736
               66.260002                      -4.8295298
               66.519997                      -4.8212902
               66.779999                      -4.8145231
               67.040001                      -4.8094624
               67.300003                      -4.8064131
               67.559998                      -4.8057518
                   67.82                      -4.8079239
               68.080002                       -4.813424
               68.339996                      -4.8227885
               68.599998                      -4.8365818
               68.860001                      -4.8553866
               69.120003                      -4.8797973
               69.379997                      -4.9104312
               69.639999                      -4.9479299
               69.900002                      -4.9929717
               70.159996                      -5.0462939
               70.419998                      -5.1086917
                   70.68                      -5.1810358
               70.940002                      -5.2642579
               71.199997                       -5.359343
               71.459999                       -5.467295
               71.720001                      -5.5890977
               71.980003                      -5.7256569
               72.239998                      -5.8777355
                    72.5                      -6.0458686
               72.760002                       -6.230279
               73.019997                      -6.4307724
               73.279999                      -6.6466335
               73.540001                      -6.8765163
               73.800003                      -7.1183364
               74.059998                      -7.3691747
                   74.32                      -7.6252186
               74.580002                      -7.8817449
               74.839996                      -8.1331994
               75.099998                      -8.3733835
               75.360001                      -8.5957776
               75.620003                      -8.7940081
               75.879997                      -8.9624047
               76.139999                      -9.0965881
               76.400002                      -9.1939647
               76.659996                      -9.2540122
               76.919998                      -9.2783021
                   77.18                      -9.2702241
               77.440002                       -9.234519
               77.699997                      -9.1766904
               77.959999                      -9.1024394
               78.220001                      -9.0172015
               78.480003                      -8.9258171
               78.739998                      -8.8323463
                      79                      -8.7400178
               79.260002                      -8.6512557
               79.519997                      -8.5677692
               79.779999                      -8.4906749
               80.040001                      -8.4206235
               80.300003                      -8.3579196
               80.559998                      -8.3026253
                   80.82                      -8.2546474
               81.080002                      -8.2137905
               81.339996                      -8.1798029
               81.599998                      -8.1523888
               81.860001                       -8.131219
               82.120003                      -8.1159289
               82.379997                      -8.1061135
               82.639999                      -8.1013236
               82.900002                      -8.1010715
               83.159996                      -8.1048406
               83.419998                      -8.1120992
                   83.68                      -8.1223233
               83.940002                      -8.1350185
               84.199997                      -8.1497372
               84.459999                      -8.1660958
               84.720001                      -8.1837747
               84.980003                      -8.2025224
               85.239998                      -8.2221383
                    85.5                       -8.242453
               85.760002                      -8.2633129
               86.019997                      -8.2845524
               86.279999                      -8.3059863
               86.540001                      -8.3273954
               86.800003                      -8.3485314
               87.059998                      -8.3691226
                   87.32                      -8.3888958
               87.580002                      -8.4075921
               87.839996                      -8.4249873
               88.099998                      -8.4409098
               88.360001                      -8.4552466
               88.620003                       -8.467943
               88.879997                       -8.478995
               89.139999                      -8.4884334
               89.400002                      -8.4962989
               89.659996                      -8.5026282
               89.919998                      -8.5074342
                   90.18                      -8.5106996
               90.440002                      -8.5123779
               90.699997                      -8.5124023
               90.959999                       -8.510711
               91.220001                      -8.5072613
               91.480003                      -8.5020645
               91.739998                      -8.4951983
                      92                      -8.4868296
               92.260002                      -8.4772156
               92.519997                       -8.466697
               92.779999                      -8.4556926
               93.040001                      -8.4446745
               93.300003                      -8.4341539
               93.559998                      -8.4246674
                   93.82                      -8.4167655
