        Frequency / MHz                S1,1/arg,degrees
----------------------------------------------------------------------
                      40                       62.135597
               40.259998                        59.75936
                   40.52                       57.394345
               40.779999                        55.04336
               41.040001                       52.709414
               41.299999                       50.395629
               41.560001                       48.105107
                   41.82                       45.840813
               42.079998                       43.605528
                   42.34                       41.401796
               42.599998                        39.23197
               42.860001                       37.098273
               43.119999                       35.002939
               43.380001                         32.9483
               43.639999                       30.936875
               43.900002                       28.971459
                   44.16                       27.055068
               44.419998                       25.190878
                   44.68                       23.382077
               44.939999                       21.631672
               45.200001                       19.942305
               45.459999                       18.316061
               45.720001                       16.754347
                   45.98                       15.257837
               46.240002                       13.826506
                    46.5                       12.459706
               46.759998                       11.156312
                   47.02                       9.9148379
               47.279999                       8.7335389
               47.540001                       7.6104282
               47.799999                       6.5432125
               48.060001                       5.5291512
                   48.32                         4.56487
               48.579998                       3.6461735
                   48.84                       2.7679205
               49.099998                       1.9239982
               49.360001                       1.1074311
               49.619999                      0.31061102
               49.880001                     -0.47436995
               50.139999                      -1.2553547
               50.400002                      -2.0397811
                   50.66                      -2.8344324
               50.919998                      -3.6453106
                   51.18                      -4.4776412
               51.439999                      -5.3359867
               51.700001                      -6.2244149
               51.959999                      -7.1466754
               52.220001                      -8.1063188
                   52.48                      -9.1067334
               52.740002                      -10.151098
                      53                      -11.242238
               53.259998                      -12.382467
                   53.52                      -13.573417
               53.779999                       -14.81593
               54.040001                      -16.110026
               54.299999                      -17.454963
               54.560001                      -18.849392
                   54.82                      -20.291536
               55.079998                      -21.779418
                   55.34                      -23.311049
               55.599998                      -24.884564
               55.860001                      -26.498272
               56.119999                      -28.150649
               56.380001                      -29.840252
               56.639999                      -31.565658
               56.900002                      -33.325268
                   57.16                      -35.117201
               57.419998                      -36.939347
                   57.68                      -38.789319
               57.939999                      -40.664384
               58.200001                      -42.561843
               58.459999                      -44.479078
               58.720001                      -46.413529
                   58.98                      -48.363172
               59.240002                      -50.326124
                    59.5                       -52.30104
               59.759998                       -54.28688
                   60.02                      -56.282911
               60.279999                      -58.288527
               60.540001                      -60.303072
               60.799999                      -62.325954
               61.060001                      -64.356447
                   61.32                      -66.393761
               61.579998                      -68.437083
                   61.84                      -70.485672
               62.099998                      -72.538985
               62.360001                      -74.596759
               62.619999                      -76.659105
               62.880001                      -78.726508
               63.139999                       -80.79984
               63.400002                      -82.880254
                   63.66                       -84.96911
               63.919998                      -87.067816
                   64.18                      -89.177771
               64.440002                      -91.300245
               64.699997                      -93.436373
               64.959999                      -95.587152
               65.220001                      -97.753524
               65.480003                      -99.936419
               65.739998                      -102.13689
                      66                      -104.35617
               66.260002                       -106.5957
               66.519997                      -108.85719
               66.779999                      -111.14247
               67.040001                       -113.4535
               67.300003                      -115.79217
               67.559998                      -118.16022
                   67.82                      -120.55912
               68.080002                      -122.98999
               68.339996                      -125.45351
               68.599998                      -127.95001
               68.860001                      -130.47941
               69.120003                      -133.04132
               69.379997                      -135.63506
               69.639999                      -138.25963
               69.900002                       -140.9138
               70.159996                      -143.59591
               70.419998                       -146.3038
                   70.68                      -149.03459
               70.940002                      -151.78441
               71.199997                      -154.54815
               71.459999                      -157.31927
               71.720001                      -160.08943
               71.980003                      -162.84836
               72.239998                      -165.58371
                    72.5                      -168.28096
               72.760002                      -170.92352
               73.019997                      -173.49287
               73.279999                      -175.96892
               73.540001                      -178.33052
               73.800003                       179.44374
               74.059998                       177.37446
                   74.32                       175.47993
               74.580002                        173.7745
               74.839996                       172.26646
               75.099998                       170.95598
               75.360001                       169.83314
               75.620003                       168.87675
               75.879997                       168.05424
               76.139999                       167.32311
               76.400002                       166.63378
               76.659996                       165.93396
               76.919998                       165.17321
                   77.18                       164.30736
               77.440002                       163.30143
               77.699997                       162.13131
               77.959999                       160.78372
               78.220001                       159.25499
               78.480003                       157.54904
               78.739998                       155.67537
                      79                       153.64689
               79.260002                       151.47816
               79.519997                       149.18411
               79.779999                       146.77898
               80.040001                       144.27582
               80.300003                       141.68617
               80.559998                       139.02006
                   80.82                       136.28606
               81.080002                       133.49147
               81.339996                       130.64263
               81.599998                       127.74504
               81.860001                       124.80369
               82.120003                       121.82289
               82.379997                        118.8066
               82.639999                       115.75825
               82.900002                       112.68076
               83.159996                       109.57647
               83.419998                       106.44704
                   83.68                       103.29357
               83.940002                       100.11652
               84.199997                       96.915893
               84.459999                       93.691416
               84.720001                       90.442432
               84.980003                       87.168531
               85.239998                       83.869194
                    85.5                       80.544258
               85.760002                       77.193722
               86.019997                       73.817779
               86.279999                       70.416782
               86.540001                       66.991088
               86.800003                       63.540856
               87.059998                       60.066068
                   87.32                       56.566304
               87.580002                       53.040891
               87.839996                       49.488699
               88.099998                       45.908505
               88.360001                       42.298831
               88.620003                        38.65826
               88.879997                       34.985529
               89.139999                       31.279577
               89.400002                       27.539448
               89.659996                       23.764458
               89.919998                       19.953977
                   90.18                       16.107215
               90.440002                       12.223214
               90.699997                       8.3005269
               90.959999                       4.3373513
               91.220001                      0.33114486
               91.480003                      -3.7210425
               91.739998                      -7.8227353
                      92                      -11.977729
               92.260002                        -16.1901
               92.519997                      -20.463995
               92.779999                      -24.803596
               93.040001                      -29.212976
               93.300003                      -33.696203
