        Frequency / MHz                S2,2 (4)/abs,dB
----------------------------------------------------------------------
                      40                      -2.8114132
               40.259998                      -2.9158909
                   40.52                      -3.0279512
               40.779999                      -3.1481013
               41.040001                      -3.2766075
               41.299999                      -3.4133875
               41.560001                      -3.5580197
                   41.82                      -3.7098729
               42.079998                      -3.8683071
                   42.34                      -4.0328634
               42.599998                      -4.2033791
               42.860001                      -4.3799619
               43.119999                        -4.56283
               43.380001                      -4.7520786
               43.639999                      -4.9474454
               43.900002                       -5.148179
                   44.16                      -5.3530658
               44.419998                      -5.5606121
                   44.68                      -5.7693046
               44.939999                      -5.9778759
               45.200001                      -6.1854189
               45.459999                      -6.3913229
               45.720001                      -6.5950235
                   45.98                      -6.7956704
               46.240002                      -6.9918525
                    46.5                      -7.1815148
               46.759998                      -7.3621293
                   47.02                      -7.5310765
               47.279999                      -7.6861004
               47.540001                      -7.8256477
               47.799999                      -7.9489382
               48.060001                      -8.0557387
                   48.32                      -8.1459565
               48.579998                      -8.2192398
                   48.84                      -8.2748109
               49.099998                      -8.3116107
               49.360001                      -8.3287276
               49.619999                      -8.3258872
               49.880001                      -8.3038005
               50.139999                      -8.2641565
               50.400002                      -8.2092915
                   50.66                      -8.1416362
               50.919998                      -8.0632157
                   51.18                      -7.9753793
               51.439999                      -7.8788608
               51.700001                      -7.7741156
               51.959999                      -7.6617517
               52.220001                       -7.542869
                   52.48                       -7.419135
               52.740002                      -7.2925976
                      53                      -7.1652961
               53.259998                      -7.0388578
                   53.52                      -6.9142477
               53.779999                      -6.7917448
               54.040001                      -6.6711759
               54.299999                      -6.5522684
               54.560001                      -6.4350188
                   54.82                      -6.3198944
               55.079998                      -6.2078247
                   55.34                      -6.0999767
               55.599998                      -5.9974299
               55.860001                      -5.9008624
               56.119999                      -5.8104022
               56.380001                      -5.7256648
               56.639999                      -5.6459828
               56.900002                       -5.570729
                   57.16                      -5.4996051
               57.419998                      -5.4327919
                   57.68                      -5.3709024
               57.939999                      -5.3147563
               58.200001                      -5.2650715
               58.459999                      -5.2221844
               58.720001                      -5.1859197
                   58.98                      -5.1556358
               59.240002                      -5.1304573
                    59.5                      -5.1095768
               59.759998                      -5.0925415
                   60.02                      -5.0793931
               60.279999                       -5.070621
               60.540001                      -5.0669312
               60.799999                       -5.068921
               61.060001                      -5.0767941
                   61.32                      -5.0902025
               61.579998                      -5.1082863
                   61.84                      -5.1299084
               62.099998                       -5.153994
