        Frequency / MHz                S2,2 (4)/arg,degrees
----------------------------------------------------------------------
                      40                      -15.512731
               40.259998                      -18.521241
                   40.52                      -21.513269
               40.779999                      -24.483694
               41.040001                      -27.425703
               41.299999                      -30.331879
               41.560001                      -33.195546
                   41.82                      -36.011797
               42.079998                      -38.777845
                   42.34                      -41.492511
               42.599998                      -44.154964
               42.860001                      -46.763309
               43.119999                       -49.31339
               43.380001                      -51.798546
               43.639999                      -54.210241
               43.900002                      -56.539613
                   44.16                       -58.77918
               44.419998                      -60.924242
                   44.68                      -62.973239
               44.939999                      -64.926986
               45.200001                      -66.786947
               45.459999                      -68.553393
               45.720001                      -70.224099
                   45.98                      -71.794529
               46.240002                      -73.259257
                    46.5                      -74.614572
               46.759998                      -75.860998
                   47.02                      -77.004645
               47.279999                      -78.056952
               47.540001                      -79.032631
               47.799999                       -79.94651
               48.060001                      -80.811198
                   48.32                      -81.635964
               48.579998                      -82.427898
                   48.84                      -83.194586
               49.099998                      -83.946816
               49.360001                       -84.70011
               49.619999                      -85.474005
               49.880001                      -86.289283
               50.139999                      -87.164224
               50.400002                      -88.111612
                   50.66                      -89.137705
               50.919998                      -90.243567
                   51.18                      -91.428018
               51.439999                      -92.690715
               51.700001                      -94.034343
               51.959999                      -95.464666
               52.220001                       -96.98896
                   52.48                      -98.613199
               52.740002                      -100.33964
                      53                      -102.16587
               53.259998                      -104.08542
                   53.52                      -106.08988
               53.779999                       -108.1717
               54.040001                      -110.32615
               54.299999                      -112.55247
               54.560001                      -114.85279
                   54.82                      -117.23054
               55.079998                      -119.68778
                   55.34                      -122.22374
               55.599998                      -124.83418
               55.860001                      -127.51231
               56.119999                      -130.25079
               56.380001                      -133.04394
               56.639999                      -135.88913
               56.900002                      -138.78723
                   57.16                      -141.74179
               57.419998                      -144.75699
                   57.68                      -147.83578
               57.939999                      -150.97812
               58.200001                      -154.18094
               58.459999                      -157.43899
               58.720001                      -160.74674
                   58.98                      -164.10034
               59.240002                      -167.49908
                    59.5                       -170.9458
               59.759998                      -174.44574
                   60.02                      -178.00495
               60.279999                       178.37207
               60.540001                       174.68376
               60.799999                       170.93173
               61.060001                       167.11993
                   61.32                       163.25259
               61.579998                       159.33221
                   61.84                       155.35767
               62.099998                        151.3239
               62.360001                       147.22272
               62.619999                        143.0449
               62.880001                       138.78249
               63.139999                       134.43061
