        Frequency / MHz                S1,1 (Mesh Pass=6)/arg,degrees
----------------------------------------------------------------------
                      40                      -47.479343
               40.259998                      -50.782981
                   40.52                      -54.075102
               40.779999                        -57.3526
               41.040001                      -60.610677
               41.299999                       -63.84357
               41.560001                      -67.045732
                   41.82                      -70.212706
               42.079998                      -73.341183
                   42.34                      -76.428006
               42.599998                      -79.468909
               42.860001                      -82.457596
               43.119999                      -85.385821
               43.380001                      -88.244521
               43.639999                      -91.025159
               43.900002                       -93.72096
                   44.16                      -96.326369
               44.419998                      -98.836013
                   44.68                      -101.24305
               44.939999                      -103.53883
               45.200001                      -105.71336
               45.459999                      -107.75755
               45.720001                      -109.66515
                   45.98                      -111.43385
               46.240002                      -113.06483
                    46.5                      -114.56075
               46.759998                      -115.92454
                   47.02                      -117.15941
               47.279999                      -118.27098
               47.540001                      -119.27001
               47.799999                      -120.17399
               48.060001                      -121.00629
                   48.32                      -121.79286
               48.579998                      -122.55855
                   48.84                      -123.32536
               49.099998                      -124.11296
               49.360001                      -124.94106
               49.619999                      -125.83068
               49.880001                      -126.80344
               50.139999                      -127.87853
               50.400002                       -129.0695
                   50.66                      -130.38316
               50.919998                        -131.821
                   51.18                      -133.38228
               51.439999                      -135.06698
               51.700001                      -136.87666
               51.959999                      -138.81297
               52.220001                      -140.87553
                   52.48                      -143.06035
               52.740002                      -145.36028
                      53                      -147.76732
               53.259998                      -150.27489
                   53.52                      -152.87944
               53.779999                      -155.57976
               54.040001                      -158.37516
               54.299999                      -161.26335
               54.560001                       -164.2397
                   54.82                      -167.29793
               55.079998                      -170.43218
                   55.34                      -173.63887
               55.599998                      -176.91713
               55.860001                       179.73213
               56.119999                       176.30824
               56.380001                       172.81239
               56.639999                       169.24794
               56.900002                       165.61943
                   57.16                       161.93059
               57.419998                       158.18284
                   57.68                       154.37529
               57.939999                       150.50584
               58.200001                       146.57305
               58.459999                       142.57769
               58.720001                       138.52256
                   58.98                       134.41142
               59.240002                       130.24694
                    59.5                       126.02938
               59.759998                       121.75672
                   60.02                       117.42605
               60.279999                       113.03544
               60.540001                       108.58538
               60.799999                       104.07836
               61.060001                        99.51754
                   61.32                        94.90473
               61.579998                       90.238837
                   61.84                       85.516254
               62.099998                        80.73247
               62.360001                       75.884021
               62.619999                       70.969973
               62.880001                       65.991338
               63.139999                       60.949401
               63.400002                       55.843262
                   63.66                       50.668249
               63.919998                        45.41624
                   64.18                       40.077466
               64.440002                       34.643011
               64.699997                       29.106132
               64.959999                       23.461745
               65.220001                       17.703731
               65.480003                       11.822091
               65.739998                       5.8006786
                      66                     -0.38255525
               66.260002                       -6.753537
               66.519997                      -13.339015
               66.779999                      -20.165079
               67.040001                      -27.257873
               67.300003                      -34.647211
               67.559998                      -42.370349
                   67.82                       -50.47497
               68.080002                      -59.018552
               68.339996                      -68.064593
               68.599998                      -77.677511
               68.860001                      -87.918314
               69.120003                      -98.844841
               69.379997                      -110.51753
               69.639999                      -123.01142
               69.900002                      -136.43427
               70.159996                      -150.94782
               70.419998                       -166.7843
                   70.68                       175.76758
               70.940002                       156.46596
               71.199997                       135.38635
