        Time / ns                i1 (Mesh Pass=5)/real
----------------------------------------------------------------------
                       0                  -8.7169383e-09
             0.049972679                   1.4530364e-06
             0.099945359                   1.5964995e-06
              0.14991803                   1.7484466e-06
              0.19989072                   1.9085714e-06
              0.24986339                   2.0763914e-06
              0.29983607                   2.2512409e-06
              0.34980872                   2.4322126e-06
              0.39978144                   2.6181594e-06
              0.44975409                   2.8076279e-06
              0.49972677                   2.9988264e-06
              0.54969943                   3.1895834e-06
              0.59967214                   3.3773179e-06
              0.64964485                   3.5589808e-06
              0.69961745                   3.7310047e-06
              0.74959016                   3.8892445e-06
              0.79956287                   4.0289287e-06
              0.84953552                   4.1445978e-06
              0.89950818                   4.2300571e-06
              0.94948083                   4.2782808e-06
              0.99945354                   4.2813776e-06
               1.0494262                   4.2305119e-06
               1.0993989                   4.1158305e-06
               1.1493716                    3.926411e-06
               1.1993443                    3.650181e-06
               1.2493169                   3.2738519e-06
               1.2992897                   2.7828803e-06
               1.3492622                   2.1613762e-06
               1.3992349                   1.3920719e-06
               1.4492077                   4.5626189e-07
               1.4991803                  -6.6622772e-07
                1.549153                  -1.9970723e-06
               1.5991257                  -3.5594708e-06
               1.6490984                  -5.3781428e-06
                1.699071                  -7.4793275e-06
               1.7490437                   -9.890744e-06
               1.7990164                  -1.2641552e-05
               1.8489891                  -1.5762264e-05
               1.8989617                  -1.9284662e-05
               1.9489343                  -2.3241653e-05
               1.9989071                  -2.7667118e-05
               2.0488796                  -3.2595708e-05
               2.0988524                  -3.8062601e-05
               2.1488252                  -4.4103235e-05
               2.1987977                  -5.0752969e-05
               2.2487705                  -5.8046713e-05
               2.2987432                  -6.6018474e-05
               2.3487158                  -7.4700918e-05
               2.3986886                  -8.4124753e-05
               2.4486613                  -9.4318166e-05
               2.4986339                  -0.00010530611
               2.5486066                  -0.00011710956
               2.5985794                  -0.00012974472
               2.6485519                    -0.000143222
               2.6985245                  -0.00015754522
               2.7484972                  -0.00017271038
               2.7984698                  -0.00018870461
               2.8484426                  -0.00020550493
               2.8984153                  -0.00022307689
               2.9483879                   -0.0002413733
               2.9983606                  -0.00026033269
               3.0483334                   -0.0002798778
               3.0983059                  -0.00029991395
               3.1482787                   -0.0003203275
               3.1982515                  -0.00034098397
                3.248224                  -0.00036172642
               3.2981968                  -0.00038237349
               3.3481696                  -0.00040271785
               3.3981421                  -0.00042252411
               3.4481146                  -0.00044152708
               3.4980874                  -0.00045943007
               3.5480602                  -0.00047590301
               3.5980327                   -0.0004905808
               3.6480055                  -0.00050306186
               3.6979783                  -0.00051290629
               3.7479508                  -0.00051963492
               3.7979233                  -0.00052272796
               3.8478963                    -0.000521624
               3.8978686                  -0.00051571947
               3.9478416                  -0.00050436798
               3.9978142                  -0.00048688037
               4.0477872                   -0.0004625248
               4.0977592                  -0.00043052749
               4.1477323                  -0.00039007372
               4.1977048                  -0.00034030937
               4.2476778                    -0.000280343
               4.2976503                  -0.00020924845
               4.3476233                  -0.00012606817
               4.3975954                  -2.9817005e-05
               4.4475684                   8.0513106e-05
                4.497541                   0.00020594784
               4.5475135                   0.00034752436
