        Time / ns                i1 (4)/real
----------------------------------------------------------------------
                       0                  -1.0836743e-08
             0.046827786                   1.4443152e-06
             0.093655571                   1.5779954e-06
              0.14048335                    1.719136e-06
              0.18731114                   1.8675241e-06
              0.23413894                   2.0227951e-06
               0.2809667                   2.1844478e-06
              0.32779449                   2.3518082e-06
              0.37462229                   2.5240129e-06
              0.42145005                   2.6999908e-06
              0.46827787                   2.8784134e-06
              0.51510561                   3.0576919e-06
               0.5619334                    3.235938e-06
              0.60876119                   3.4109166e-06
              0.65558898                   3.5800322e-06
              0.70241672                   3.7402817e-06
              0.74924457                   3.8882122e-06
               0.7960723                   4.0198888e-06
               0.8429001                   4.1308422e-06
              0.88972789                   4.2160336e-06
              0.93655574                   4.2698048e-06
              0.98338348                   4.2858251e-06
               1.0302112                   4.2570591e-06
                1.077039                    4.175703e-06
               1.1238668                   4.0331388e-06
               1.1706946                   3.8198964e-06
               1.2175224                   3.5255916e-06
               1.2643502                   3.1388911e-06
                1.311178                   2.6474595e-06
               1.3580058                   2.0379239e-06
               1.4048334                   1.2958358e-06
               1.4516613                   4.0563327e-07
               1.4984891                  -6.4938291e-07
               1.5453168                  -1.8870697e-06
               1.5921446                  -3.3264582e-06
               1.6389724                  -4.9877553e-06
               1.6858002                  -6.8923378e-06
                1.732628                  -9.0627336e-06
               1.7794558                  -1.1522589e-05
               1.8262836                  -1.4296621e-05
               1.8731115                  -1.7410552e-05
                1.919939                  -2.0891024e-05
                1.966767                  -2.4765501e-05
               2.0135946                  -2.9062126e-05
               2.0604224                  -3.3809582e-05
               2.1072502                  -3.9036895e-05
                2.154078                  -4.4773245e-05
               2.2009058                  -5.1047693e-05
               2.2477336                   -5.788893e-05
               2.2945614                  -6.5324944e-05
               2.3413892                  -7.3382667e-05
                2.388217                  -8.2087608e-05
               2.4350448                  -9.1463364e-05
               2.4818726                  -0.00010153118
               2.5287004                  -0.00011230939
               2.5755279                  -0.00012381285
               2.6223559                  -0.00013605227
               2.6691837                  -0.00014903363
               2.7160115                  -0.00016275729
               2.7628393                  -0.00017721734
               2.8096669                  -0.00019240064
               2.8564949                    -0.000208286
               2.9033227                  -0.00022484318
               2.9501503                  -0.00024203189
               2.9969783                  -0.00025980076
               3.0438058                  -0.00027808614
               3.0906336                  -0.00029681111
               3.1374614                   -0.0003158841
               3.1842892                  -0.00033519778
               3.2311172                   -0.0003546277
               3.2779448                  -0.00037403117
               3.3247726                  -0.00039324569
               3.3716004                  -0.00041208789
               3.4184282                    -0.000430352
                3.465256                  -0.00044780874
               3.5120838                   -0.0004642038
               3.5589116                  -0.00047925682
               3.6057394                  -0.00049266004
               3.6525671                   -0.0005040773
               3.6993949                  -0.00051314273
                3.746223                  -0.00051946007
               3.7930503                  -0.00052260177
               3.8398781                  -0.00052210817
               3.8867061                  -0.00051748712
               3.9335339                  -0.00050821347
               3.9803617                   -0.0004937292
               4.0271893                  -0.00047344322
                4.074017                  -0.00044673186
               4.1208448                  -0.00041293955
               4.1676731                  -0.00037137972
               4.2145004                  -0.00032133603
               4.2613282                  -0.00026206422
                4.308156                  -0.00019279394
               4.3549838                  -0.00011273145
               4.4018116                  -2.1062413e-05
               4.4486394                   8.3044637e-05
               4.4954672                   0.00020043437
                4.542295                   0.00033196024
               4.5891228                   0.00047847937
               4.6359506                   0.00064084714
               4.6827784                    0.0008199109
               4.7296062                    0.0010165032
               4.7764339                    0.0012314344
               4.8232617                    0.0014654846
               4.8700895                     0.001719395
               4.9169173                    0.0019938585
               4.9637451                    0.0022895099
               5.0105729                    0.0026069148
               5.0574007                    0.0029465596
               5.1042285                    0.0033088378
               5.1510558                    0.0036940393
               5.1978841                    0.0041023372
               5.2447119                    0.0045337724
               5.2915397                    0.0049882438
               5.3383675                    0.0054654889
               5.3851948                    0.0059650741
                5.432023                    0.0064863754
               5.4788508                    0.0070285671
               5.5256786                    0.0075906045
               5.5725064                    0.0081712091
               5.6193337                    0.0087688519
               5.6661615                    0.0093817441
               5.7129898                     0.010007815
               5.7598176                     0.010644703
               5.8066454                     0.011289743
               5.8534727                     0.011939947
               5.9003005                        0.012592
               5.9471288                     0.013242247
               5.9939566                      0.01388668
               6.0407839                     0.014520936
               6.0876117                     0.015140284
               6.1344395                     0.015739625
               6.1812673                     0.016313493
               6.2280955                     0.016856041
               6.2749228                     0.017361054
               6.3217506                     0.017821956
               6.3685784                     0.018231804
               6.4154062                     0.018583311
               6.4622345                     0.018868849
               6.5090618                     0.019080471
               6.5558896                     0.019209933
               6.6027174                     0.019248703
               6.6495452                     0.019188007
               6.6963735                     0.019018844
               6.7432008                     0.018732024
               6.7900286                     0.018318212
               6.8368564                      0.01776796
               6.8836842                     0.017071765
                6.930512                     0.016220102
               6.9773397                     0.015203498
               7.0241675                     0.014012572
               7.0709953                     0.012638105
               7.1178231                     0.011071105
               7.1646509                    0.0093028732
               7.2114787                    0.0073250784
               7.2583065                     0.005129829
               7.3051343                    0.0027097557
               7.3519621                    5.808712e-05
               7.3987899                   -0.0028312637
               7.4456177                   -0.0059636161
               7.4924459                   -0.0093434351
               7.5392733                    -0.012974245
               7.5861006                    -0.016858539
               7.6329288                    -0.020997696
               7.6797562                    -0.025391888
               7.7265849                    -0.030039998
               7.7734122                    -0.034939531
               7.8202395                    -0.040086541
               7.8670678                    -0.045475543
               7.9138951                    -0.051099431
               7.9607234                    -0.056949433
               8.0075512                    -0.063015021
               8.0543785                    -0.069283858
               8.1012068                    -0.075741738
               8.1480341                    -0.082372576
               8.1948624                    -0.089158304
               8.2416897                     -0.09607891
                8.288517                     -0.10311238
               8.3353462                     -0.11023469
               8.3821735                     -0.11741983
               8.4290009                     -0.12463979
               8.4758291                     -0.13186461
               8.5226564                     -0.13906239
               8.5694847                     -0.14619938
                8.616312                     -0.15323998
               8.6631393                     -0.16014692
               8.7099676                     -0.16688125
               8.7567949                     -0.17340249
               8.8036232                     -0.17966877
               8.8504515                     -0.18563694
               8.8972788                     -0.19126272
               8.9441071                     -0.19650088
               8.9909344                     -0.20130542
               9.0377626                     -0.20562972
                 9.08459                     -0.20942681
               9.1314173                     -0.21264955
               9.1782455                     -0.21525088
               9.2250729                     -0.21718404
               9.2719011                      -0.2184028
               9.3187284                     -0.21886183
               9.3655567                     -0.21851683
                9.412385                     -0.21732488
