        Frequency / MHz                S1,1 (Mesh Pass=2)/abs,dB
----------------------------------------------------------------------
                      40                      -6.8320998
               40.259998                      -6.8023485
                   40.52                      -6.7707854
               40.779999                      -6.7376803
               41.040001                      -6.7032594
               41.299999                      -6.6677164
               41.560001                      -6.6312221
                   41.82                      -6.5939405
               42.079998                      -6.5560364
                   42.34                      -6.5176827
               42.599998                      -6.4790676
               42.860001                      -6.4403851
               43.119999                      -6.4018383
               43.380001                      -6.3636299
               43.639999                      -6.3259507
               43.900002                      -6.2889812
                   44.16                        -6.25288
               44.419998                      -6.2177846
                   44.68                      -6.1838105
               44.939999                      -6.1510585
               45.200001                      -6.1196197
               45.459999                      -6.0895837
               45.720001                      -6.0610462
                   45.98                      -6.0341164
               46.240002                      -6.0089252
                    46.5                      -5.9856178
               46.759998                      -5.9643645
                   47.02                      -5.9453514
               47.279999                      -5.9287727
               47.540001                      -5.9148306
               47.799999                      -5.9037237
               48.060001                      -5.8956432
                   48.32                      -5.8907713
               48.579998                      -5.8892738
                   48.84                      -5.8913091
               49.099998                      -5.8970215
               49.360001                      -5.9065512
               49.619999                      -5.9200334
               49.880001                      -5.9376061
               50.139999                      -5.9594071
               50.400002                      -5.9855784
                   50.66                      -6.0162584
               50.919998                      -6.0515815
                   51.18                      -6.0916661
               51.439999                      -6.1366101
               51.700001                      -6.1864773
               51.959999                      -6.2412909
               52.220001                      -6.3010253
                   52.48                      -6.3655965
               52.740002                      -6.4348617
                      53                      -6.5086159
               53.259998                      -6.5865946
                   53.52                      -6.6684761
               53.779999                       -6.753889
               54.040001                      -6.8424203
               54.299999                      -6.9336202
               54.560001                      -7.0270175
                   54.82                      -7.1221235
               55.079998                      -7.2184433
                   55.34                      -7.3154858
               55.599998                      -7.4127688
               55.860001                      -7.5098347
               56.119999                      -7.6062518
               56.380001                      -7.7016298
               56.639999                      -7.7956255
               56.900002                      -7.8879529
                   57.16                      -7.9783924
               57.419998                      -8.0667864
                   57.68                      -8.1530553
               57.939999                       -8.237182
               58.200001                      -8.3192118
               58.459999                      -8.3992402
               58.720001                      -8.4773978
                   58.98                      -8.5538333
               59.240002                      -8.6286933
                    59.5                      -8.7021075
               59.759998                      -8.7741715
                   60.02                       -8.844936
               60.279999                       -8.914398
               60.540001                      -8.9825017
               60.799999                      -9.0491408
               61.060001                      -9.1141692
                   61.32                        -9.17741
               61.579998                      -9.2386722
                   61.84                      -9.2977618
               62.099998                      -9.3545003
               62.360001                      -9.4087313
               62.619999                      -9.4603287
               62.880001                      -9.5092047
               63.139999                      -9.5553081
               63.400002                      -9.5986225
                   63.66                      -9.6391656
               63.919998                      -9.6769872
                   64.18                      -9.7121643
               64.440002                      -9.7448013
               64.699997                      -9.7750272
               64.959999                      -9.8029981
               65.220001                      -9.8288965
               65.480003                      -9.8529309
               65.739998                       -9.875337
                      66                      -9.8963769
               66.260002                      -9.9163303
               66.519997                      -9.9354991
               66.779999                      -9.9541899
               67.040001                        -9.97272
               67.300003                      -9.9914026
               67.559998                      -10.010544
                   67.82                      -10.030443
               68.080002                      -10.051385
               68.339996                      -10.073642
               68.599998                      -10.097475
               68.860001                      -10.123136
               69.120003                      -10.150864
               69.379997                      -10.180898
               69.639999                      -10.213467
               69.900002                      -10.248797
               70.159996                      -10.287107
               70.419998                      -10.328609
                   70.68                      -10.373507
               70.940002                      -10.421989
               71.199997                      -10.474237
               71.459999                      -10.530411
               71.720001                      -10.590659
               71.980003                      -10.655113
               72.239998                      -10.723891
                    72.5                      -10.797096
               72.760002                      -10.874819
               73.019997                      -10.957139
               73.279999                      -11.044125
               73.540001                      -11.135831
               73.800003                      -11.232304
               74.059998                      -11.333571
                   74.32                      -11.439649
               74.580002                      -11.550544
               74.839996                      -11.666245
               75.099998                      -11.786745
               75.360001                      -11.912025
               75.620003                      -12.042082
               75.879997                      -12.176928
               76.139999                      -12.316597
               76.400002                      -12.461168
               76.659996                      -12.610759
               76.919998                      -12.765546
                   77.18                      -12.925762
               77.440002                      -13.091707
               77.699997                      -13.263748
               77.959999                       -13.44232
               78.220001                      -13.627936
               78.480003                      -13.821192
               78.739998                      -14.022775
                      79                      -14.233484
               79.260002                      -14.454243
               79.519997                      -14.686127
               79.779999                      -14.930386
               80.040001                      -15.188472
               80.300003                      -15.462056
               80.559998                      -15.753047
                   80.82                      -16.063596
