        Frequency / MHz                S1,1 (Mesh Pass=2)/arg,degrees
----------------------------------------------------------------------
                      40                       70.994994
               40.259998                       69.428417
                   40.52                       67.829297
               40.779999                       66.198602
               41.040001                       64.537209
               41.299999                       62.845889
               41.560001                       61.125261
                   41.82                       59.375805
               42.079998                       57.597872
                   42.34                       55.791775
               42.599998                       53.957807
               42.860001                       52.096302
               43.119999                       50.207711
               43.380001                        48.29259
               43.639999                       46.351628
               43.900002                       44.385608
                   44.16                       42.395386
               44.419998                       40.381814
                   44.68                        38.34574
               44.939999                       36.287888
               45.200001                        34.20891
               45.459999                       32.109316
               45.720001                       29.989508
                   45.98                       27.849797
               46.240002                       25.690467
                    46.5                       23.511797
               46.759998                       21.314137
                   47.02                       19.097935
               47.279999                       16.863779
               47.540001                       14.612416
               47.799999                       12.344735
               48.060001                       10.061777
                   48.32                       7.7646846
               48.579998                       5.4546915
                   48.84                       3.1330848
               49.099998                      0.80118468
               49.360001                      -1.5396622
               49.619999                      -3.8880799
               49.880001                      -6.2426455
               50.139999                      -8.6018563
               50.400002                      -10.964098
                   50.66                      -13.327601
               50.919998                      -15.690411
                   51.18                       -18.05036
               51.439999                      -20.405066
               51.700001                      -22.751936
               51.959999                      -25.088193
               52.220001                      -27.410932
                   52.48                      -29.717171
               52.740002                       -32.00392
                      53                      -34.268269
               53.259998                      -36.507437
                   53.52                      -38.718922
               53.779999                      -40.900409
               54.040001                      -43.050007
               54.299999                      -45.166154
               54.560001                       -47.24767
                   54.82                      -49.293841
               55.079998                      -51.304373
                   55.34                      -53.279317
               55.599998                      -55.219258
               55.860001                      -57.125109
               56.119999                      -58.998192
               56.380001                      -60.840195
               56.639999                      -62.653153
               56.900002                      -64.439285
                   57.16                      -66.201061
               57.419998                      -67.940991
                   57.68                      -69.661577
               57.939999                      -71.365313
               58.200001                      -73.054336
               58.459999                      -74.730609
               58.720001                      -76.395646
                   58.98                      -78.050614
               59.240002                      -79.696245
                    59.5                      -81.332902
               59.759998                      -82.960584
                   60.02                      -84.579236
               60.279999                      -86.188613
               60.540001                      -87.788346
               60.799999                      -89.378401
               61.060001                      -90.958865
                   61.32                      -92.530103
               61.579998                      -94.092836
                   61.84                      -95.648119
               62.099998                        -97.1973
               62.360001                      -98.742051
               62.619999                      -100.28423
               62.880001                      -101.82589
               63.139999                      -103.36915
               63.400002                      -104.91623
                   63.66                      -106.46934
               63.919998                      -108.03067
                   64.18                      -109.60243
               64.440002                      -111.18675
               64.699997                      -112.78577
               64.959999                      -114.40158
               65.220001                      -116.03618
               65.480003                      -117.69154
               65.739998                      -119.36947
                      66                      -121.07167
               66.260002                      -122.79971
               66.519997                      -124.55489
               66.779999                      -126.33839
               67.040001                      -128.15112
               67.300003                      -129.99387
               67.559998                      -131.86717
                   67.82                      -133.77145
               68.080002                      -135.70702
               68.339996                      -137.67408
               68.599998                      -139.67279
               68.860001                      -141.70324
               69.120003                      -143.76552
               69.379997                      -145.85966
               69.639999                      -147.98565
               69.900002                      -150.14346
               70.159996                      -152.33301
               70.419998                      -154.55414
                   70.68                      -156.80669
               70.940002                      -159.09041
               71.199997                      -161.40505
               71.459999                      -163.75037
               71.720001                      -166.12609
               71.980003                        -168.532
               72.239998                      -170.96794
                    72.5                       -173.4338
               72.760002                      -175.92955
               73.019997                      -178.45526
               73.279999                       178.98894
               73.540001                       176.40275
               73.800003                       173.78581
               74.059998                       171.13755
                   74.32                       168.45728
               74.580002                       165.74402
               74.839996                       162.99657
               75.099998                       160.21337
               75.360001                       157.39255
               75.620003                        154.5318
               75.879997                       151.62837
               76.139999                        148.6791
               76.400002                       145.68032
               76.659996                       142.62795
               76.919998                       139.51744
                   77.18                       136.34384
               77.440002                       133.10176
               77.699997                       129.78536
               77.959999                       126.38838
               78.220001                       122.90394
               78.480003                       119.32471
               78.739998                       115.64255
                      79                       111.84868
               79.260002                       107.93334
               79.519997                       103.88596
               79.779999                       99.694825
               80.040001                       95.347299
               80.300003                       90.829457
               80.559998                       86.126435
                   80.82                       81.221895
               81.080002                       76.098215
               81.339996                        70.73597
               81.599998                       65.113714
               81.860001                       59.207183
               82.120003                       52.988624
               82.379997                       46.425386
               82.639999                       39.478482
               82.900002                       32.100677
               83.159996                       24.234374
               83.419998                       15.809229
                   83.68                       6.7409495
               83.940002                       -3.068213
               84.199997                      -13.723144
               84.459999                      -25.320094
               84.720001                      -37.915183
               84.980003                       -51.47573
               85.239998                      -65.827981
                    85.5                      -80.636294
               85.760002                      -95.452532
               86.019997                      -109.83024
               86.279999                      -123.43784
               86.540001                       -136.1062
               86.800003                      -147.80681
               87.059998                        -158.599
                   87.32                      -168.58217
               87.580002                      -177.86385
               87.839996                        173.4552
               88.099998                       165.28755
               88.360001                       157.55939
               88.620003                       150.20994
               88.879997                       143.18888
               89.139999                       136.45476
               89.400002                       129.97318
               89.659996                        123.7158
               89.919998                        117.6589
                   90.18                       111.78302
               90.440002                       106.07216
               90.699997                       100.51337
               90.959999                       95.096267
               91.220001                       89.812487
               91.480003                       84.655639
               91.739998                       79.620315
                      92                       74.702142
               92.260002                       69.897458
               92.519997                       65.202494
               92.779999                       60.613866
               93.040001                       56.127798
               93.300003                       51.740302
               93.559998                       47.447338
                   93.82                       43.244643
               94.080002                       39.128002
               94.339996                       35.093328
               94.599998                       31.136955
               94.860001                       27.255604
               95.120003                       23.446327
               95.379997                       19.706989
               95.639999                       16.035569
               95.900002                       12.430487
               96.159996                       8.8903725
               96.419998                       5.4136968
                   96.68                       1.9988212
               96.940002                      -1.3562224
               97.199997                      -4.6536191
               97.459999                      -7.8963203
               97.720001                      -11.087329
               97.980003                      -14.230091
               98.239998                      -17.328211
                    98.5                      -20.385185
               98.760002                      -23.404563
               99.019997                      -26.389414
               99.279999                      -29.342786
               99.540001                       -32.26731
               99.800003                       -35.16555
                  100.06                      -38.039691
                  100.32                      -40.892144
                  100.58                      -43.725418
                  100.84                      -46.542292
                   101.1                      -49.346006
                  101.36                      -52.139989
                  101.62                      -54.928237
                  101.88                      -57.714898
                  102.14                      -60.504404
                   102.4                      -63.301011
                  102.66                      -66.109095
                  102.92                      -68.932421
                  103.18                      -71.774708
                  103.44                      -74.639125
                   103.7                      -77.528515
                  103.96                      -80.445442
                  104.22                      -83.392313
                  104.48                      -86.371423
                  104.74                      -89.385176
                     105                      -92.436358
                  105.26                      -95.527756
                  105.52                      -98.662977
                  105.78                      -101.84552
                  106.04                      -105.07948
                   106.3                      -108.36922
                  106.56                      -111.71907
                  106.82                      -115.13362
                  107.08                      -118.61751
                  107.34                      -122.17511
                   107.6                      -125.81101
                  107.86                       -129.5298
                  108.12                       -133.3358
                  108.38                      -137.23376
                  108.64                      -141.22866
                   108.9                      -145.32558
                  109.16                       -149.5298
                  109.42                      -153.84741
                  109.68                      -158.28408
                  109.94                      -162.84605
                   110.2                      -167.53942
                  110.46                      -172.37001
                  110.72                      -177.34337
                  110.98                       177.53579
                  111.24                       172.26365
                   111.5                       166.83753
