        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                      40                      -5.3965825
               40.259998                      -5.3578126
                   40.52                      -5.3167989
               40.779999                      -5.2738841
               41.040001                       -5.229427
               41.299999                      -5.1838023
               41.560001                      -5.1373835
                   41.82                      -5.0905335
               42.079998                      -5.0435857
                   42.34                      -4.9968386
               42.599998                      -4.9505423
               42.860001                      -4.9049032
               43.119999                      -4.8600875
               43.380001                      -4.8162355
               43.639999                       -4.773477
               43.900002                      -4.7319441
                   44.16                      -4.6917819
               44.419998                      -4.6531607
                   44.68                      -4.6162733
               44.939999                      -4.5813362
               45.200001                      -4.5485721
               45.459999                      -4.5182055
               45.720001                      -4.4904467
                   45.98                      -4.4654851
               46.240002                      -4.4434733
                    46.5                      -4.4245405
               46.759998                      -4.4087832
                   47.02                      -4.3962806
               47.279999                      -4.3871027
               47.540001                       -4.381327
               47.799999                      -4.3790414
               48.060001                      -4.3803578
                   48.32                      -4.3854113
               48.579998                      -4.3943558
                   48.84                      -4.4073568
               49.099998                      -4.4245798
               49.360001                      -4.4461785
               49.619999                      -4.4722824
               49.880001                      -4.5029826
               50.139999                      -4.5383364
               50.400002                      -4.5783545
                   50.66                      -4.6230141
               50.919998                      -4.6722596
                   51.18                       -4.726017
               51.439999                      -4.7841947
               51.700001                      -4.8466964
               51.959999                      -4.9134182
               52.220001                      -4.9842455
                   52.48                      -5.0590472
               52.740002                      -5.1376626
                      53                      -5.2198857
               53.259998                      -5.3054579
                   53.52                      -5.3940512
               53.779999                      -5.4852722
               54.040001                      -5.5786616
               54.299999                      -5.6737073
               54.560001                      -5.7698602
                   54.82                      -5.8665656
               55.079998                      -5.9632815
                   55.34                      -6.0595089
               55.599998                      -6.1548184
               55.860001                      -6.2488563
               56.119999                      -6.3413579
               56.380001                      -6.4321477
               56.639999                      -6.5211272
               56.900002                      -6.6082628
                   57.16                      -6.6935742
               57.419998                      -6.7771195
                   57.68                      -6.8589825
               57.939999                      -6.9392633
               58.200001                      -7.0180813
               58.459999                      -7.0955655
               58.720001                      -7.1718528
                   58.98                       -7.247082
               59.240002                      -7.3213828
                    59.5                      -7.3948579
               59.759998                      -7.4675631
                   60.02                       -7.539483
               60.279999                      -7.6105117
               60.540001                      -7.6804362
               60.799999                      -7.7489252
               61.060001                      -7.8155403
                   61.32                      -7.8797494
               61.579998                      -7.9409553
                   61.84                      -7.9985401
               62.099998                       -8.051901
               62.360001                      -8.1005012
               62.619999                      -8.1438944
               62.880001                      -8.1817558
               63.139999                      -8.2138878
               63.400002                      -8.2402133
                   63.66                      -8.2607613
               63.919998                       -8.275643
                   64.18                      -8.2850276
               64.440002                      -8.2891234
               64.699997                      -8.2881676
               64.959999                      -8.2824194
               65.220001                      -8.2721748
               65.480003                      -8.2577747
               65.739998                      -8.2396141
                      66                      -8.2181557
               66.260002                      -8.1939293
               66.519997                      -8.1675203
               66.779999                      -8.1395529
               67.040001                       -8.110663
               67.300003                      -8.0814707
               67.559998                      -8.0525519
                   67.82                      -8.0244128
               68.080002                      -7.9974889
               68.339996                      -7.9721307
               68.599998                      -7.9486244
               68.860001                      -7.9272037
               69.120003                      -7.9080742
               69.379997                       -7.891436
               69.639999                      -7.8775021
               69.900002                      -7.8665083
               70.159996                      -7.8587128
               70.419998                      -7.8543897
                   70.68                      -7.8538084
               70.940002                      -7.8572173
               71.199997                      -7.8648144
               71.459999                      -7.8767342
               71.720001                      -7.8930318
               71.980003                      -7.9136877
               72.239998                      -7.9386087
                    72.5                      -7.9676491
               72.760002                      -8.0006325
               73.019997                      -8.0373773
               73.279999                      -8.0777197
               73.540001                      -8.1215279
               73.800003                        -8.16871
               74.059998                      -8.2192094
                   74.32                      -8.2729923
               74.580002                      -8.3300222
               74.839996                      -8.3902413
               75.099998                      -8.4535466
               75.360001                      -8.5197776
               75.620003                      -8.5887116
               75.879997                      -8.6600779
               76.139999                      -8.7335775
               76.400002                      -8.8089205
               76.659996                       -8.885867
