        Frequency / MHz                S1,1/arg,degrees
----------------------------------------------------------------------
                      40                       73.508819
               40.259998                       71.962476
                   40.52                       70.380339
               40.779999                       68.762137
               41.040001                       67.107715
               41.299999                       65.417149
               41.560001                       63.690784
                   41.82                       61.929271
               42.079998                       60.133526
                   42.34                       58.304666
               42.599998                       56.443922
               42.860001                       54.552513
               43.119999                       52.631579
               43.380001                       50.682094
               43.639999                        48.70484
               43.900002                       46.700416
                   44.16                       44.669293
               44.419998                       42.611908
                   44.68                       40.528737
               44.939999                       38.420356
               45.200001                       36.287559
               45.459999                       34.131327
               45.720001                       31.952856
                   45.98                       29.753511
               46.240002                       27.534727
                    46.5                       25.297975
               46.759998                       23.044652
                   47.02                       20.776041
               47.279999                        18.49329
               47.540001                       16.197402
               47.799999                       13.889302
               48.060001                        11.56988
                   48.32                       9.2400942
               48.579998                       6.9010364
                   48.84                       4.5540051
               49.099998                       2.2005448
               49.360001                      -0.1575489
               49.619999                      -2.5182538
               49.880001                      -4.8793731
               50.139999                       -7.238609
               50.400002                       -9.593634
                   50.66                      -11.942164
               50.919998                      -14.281993
                   51.18                      -16.611023
               51.439999                       -18.92724
               51.700001                       -21.22869
               51.959999                      -23.513414
               52.220001                      -25.779402
                   52.48                      -28.024551
               52.740002                      -30.246648
                      53                        -32.4434
               53.259998                      -34.612477
                   53.52                      -36.751636
               53.779999                      -38.858845
               54.040001                      -40.932453
               54.299999                       -42.97124
               54.560001                      -44.974657
                   54.82                       -46.94274
               55.079998                      -48.876208
                   55.34                      -50.776479
               55.599998                      -52.645374
               55.860001                      -54.485156
               56.119999                      -56.298269
               56.380001                       -58.08724
               56.639999                      -59.854424
               56.900002                      -61.602097
                   57.16                      -63.332207
               57.419998                      -65.046435
                   57.68                      -66.746262
               57.939999                      -68.432724
               58.200001                      -70.106859
               58.459999                       -71.76915
               58.720001                      -73.420086
                   58.98                      -75.059619
               59.240002                      -76.687301
                    59.5                      -78.302416
               59.759998                      -79.903733
                   60.02                       -81.48973
               60.279999                      -83.058577
               60.540001                      -84.608613
               60.799999                      -86.138091
               61.060001                      -87.645841
                   61.32                      -89.131319
               61.579998                       -90.59481
                   61.84                      -92.037557
               62.099998                      -93.461815
               62.360001                      -94.870726
               62.619999                      -96.268176
               62.880001                      -97.658564
               63.139999                      -99.046567
               63.400002                      -100.43689
                   63.66                      -101.83406
               63.919998                      -103.24235
                   64.18                      -104.66573
               64.440002                      -106.10788
               64.699997                      -107.57229
               64.959999                      -109.06232
               65.220001                      -110.58128
               65.480003                      -112.13244
               65.739998                      -113.71895
                      66                      -115.34375
               66.260002                      -117.00947
               66.519997                      -118.71823
               66.779999                       -120.4715
               67.040001                      -122.27018
               67.300003                      -124.11441
               67.559998                      -126.00377
                   67.82                      -127.93732
               68.080002                      -129.91393
               68.339996                      -131.93225
               68.599998                      -133.99109
               68.860001                       -136.0894
               69.120003                      -138.22635
               69.379997                      -140.40137
               69.639999                      -142.61401
               69.900002                      -144.86386
               70.159996                       -147.1504
               70.419998                      -149.47288
                   70.68                      -151.83026
               70.940002                      -154.22114
               71.199997                      -156.64382
               71.459999                       -159.0964
               71.720001                      -161.57696
               71.980003                       -164.0837
               72.239998                      -166.61503
                    72.5                      -169.16988
               72.760002                      -171.74755
               73.019997                      -174.34793
               73.279999                      -176.97128
               73.540001                       -179.6182
               73.800003                       177.71054
               74.059998                       175.01409
                   74.32                       172.29174
               74.580002                       169.54288
               74.839996                       166.76695
               75.099998                       163.96345
               75.360001                       161.13173
               75.620003                        158.2707
               75.879997                       155.37877
               76.139999                       152.45353
               76.400002                       149.49168
               76.659996                       146.48909
               76.919998                       143.44067
                   77.18                       140.34073
               77.440002                       137.18303
               77.699997                       133.96117
               77.959999                       130.66866
               78.220001                       127.29925
               78.480003                       123.84676
               78.739998                       120.30522
                      79                       116.66864
               79.260002                       112.93069
               79.519997                       109.08458
               79.779999                       105.12283
               80.040001                       101.03696
               80.300003                       96.817567
               80.559998                       92.454332
                   80.82                       87.936435
               81.080002                        83.25251
               81.339996                       78.391409
               81.599998                       73.342398
               81.860001                       68.095392
               82.120003                       62.641269
               82.379997                       56.971801
               82.639999                       51.079341
               82.900002                       44.956457
               83.159996                        38.59496
               83.419998                       31.985028
                   83.68                       25.113202
               83.940002                       17.960655
               84.199997                       10.499959
               84.459999                       2.6908931
               84.720001                      -5.5256331
               84.980003                      -14.236308
               85.239998                       -23.56826
                    85.5                      -33.707048
               85.760002                       -44.91976
               86.019997                      -57.575584
               86.279999                      -72.133365
               86.540001                      -89.010735
               86.800003                      -108.20805
               87.059998                      -128.79326
                   87.32                      -148.97941
               87.580002                      -167.17553
               87.839996                       177.20678
               88.099998                       163.96583
               88.360001                        152.6293
               88.620003                       142.74296
               88.879997                       133.95103
               89.139999                       125.99282
               89.400002                       118.68026
               89.659996                       111.87722
               89.919998                         105.484
                   90.18                       99.426498
               90.440002                       93.649468
               90.699997                        88.11095
               90.959999                       82.779304
               91.220001                       77.630435
               91.480003                       72.645762
               91.739998                       67.810754
                      92                       63.113551
               92.260002                       58.544263
               92.519997                       54.094039
               92.779999                       49.754683
               93.040001                       45.518438
               93.300003                       41.377705
               93.559998                       37.325324
                   93.82                       33.354742
               94.080002                       29.460061
               94.339996                       25.636193
               94.599998                       21.878879
               94.860001                       18.185059
               95.120003                       14.552107
               95.379997                       10.978334
               95.639999                       7.4622077
               95.900002                       4.0023617
               96.159996                      0.59737565
               96.419998                      -2.7547719
                   96.68                      -6.0561027
               96.940002                      -9.3094586
               97.199997                      -12.517899
               97.459999                      -15.684594
               97.720001                       -18.81293
               97.980003                      -21.906075
               98.239998                       -24.96704
                    98.5                      -27.998387
               98.760002                      -31.002359
               99.019997                      -33.981032
               99.279999                      -36.936101
               99.540001                      -39.869583
               99.800003                      -42.783399
                  100.06                      -45.679997
                  100.32                      -48.562066
                  100.58                      -51.432873
                  100.84                      -54.295869
                   101.1                      -57.155098
                  101.36                      -60.014323
                  101.62                      -62.877703
                  101.88                      -65.748842
                  102.14                      -68.631401
                   102.4                      -71.528709
                  102.66                        -74.4434
                  102.92                       -77.37836
                  103.18                       -80.33594
                  103.44                      -83.318492
                   103.7                       -86.32842
                  103.96                      -89.368346
                  104.22                      -92.440893
                  104.48                      -95.549012
                  104.74                      -98.695762
                     105                      -101.88448
                  105.26                      -105.11833
                  105.52                      -108.40091
                  105.78                      -111.73563
                  106.04                      -115.12586
                   106.3                        -118.575
                  106.56                      -122.08648
                  106.82                      -125.66392
                  107.08                      -129.31096
                  107.34                      -133.03145
                   107.6                      -136.82964
                  107.86                      -140.70979
                  108.12                      -144.67682
                  108.38                      -148.73553
                  108.64                       -152.8914
                   108.9                      -157.14983
                  109.16                      -161.51629
                  109.42                      -165.99629
                  109.68                      -170.59503
                  109.94                       -175.3177
                   110.2                       179.83101
                  110.46                        174.8471
                  110.72                       169.72714
                  110.98                       164.46833
                  111.24                       159.06942
                   111.5                       153.52987
                  111.76                       147.85064
                  112.02                       142.03416
                  112.28                       136.08436
                  112.54                       130.00768
                   112.8                       123.81133
                  113.06                        117.5057
                  113.32                       111.10248
                  113.58                       104.61555
                  113.84                        98.06075
                   114.1                       91.455465
                  114.36                       84.818816
                  114.62                       78.170474
                  114.88                       71.531093
                  115.14                       64.921326
                   115.4                       58.361394
