        Time / ns                i1 (Mesh Pass=2)/real
----------------------------------------------------------------------
                       0                  -2.5894451e-09
             0.036321517                   1.4153831e-06
             0.072643034                   1.5170909e-06
              0.10896454                   1.6233353e-06
              0.14528607                   1.7340401e-06
              0.18160756                   1.8490852e-06
              0.21792908                   1.9683064e-06
              0.25425059                   2.0914847e-06
              0.29057214                   2.2183453e-06
              0.32689363                   2.3485482e-06
              0.36321512                   2.4816816e-06
              0.39953664                   2.6172579e-06
              0.43585816                   2.7547035e-06
              0.47217968                   2.8933512e-06
              0.50850117                   3.0324327e-06
              0.54482269                   3.1710695e-06
              0.58114427                   3.3082638e-06
              0.61746573                   3.4428888e-06
              0.65378726                   3.5736778e-06
              0.69010878                   3.6992155e-06
              0.72643024                   3.8179246e-06
              0.76275182                   3.9280567e-06
              0.79907328                   4.0276786e-06
               0.8353948                   4.1146614e-06
              0.87171632                   4.1866679e-06
              0.90803784                   4.2411389e-06
              0.94435936                   4.2752804e-06
              0.98068088                   4.2860515e-06
               1.0170023                   4.2701486e-06
               1.0533239                    4.223994e-06
               1.0896454                   4.1437211e-06
               1.1259669                   4.0251612e-06
               1.1622885                   3.8638282e-06
               1.1986099                   3.6549086e-06
               1.2349315                   3.3932456e-06
                1.271253                   3.0733279e-06
               1.3075745                   2.6892772e-06
                1.343896                   2.2348361e-06
               1.3802176                   1.7033592e-06
                1.416539                   1.0878017e-06
               1.4528605                   3.8071215e-07
               1.4891821                  -4.2577568e-07
               1.5255036                  -1.3399474e-06
               1.5618252                  -2.3705129e-06
               1.5981466                  -3.5266075e-06
               1.6344681                  -4.8177931e-06
               1.6707896                   -6.254053e-06
               1.7071111                  -7.8457906e-06
               1.7434326                  -9.6038166e-06
               1.7797542                  -1.1539341e-05
               1.8160757                  -1.3663957e-05
               1.8523972                  -1.5989623e-05
               1.8887187                  -1.8528634e-05
               1.9250401                  -2.1293605e-05
               1.9613618                  -2.4297426e-05
               1.9976834                  -2.7553238e-05
               2.0340047                  -3.1074378e-05
               2.0703263                  -3.4874334e-05
               2.1066477                  -3.8966689e-05
               2.1429694                  -4.3365064e-05
               2.1792908                  -4.8083046e-05
               2.2156124                  -5.3134099e-05
               2.2519338                  -5.8531503e-05
               2.2882555                  -6.4288244e-05
               2.3245771                  -7.0416907e-05
               2.3608983                  -7.6929588e-05
               2.3972199                  -8.3837753e-05
               2.4335413                  -9.1152127e-05
               2.4698629                  -9.8882527e-05
               2.5061843                  -0.00010703773
                2.542506                  -0.00011562532
               2.5788274                   -0.0001246515
                2.615149                  -0.00013412091
               2.6514707                  -0.00014403643
               2.6877921                  -0.00015439901
               2.7241137                  -0.00016520736
               2.7604351                  -0.00017645782
               2.7967565                   -0.0001881441
               2.8330779                  -0.00020025695
               2.8693995                    -0.000212784
               2.9057209                  -0.00022570937
               2.9420426                  -0.00023901349
               2.9783642                  -0.00025267273
               3.0146856                  -0.00026665913
               3.0510073                  -0.00028094006
               3.0873287                   -0.0002954778
               3.1236503                  -0.00031022946
               3.1599717                  -0.00032514631
               3.1962931                  -0.00034017366
               3.2326145                  -0.00035525041
               3.2689362                  -0.00037030867
               3.3052578                  -0.00038527345
               3.3415792                  -0.00040006221
               3.3779008                  -0.00041458459
               3.4142222                  -0.00042874194
               3.4505439                    -0.000442427
               3.4868653                  -0.00045552361
               3.5231869                  -0.00046790618
               3.5595083                  -0.00047943951
                 3.59583                  -0.00048997841
               3.6321514                  -0.00049936731
               3.6684728                  -0.00050744013
               3.7047944                  -0.00051401975
               3.7411158                  -0.00051891798
               3.7774374                  -0.00052193529
               3.8137591                  -0.00052286056
               3.8500803                  -0.00052147091
               3.8864019                  -0.00051753159
               3.9227235                  -0.00051079603
               3.9590452                   -0.0005010055
               3.9953668                  -0.00048788957
               4.0316877                  -0.00047116572
               4.0680094                  -0.00045053981
                4.104331                  -0.00042570615
               4.1406527                  -0.00039634772
               4.1769738                  -0.00036213663
               4.2132955                  -0.00032273438
               4.2496171                  -0.00027779257
               4.2859387                  -0.00022695326
               4.3222604                  -0.00016984981
               4.3585815                  -0.00010610758
               4.3949032                   -3.534487e-05
               4.4312248                   4.2826159e-05
               4.4675465                   0.00012879835
               4.5038676                   0.00022296836
               4.5401893                   0.00032573531
               4.5765109                   0.00043749934
               4.6128325                   0.00055866007
               4.6491542                   0.00068961486
               4.6854753                   0.00083075691
               4.7217965                   0.00098247337
               4.7581182                    0.0011451433
               4.7944398                    0.0013191352
                4.830761                    0.0015048048
               4.8670826                    0.0017024926
               4.9034042                    0.0019125208
               4.9397259                    0.0021351911
               4.9760475                    0.0023707813
               5.0123687                    0.0026195424
               5.0486903                    0.0028816953
                5.085012                    0.0031574273
               5.1213336                    0.0034468891
               5.1576548                    0.0037501913
               5.1939764                    0.0040673995
                5.230298                    0.0043985317
               5.2666197                    0.0047435546
               5.3029413                    0.0051023779
               5.3392625                    0.0054748529
               5.3755841                     0.005860765
               5.4119058                     0.006259833
               5.4482274                    0.0066717025
               5.4845486                    0.0070959418
               5.5208702                    0.0075320397
               5.5571914                    0.0079793986
                5.593513                    0.0084373308
               5.6298347                    0.0089050569
               5.6661558                    0.0093816975
               5.7024775                     0.009866273
               5.7387991                     0.010357697
               5.7751207                     0.010854774
               5.8114419                     0.011356195
               5.8477635                     0.011860535
               5.8840852                     0.012366249
               5.9204068                     0.012871669
               5.9567285                     0.013374998
               5.9930496                     0.013874318
               6.0293713                     0.014367574
               6.0656929                     0.014852582
               6.1020145                     0.015327026
               6.1383357                     0.015788453
               6.1746573                     0.016234277
                6.210979                     0.016661774
               6.2473006                     0.017068092
               6.2836223                      0.01745024
               6.3199434                     0.017805094
               6.3562651                     0.018129406
               6.3925862                     0.018419798
               6.4289079                     0.018672772
                6.465229                     0.018884704
               6.5015507                     0.019051859
               6.5378723                     0.019170398
                6.574194                     0.019236375
               6.6105156                     0.019245747
               6.6468368                     0.019194391
               6.6831584                     0.019078098
                 6.71948                     0.018892594
               6.7558017                     0.018633546
               6.7921228                     0.018296575
               6.8284445                     0.017877268
               6.8647661                     0.017371185
               6.9010878                     0.016773883
               6.9374094                     0.016080925
               6.9737306                     0.015287897
               7.0100522                     0.014390422
               7.0463738                      0.01338418
               7.0826955                     0.012264928
               7.1190166                     0.011028511
               7.1553383                    0.0096708918
               7.1916599                    0.0081881629
               7.2279811                    0.0065765749
               7.2643027                      0.00483255
               7.3006239                    0.0029527117
               7.3369455                   0.00093390333
               7.3732672                   -0.0012267875
               7.4095888                   -0.0035320048
                 7.44591                    -0.005984101
               7.4822316                   -0.0085851112
               7.5185528                    -0.011336731
               7.5548749                    -0.014240289
               7.5911961                    -0.017296726
               7.6275182                    -0.020506563
               7.6638393                    -0.023869885
               7.7001605                    -0.027386315
               7.7364826                    -0.031054987
               7.7728038                    -0.034874521
               7.8091259                     -0.03884301
               7.8454471                    -0.042957984
               7.8817682                    -0.047216401
               7.9180903                    -0.051614616
               7.9544115                     -0.05614838
               7.9907336                    -0.060812794
               8.0270548                     -0.06560231
               8.0633755                     -0.07051073
               8.0996981                    -0.075531147
               8.1360188                    -0.080655977
               8.1723404                    -0.085876942
                8.208662                    -0.091185033
               8.2449837                    -0.096570522
               8.2813053                     -0.10202298
                8.317627                     -0.10753123
