        Frequency / MHz                Port 1 [1] (8)/arg,degrees
----------------------------------------------------------------------
                      40                        55.47547
                   40.26                       56.708638
                   40.52                       57.861778
                   40.78                       58.932206
                   41.04                       59.916963
                    41.3                       60.818405
                   41.56                       61.645969
                   41.82                       62.413339
                   42.08                       63.132945
                   42.34                       63.811141
                    42.6                       64.446863
                   42.86                       65.034449
                   43.12                       65.568835
                   43.38                       66.049994
                   43.64                       66.484084
                    43.9                       66.880733
                   44.16                       67.248148
                   44.42                       67.588924
                   44.68                       67.898991
                   44.94                       68.170292
                    45.2                       68.395569
                   45.46                       68.572407
                   45.72                       68.704176
                   45.98                       68.797261
                   46.24                       68.856134
                    46.5                       68.879036
                   46.76                       68.856745
                   47.02                       68.775115
                   47.28                       68.619856
                   47.54                       68.380601
                    47.8                       68.051633
                   48.06                       67.628354
                   48.32                       67.100868
                   48.58                        66.44764
                   48.84                       65.632152
                    49.1                        64.60369
                   49.36                        63.30067
                   49.62                       61.652966
                   49.88                        59.57946
                   50.14                       56.979028
                    50.4                       53.717347
                   50.66                       49.618277
                   50.92                       44.477531
                   51.18                        38.12625
                   51.44                       30.568975
                    51.7                       22.164197
                   51.96                       13.692803
                   52.22                       6.1451071
                   52.48                      0.34518291
                   52.74                      -3.2503468
                      53                      -4.4866547
                   53.26                      -3.3637929
                   53.52                     0.030070854
                   53.78                       5.4702676
                   54.04                       12.491438
                    54.3                        20.36343
                   54.56                        28.25966
                   54.82                       35.527647
                   55.08                       41.836721
                   55.34                       47.131601
                    55.6                       51.504253
                   55.86                       55.091858
                   56.12                       58.027503
                   56.38                       60.426733
                   56.64                       62.388769
                    56.9                       63.999668
                   57.16                       65.332935
                   57.42                       66.448038
                   57.68                       67.389133
                   57.94                       68.185989
                    58.2                       68.857559
                   58.46                       69.417026
                   58.72                       69.876298
                   58.98                       70.248339
                   59.24                       70.546855
                    59.5                       70.784194
                   59.76                       70.969065
                   60.02                       71.105562
                   60.28                       71.194093
                   60.54                       71.233679
                    60.8                        71.22436
                   61.06                       71.168457
                   61.32                       71.070141
                   61.58                       70.933699
                   61.84                       70.761582
                    62.1                       70.553373
                   62.36                       70.306238
                   62.62                       70.016556
                   62.88                       69.681772
                   63.14                       69.301411
                    63.4                       68.876718
                   63.66                       68.409145
                   63.92                       67.898587
                   64.18                       67.342372
                   64.44                       66.735579
                    64.7                       66.072446
                   64.96                       65.348032
                   65.22                       64.559112
                   65.48                       63.703749
                   65.74                       62.779739
                      66                       61.782788
                   66.26                        60.70546
                   66.52                       59.537472
                   66.78                       58.267122
                   67.04                       56.882935
                    67.3                       55.374451
                   67.56                       53.731557
                   67.82                       51.942634
                   68.08                       49.992557
                   68.34                       47.861799
                    68.6                       45.527323
                   68.86                       42.964961
                   69.12                       40.152172
                   69.38                       37.069881
                   69.64                       33.702889
                    69.9                       30.039562
                   70.16                       26.072515
                   70.42                       21.801831
                   70.68                       17.240852
                   70.94                       12.422369
                    71.2                       7.4017138
                   71.46                       2.2540657
                   71.72                      -2.9337759
                   71.98                      -8.0738422
                   72.24                      -13.085638
                    72.5                       -17.90101
                   72.76                      -22.466044
                   73.02                       -26.74186
                   73.28                      -30.705215
                   73.54                      -34.348385
                    73.8                       -37.67736
                   74.06                      -40.708192
                   74.32                      -43.462397
                   74.58                      -45.962856
                   74.84                      -48.231283
                    75.1                      -50.287489
                   75.36                      -52.149861
                   75.62                      -53.836106
                   75.88                      -55.363526
                   76.14                      -56.748609
                    76.4                      -58.006219
                   76.66                      -59.148927
                   76.92                      -60.186868
                   77.18                      -61.128205
                   77.44                      -61.979916
                    77.7                      -62.748494
                   77.96                      -63.440237
                   78.22                      -64.061077
                   78.48                      -64.616141
                   78.74                      -65.109372
                      79                      -65.543459
                   79.26                      -65.920116
                   79.52                      -66.240554
                   79.78                      -66.505902
                   80.04                      -66.717361
                    80.3                      -66.876058
                   80.56                       -66.98273
                   80.82                      -67.037451
                   81.08                      -67.039569
                   81.34                      -66.987899
                    81.6                      -66.881077
                   81.86                      -66.717882
                   82.12                      -66.497398
                   82.38                      -66.218953
                   82.64                      -65.881942
                    82.9                      -65.485674
                   83.16                      -65.029401
                   83.42                       -64.51255
                   83.68                      -63.935117
                   83.94                      -63.298048
                    84.2                      -62.603492
                   84.46                      -61.854861
                   84.72                       -61.05674
                   84.98                       -60.21478
                   85.24                      -59.335687
                    85.5                      -58.427337
                   85.76                      -57.498953
                   86.02                      -56.561191
                   86.28                      -55.625999
                   86.54                      -54.706196
                    86.8                      -53.814864
                   87.06                      -52.964695
                   87.32                      -52.167481
                   87.58                      -51.433792
                   87.84                      -50.772825
                    88.1                      -50.192264
                   88.36                      -49.698085
                   88.62                      -49.294264
                   88.88                      -48.982508
                   89.14                      -48.762132
                    89.4                      -48.630195
                   89.66                      -48.581866
                   89.92                      -48.610905
                   90.18                      -48.710093
                   90.44                      -48.871509
                    90.7                      -49.086658
                   90.96                      -49.346542
                   91.22                      -49.641792
                   91.48                      -49.962914
                   91.74                      -50.300637
                      92                      -50.646232
                   92.26                      -50.991709
                   92.52                      -51.329832
                   92.78                      -51.654006
                   93.04                      -51.958113
                    93.3                      -52.236428
                   93.56                      -52.483638
                   93.82                      -52.694941
                   94.08                      -52.866137
                   94.34                      -52.993631
                    94.6                      -53.074302
                   94.86                       -53.10531
                   95.12                      -53.083886
                   95.38                      -53.007229
                   95.64                      -52.872498
                    95.9                      -52.676902
                   96.16                      -52.417773
                   96.42                      -52.092578
                   96.68                      -51.698821
                   96.94                      -51.233883
                    97.2                      -50.694882
                   97.46                      -50.078613
                   97.72                      -49.381616
                   97.98                       -48.60032
                   98.24                      -47.731192
                    98.5                      -46.770829
                   98.76                      -45.715953
                   99.02                      -44.563375
                   99.28                      -43.309985
                   99.54                      -41.952869
                    99.8                       -40.48956
                  100.06                      -38.918387
                  100.32                      -37.238827
                  100.58                      -35.451784
                  100.84                      -33.559759
                   101.1                      -31.566979
                  101.36                      -29.479516
                  101.62                      -27.305479
                  101.88                      -25.055223
                  102.14                      -22.741484
                   102.4                      -20.379313
                  102.66                       -17.98573
                  102.92                      -15.579156
                  103.18                      -13.178714
                  103.44                      -10.803559
                   103.7                      -8.4723096
                  103.96                      -6.2025882
                  104.22                      -4.0106178
                  104.48                      -1.9108285
                  104.74                     0.084504103
                     105                       1.9655163
                  105.26                       3.7248334
                  105.52                       5.3574366
                  105.78                       6.8603691
                  106.04                       8.2323826
                   106.3                       9.4736212
                  106.56                       10.585397
                  106.82                       11.570041
                  107.08                       12.430774
                  107.34                       13.171553
                   107.6                       13.796865
                  107.86                       14.311512
                  108.12                       14.720431
                  108.38                       15.028597
                  108.64                       15.241011
                   108.9                        15.36274
                  109.16                       15.398953
                  109.42                       15.354912
                  109.68                        15.23591
                  109.94                       15.047193
                   110.2                       14.793898
                  110.46                       14.481046
                  110.72                       14.113582
                  110.98                       13.696433
                  111.24                       13.234546
                   111.5                       12.732866
                  111.76                       12.196268
                  112.02                       11.629483
                  112.28                       11.037042
                  112.54                       10.423273
                   112.8                       9.7923307
                  113.06                       9.1482466
                  113.32                       8.4949351
                  113.58                       7.8361642
                  113.84                       7.1754943
                   114.1                       6.5162212
                  114.36                       5.8613574
                  114.62                       5.2136617
                  114.88                        4.575698
                  115.14                       3.9498892
                   115.4                       3.3385382
                  115.66                       2.7438096
                  115.92                       2.1676943
                  116.18                       1.6119906
                  116.44                       1.0783242
                   116.7                      0.56820543
                  116.96                     0.083099427
                  117.22                     -0.37552563
                  117.48                     -0.80618939
                  117.74                      -1.2074242
                     118                      -1.5778066
                  118.26                      -1.9159667
                  118.52                      -2.2205604
                  118.78                      -2.4902179
                  119.04                      -2.7234979
                   119.3                      -2.9188723
                  119.56                      -3.0747523
                  119.82                      -3.1895375
                  120.08                      -3.2616587
                  120.34                        -3.28959
                   120.6                      -3.2718277
                  120.86                      -3.2068561
                  121.12                      -3.0931321
                  121.38                      -2.9291085
                  121.64                      -2.7132942
                   121.9                      -2.4443256
                  122.16                      -2.1210214
                  122.42                       -1.742402
                  122.68                      -1.3076827
                  122.94                     -0.81626986
                   123.2                     -0.26778711
                  123.46                      0.33785686
                  123.72                       1.0003747
                  123.98                       1.7190155
                  124.24                       2.4925184
                   124.5                       3.3191135
                  124.76                        4.196551
                  125.02                        5.122125
                  125.28                       6.0926681
                  125.54                       7.1045171
                   125.8                       8.1534806
                  126.06                       9.2348432
                  126.32                        10.34343
                  126.58                       11.473722
                  126.84                       12.619985
                   127.1                        13.77637
                  127.36                       14.936979
                  127.62                       16.095883
                  127.88                        17.24716
                  128.14                       18.384959
                   128.4                       19.503614
                  128.66                       20.597771
                  128.92                       21.662491
                  129.18                       22.693288
                  129.44                       23.686111
                   129.7                        24.63729
                  129.96                       25.543495
                  130.22                       26.401743
                  130.48                       27.209434
                  130.74                       27.964404
                     131                       28.664931
                  131.26                       29.309682
                  131.52                       29.897625
                  131.78                       30.427915
                  132.04                       30.899841
                   132.3                       31.312815
                  132.56                       31.666414
                  132.82                       31.960419
                  133.08                       32.194813
                  133.34                       32.369718
                   133.6                       32.485301
                  133.86                       32.541682
                  134.12                       32.538898
                  134.38                       32.476939
                  134.64                       32.355819
                   134.9                        32.17564
                  135.16                       31.936601
                  135.42                        31.63894
                  135.68                       31.282836
                  135.94                       30.868341
                   136.2                       30.395381
                  136.46                       29.863836
                  136.72                       29.273666
                  136.98                       28.625006
                  137.24                       27.918189
                   137.5                       27.153697
                  137.76                       26.332074
                  138.02                       25.453892
                  138.28                       24.519818
                  138.54                       23.530778
                   138.8                       22.488157
                  139.06                        21.39394
                  139.32                       20.250744
                  139.58                       19.061744
                  139.84                       17.830587
                   140.1                       16.561364
                  140.36                       15.258716
                  140.62                       13.928032
                  140.88                       12.575624
                  141.14                       11.208774
                   141.4                       9.8355928
                  141.66                       8.4647604
                  141.92                       7.1052556
                  142.18                       5.7662159
                  142.44                       4.4569545
                   142.7                       3.1870603
                  142.96                       1.9664343
                  143.22                      0.80514541
                  143.48                     -0.28689866
                  143.74                      -1.3003436
                     144                      -2.2266697
                  144.26                      -3.0582417
                  144.52                      -3.7881433
                  144.78                      -4.4099453
                  145.04                      -4.9176004
                   145.3                      -5.3055794
                  145.56                      -5.5692144
                  145.82                      -5.7050748
                  146.08                       -5.711174
                  146.34                      -5.5869041
                   146.6                      -5.3327725
                  146.86                      -4.9501604
                  147.12                       -4.441342
                  147.38                      -3.8098685
                  147.64                      -3.0612044
                   147.9                      -2.2033238
                  148.16                      -1.2469638
                  148.42                     -0.20540748
                  148.68                      0.90605551
                  148.94                       2.0706396
                   149.2                        3.270225
                  149.46                       4.4851427
                  149.72                       5.6939749
                  149.98                       6.8740495
                  150.24                       8.0032234
                   150.5                       9.0630429
                  150.76                       10.042614
                  151.02                       10.941873
                  151.28                       11.772769
                  151.54                         12.5573
                   151.8                       13.322376
                  152.06                       14.092628
                  152.32                       14.883223
                  152.58                       15.694906
                  152.84                       16.512805
                   153.1                       17.309216
                  153.36                       18.049228
                  153.62                       18.697176
                  153.88                       19.221962
                  154.14                       19.599943
                   154.4                       19.815199
                  154.66                       19.857867
                  154.92                       19.721731
                  155.18                       19.402164
                  155.44                       18.895078
                   155.7                       18.196908
                  155.96                       17.305202
                  156.22                       16.219202
                  156.48                       14.940036
                  156.74                       13.470458
                     157                        11.81448
                  157.26                       9.9773153
                  157.52                       7.9658909
                  157.78                        5.789826
                  158.04                       3.4624376
                   158.3                       1.0012541
                  158.56                      -1.5722571
                  158.82                      -4.2336536
                  159.08                      -6.9567563
                  159.34                      -9.7147153
                   159.6                      -12.480708
                  159.86                      -15.228414
                  160.12                      -17.932583
                  160.38                      -20.569891
                  160.64                      -23.119996
                   160.9                      -25.566427
                  161.16                      -27.896975
                  161.42                      -30.103431
                  161.68                      -32.180867
                  161.94                      -34.126795
                   162.2                      -35.940535
                  162.46                      -37.622899
                  162.72                      -39.176106
                  162.98                        -40.6037
                  163.24                      -41.910299
                   163.5                      -43.101151
                  163.76                      -44.181612
                  164.02                      -45.156735
                  164.28                      -46.031088
                  164.54                      -46.808821
                   164.8                      -47.493849
                  165.06                      -48.090015
                  165.32                      -48.601087
                  165.58                        -49.0306
                  165.84                      -49.381629
                   166.1                      -49.656615
                  166.36                      -49.857348
                  166.62                      -49.985109
                  166.88                      -50.040876
                  167.14                      -50.025492
                   167.4                      -49.939693
                  167.66                      -49.783996
                  167.92                      -49.558523
                  168.18                      -49.262883
                  168.44                      -48.896177
                   168.7                      -48.457151
                  168.96                      -47.944412
                  169.22                      -47.356614
                  169.48                      -46.692511
                  169.74                      -45.950907
                     170                      -45.130546
                  170.26                      -44.230075
                  170.52                      -43.248149
