        Frequency / MHz                Port 1 [1] (Mesh Pass=5)/abs,linear
----------------------------------------------------------------------
                      40                       1370.1026
                   40.26                       1352.6675
                   40.52                       1316.3687
                   40.78                       1265.0542
                   41.04                       1203.5393
                    41.3                       1136.5566
                   41.56                       1068.0066
                   41.82                       1000.6507
                   42.08                       936.17603
                   42.34                       875.45578
                    42.6                       818.84149
                   42.86                       766.38931
                   43.12                       717.99388
                   43.38                       673.45051
                   43.64                       632.48281
                    43.9                         594.766
                   44.16                       559.95761
                   44.42                        527.7312
                   44.68                       497.80148
                   44.94                       469.93195
                    45.2                       443.92542
                   45.46                       419.60599
                   45.72                       396.80412
                   45.98                       375.35232
                   46.24                       355.09196
                    46.5                       335.88475
                   46.76                       317.62059
                   47.02                       300.21648
                   47.28                       283.60711
                   47.54                       267.73328
                    47.8                       252.53527
                   48.06                       237.95572
                   48.32                         223.951
                   48.58                       210.50603
                   48.84                       197.64651
                    49.1                       185.44599
                   49.36                       174.03085
                   49.62                       163.59052
                   49.88                        154.4006
                   50.14                       146.85979
                    50.4                       141.52709
                   50.66                       139.12635
                   50.92                       140.47353
                   51.18                       146.30783
                   51.44                       157.07697
                    51.7                       172.76816
                   51.96                       192.80977
                   52.22                       215.97468
                   52.48                       240.25479
                   52.74                       262.85872
                      53                       280.63542
                   53.26                       291.03474
                   53.52                       293.10799
                   53.78                       287.73738
                   54.04                       276.93389
                    54.3                       262.86908
                   54.56                       247.27153
                   54.82                       231.28175
                   55.08                       215.55835
                   55.34                       200.44209
                    55.6                       186.08845
                   55.86                        172.5508
                   56.12                       159.82558
                   56.38                       147.87643
                   56.64                       136.64966
                    56.9                       126.08726
                   57.16                       116.13832
                   57.42                       106.76728
                   57.68                       97.958081
                   57.94                       89.714769
                    58.2                        82.06139
                   58.46                       75.044012
                   58.72                        68.73639
                   58.98                       63.247476
                   59.24                        58.72507
                    59.5                       55.346771
                   59.76                       53.290406
                   60.02                       52.686426
                   60.28                       53.572986
                   60.54                       55.882591
                    60.8                       59.469332
                   61.06                       64.155592
                   61.32                       69.770592
                   61.58                       76.169811
                   61.84                       83.239759
                    62.1                       90.896366
                   62.36                       99.082115
                   62.62                       107.76335
                   62.88                       116.92732
                   63.14                       126.57855
                    63.4                       136.73476
                   63.66                       147.42351
                   63.92                       158.68052
                   64.18                       170.55014
                   64.44                       183.08753
                    64.7                       196.36146
                   64.96                       210.45666
