        Frequency / MHz                Port 1 [1] (Mesh Pass=5)/arg,degrees
----------------------------------------------------------------------
                      40                      -2.6495966
                   40.26                      -9.4358211
                   40.52                        -15.9831
                   40.78                      -22.130868
                   41.04                      -27.769565
                    41.3                      -32.846324
                   41.56                      -37.358233
                   41.82                      -41.337254
                   42.08                      -44.833069
                   42.34                      -47.899278
                    42.6                      -50.585621
                   42.86                      -52.935913
                   43.12                      -54.989297
                   43.38                      -56.782018
                   43.64                      -58.347838
                    43.9                      -59.716853
                   44.16                      -60.913731
                   44.42                      -61.956767
                   44.68                      -62.858588
                   44.94                      -63.628234
                    45.2                      -64.273466
                   45.46                      -64.802047
                   45.72                      -65.221354
                   45.98                      -65.536699
                   46.24                      -65.749475
                    46.5                      -65.856296
                   46.76                      -65.849597
                   47.02                      -65.719192
                   47.28                      -65.453555
                   47.54                      -65.039615
                    47.8                      -64.460604
                   48.06                      -63.692524
                   48.32                      -62.700549
                   48.58                      -61.436623
                   48.84                      -59.838757
                    49.1                      -57.831529
                   49.36                      -55.326976
                   49.62                      -52.226312
                   49.88                       -48.42624
                   50.14                      -43.838722
                    50.4                      -38.436572
                   50.66                       -32.32973
                   50.92                      -25.845467
                   51.18                       -19.54165
                   51.44                      -14.093265
                    51.7                      -10.101128
                   51.96                      -7.9538696
                   52.22                      -7.8028553
                   52.48                      -9.5948639
                   52.74                      -13.093971
                      53                      -17.887367
                   53.26                      -23.423207
                   53.52                      -29.115681
                   53.78                      -34.479707
                   54.04                      -39.214523
                    54.3                      -43.200863
                   54.56                      -46.443808
                   54.82                      -49.009282
                   55.08                      -50.979426
                   55.34                      -52.429737
                    55.6                       -53.42138
                   55.86                      -54.001113
                   56.12                      -54.203222
                   56.38                      -54.050475
                   56.64                      -53.553288
                    56.9                      -52.707818
                   57.16                      -51.494181
                   57.42                      -49.875621
                   57.68                      -47.798564
                   57.94                      -45.192777
                    58.2                      -41.971023
                   58.46                      -38.029002
                   58.72                      -33.249211
                   58.98                      -27.515917
                   59.24                      -20.750518
                    59.5                      -12.971312
                   59.76                      -4.3607651
                   60.02                        4.708472
                   60.28                       13.740124
                   60.54                       22.258032
                    60.8                        29.93408
                   61.06                       36.626052
                   61.32                       42.337508
                   61.58                       47.154502
                   61.84                       51.195642
                    62.1                       54.583034
                   62.36                       57.428373
                   62.62                       59.827449
                   62.88                       61.858917
                   63.14                       63.585357
                    63.4                       65.055659
                   63.66                       66.308008
                   63.92                       67.372758
                   64.18                       68.274638
                   64.44                       69.034055
                    64.7                       69.667609
                   64.96                       70.188209
                   65.22                       70.605205
                   65.48                        70.92477
                   65.74                       71.150527
                      66                       71.284181
                   66.26                        71.32589
                   66.52                       71.274176
                   66.78                       71.125411
                   67.04                       70.873044
                    67.3                       70.506763
                   67.56                       70.011709
                   67.82                       69.367602
                   68.08                       68.547457
                   68.34                       67.515363
                    68.6                       66.222748
                   68.86                       64.602402
                   69.12                       62.559303
                   69.38                       59.956751
                   69.64                       56.595463
                    69.9                       52.182871
                   70.16                       46.293211
                   70.42                       38.338574
                   70.68                        27.64043
                   70.94                        13.83045
                    71.2                      -2.2925687
                   71.46                      -18.427393
                   71.72                      -32.262455
                   71.98                       -42.98367
                   72.24                      -50.953959
                    72.5                      -56.853057
                   72.76                      -61.271055
                   73.02                      -64.634713
                   73.28                      -67.236296
                   73.54                      -69.274098
                    73.8                      -70.883769
                   74.06                      -72.159527
                   74.32                       -73.16792
                   74.58                        -73.9566
                   74.84                      -74.559835
                    75.1                      -75.001954
                   75.36                      -75.299536
                   75.62                      -75.462851
                   75.88                      -75.496863
                   76.14                      -75.401881
                    76.4                      -75.173868
                   76.66                      -74.804338
                   76.92                      -74.279784
                   77.18                      -73.580614
                   77.44                      -72.679584
                    77.7                      -71.539674
                   77.96                      -70.111308
                   78.22                      -68.328693
                   78.48                      -66.105066
                   78.74                       -63.32684
                      79                      -59.847523
                   79.26                      -55.484529
                   79.52                      -50.027029
                   79.78                        -43.2716
                   80.04                      -35.109536
                    80.3                      -25.671377
                   80.56                      -15.454086
                   80.82                      -5.2653529
                   81.08                       4.0735216
                   81.34                       12.037097
                    81.6                        18.47192
                   81.86                       23.477669
                   82.12                       27.260469
                   82.38                       30.041455
                   82.64                       32.018677
                    82.9                       33.358395
                   83.16                       34.198174
                   83.42                       34.652949
                   83.68                       34.820611
                   83.94                       34.786031
                    84.2                        34.62351
                   84.46                       34.397885
                   84.72                       34.164628
                   84.98                       33.969278
                   85.24                       33.846548
                    85.5                       33.819507
                   85.76                       33.899245
                   86.02                       34.085304
                   86.28                       34.366973
                   86.54                       34.725253
                    86.8                       35.135154
                   87.06                       35.567925
                   87.32                       35.992948
                   87.58                       36.379199
                   87.84                       36.696302
                    88.1                       36.915248
                   88.36                       37.008819
                   88.62                       36.951684
                   88.88                       36.720162
                   89.14                       36.291674
                    89.4                       35.644017
                   89.66                       34.754647
                   89.92                       33.600162
                   90.18                       32.156147
                   90.44                       30.397461
                    90.7                       28.299033
                   90.96                       25.837254
                   91.22                       22.992152
                   91.48                       19.750573
                   91.74                       16.110494
                      92                       12.086188
                   92.26                       7.7133107
                   92.52                        3.052211
                   92.78                      -1.8125082
                   93.04                      -6.7774594
                    93.3                      -11.730546
                   93.56                      -16.563253
                   93.82                      -21.181799
                   94.08                      -25.514451
                   94.34                      -29.514052
                    94.6                      -33.156485
                   94.86                       -36.43662
                   95.12                      -39.363287
                   95.38                       -41.95437
                   95.64                       -44.23265
                    95.9                      -46.222646
                   96.16                      -47.948474
                   96.42                        -49.4326
                   96.68                      -50.695242
                   96.94                      -51.754171
                    97.2                      -52.624691
                   97.46                       -53.31965
                   97.72                      -53.849432
                   97.98                      -54.221962
                   98.24                      -54.442744
                    98.5                      -54.514971
                   98.76                       -54.43966
                   99.02                       -54.21576
                   99.28                       -53.84017
                   99.54                      -53.307635
                    99.8                       -52.61055
                  100.06                      -51.738742
                  100.32                      -50.679288
                  100.58                      -49.416429
                  100.84                      -47.931575
                   101.1                      -46.203415
                  101.36                      -44.208157
                  101.62                      -41.920024
                  101.88                      -39.312252
                  102.14                      -36.358917
                   102.4                      -33.037926
                  102.66                      -29.335365
                  102.92                      -25.251079
                  103.18                      -20.804771
                  103.44                      -16.041284
                   103.7                       -11.03311
                  103.96                      -5.8782384
                  104.22                      -0.6924374
                  104.48                       4.4029948
                  104.74                           9.295
                     105                       13.890301
                  105.26                       18.121958
                  105.52                       21.950289
                  105.78                       25.359383
                  106.04                       28.351319
                   106.3                       30.940022
                  106.56                       33.145973
                  106.82                       34.992282
                  107.08                       36.502056
                  107.34                       37.696811
                   107.6                       38.595562
                  107.86                       39.214374
                  108.12                       39.566184
                  108.38                       39.660876
                  108.64                       39.505555
                   108.9                       39.105037
                  109.16                       38.462512
                  109.42                       37.580346
                  109.68                          36.461
                  109.94                       35.108064
                   110.2                       33.527426
                  110.46                       31.728596
                  110.72                       29.726135
                  110.98                       27.541033
                  111.24                       25.201783
                   111.5                       22.744808
