        Frequency / MHz                Port 1 [1] (11)/abs,linear
----------------------------------------------------------------------
                      40                       1445.8361
                   40.26                       1399.2169
                   40.52                       1338.5756
                   40.78                       1269.4038
                   41.04                        1196.498
                    41.3                       1123.4779
                   41.56                       1052.7596
                   41.82                       985.76611
                   42.08                       923.19906
                   42.34                       865.28275
                    42.6                       811.94835
                   42.86                       762.96106
                   43.12                       718.00278
                   43.38                       676.72372
                   43.64                       638.77351
                    43.9                       603.81882
                   44.16                       571.55228
                   44.42                        541.6956
                   44.68                       513.99926
                   44.94                       488.24051
                    45.2                       464.22081
                   45.46                       441.76355
                   45.72                         420.712
                   45.98                       400.92756
                   46.24                       382.28795
                    46.5                       364.68517
                   46.76                       348.02348
                   47.02                       332.21755
                   47.28                       317.19094
                   47.54                       302.87514
                    47.8                       289.20901
                   48.06                       276.13832
                   48.32                       263.61527
                   48.58                        251.5978
                   48.84                       240.04888
                    49.1                       228.93585
                   49.36                       218.23013
                   49.62                        207.9072
                   49.88                       197.94691
                   50.14                       188.33376
                    50.4                       179.05707
                   50.66                       170.11094
                   50.92                         161.494
                   51.18                       153.20933
                   51.44                       145.26431
                    51.7                       137.67077
                   51.96                       130.44489
                   52.22                       123.60672
                   52.48                       117.17896
                   52.74                       111.18502
                      53                       105.64647
                   53.26                        100.5805
                   53.52                       95.997831
                   53.78                       91.901544
                   54.04                        88.28685
                    54.3                       85.141795
                   54.56                       82.448568
                   54.82                       80.185379
                   55.08                        78.32893
                   55.34                       76.857525
                    55.6                       75.754458
                   55.86                       75.010905
                   56.12                       74.627297
                   56.38                       74.612489
                   56.64                       74.980886
                    56.9                       75.748661
                   57.16                       76.930601
                   57.42                       78.538785
                   57.68                       80.583196
                   57.94                       83.073308
                    58.2                       86.019238
                   58.46                       89.431533
                   58.72                       93.319663
                   58.98                       97.690214
                   59.24                       102.54597
                    59.5                       107.88663
                   59.76                       113.71096
                   60.02                       120.01948
                   60.28                       126.81673
                   60.54                        134.1123
                    60.8                       141.92082
                   61.06                       150.26131
                   61.32                       159.15676
                   61.58                       168.63447
                   61.84                        178.7272
                    62.1                       189.47481
                   62.36                       200.92589
                   62.62                       213.13892
                   62.88                       226.18301
                   63.14                       240.13848
                    63.4                       255.09782
                   63.66                       271.16747
                   63.92                       288.47036
                   64.18                       307.14907
                   64.44                       327.36894
                    64.7                        349.3206
                   64.96                       373.22134
                   65.22                       399.31499
                   65.48                        427.8693
                   65.74                       459.16919
                      66                       493.50202
                   66.26                       531.12826
                   66.52                       572.22683
                   66.78                       616.79986
                   67.04                       664.51885
                    67.3                       714.49859
                   67.56                       765.01002
                   67.82                        813.2078
                   68.08                       855.05984
                   68.34                       885.76487
                    68.6                       900.84891
                   68.86                       897.67595
                   69.12                       876.54258
                   69.38                       840.56987
                   69.64                       794.46856
                    69.9                       743.03548
                   70.16                        690.1545
                   70.42                       638.47879
                   70.68                       589.56154
                   70.94                       544.15117
                    71.2                        502.4796
                   71.46                       464.48127
                   71.72                       429.93865
                   71.98                       398.57085
                   72.24                       370.08386
                    72.5                       344.19733
                   72.76                       320.65778
                   73.02                       299.24462
                   73.28                       279.77231
                   73.54                        262.0904
                    73.8                       246.08238
                   74.06                       231.66369
                   74.32                       218.77909
                   74.58                       207.39969
                   74.84                       197.51951
                    75.1                       189.15136
                   75.36                       182.32172
                   75.62                       177.06415
                   75.88                       173.41128
                   76.14                       171.38605
                    76.4                       170.99342
                   76.66                       172.21447
                   76.92                       175.00377
                   77.18                       179.29042
                   77.44                       184.98143
                    77.7                       191.96582
                   77.96                       200.11754
                   78.22                       209.29633
                   78.48                       219.34623
                   78.74                       230.09229
                      79                       241.33631
                   79.26                       252.85247
                   79.52                       264.38406
                   79.78                       275.64256
                   80.04                       286.31097
                    80.3                       296.05317
                   80.56                       304.53099
                   80.82                       311.42855
                   81.08                       316.48125
                   81.34                       319.50406
                    81.6                       320.41249
                   81.86                        319.2313
                   82.12                       316.08899
                   82.38                       311.20023
                   82.64                       304.84092
                    82.9                       297.32127
                   83.16                       288.96107
                   83.42                       280.06986
                   83.68                       270.93312
                   83.94                       261.80438
                    84.2                       252.90273
                   84.46                       244.41424
                   84.72                       236.49573
                   84.98                        229.2792
                   85.24                       222.87558
                    85.5                       217.37698
                   85.76                       212.85748
                   86.02                       209.37294
                   86.28                       206.96046
                   86.54                       205.63826
                    86.8                       205.40602
                   87.06                       206.24546
                   87.32                       208.12098
                   87.58                       210.98015
                   87.84                       214.75427
                    88.1                       219.35952
                   88.36                       224.69878
                   88.62                       230.66423
                   88.88                       237.13988
                   89.14                       244.00338
                    89.4                       251.12665
                   89.66                       258.37562
                   89.92                        265.6101
                   90.18                       272.68505
                   90.44                       279.45418
                    90.7                       285.77556
                   90.96                       291.51804
                   91.22                       296.56645
                   91.48                       300.82461
                   91.74                       304.21612
                      92                       306.68439
                   92.26                       308.19365
                   92.52                       308.73139
                   92.78                       308.31141
                   93.04                       306.97525
                    93.3                       304.79006
                   93.56                       301.84272
                   93.82                        298.2316
                   94.08                       294.05848
                   94.34                       289.42304
                    94.6                       284.42043
                   94.86                       279.14122
                   95.12                       273.67207
                   95.38                       268.09566
                   95.64                       262.48952
                    95.9                       256.92422
                   96.16                       251.46199
                   96.42                       246.15652
                   96.68                       241.05409
                   96.94                       236.19524
                    97.2                       231.61642
                   97.46                       227.35078
                   97.72                       223.42817
                   97.98                       219.87478
                   98.24                       216.71287
                    98.5                       213.96117
                   98.76                       211.63556
                   99.02                       209.74999
                   99.28                       208.31701
                   99.54                       207.34772
                    99.8                       206.85142
                  100.06                       206.83522
                  100.32                       207.30393
                  100.58                       208.26037
                  100.84                        209.7059
                   101.1                       211.64084
                  101.36                       214.06452
                  101.62                         216.975
                  101.88                       220.36858
                  102.14                       224.23948
                   102.4                       228.57977
                  102.66                       233.37945
                  102.92                       238.62649
                  103.18                       244.30655
                  103.44                       250.40229
                   103.7                       256.89236
                  103.96                       263.75038
                  104.22                       270.94397
                  104.48                       278.43396
                  104.74                       286.17371
                     105                       294.10812
                  105.26                       302.17246
                  105.52                       310.29106
                  105.78                       318.37621
                  106.04                       326.32761
                   106.3                       334.03288
                  106.56                       341.36897
                  106.82                       348.20457
                  107.08                        354.4035
                  107.34                        359.8289
                   107.6                        364.3485
                  107.86                       367.84079
                  108.12                       370.20188
                  108.38                       371.35228
                  108.64                       371.24247
                   108.9                        369.8566
                  109.16                        367.2135
                  109.42                       363.36526
                  109.68                       358.39366
                  109.94                       352.40508
                   110.2                       345.52457
                  110.46                       337.88936
                  110.72                       329.64258
                  110.98                       320.92742
                  111.24                       311.88237
                   111.5                       302.63786
                  111.76                       293.31422
                  112.02                       284.02096
                  112.28                       274.85693
                  112.54                       265.91092
                   112.8                        257.2626
                  113.06                       248.98356
                  113.32                       241.13837
                  113.58                       233.78568
                  113.84                       226.97928
                   114.1                       220.76896
                  114.36                       215.20103
                  114.62                       210.31841
                  114.88                        206.1603
                  115.14                        202.7615
                   115.4                        200.1515
                  115.66                       198.35355
                  115.92                       197.38378
                  116.18                       197.25055
                  116.44                       197.95398
                   116.7                        199.4857
                  116.96                       201.82888
                  117.22                       204.95852
                  117.48                       208.84179
                  117.74                       213.43861
                     118                        218.7019
                  118.26                       224.57784
                  118.52                       231.00563
                  118.78                       237.91702
                  119.04                       245.23552
                   119.3                       252.87546
                  119.56                       260.74098
                  119.82                       268.72525
                  120.08                       276.71003
                  120.34                       284.56597
                   120.6                       292.15384
                  120.86                       299.32715
                  121.12                        305.9363
                  121.38                       311.83425
                  121.64                       316.88334
                   121.9                       320.96285
                  122.16                       323.97627
                  122.42                       325.85752
                  122.68                       326.57524
                  122.94                       326.13462
                   123.2                       324.57637
                  123.46                       321.97311
                  123.72                       318.42366
                  123.98                       314.04588
                  124.24                       308.96924
                   124.5                       303.32773
                  124.76                       297.25389
                  125.02                       290.87427
                  125.28                       284.30626
                  125.54                       277.65625
                   125.8                       271.01882
                  126.06                       264.47676
                  126.32                       258.10158
                  126.58                       251.95454
                  126.84                       246.08781
                   127.1                       240.54574
                  127.36                       235.36605
                  127.62                       230.58085
                  127.88                       226.21752
                  128.14                       222.29934
                   128.4                       218.84602
                  128.66                       215.87409
                  128.92                       213.39724
                  129.18                        211.4265
                  129.44                       209.97034
                   129.7                        209.0347
                  129.96                       208.62288
                  130.22                       208.73555
                  130.48                       209.37069
                  130.74                       210.52366
                     131                        212.1872
                  131.26                       214.35155
                  131.52                       217.00448
                  131.78                       220.13124
                  132.04                       223.71457
                   132.3                       227.73467
                  132.56                       232.16908
                  132.82                       236.99267
                  133.08                       242.17742
                  133.34                        247.6922
                   133.6                       253.50242
                  133.86                       259.56959
                  134.12                         265.851
                  134.38                        272.2993
                  134.64                       278.86232
                   134.9                       285.48284
                  135.16                       292.09865
                  135.42                       298.64267
                  135.68                       305.04336
                  135.94                        311.2255
                   136.2                       317.11132
                  136.46                       322.62211
                  136.72                       327.68017
                  136.98                       332.21098
                  137.24                       336.14559
                   137.5                       339.42299
                  137.76                       341.99229
                  138.02                       343.81477
                  138.28                       344.86532
                  138.54                       345.13343
                   138.8                       344.62336
                  139.06                       343.35352
                  139.32                       341.35526
                  139.58                       338.67107
                  139.84                       335.35246
                   140.1                       331.45763
                  140.36                       327.04928
                  140.62                       322.19235
                  140.88                       316.95208
                  141.14                       311.39232
                   141.4                       305.57423
                  141.66                       299.55538
                  141.92                       293.38923
                  142.18                       287.12489
                  142.44                       280.80725
                   142.7                        274.4771
                  142.96                       268.17151
                  143.22                        261.9243
                  143.48                       255.76663
                  143.74                       249.72761
                     144                       243.83498
                  144.26                        238.1158
                  144.52                       232.59705
                  144.78                        227.3061
                  145.04                       222.27121
                   145.3                       217.52193
                  145.56                       213.08944
                  145.82                       209.00684
                  146.08                       205.30924
                  146.34                       202.03376
                   146.6                       199.21917
                  146.86                        196.9054
                  147.12                       195.13276
                  147.38                       193.94095
                  147.64                       193.36795
                   147.9                       193.44875
                  148.16                       194.21397
                  148.42                        195.6885
                  148.68                       197.89009
                  148.94                       200.82812
                   149.2                       204.50258
                  149.46                       208.90322
                  149.72                       214.00894
                  149.98                       219.78723
                  150.24                       226.19375
                   150.5                       233.17179
                  150.76                       240.65183
                  151.02                       248.55112
                  151.28                       256.77344
                  151.54                       265.20926
                   151.8                       273.73639
                  152.06                       282.22148
                  152.32                       290.52235
                  152.58                       298.49144
                  152.84                       305.98038
                   153.1                       312.84555
                  153.36                       318.95428
                  153.62                       324.19116
                  153.88                       328.46383
                  154.14                       331.70746
                   154.4                       333.88744
                  154.66                       335.00008
                  154.92                       335.07105
                  155.18                       334.15215
                  155.44                       332.31667
                   155.7                       329.65396
                  155.96                        326.2638
                  156.22                       322.25106
                  156.48                       317.72111
                  156.74                        312.7761
                     157                       307.51231
                  157.26                       302.01843
                  157.52                       296.37462
                  157.78                       290.65221
                  158.04                       284.91383
                   158.3                       279.21385
                  158.56                        273.5991
                  158.82                       268.10961
                  159.08                       262.77954
                  159.34                       257.63797
                   159.6                       252.70969
                  159.86                       248.01587
                  160.12                        243.5746
                  160.38                       239.40139
                  160.64                       235.50959
                   160.9                       231.91072
                  161.16                       228.61478
                  161.42                       225.63045
                  161.68                       222.96521
                  161.94                       220.62539
                   162.2                       218.61619
                  162.46                       216.94169
                  162.72                        215.6048
                  162.98                       214.60731
                  163.24                       213.94978
                   163.5                       213.63158
                  163.76                       213.65079
                  164.02                       214.00416
                  164.28                       214.68707
                  164.54                       215.69359
                   164.8                        217.0165
                  165.06                       218.64738
                  165.32                        220.5767
                  165.58                       222.79391
                  165.84                       225.28746
                   166.1                       228.04501
                  166.36                       231.05344
                  166.62                       234.29907
                  166.88                       237.76776
                  167.14                       241.44503
                   167.4                       245.31614
                  167.66                        249.3661
                  167.92                       253.57969
                  168.18                        257.9414
                  168.44                       262.43541
                   168.7                       267.04548
                  168.96                       271.75481
                  169.22                       276.54586
                  169.48                       281.39997
                  169.74                       286.29708
                     170                       291.21532
                  170.26                       296.13066
                  170.52                       301.01649
                  170.78                       305.84331
                  171.04                       310.57834
                   171.3                       315.18519
                  171.56                       319.62365
                  171.82                       323.84963
                  172.08                       327.81529
                  172.34                       331.46949
                   172.6                       334.75847
                  172.86                       337.62684
                  173.12                       340.01882
                  173.38                       341.87985
                  173.64                       343.15834
                   173.9                       343.80774
                  174.16                       343.78867
                  174.42                       343.07098
                  174.68                       341.63553
                  174.94                       339.47562
                   175.2                       336.59779
                  175.46                        333.0221
                  175.72                       328.78175
                  175.98                       323.92212
                  176.24                       318.49934
                   176.5                       312.57838
                  176.76                        306.2309
                  177.02                         299.533
                  177.28                       292.56309
                  177.54                       285.39997
                   177.8                       278.12119
                  178.06                       270.80183
                  178.32                       263.51359
                  178.58                       256.32415
                  178.84                       249.29685
                   179.1                       242.49046
                  179.36                       235.95933
                  179.62                       229.75341
                  179.88                       223.91852
                  180.14                       218.49649
                   180.4                       213.52522
                  180.66                       209.03871
                  180.92                        205.0669
                  181.18                       201.63542
                  181.44                       198.76539
                   181.7                       196.47306
                  181.96                       194.76954
                  182.22                       193.66057
                  182.48                       193.14635
                  182.74                       193.22147
                     183                       193.87499
                  183.26                       195.09071
                  183.52                       196.84753
                  183.78                       199.12006
                  184.04                       201.87914
                   184.3                       205.09245
                  184.56                       208.72497
                  184.82                       212.73949
                  185.08                       217.09689
                  185.34                       221.75651
                   185.6                       226.67637
                  185.86                       231.81341
                  186.12                       237.12365
                  186.38                       242.56227
                  186.64                        248.0837
                   186.9                        253.6416
                  187.16                       259.18895
                  187.42                       264.67826
                  187.68                       270.06179
                  187.94                       275.29203
                   188.2                       280.32214
                  188.46                       285.10659
                  188.72                       289.60176
