        Frequency / MHz                Port 1 [1] (11)/arg,degrees
----------------------------------------------------------------------
                      40                      -12.839228
                   40.26                      -19.349569
                   40.52                      -25.380186
                   40.78                      -30.853743
                   41.04                      -35.748269
                    41.3                      -40.081735
                   41.56                      -43.895831
                   41.82                      -47.243077
                   42.08                      -50.178308
                   42.34                      -52.753836
                    42.6                      -55.017156
                   42.86                      -57.010144
                   43.12                      -58.769046
                   43.38                      -60.324828
                   43.64                        -61.7037
                    43.9                      -62.927718
                   44.16                      -64.015406
                   44.42                      -64.982363
                   44.68                      -65.841779
                   44.94                      -66.604835
                    45.2                      -67.280983
                   45.46                      -67.878144
                   45.72                      -68.402864
                   45.98                      -68.860474
                   46.24                       -69.25527
                    46.5                      -69.590681
                   46.76                      -69.869402
                   47.02                      -70.093452
                   47.28                      -70.264167
                   47.54                      -70.382151
                    47.8                      -70.447237
                   48.06                      -70.458475
                   48.32                      -70.414154
                   48.58                       -70.31183
                   48.84                      -70.148303
                    49.1                       -69.91953
                   49.36                      -69.620462
                   49.62                      -69.244866
                   49.88                      -68.785162
                   50.14                      -68.232336
                    50.4                      -67.575926
                   50.66                      -66.804042
                   50.92                      -65.903411
                   51.18                      -64.859418
                   51.44                      -63.656217
                    51.7                       -62.27701
                   51.96                       -60.70464
                   52.22                      -58.922568
                   52.48                      -56.916218
                   52.74                      -54.674536
                      53                      -52.191466
                   53.26                      -49.467044
                   53.52                      -46.507857
                   53.78                      -43.326768
                   54.04                      -39.941993
                    54.3                      -36.375656
                   54.56                      -32.651984
                   54.82                      -28.795274
                   55.08                      -24.827921
                   55.34                      -20.768972
                    55.6                      -16.633856
                   55.86                      -12.435675
                   56.12                      -8.1878665
                   56.38                      -3.9072645
                   56.64                      0.38378462
                    56.9                       4.6573092
                   57.16                       8.8816759
                   57.42                       13.024642
                   57.68                       17.056048
                   57.94                       20.949166
                    58.2                       24.680708
                   58.46                       28.230323
                   58.72                       31.580534
                   58.98                        34.71746
                   59.24                       37.631974
                    59.5                       40.320529
                   59.76                       42.785082
                   60.02                       45.032014
                   60.28                       47.070474
                   60.54                       48.910728
                    60.8                        50.56299
                   61.06                       52.036894
                   61.32                       53.341435
                   61.58                       54.485087
                   61.84                       55.475812
                    62.1                       56.320848
                   62.36                       57.026339
                   62.62                       57.596945
                   62.88                       58.035591
                   63.14                       58.343386
                    63.4                       58.519661
                   63.66                       58.562001
                   63.92                       58.466128
                   64.18                       58.225594
                   64.44                       57.831287
                    64.7                       57.270821
                   64.96                       56.527898
                   65.22                       55.581648
                   65.48                       54.405911
                   65.74                       52.968388
                      66                       51.229604
                   66.26                       49.141749
                   66.52                       46.647709
                   66.78                        43.68091
                   67.04                       40.167101
                    67.3                       36.029818
                   67.56                       31.201818
                   67.82                       25.644607
                   68.08                       19.375768
                   68.34                       12.497661
                    68.6                       5.2123909
                   68.86                      -2.1948612
                   69.12                      -9.4084877
                   69.38                      -16.150084
                   69.64                      -22.227649
                    69.9                      -27.548041
                   70.16                      -32.099438
                   70.42                      -35.922105
                   70.68                      -39.081699
                   70.94                      -41.650677
                    71.2                      -43.697614
                   71.46                      -45.282213
                   71.72                       -46.45371
                   71.98                      -47.251051
                   72.24                      -47.703795
                    72.5                      -47.833199
                   72.76                      -47.653238
                   73.02                      -47.171552
                   73.28                      -46.390374
                   73.54                      -45.307594
                    73.8                      -43.918057
                   74.06                      -42.215214
                   74.32                      -40.193205
                   74.58                      -37.849433
                   74.84                      -35.187637
                    75.1                      -32.221381
                   75.36                      -28.977629
                   75.62                      -25.499734
                   75.88                      -21.848887
                   76.14                      -18.103006
                    76.4                      -14.352474
