        Frequency / MHz                S1,1 (Mesh Pass=4)/arg,degrees
----------------------------------------------------------------------
                      40                       78.099278
               40.259998                       75.853302
                   40.52                       73.591955
               40.779999                       71.314278
               41.040001                       69.019696
               41.299999                       66.708081
               41.560001                       64.379669
                   41.82                       62.034933
               42.079998                       59.674442
                   42.34                       57.298688
               42.599998                       54.907914
               42.860001                       52.501968
               43.119999                       50.080238
               43.380001                       47.641603
               43.639999                       45.184508
               43.900002                       42.707041
                   44.16                       40.207094
               44.419998                       37.682567
                   44.68                        35.13151
               44.939999                       32.552287
               45.200001                       29.943685
               45.459999                       27.304936
               45.720001                       24.635684
                   45.98                       21.935897
               46.240002                       19.205697
                    46.5                       16.445186
               46.759998                        13.65428
                   47.02                       10.832534
               47.279999                       7.9790722
               47.540001                       5.0925716
               47.799999                       2.1713604
               48.060001                     -0.78638314
                   48.32                      -3.7823247
               48.579998                       -6.817584
                   48.84                      -9.8922856
               49.099998                       -13.00507
               49.360001                      -16.152608
               49.619999                      -19.329121
               49.880001                      -22.525922
               50.139999                      -25.731024
               50.400002                      -28.928737
                   50.66                      -32.099272
               50.919998                      -35.218348
                   51.18                      -38.256741
               51.439999                      -41.179812
               51.700001                      -43.946936
               51.959999                      -46.510839
               52.220001                      -48.817327
                   52.48                      -50.804844
               52.740002                      -52.405065
                      53                      -53.544741
               53.259998                      -54.149784
                   53.52                      -54.153327
               53.779999                      -53.508367
               54.040001                      -52.205416
               54.299999                      -50.291845
               54.560001                      -47.885133
                   54.82                      -45.169651
               55.079998                      -42.370794
                   55.34                      -39.712527
               55.599998                      -37.376315
               55.860001                      -35.477817
               56.119999                      -34.066043
               56.380001                      -33.137976
               56.639999                      -32.657837
               56.900002                       -32.57407
                   57.16                      -32.831273
               57.419998                      -33.377079
                   57.68                      -34.165593
               57.939999                       -35.15821
               58.200001                       -36.32355
               58.459999                      -37.636141
               58.720001                      -39.075594
                   58.98                      -40.625093
               59.240002                      -42.270726
                    59.5                      -44.000493
               59.759998                      -45.803805
                   60.02                      -47.671298
               60.279999                      -49.594486
               60.540001                      -51.565834
               60.799999                      -53.578731
               61.060001                      -55.627581
                   61.32                      -57.707845
               61.579998                      -59.816003
                   61.84                      -61.949547
               62.099998                      -64.106843
               62.360001                      -66.287001
               62.619999                      -68.489675
               62.880001                      -70.714853
               63.139999                      -72.962696
               63.400002                      -75.233339
                   63.66                      -77.526793
               63.919998                      -79.842856
                   64.18                      -82.181116
               64.440002                      -84.540939
               64.699997                      -86.921575
               64.959999                      -89.322222
               65.220001                       -91.74211
               65.480003                      -94.180597
               65.739998                      -96.637211
                      66                      -99.111713
               66.260002                       -101.6041
               66.519997                      -104.11455
               66.779999                      -106.64338
               67.040001                      -109.19103
               67.300003                      -111.75794
               67.559998                       -114.3445
                   67.82                      -116.95101
               68.080002                      -119.57767
               68.339996                      -122.22453
               68.599998                      -124.89157
               68.860001                      -127.57874
               69.120003                        -130.286
               69.379997                      -133.01341
               69.639999                      -135.76122
               69.900002                      -138.52994
               70.159996                      -141.32036
               70.419998                      -144.13362
                   70.68                      -146.97126
               70.940002                      -149.83512
               71.199997                      -152.72741
               71.459999                      -155.65071
               71.720001                       -158.6078
               71.980003                      -161.60181
               72.239998                      -164.63608
                    72.5                      -167.71431
               72.760002                      -170.84053
               73.019997                      -174.01919
               73.279999                      -177.25531
               73.540001                        179.4454
               73.800003                       176.07634
               74.059998                       172.62984
                   74.32                       169.09688
               74.580002                       165.46692
               74.839996                       161.72759
               75.099998                       157.86432
               75.360001                       153.86015
               75.620003                       149.69529
               75.879997                       145.34678
               76.139999                       140.78805
               76.400002                       135.98865
               76.659996                       130.91395
               76.919998                       125.52523
                   77.18                       119.78017
               77.440002                       113.63437
               77.699997                       107.04411
               77.959999                       99.971501
               78.220001                       92.392041
               78.480003                       84.304687
               78.739998                       75.743292
                      79                       66.785334
               79.260002                       57.553869
               79.519997                       48.207436
               79.779999                       38.919201
               80.040001                       29.850622
               80.300003                       21.129344
               80.559998                       12.837932
                   80.82                       5.0145782
               81.080002                      -2.3385847
               81.339996                      -9.2440704
               81.599998                      -15.738705
               81.860001                      -21.865385
               82.120003                      -27.667959
               82.379997                      -33.188091
               82.639999                      -38.463399
               82.900002                      -43.527248
               83.159996                      -48.408428
               83.419998                      -53.131505
                   83.68                      -57.717376
               83.940002                      -62.183498
               84.199997                      -66.544496
               84.459999                      -70.812351
               84.720001                      -74.996934
               84.980003                      -79.106194
               85.239998                      -83.146335
                    85.5                      -87.122105
               85.760002                      -91.036842
               86.019997                      -94.892675
               86.279999                      -98.690588
               86.540001                      -102.43053
               86.800003                      -106.11134
               87.059998                      -109.73118
                   87.32                       -113.2873
               87.580002                      -116.77611
               87.839996                       -120.1935
               88.099998                      -123.53483
               88.360001                       -126.7949
               88.620003                      -129.96821
               88.879997                      -133.04906
               89.139999                      -136.03167
               89.400002                      -138.91013
               89.659996                      -141.67892
               89.919998                       -144.3327
                   90.18                      -146.86659
               90.440002                      -149.27639
               90.699997                       -151.5586
               90.959999                      -153.71093
               91.220001                      -155.73217
               91.480003                       -157.6225
               91.739998                      -159.38365
                      92                      -161.01951
               92.260002                      -162.53581
               92.519997                      -163.94037
               92.779999                       -165.2434
               93.040001                      -166.45732
               93.300003                      -167.59671
               93.559998                      -168.67762
                   93.82                      -169.71789
               94.080002                      -170.73597
               94.339996                      -171.75061
               94.599998                      -172.78027
               94.860001                      -173.84239
               95.120003                      -174.95315
               95.379997                      -176.12668
               95.639999                      -177.37573
               95.900002                      -178.71057
               96.159996                       179.86023
               96.419998                       178.32972
                   96.68                       176.69244
               96.940002                       174.94407
               97.199997                       173.08107
               97.459999                       171.10048
               97.720001                       168.99968
               97.980003                        166.7761
               98.239998                       164.42733
                    98.5                        161.9506
               98.760002                       159.34321
               99.019997                       156.60185
               99.279999                       153.72333
               99.540001                       150.70379
               99.800003                       147.53939
                  100.06                       144.22565
                  100.32                       140.75805
                  100.58                       137.13188
                  100.84                       133.34232
                   101.1                       129.38491
                  101.36                       125.25527
                  101.62                       120.95033
                  101.88                       116.46809
                  102.14                       111.80848
                   102.4                       106.97407
                  102.66                       101.97044
                  102.92                       96.807092
                  103.18                       91.497303
                  103.44                       86.058943
                   103.7                       80.513868
                  103.96                       74.887432
                  104.22                       69.207771
                  104.48                       63.504402
                  104.74                       57.806932
                     105                       52.143773
                  105.26                       46.540506
                  105.52                       41.019421
                  105.78                       35.598381
                  106.04                       30.290939
                   106.3                       25.106388
                  106.56                       20.049754
                  106.82                       15.122675
                  107.08                       10.323839
                  107.34                        5.649694
                   107.6                       1.0947773
                  107.86                       -3.347414
                  108.12                      -7.6842557
                  108.38                      -11.923618
                  108.64                      -16.073477
                   108.9                      -20.141809
                  109.16                      -24.136215
                  109.42                      -28.064558
                  109.68                      -31.934105
                  109.94                      -35.751742
                   110.2                      -39.524577
                  110.46                      -43.259106
                  110.72                      -46.961722
                  110.98                      -50.638714
                  111.24                      -54.296198
                   111.5                      -57.940187
                  111.76                      -61.576469
                  112.02                      -65.210839
                  112.28                      -68.848872
                  112.54                       -72.49614
                   112.8                       -76.15816
                  113.06                      -79.840123
                  113.32                      -83.547604
                  113.58                       -87.28574
                  113.84                      -91.060047
                   114.1                      -94.875828
                  114.36                      -98.738655
                  114.62                      -102.65416
                  114.88                      -106.62807
                  115.14                      -110.66613
                   115.4                       -114.7749
                  115.66                      -118.96022
                  115.92                      -123.22887
                  116.18                       -127.5873
                  116.44                      -132.04238
                   116.7                      -136.60096
                  116.96                      -141.27013
                  117.22                      -146.05739
                  117.48                      -150.96999
                  117.74                      -156.01537
                     118                      -161.20166
                  118.26                      -166.53626
                  118.52                      -172.02735
                  118.78                      -177.68275
                  119.04                       176.49034
                   119.3                       170.48496
                  119.56                       164.29577
                  119.82                       157.91922
                  120.08                       151.35447
                  120.34                       144.60483
                   120.6                       137.67869
                  120.86                       130.59048
                  121.12                       123.36185
                  121.38                       116.02185
                  121.64                       108.60711
                   121.9                       101.15991
                  122.16                       93.727132
                  122.42                       86.356866
                  122.68                       79.095773
                  122.94                       71.986366
                   123.2                       65.064489
                  123.46                       58.358446
                  123.72                       51.887905
                  123.98                       45.665114
                  124.24                       39.694981
                   124.5                       33.976417
                  124.76                        28.50407
                  125.02                       23.269196
                  125.28                       18.260645
                  125.54                        13.46629
                   125.8                       8.8730142
                  126.06                       4.4674877
                  126.32                      0.23703217
                  126.58                      -3.8310284
                  126.84                      -7.7488248
                   127.1                      -11.527176
                  127.36                      -15.177121
                  127.62                      -18.708163
                  127.88                      -22.129379
                  128.14                      -25.449288
               128.39999                       -28.67554
                  128.66                      -31.815133
                  128.92                      -34.874512
               129.17999                      -37.859905
                  129.44                      -40.776233
                   129.7                      -43.628957
               129.96001                      -46.422342
                  130.22                      -49.160864
                  130.48                      -51.848459
               130.74001                       -54.48874
                     131                      -57.085191
               131.25999                      -59.640888
                  131.52                      -62.158658
                  131.78                      -64.641677
               132.03999                      -67.092241
                   132.3                       -69.51297
                  132.56                       -71.90572
               132.81999                        -74.2729
                  133.08                      -76.616038
                  133.34                        -78.9371
               133.60001                      -81.237618
                  133.86                      -83.519337
                  134.12                      -85.783354
                  134.38                      -88.031415
                  134.64                      -90.264941
               134.89999                      -92.485463
                  135.16                      -94.694511
                  135.42                      -96.893504
               135.67999                      -99.084519
                  135.94                      -101.26909
                   136.2                      -103.44895
               136.46001                       -105.6262
                  136.72                      -107.80268
                  136.98                      -109.98047
               137.24001                      -112.16165
                   137.5                      -114.34852
               137.75999                      -116.54358
                  138.02                      -118.74934
                  138.28                      -120.96888
               138.53999                      -123.20536
                   138.8                      -125.46216
                  139.06                      -127.74334
               139.31999                      -130.05314
                  139.58                      -132.39628
                  139.84                       -134.7781
               140.10001                      -137.20408
                  140.36                      -139.68065
                  140.62                      -142.21459
                  140.88                      -144.81324
                  141.14                      -147.48488
               141.39999                      -150.23826
                  141.66                      -153.08388
                  141.92                      -156.03267
               142.17999                      -159.09795
                  142.44                      -162.29426
                   142.7                      -165.63886
               142.96001                      -169.15166
                  143.22                      -172.85537
                  143.48                      -176.77699
               143.74001                       179.05211
                     144                       174.59599
               144.25999                       169.81245
                  144.52                        164.6544
                  144.78                       159.06829
               145.03999                       152.99663
                   145.3                       146.38108
                  145.56                       139.16829
               145.81999                       131.32068
                  146.08                       122.83037
                  146.34                        113.7378
               146.60001                        104.1457
                  146.86                       94.222146
                  147.12                       84.183735
                  147.38                       74.261492
                  147.64                       64.659886
               147.89999                       55.527541
                  148.16                       46.947836
                  148.42                       38.947008
               148.67999                       31.509865
                  148.94                       24.597495
                   149.2                       18.159958
               149.46001                       12.144801
                  149.72                       6.5020813
                  149.98                       1.1871015
               150.24001                      -3.8394804
                   150.5                      -8.6115421
               150.75999                      -13.158372
                  151.02                      -17.504449
                  151.28                      -21.670647
               151.53999                      -25.675214
                   151.8                      -29.533341
                  152.06                      -33.258691
               152.31999                      -36.862407
                  152.58                      -40.355092
                  152.84                      -43.745271
               153.10001                        -47.0407
                  153.36                      -50.248374
                  153.62                      -53.374414
                  153.88                      -56.424289
                  154.14                      -59.402908
               154.39999                       -62.31508
                  154.66                      -65.164526
                  154.92                      -67.955285
               155.17999                      -70.691187
                  155.44                      -73.375396
                   155.7                      -76.011521
               155.96001                      -78.602513
                  156.22                      -81.151758
                  156.48                      -83.662098
               156.74001                      -86.136594
                     157                      -88.577977
               157.25999                      -90.989307
                  157.52                      -93.372879
                  157.78                      -95.731644
               158.03999                      -98.068006
                   158.3                      -100.38437
                  158.56                      -102.68346
               158.81999                      -104.96726
                  159.08                      -107.23849
                  159.34                      -109.49934
               159.60001                      -111.75232
                  159.86                      -113.99972
                  160.12                       -116.2444
                  160.38                      -118.48841
                  160.64                      -120.73473
               160.89999                      -122.98606
                  161.16                      -125.24495
                  161.42                      -127.51453
               161.67999                      -129.79746
                  161.94                      -132.09688
                   162.2                      -134.41631
               162.46001                      -136.75857
                  162.72                      -139.12761
                  162.98                      -141.52702
               163.24001                      -143.96098
                   163.5                      -146.43383
               163.75999                      -148.95029
                  164.02                      -151.51571
                  164.28                      -154.13599
               164.53999                      -156.81736
                   164.8                      -159.56692
                  165.06                      -162.39254
               165.31999                      -165.30318
                  165.58                      -168.30869
                  165.84                      -171.42008
               166.10001                      -174.64973
                  166.36                      -178.01204
                  166.62                       178.47746
                  166.88                       174.80053
                  167.14                       170.93726
               167.39999                       166.86527
                  167.66                       162.55941
                  167.92                        157.9928
               168.17999                       153.13681
                  168.44                       147.96204
                   168.7                       142.44051
               168.96001                       136.54863
                  169.22                       130.27032
                  169.48                       123.60318
               169.74001                       116.56349
                     170                       109.19104
               170.25999                       101.55205
                  170.52                       93.736455
                  170.78                       85.851466
               171.03999                       78.009535
                   171.3                       70.315791
                  171.56                       62.856676
               171.81999                       55.693941
                  172.08                       48.863316
                  172.34                       42.377911
               172.60001                       36.233038
                  172.86                        30.41186
                  173.12                       24.890552
                  173.38                        19.64147
                  173.64                       14.636964
               173.89999                       9.8498199
                  174.16                       5.2550156
                  174.42                      0.83003642
               174.67999                       -3.444897
                  174.94                      -7.5871613
                   175.2                      -11.611618
               175.46001                      -15.530616
                  175.72                      -19.354868
                  175.98                      -23.093219
               176.24001                      -26.753218
                   176.5                      -30.340432
               176.75999                      -33.860111
                  177.02                      -37.316296
                  177.28                      -40.711939
               177.53999                      -44.050101
                   177.8                      -47.332744
                  178.06                      -50.561836
               178.31999                       -53.73891
                  178.58                        -56.8655
                  178.84                      -59.942693
               179.10001                       -62.97158
                  179.36                      -65.953915
                  179.62                      -68.890349
                  179.88                      -71.782413
                  180.14                      -74.631424
               180.39999                      -77.438468
                  180.66                      -80.205077
                  180.92                      -82.932563
               181.17999                      -85.622454
                  181.44                      -88.276284
                   181.7                      -90.895142
               181.96001                      -93.480779
                  182.22                      -96.034723
                  182.48                      -98.558068
               182.74001                      -101.05278
                     183                      -103.51995
               183.25999                      -105.96112
                  183.52                      -108.37759
                  183.78                      -110.77132
               184.03999                       -113.1432
                   184.3                      -115.49497
                  184.56                      -117.82816
               184.81999                      -120.14409
                  185.08                       -122.4445
                  185.34                      -124.73113
               185.60001                      -127.00509
                  185.86                      -129.26879
                  186.12                      -131.52351
                  186.38                       -133.7719
                  186.64                       -136.0157
               186.89999                      -138.25709
                  187.16                      -140.49893
                  187.42                       -142.7436
               187.67999                      -144.99396
                  187.94                      -147.25349
                   188.2                      -149.52527
               188.46001                      -151.81343
                  188.72                      -154.12149
                  188.98                      -156.45469
               189.24001                      -158.81782
                   189.5                      -161.21593
               189.75999                      -163.65578
                  190.02                      -166.14437
                  190.28                      -168.68914
               190.53999                       -171.2986
                   190.8                      -173.98368
                  191.06                      -176.75532
               191.31999                      -179.62684
                  191.58                       177.38602
                  191.84                       174.26577
               192.10001                       170.99143
                  192.36                       167.53787
                  192.62                       163.87711
                  192.88                       159.97483
                  193.14                       155.79169
               193.39999                        151.2818
                  193.66                       146.39357
                  193.92                       141.06974
               194.17999                       135.24954
                  194.44                       128.87615
                   194.7                       121.90324
               194.96001                       114.31288
                  195.22                       106.13042
                  195.48                        97.44461
               195.74001                       88.411712
                     196                       79.243739
               196.25999                       70.175436
                  196.52                       61.420989
                  196.78                        53.13821
               197.03999                       45.417803
