        Frequency / MHz                S1,1 (5)/abs,dB
----------------------------------------------------------------------
                      40                      -4.5375662
               40.259998                      -4.5209156
                   40.52                      -4.5054723
               40.779999                       -4.490542
               41.040001                      -4.4763067
               41.299999                      -4.4637812
               41.560001                      -4.4542326
                   41.82                      -4.4484627
               42.080002                      -4.4464012
                   42.34                      -4.4472864
               42.599998                      -4.4502922
               42.860001                      -4.4552257
               43.119999                      -4.4628273
               43.380001                      -4.4744987
               43.639999                      -4.4916412
               43.900002                      -4.5150426
                   44.16                      -4.5447006
               44.419998                       -4.580215
                   44.68                      -4.6214993
               44.939999                      -4.6693747
               45.200001                       -4.725691
               45.459999                      -4.7928996
               45.720001                      -4.8734073
                   45.98                      -4.9691321
               46.240002                      -5.0815867
                    46.5                      -5.2125031
               46.759998                      -5.3646547
                   47.02                      -5.5424623
               47.279999                        -5.75209
               47.540001                      -6.0010983
               47.799999                      -6.2980092
               48.060001                      -6.6522212
                   48.32                      -7.0745349
               48.580002                      -7.5781888
                   48.84                       -8.179971
               49.099998                      -8.9006868
               49.360001                      -9.7639263
               49.619999                      -10.791022
               49.880001                      -11.986813
               50.139999                      -13.302925
               50.400002                       -14.55863
                   50.66                       -15.35957
               50.919998                       -15.28052
                   51.18                      -14.357332
               51.439999                      -13.034883
               51.700001                      -11.678877
               51.959999                      -10.447162
               52.220001                      -9.3798515
                   52.48                      -8.4718209
               52.740002                      -7.7042728
                      53                      -7.0560727
               53.259998                      -6.5073586
                   53.52                       -6.040524
               53.779999                      -5.6404934
               54.040001                       -5.294832
               54.299999                      -4.9937356
               54.560001                      -4.7297949
                   54.82                      -4.4974673
               55.080002                      -4.2923615
                   55.34                      -4.1106087
               55.599998                      -3.9485139
               55.860001                      -3.8025985
               56.119999                      -3.6699062
               56.380001                      -3.5483086
               56.639999                      -3.4365657
               56.900002                      -3.3340476
                   57.16                      -3.2402592
               57.419998                      -3.1544204
                   57.68                      -3.0753575
               57.939999                      -3.0017237
               58.200001                      -2.9324176
               58.459999                      -2.8669106
               58.720001                      -2.8052636
                   58.98                      -2.7478147
               59.240002                      -2.6947414
                    59.5                      -2.6457456
               59.759998                      -2.6000791
                   60.02                      -2.5568723
               60.279999                      -2.5155649
               60.540001                       -2.476147
               60.799999                      -2.4390659
               61.060001                      -2.4048557
                   61.32                      -2.3737117
               61.580002                      -2.3452997
                   61.84                      -2.3189099
               62.099998                      -2.2938498
               62.360001                      -2.2698416
               62.619999                      -2.2471525
               62.880001                      -2.2263758
               63.139999                       -2.208009
               63.400002                      -2.1920924
                   63.66                      -2.1781452
               63.919998                      -2.1654357
                   64.18                       -2.153419
               64.440002                      -2.1420554
               64.699997                      -2.1318058
               64.959999                      -2.1233009
               65.220001                      -2.1169073
               65.480003                      -2.1124515
               65.739998                      -2.1093025
                      66                      -2.1067484
               66.260002                       -2.104427
               66.519997                      -2.1025368
               66.779999                      -2.1016841
               67.040001                      -2.1024636
               67.300003                      -2.1050468
               67.559998                      -2.1090396
                   67.82                      -2.1137112
               68.080002                      -2.1184375
               68.339996                      -2.1230958
               68.599998                      -2.1281199
               68.860001                      -2.1342074
               69.120003                       -2.141845
               69.379997                      -2.1509685
               69.639999                      -2.1609837
               69.900002                      -2.1711273
               70.160004                      -2.1809577
               70.419998                      -2.1906264
                   70.68                      -2.2007843
               70.940002                      -2.2121399
               71.199997                      -2.2249933
               71.459999                      -2.2390182
               71.720001                       -2.253462
               71.980003                      -2.2676269
               72.239998                      -2.2813253
                    72.5                      -2.2950053
               72.760002                      -2.3094658
               73.019997                      -2.3253286
               73.279999                      -2.3426251
               73.540001                       -2.360764
               73.800003                      -2.3789056
               74.059998                      -2.3965166
                   74.32                       -2.413724
               74.580002                      -2.4312526
               74.839996                      -2.4499481
               75.099998                      -2.4702248
               75.360001                      -2.4917871
               75.620003                      -2.5138012
               75.879997                      -2.5354458
               76.139999                      -2.5564547
               76.400002                        -2.57731
               76.660004                      -2.5989407
               76.919998                      -2.6221131
                   77.18                        -2.64692
               77.440002                      -2.6727023
               77.699997                      -2.6984616
               77.959999                      -2.7235258
               78.220001                      -2.7479981
               78.480003                      -2.7727155
               78.739998                      -2.7987052
                      79                      -2.8265047
               79.260002                      -2.8557812
               79.519997                      -2.8855296
               79.779999                      -2.9147179
               80.040001                      -2.9429745
               80.300003                      -2.9708619
               80.559998                      -2.9995208
                   80.82                      -3.0299252
               81.080002                      -3.0622122
               81.339996                      -3.0955575
               81.599998                      -3.1286829
               81.860001                       -3.160697
               82.120003                      -3.1917062
               82.379997                      -3.2227816
               82.639999                      -3.2552728
               82.900002                       -3.289907
               83.160004                      -3.3262745
               83.419998                      -3.3630507
                   83.68                      -3.3988517
               83.940002                      -3.4331714
               84.199997                      -3.4667771
               84.459999                      -3.5012474
               84.720001                      -3.5379481
               84.980003                      -3.5770961
               85.239998                      -3.6175464
                    85.5                      -3.6574893
               85.760002                       -3.695648
               86.019997                      -3.7321822
               86.279999                      -3.7686779
               86.540001                      -3.8071607
               86.800003                      -3.8487427
               87.059998                      -3.8928104
                   87.32                      -3.9373148
               87.580002                      -3.9800631
               87.839996                      -4.0202296
               88.099998                      -4.0590458
               88.360001                      -4.0991401
               88.620003                      -4.1428648
               88.879997                       -4.190662
               89.139999                      -4.2405764
               89.400002                      -4.2893454
               89.660004                       -4.334519
               89.919998                      -4.3762869
                   90.18                       -4.417705
               90.440002                      -4.4629712
               90.699997                      -4.5147022
               90.959999                      -4.5718923
               91.220001                      -4.6299891
               91.480003                      -4.6834137
               91.739998                      -4.7293509
                      92                      -4.7705473
               92.260002                      -4.8151074
               92.519997                      -4.8729801
               92.779999                      -4.9508159
               93.040001                      -5.0477101
               93.300003                      -5.1539882
               93.559998                      -5.2540655
                   93.82                      -5.3327967
               94.080002                       -5.382553
               94.339996                       -5.407046
               94.599998                      -5.4194362
               94.860001                      -5.4359714
               95.120003                       -5.468963
               95.379997                      -5.5225086
               95.639999                      -5.5923239
               95.900002                       -5.669129
               96.160004                      -5.7437772
               96.419998                      -5.8116114
                   96.68                       -5.873896
               96.940002                      -5.9358796
               97.199997                      -6.0030359
               97.459999                      -6.0778485
               97.720001                      -6.1588118
               97.980003                      -6.2418629
               98.239998                      -6.3231311
                    98.5                      -6.4012625
               98.760002                       -6.477985
               99.019997                      -6.5567191
               99.279999                      -6.6402896
               99.540001                      -6.7292227
               99.800003                      -6.8215776
                  100.06                       -6.914294
                  100.32                      -7.0051297
                  100.58                      -7.0939749
                  100.84                      -7.1827603
                   101.1                      -7.2741317
                  101.36                      -7.3697971
                  101.62                      -7.4695939
                  101.88                      -7.5717946
                  102.14                       -7.674387
                   102.4                      -7.7764822
                  102.66                      -7.8789794
                  102.92                      -7.9840892
                  103.18                      -8.0940853
                  103.44                      -8.2100939
                   103.7                      -8.3316636
                  103.96                      -8.4573271
                  104.22                       -8.585787
                  104.48                      -8.7169742
                  104.74                      -8.8523322
                     105                      -8.9941872
                  105.26                      -9.1446205
                  105.52                      -9.3045531
                  105.78                      -9.4735683
                  106.04                      -9.6505396
                   106.3                      -9.8346476
                  106.56                      -10.026119
                  106.82                      -10.226172
                  107.08                       -10.43612
                  107.34                      -10.656071
                   107.6                      -10.883894
                  107.86                      -11.115002
                  108.12                        -11.3431
                  108.38                       -11.56159
                  108.64                       -11.76501
                   108.9                      -11.949892
                  109.16                      -12.114808
                  109.42                      -12.259903
                  109.68                      -12.386441
                  109.94                      -12.496753
                   110.2                      -12.594521
                  110.46                      -12.684932
                  110.72                      -12.774253
                  110.98                       -12.86865
                  111.24                       -12.97253
                   111.5                      -13.086938
                  111.76                      -13.208528
                  112.02                      -13.329497
                  112.28                      -13.438585
                  112.54                      -13.523048
                   112.8                       -13.57115
                  113.06                      -13.574527
                  113.32                      -13.529778
                  113.58                      -13.438864
                  113.84                      -13.308348
                   114.1                       -13.14789
                  114.36                      -12.968436
                  114.62                      -12.780528
                  114.88                      -12.592984
                  115.14                       -12.41211
                   115.4                      -12.241503
                  115.66                      -12.082426
                  115.92                       -11.93458
                  116.18                      -11.797045
                  116.44                      -11.669058
                   116.7                      -11.550408
                  116.96                      -11.441354
                  117.22                      -11.342234
                  117.48                      -11.253026
                  117.74                      -11.173126
                     118                      -11.101482
                  118.26                      -11.036981
                  118.52                      -10.978873
                  118.78                      -10.927001
                  119.04                      -10.881678
                   119.3                      -10.843324
                  119.56                      -10.812045
                  119.82                      -10.787425
                  120.08                      -10.768618
                  120.34                      -10.754706
                   120.6                      -10.745085
                  120.86                      -10.739659
                  121.12                      -10.738739
                  121.38                      -10.742685
                  121.64                       -10.75154
                   121.9                      -10.764851
                  122.16                      -10.781795
                  122.42                      -10.801531
                  122.68                      -10.823554
                  122.94                      -10.847848
                   123.2                      -10.874733
                  123.46                      -10.904526
                  123.72                      -10.937183
                  123.98                        -10.9722
                  124.24                      -11.008771
                   124.5                      -11.046159
                  124.76                      -11.084003
                  125.02                       -11.12241
                  125.28                       -11.16175
                  125.54                      -11.202295
                   125.8                      -11.243927
                  126.06                      -11.286091
                  126.32                      -11.328029
                  126.58                      -11.369143
                  126.84                      -11.409254
                   127.1                      -11.448609
                  127.36                       -11.48762
                  127.62                      -11.526503
                  127.88                      -11.565054
                  128.14                      -11.602687
               128.39999                      -11.638723
                  128.66                      -11.672735
                  128.92                      -11.704739
               129.17999                      -11.735108
                  129.44                      -11.764266
                   129.7                      -11.792359
               129.96001                      -11.819108
                  130.22                      -11.843949
                  130.48                       -11.86635
               130.74001                      -11.886126
                     131                      -11.903526
               131.25999                      -11.919065
                  131.52                      -11.933187
                  131.78                      -11.945994
               132.03999                      -11.957192
                   132.3                      -11.966311
                  132.56                      -11.973029
               132.82001                      -11.977407
                  133.08                      -11.979881
                  133.34                       -11.98101
               133.60001                      -11.981156
                  133.86                      -11.980281
                  134.12                      -11.978015
                  134.38                      -11.973914
                  134.64                       -11.96777
               134.89999                      -11.959741
                  135.16                      -11.950249
                  135.42                       -11.93968
               135.67999                      -11.928102
                  135.94                      -11.915188
                   136.2                      -11.900368
               136.46001                      -11.883137
                  136.72                      -11.863306
                  136.98                      -11.841041
               137.24001                      -11.816675
                   137.5                      -11.790425
               137.75999                      -11.762201
                  138.02                      -11.731644
                  138.28                      -11.698365
               138.53999                      -11.662228
                   138.8                      -11.623492
                  139.06                      -11.582724
               139.32001                      -11.540526
                  139.58                       -11.49728
                  139.84                      -11.453051
               140.10001                      -11.407706
                  140.36                      -11.361173
                  140.62                      -11.313652
                  140.88                      -11.265629
                  141.14                      -11.217705
               141.39999                      -11.170342
                  141.66                      -11.123682
                  141.92                      -11.077589
               142.17999                      -11.031845
                  142.44                      -10.986391
                   142.7                      -10.941448
               142.96001                      -10.897444
                  143.22                      -10.854797
                  143.48                        -10.8137
               143.74001                      -10.774061
                     144                      -10.735619
               144.25999                      -10.698168
                  144.52                      -10.661742
                  144.78                      -10.626619
               145.03999                      -10.593176
                   145.3                      -10.561653
                  145.56                      -10.532022
               145.82001                      -10.503999
                  146.08                      -10.477229
                  146.34                      -10.451469
               146.60001                       -10.42668
                  146.86                      -10.402933
                  147.12                      -10.380221
                  147.38                      -10.358292
                  147.64                      -10.336636
               147.89999                      -10.314665
                  148.16                      -10.291968
                  148.42                      -10.268527
               148.67999                      -10.244736
                  148.94                       -10.22126
                   149.2                      -10.198787
               149.46001                      -10.177859
                  149.72                      -10.158844
                  149.98                      -10.142038
               150.24001                        -10.1278
                   150.5                      -10.116602
               150.75999                      -10.108952
                  151.02                      -10.105241
                  151.28                      -10.105624
               151.53999                      -10.110025
                   151.8                      -10.118272
                  152.06                       -10.13029
               152.32001                      -10.146233
                  152.58                      -10.166461
                  152.84                      -10.191411
               153.10001                      -10.221424
