        Frequency / MHz                S1,1 (8)/arg,degrees
----------------------------------------------------------------------
                      40                       151.24681
               40.259998                       149.73226
                   40.52                       148.20002
               40.779999                       146.64942
               41.040001                       145.08392
               41.299999                       143.50883
               41.560001                        141.9279
                   41.82                       140.34048
               42.080002                       138.74148
                   42.34                       137.12368
               42.599998                       135.48137
               42.860001                       133.81314
               43.119999                        132.1221
               43.380001                       130.41348
               43.639999                       128.69065
               43.900002                        126.9524
                   44.16                       125.19226
               44.419998                       123.40125
                   44.68                       121.57173
               44.939999                       119.70068
               45.200001                       117.79004
               45.459999                       115.84416
               45.720001                       113.86534
                   45.98                       111.85026
               46.240002                       109.78932
                    46.5                       107.66916
               46.759998                       105.47736
                   47.02                       103.20628
               47.279999                       100.85381
               47.540001                       98.420335
               47.799999                       95.903465
               48.060001                       93.293103
                   48.32                       90.569893
               48.580002                       87.707777
                   48.84                       84.679524
               49.099998                       81.461883
               49.360001                       78.037063
               49.619999                       74.389394
               49.880001                       70.498016
               50.139999                       66.329333
               50.400002                       61.832871
                   50.66                       56.942887
               50.919998                       51.584774
                   51.18                       45.681606
               51.439999                       39.152951
               51.700001                       31.893716
               51.959999                       23.704266
               52.220001                       14.067108
                   52.48                       1.2149449
               52.740002                      -24.530652
                      53                      -118.35591
               53.259998                      -164.31151
                   53.52                       179.91859
               53.779999                       169.49873
               54.040001                       161.05577
               54.299999                       153.73039
               54.560001                       147.20919
                   54.82                       141.33687
               55.080002                       136.00804
                   55.34                       131.13432
               55.599998                       126.63814
               55.860001                       122.45515
               56.119999                       118.53708
               56.380001                       114.85063
               56.639999                       111.37333
               56.900002                       108.08689
                   57.16                       104.97213
               57.419998                       102.00695
                   57.68                       99.167971
               57.939999                        96.43371
               58.200001                        93.78824
               58.459999                       91.221975
               58.720001                       88.730404
                   58.98                       86.310741
               59.240002                       83.958888
                    59.5                       81.668042
               59.759998                        79.42919
                   60.02                        77.23342
               60.279999                       75.074288
               60.540001                       72.948761
               60.799999                       70.856947
               61.060001                       68.799748
                   61.32                       66.777194
               61.580002                       64.786985
                   61.84                       62.825055
               62.099998                       60.886754
               62.360001                       58.968919
               62.619999                       57.070563
               62.880001                       55.192618
               63.139999                       53.336883
               63.400002                        51.50415
                   63.66                       49.693605
               63.919998                       47.902784
                   64.18                       46.128629
               64.440002                       44.368925
               64.699997                       42.623044
               64.959999                       40.891785
               65.220001                       39.176451
               65.480003                        37.47773
               65.739998                        35.79488
                      66                       34.125939
               66.260002                        32.46836
               66.519997                       30.820069
               66.779999                       29.180334
               67.040001                       27.549479
               67.300003                       25.928317
               67.559998                       24.317212
                   67.82                       22.715424
               68.080002                       21.121201
               68.339996                       19.532445
               68.599998                        17.94735
               68.860001                       16.365206
               69.120003                       14.786203
               69.379997                       13.211024
               69.639999                       11.640053
               69.900002                       10.072798
               70.160004                        8.507865
               70.419998                       6.9437245
                   70.68                       5.3790375
               70.940002                       3.8132845
               71.199997                       2.2468489
               71.459999                      0.68038615
               71.720001                     -0.88563968
               71.980003                      -2.4514741
               72.239998                      -4.0179919
