        Frequency / MHz                S1,1 (6)/abs,dB
----------------------------------------------------------------------
                      40                      -3.0495569
               40.259998                      -3.0607405
                   40.52                      -3.0726029
               40.779999                      -3.0853574
               41.040001                      -3.0992243
               41.299999                      -3.1144026
               41.560001                      -3.1310348
                   41.82                      -3.1491892
               42.080002                      -3.1688586
                   42.34                      -3.1899779
               42.599998                      -3.2124457
               42.860001                      -3.2361728
               43.119999                      -3.2611123
               43.380001                      -3.2872983
               43.639999                      -3.3148652
               43.900002                      -3.3440495
                   44.16                       -3.375167
               44.419998                      -3.4085874
                   44.68                      -3.4446876
               44.939999                      -3.4838125
               45.200001                      -3.5262396
               45.459999                      -3.5721641
               45.720001                      -3.6217026
                   45.98                      -3.6749209
               46.240002                      -3.7318699
                    46.5                      -3.7926511
               46.759998                      -3.8574618
                   47.02                      -3.9266426
               47.279999                      -4.0007063
               47.540001                      -4.0803395
               47.799999                      -4.1663865
               48.060001                      -4.2598072
                   48.32                      -4.3616393
               48.580002                      -4.4729576
                   48.84                      -4.5948554
               49.099998                      -4.7284589
               49.360001                      -4.8749752
               49.619999                      -5.0357948
               49.880001                      -5.2126096
               50.139999                      -5.4075901
               50.400002                      -5.6235462
                   50.66                      -5.8641167
               50.919998                      -6.1339269
                   51.18                      -6.4387498
               51.439999                      -6.7856458
               51.700001                      -7.1831373
               51.959999                      -7.6414145
               52.220001                       -8.172668
                   52.48                       -8.791607
               52.740002                      -9.5162765
                      53                       -10.36937
               53.259998                      -11.380267
                   53.52                      -12.588181
               53.779999                      -14.046605
               54.040001                      -15.827544
               54.299999                      -18.012389
               54.560001                       -20.58814
                   54.82                       -22.88796
               55.080002                       -22.91847
                   55.34                       -20.67756
               55.599998                      -18.157647
               55.860001                      -16.025224
               56.119999                      -14.292272
               56.380001                      -12.876312
               56.639999                      -11.704393
               56.900002                      -10.722275
                   57.16                      -9.8902676
               57.419998                      -9.1788118
                   57.68                       -8.565378
               57.939999                      -8.0324286
               58.200001                       -7.566096
               58.459999                      -7.1553066
               58.720001                      -6.7911765
                   58.98                      -6.4665741
               59.240002                      -6.1757747
                    59.5                      -5.9141806
               59.759998                      -5.6780754
                   60.02                      -5.4644139
               60.279999                      -5.2706481
               60.540001                      -5.0945838
               60.799999                      -4.9342786
               61.060001                      -4.7879714
                   61.32                      -4.6540473
               61.580002                      -4.5310323
                   61.84                      -4.4175992
               62.099998                       -4.312581
               62.360001                      -4.2149913
               62.619999                      -4.1240248
               62.880001                      -4.0390521
               63.139999                         -3.9596
               63.400002                      -3.8853135
                   63.66                      -3.8159214
               63.919998                       -3.751192
                   64.18                      -3.6909013
               64.440002                      -3.6348039
               64.699997                       -3.582629
               64.959999                      -3.5340739
               65.220001                      -3.4888227
               65.480003                      -3.4465651
               65.739998                      -3.4070187
                      66                      -3.3699491
               66.260002                      -3.3351827
               66.519997                      -3.3026075
               66.779999                      -3.2721718
               67.040001                      -3.2438622
               67.300003                      -3.2176921
               67.559998                      -3.1936704
                   67.82                       -3.171794
               68.080002                       -3.152031
               68.339996                      -3.1343142
               68.599998                      -3.1185545
               68.860001                      -3.1046459
               69.120003                      -3.0924839
               69.379997                      -3.0819822
               69.639999                      -3.0730876
               69.900002                      -3.0657897
               70.160004                      -3.0601192
               70.419998                      -3.0561499
                   70.68                      -3.0539816
               70.940002                      -3.0537326
               71.199997                      -3.0555193
               71.459999                      -3.0594497
               71.720001                      -3.0656139
               71.980003                      -3.0740845
               72.239998                      -3.0849175
                    72.5                      -3.0981687
               72.760002                      -3.1139005
               73.019997                       -3.132197
               73.279999                      -3.1531757
               73.540001                      -3.1769946
               73.800003                      -3.2038502
               74.059998                      -3.2339795
                   74.32                      -3.2676511
               74.580002                      -3.3051518
               74.839996                      -3.3467805
               75.099998                      -3.3928412
               75.360001                      -3.4436332
               75.620003                      -3.4994554
               75.879997                      -3.5606105
               76.139999                      -3.6274101
               76.400002                      -3.7001826
               76.660004                      -3.7792891
               76.919998                       -3.865122
                   77.18                      -3.9581137
               77.440002                      -4.0587312
               77.699997                      -4.1674702
               77.959999                      -4.2848392
               78.220001                      -4.4113493
               78.480003                       -4.547484
               78.739998                      -4.6936868
                      79                      -4.8503343
               79.260002                      -5.0177123
               79.519997                      -5.1959977
               79.779999                       -5.385231
               80.040001                      -5.5852954
               80.300003                      -5.7958824
               80.559998                      -6.0164663
                   80.82                      -6.2462609
               81.080002                      -6.4841793
               81.339996                      -6.7287909
               81.599998                      -6.9782769
               81.860001                      -7.2303916
               82.120003                      -7.4824453
               82.379997                      -7.7313109
               82.639999                      -7.9734679
               82.900002                      -8.2050907
               83.160004                       -8.422197
               83.419998                      -8.6208351
                   83.68                      -8.7973189
               83.940002                      -8.9484652
               84.199997                       -9.071819
               84.459999                      -9.1658177
               84.720001                      -9.2298811
               84.980003                      -9.2643996
               85.239998                      -9.2706401
                    85.5                      -9.2505808
               85.760002                      -9.2067169
               86.019997                      -9.1418499
               86.279999                      -9.0589174
               86.540001                      -8.9608349
               86.800003                      -8.8504021
               87.059998                      -8.7302184
                   87.32                      -8.6026608
               87.580002                      -8.4698508
               87.839996                      -8.3336595
               88.099998                      -8.1957085
               88.360001                      -8.0573843
               88.620003                      -7.9198518
               88.879997                      -7.7840774
               89.139999                      -7.6508528
               89.400002                      -7.5208182
               89.660004                       -7.394493
               89.919998                      -7.2723021
                   90.18                      -7.1546011
               90.440002                      -7.0416939
               90.699997                      -6.9338549
               90.959999                      -6.8313313
               91.220001                      -6.7343549
               91.480003                      -6.6431388
               91.739998                       -6.557874
                      92                      -6.4787251
               92.260002                      -6.4058308
               92.519997                      -6.3392951
               92.779999                      -6.2791935
               93.040001                      -6.2255737
               93.300003                      -6.1784625
               93.559998                      -6.1378716
                   93.82                      -6.1038068
               94.080002                      -6.0762777
               94.339996                      -6.0552974
               94.599998                      -6.0408908
               94.860001                      -6.0330906
               95.120003                       -6.031942
               95.379997                      -6.0374899
               95.639999                      -6.0497819
               95.900002                      -6.0688609
               96.160004                      -6.0947633
               96.419998                      -6.1275148
                   96.68                      -6.1671387
               96.940002                      -6.2136493
               97.199997                      -6.2670663
               97.459999                      -6.3274107
               97.720001                      -6.3947165
               97.980003                      -6.4690299
               98.239998                       -6.550412
                    98.5                      -6.6389394
               98.760002                      -6.7346981
               99.019997                      -6.8377854
               99.279999                      -6.9482966
               99.540001                      -7.0663276
               99.800003                      -7.1919687
                  100.06                      -7.3253006
                  100.32                      -7.4663984
                  100.58                      -7.6153323
                  100.84                      -7.7721718
                   101.1                      -7.9369958
                  101.36                       -8.109891
                  101.62                      -8.2909633
                  101.88                      -8.4803422
                  102.14                      -8.6781763
                   102.4                      -8.8846388
                  102.66                      -9.0999261
                  102.92                      -9.3242489
                  103.18                      -9.5578322
