        Frequency / MHz                S1,1 (Mesh Pass=5)/arg,degrees
----------------------------------------------------------------------
                      40                      -1.0729414
               40.259998                      -3.8527328
                   40.52                      -6.6446055
               40.779999                       -9.449406
               41.040001                      -12.266552
               41.299999                       -15.09466
               41.560001                      -17.932751
                   41.82                      -20.781283
               42.080002                      -23.642323
                   42.34                       -26.51874
               42.599998                      -29.412918
               42.860001                      -32.325814
               43.119999                      -35.256958
               43.380001                      -38.205469
               43.639999                      -41.171473
               43.900002                      -44.157003
                   44.16                      -47.165816
               44.419998                      -50.202217
                   44.68                      -53.269599
               44.939999                      -56.369673
               45.200001                      -59.502916
               45.459999                       -62.67003
               45.720001                      -65.873581
                   45.98                      -69.118713
               46.240002                      -72.412539
                    46.5                      -75.762453
               46.759998                      -79.174652
                   47.02                      -82.653445
               47.279999                      -86.202486
               47.540001                      -89.826659
               47.799999                      -93.534182
               48.060001                      -97.336699
                   48.32                       -101.2482
               48.580002                      -105.28226
                   48.84                       -109.4498
               49.099998                      -113.75827
               49.360001                      -118.21253
               49.619999                      -122.81591
               49.880001                      -127.57006
               50.139999                      -132.46997
               50.400002                      -137.49329
                   50.66                      -142.58203
               50.919998                      -147.61349
                   51.18                      -152.35031
               51.439999                      -156.33945
               51.700001                      -158.67124
               51.959999                      -157.33249
               52.220001                      -147.56967
                   52.48                      -122.39169
               52.740002                      -93.947326
                      53                      -80.785217
               53.259998                      -77.751281
                   53.52                      -79.130857
               53.779999                      -82.466277
               54.040001                      -86.692381
               54.299999                      -91.304869
               54.560001                      -96.052246
                   54.82                      -100.80859
               55.080002                       -105.5134
                   55.34                      -110.13922
               55.599998                      -114.67429
               55.860001                       -119.1139
               56.119999                      -123.45741
               56.380001                      -127.70794
               56.639999                      -131.87225
               56.900002                      -135.95999
                   57.16                      -139.98194
               57.419998                      -143.94812
                   57.68                      -147.86652
               57.939999                      -151.74338
               58.200001                      -155.58383
               58.459999                      -159.39334
               58.720001                      -163.17801
                   58.98                       -166.9445
               59.240002                      -170.69894
                    59.5                       -174.4462
               59.759998                      -178.18942
                   60.02                        178.0694
               60.279999                       174.32837
               60.540001                       170.58495
               60.799999                       166.83569
               61.060001                       163.07666
                   61.32                       159.30425
               61.580002                        155.5159
                   61.84                       151.71028
               62.099998                       147.88681
               62.360001                       144.04498
               62.619999                       140.18364
               62.880001                       136.30095
               63.139999                       132.39475
               63.400002                       128.46317
                   63.66                       124.50527
               63.919998                       120.52092
                   64.18                       116.51048
               64.440002                        112.4743
               64.699997                        108.4122
               64.959999                       104.32353
               65.220001                       100.20742
               65.480003                       96.063404
               65.739998                       91.891607
                      66                       87.692843
               66.260002                       83.468317
               66.519997                       79.219093
               66.779999                       74.945798
               67.040001                       70.648679
               67.300003                       66.327903
               67.559998                       61.983875
                   67.82                       57.617553
               68.080002                       53.230307
               68.339996                       48.823848
               68.599998                       44.399527
               68.860001                       39.958537
               69.120003                       35.501402
               69.379997                       31.028747
               69.639999                       26.541259
               69.900002                       22.039944
               70.160004                       17.526174
               70.419998                       13.001338
                   70.68                       8.4665556
               70.940002                       3.9226498
               71.199997                     -0.63005397
               71.459999                      -5.1913367
               71.720001                      -9.7609508
               71.980003                      -14.338407
               72.239998                      -18.923131
                    72.5                      -23.514465
               72.760002                      -28.112139
               73.019997                      -32.716288
               73.279999                      -37.327348
               73.540001                      -41.946004
               73.800003                      -46.572939
               74.059998                      -51.208614
                   74.32                      -55.853472
               74.580002                         -60.508
               74.839996                       -65.17291
               75.099998                      -69.849239
               75.360001                      -74.538383
               75.620003                      -79.241843
               75.879997                      -83.961012
               76.139999                      -88.697092
               76.400002                      -93.451177
               76.660004                      -98.224222
               76.919998                      -103.01727
                   77.18                      -107.83157
               77.440002                      -112.66822
               77.699997                       -117.5283
               77.959999                      -122.41249
               78.220001                      -127.32094
               78.480003                      -132.25304
               78.739998                      -137.20777
                      79                      -142.18343
               79.260002                      -147.17766
               79.519997                      -152.18758
               79.779999                      -157.20892
               80.040001                      -162.23632
               80.300003                      -167.26279
               80.559998                      -172.27937
                   80.82                      -177.27541
               81.080002                        177.7615
               81.339996                       172.84546
               81.599998                       167.99236
               81.860001                       163.21997
               82.120003                        158.5473
               82.379997                       153.99506
               82.639999                       149.58435
               82.900002                       145.33608
               83.160004                       141.26916
               83.419998                       137.39885
                   83.68                       133.73525
               83.940002                       130.28092
               84.199997                        127.0298
               84.459999                       123.96567
               84.720001                       121.06197
               84.980003                       118.28192
               85.239998                       115.58088
                    85.5                        112.9088
               85.760002                       110.21503
               86.019997                        107.4523
               86.279999                       104.58039
               86.540001                       101.56866
               86.800003                       98.396559
               87.059998                         95.0531
                   87.32                       91.535498
               87.580002                       87.847524
               87.839996                       83.997974
               88.099998                       79.999473
               88.360001                       75.866771
               88.620003                       71.616262
               88.879997                        67.26472
               89.139999                       62.828213
               89.400002                       58.322035
               89.660004                       53.760399
               89.919998                       49.156143
                   90.18                       44.521119
               90.440002                       39.866154
               90.699997                       35.201135
               90.959999                       30.534806
               91.220001                       25.874706
               91.480003                       21.227169
               91.739998                       16.597612
                      92                        11.99024
               92.260002                       7.4088233
               92.519997                       2.8564198
               92.779999                      -1.6642366
               93.040001                      -6.1511795
               93.300003                      -10.602932
               93.559998                      -15.018677
                   93.82                      -19.398084
               94.080002                      -23.741321
               94.339996                      -28.048767
               94.599998                      -32.320694
               94.860001                      -36.557649
               95.120003                      -40.760293
               95.379997                      -44.929548
               95.639999                      -49.066571
               95.900002                      -53.172879
               96.160004                      -57.249954
               96.419998                      -61.299492
                   96.68                      -65.322912
               96.940002                       -69.32185
               97.199997                      -73.297675
               97.459999                      -77.252082
               97.720001                      -81.186927
               97.980003                      -85.104232
               98.239998                      -89.006128
                    98.5                      -92.894527
               98.760002                      -96.771506
               99.019997                      -100.63887
               99.279999                      -104.49853
               99.540001                      -108.35267
               99.800003                      -112.20336
                  100.06                      -116.05308
                  100.32                      -119.90421
                  100.58                      -123.75912
                  100.84                      -127.61992
                   101.1                      -131.48908
                  101.36                      -135.36869
                  101.62                      -139.26124
                  101.88                      -143.16915
                  102.14                      -147.09492
                   102.4                      -151.04135
                  102.66                      -155.01067
                  102.92                      -159.00546
                  103.18                      -163.02778
                  103.44                      -167.07989
                   103.7                      -171.16434
                  103.96                      -175.28316
                  104.22                      -179.43876
                  104.48                       176.36652
                  104.74                       172.13082
                     105                       167.85212
                  105.26                       163.52899
                  105.52                        159.1598
                  105.78                       154.74334
                  106.04                       150.27826
                   106.3                       145.76344
                  106.56                       141.19815
                  106.82                       136.58192
                  107.08                       131.91488
                  107.34                       127.19746
                   107.6                       122.43075
                  107.86                       117.61575
                  108.12                       112.75462
                  108.38                       107.84934
                  108.64                       102.90286
                   108.9                         97.9189
                  109.16                       92.902045
                  109.42                       87.857759
                  109.68                       82.792381
                  109.94                       77.713343
                   110.2                       72.628622
                  110.46                        67.54729
                  110.72                       62.480162
                  110.98                        57.43883
                  111.24                       52.437053
                   111.5                       47.490032
                  111.76                       42.615458
                  112.02                       37.833127
                  112.28                        33.16499
                  112.54                       28.636739
                   112.8                        24.27744
                  113.06                       20.121734
                  113.32                       16.210168
                  113.58                       12.591042
                  113.84                       9.3216213
                   114.1                       6.4699894
                  114.36                       4.1155962
                  114.62                       2.3498007
                  114.88                       1.2729259
                  115.14                      0.98605799
                   115.4                       1.5732357
                  115.66                       3.0696481
                  115.92                       5.4202172
                  116.18                       8.4412376
                  116.44                       11.818629
                   116.7                       15.162799
                  116.96                       18.106666
                  117.22                       20.388603
                  117.48                       21.882066
                  117.74                       22.574701
                     118                       22.524542
                  118.26                       21.822507
                  118.52                       20.566734
                  118.78                       18.849244
                  119.04                       16.750461
                   119.3                       14.338041
                  119.56                       11.667928
                  119.82                       8.7860247
                  120.08                       5.7293787
                  120.34                       2.5288063
                   120.6                     -0.79055609
                  120.86                      -4.2077272
                  121.12                       -7.705658
                  121.38                      -11.269815
                  121.64                      -14.887957
                   121.9                      -18.549813
                  122.16                       -22.24675
                  122.42                      -25.971114
                  122.68                      -29.716461
                  122.94                      -33.476998
                   123.2                       -37.24803
                  123.46                      -41.025287
                  123.72                      -44.805169
                  123.98                      -48.584833
                  124.24                      -52.361763
                   124.5                      -56.134103
                  124.76                      -59.900107
                  125.02                      -63.658677
                  125.28                      -67.408725
                  125.54                      -71.149701
                   125.8                      -74.881281
                  126.06                      -78.603677
                  126.32                      -82.317224
                  126.58                      -86.022356
                  126.84                      -89.719619
                   127.1                      -93.409998
                  127.36                      -97.094366
                  127.62                      -100.77393
                  127.88                      -104.44999
                  128.14                      -108.12376
               128.39999                      -111.79687
                  128.66                      -115.47085
                  128.92                      -119.14724
               129.17999                      -122.82768
                  129.44                      -126.51369
                   129.7                      -130.20712
               129.96001                      -133.90952
                  130.22                      -137.62285
                  130.48                      -141.34853
               130.74001                      -145.08841
                     131                      -148.84414
               131.25999                      -152.61736
                  131.52                      -156.40926
                  131.78                      -160.22182
               132.03999                      -164.05612
                   132.3                      -167.91381
                  132.56                      -171.79609
               132.82001                      -175.70438
                  133.08                      -179.63944
                  133.34                       176.39741
               133.60001                       172.40552
                  133.86                       168.38379
                  134.12                        164.3318
                  134.38                       160.24887
                  134.64                       156.13437
               134.89999                       151.98817
                  135.16                       147.80995
                  135.42                       143.59983
               135.67999                       139.35779
                  135.94                       135.08405
                   136.2                       130.77907
               136.46001                       126.44315
                  136.72                       122.07664
                  136.98                       117.68073
               137.24001                       113.25597
                   137.5                       108.80345
               137.75999                       104.32438
                  138.02                       99.819733
                  138.28                       95.290934
               138.53999                       90.739406
                   138.8                       86.166676
                  139.06                       81.574166
               139.32001                       76.964061
                  139.58                       72.338001
                  139.84                       67.698172
               140.10001                       63.046759
                  140.36                       58.385947
                  140.62                       53.718358
                  140.88                       49.046508
                  141.14                       44.373238
               141.39999                       39.701499
                  141.66                       35.034787
                  141.92                       30.376598
               142.17999                       25.731085
                  142.44                       21.102513
                   142.7                       16.496125
               142.96001                       11.917602
