        Frequency / MHz                S1,1 (11)/abs,dB
----------------------------------------------------------------------
                      40                      -3.1566645
               40.259998                      -3.1488291
                   40.52                      -3.1409561
               40.779999                      -3.1330583
               41.040001                      -3.1251438
               41.299999                      -3.1172212
               41.560001                      -3.1093058
                   41.82                      -3.1014233
               42.080002                      -3.0936019
                   42.34                      -3.0858769
               42.599998                      -3.0782772
               42.860001                      -3.0708217
               43.119999                      -3.0635295
               43.380001                      -3.0564192
               43.639999                      -3.0495206
               43.900002                      -3.0428759
                   44.16                      -3.0365344
               44.419998                      -3.0305482
                   44.68                      -3.0249651
               44.939999                      -3.0198267
               45.200001                      -3.0151729
               45.459999                      -3.0110575
               45.720001                      -3.0075435
                   45.98                      -3.0047189
               46.240002                      -3.0026782
                    46.5                      -3.0015256
               46.759998                      -3.0013661
                   47.02                       -3.002305
               47.279999                       -3.004458
               47.540001                      -3.0079656
               47.799999                      -3.0129969
               48.060001                      -3.0197549
                   48.32                      -3.0284707
               48.580002                      -3.0393905
                   48.84                       -3.052778
               49.099998                      -3.0689135
               49.360001                      -3.0881058
               49.619999                      -3.1107055
               49.880001                      -3.1371074
               50.139999                      -3.1677464
               50.400002                       -3.203075
                   50.66                      -3.2435452
               50.919998                       -3.289576
                   51.18                      -3.3415444
               51.439999                      -3.3997644
               51.700001                      -3.4644713
               51.959999                      -3.5357855
               52.220001                      -3.6136722
                   52.48                      -3.6978737
               52.740002                      -3.7878668
                      53                      -3.8828302
               53.259998                      -3.9816594
                   53.52                      -4.0830166
               53.779999                      -4.1854053
               54.040001                      -4.2872602
               54.299999                      -4.3870247
               54.560001                      -4.4832176
                   54.82                       -4.574486
               55.080002                      -4.6596571
                   55.34                      -4.7378043
               55.599998                      -4.8083092
               55.860001                      -4.8708959
               56.119999                      -4.9256274
               56.380001                      -4.9728364
               56.639999                      -5.0130087
               56.900002                      -5.0466568
                   57.16                      -5.0742321
               57.419998                      -5.0961033
                   57.68                      -5.1125954
               57.939999                      -5.1240819
               58.200001                      -5.1310522
               58.459999                      -5.1341442
               58.720001                      -5.1340957
                   58.98                      -5.1316504
               59.240002                      -5.1274554
                    59.5                       -5.121999
               59.759998                      -5.1155963
                   60.02                      -5.1084452
               60.279999                      -5.1007002
               60.540001                      -5.0925377
               60.799999                      -5.0841826
               61.060001                       -5.075892
                   61.32                      -5.0679051
