        Frequency / MHz                S1,1 (Mesh Pass=4)/abs,dB
----------------------------------------------------------------------
                      40                      -2.9509153
               40.259998                      -2.9478043
                   40.52                      -2.9450446
               40.779999                      -2.9426537
               41.040001                      -2.9406523
               41.299999                      -2.9390681
               41.560001                      -2.9379264
                   41.82                      -2.9372616
               42.080002                      -2.9370995
                   42.34                      -2.9374706
               42.599998                      -2.9384056
               42.860001                      -2.9399431
               43.119999                      -2.9421253
               43.380001                      -2.9450026
               43.639999                      -2.9486309
               43.900002                      -2.9530688
                   44.16                      -2.9583792
               44.419998                      -2.9646288
                   44.68                      -2.9718954
               44.939999                      -2.9802659
               45.200001                       -2.989847
               45.459999                      -3.0007571
               45.720001                       -3.013131
                   45.98                      -3.0271219
               46.240002                      -3.0428973
                    46.5                      -3.0606502
               46.759998                      -3.0806054
                   47.02                      -3.1030217
               47.279999                      -3.1282055
               47.540001                      -3.1565084
               47.799999                      -3.1883338
               48.060001                      -3.2241434
                   48.32                       -3.264462
               48.580002                      -3.3098911
                   48.84                      -3.3611198
               49.099998                      -3.4189298
               49.360001                       -3.484205
               49.619999                      -3.5579271
               49.880001                      -3.6411613
               50.139999                       -3.735037
               50.400002                      -3.8407202
                   50.66                      -3.9593557
               50.919998                       -4.092006
                   51.18                      -4.2395372
               51.439999                      -4.4024948
               51.700001                      -4.5809256
               51.959999                      -4.7742004
               52.220001                      -4.9808321
                   52.48                      -5.1983364
               52.740002                      -5.4231757
                      53                      -5.6508144
               53.259998                       -5.875926
                   53.52                      -6.0927489
               53.779999                      -6.2955629
               54.040001                      -6.4792228
               54.299999                      -6.6396483
               54.560001                      -6.7741747
                   54.82                      -6.8816935
               55.080002                      -6.9625805
                   55.34                       -7.018433
               55.599998                      -7.0517172
               55.860001                      -7.0654006
               56.119999                      -7.0626281
               56.380001                      -7.0464798
               56.639999                      -7.0198149
               56.900002                      -6.9851862
                   57.16                      -6.9448098
               57.419998                      -6.9005661
                   57.68                       -6.854034
               57.939999                      -6.8065303
               58.200001                      -6.7591524
               58.459999                      -6.7128265
               58.720001                      -6.6683445
                   58.98                      -6.6263896
               59.240002                      -6.5875677
                    59.5                       -6.552419
