        Frequency / MHz                S1,1 (Mesh Pass=4)/arg,degrees
----------------------------------------------------------------------
                      40                      -72.105987
               40.259998                       -75.21319
                   40.52                       -78.32921
               40.779999                      -81.454725
               41.040001                      -84.590506
               41.299999                      -87.737338
               41.560001                      -90.896014
                   41.82                      -94.067401
               42.080002                      -97.252332
                   42.34                       -100.4518
               42.599998                      -103.66671
               42.860001                      -106.89824
               43.119999                      -110.14745
               43.380001                      -113.41545
               43.639999                      -116.70351
               43.900002                      -120.01278
                   44.16                      -123.34456
               44.419998                      -126.70021
                   44.68                      -130.08113
               44.939999                      -133.48885
               45.200001                      -136.92489
               45.459999                      -140.39085
               45.720001                      -143.88836
                   45.98                      -147.41912
               46.240002                      -150.98479
                    46.5                      -154.58721
               46.759998                      -158.22819
                   47.02                      -161.90962
               47.279999                      -165.63337
               47.540001                      -169.40126
               47.799999                      -173.21502
               48.060001                      -177.07619
                   48.32                       179.01381
               48.580002                       175.05382
                   48.84                       171.04305
               49.099998                       166.98127
               49.360001                       162.86894
               49.619999                       158.70756
               49.880001                       154.49992
               50.139999                       150.25023
               50.400002                       145.96474
                   50.66                       141.65181
               50.919998                       137.32253
                   51.18                       132.99067
               51.439999                       128.67316
               51.700001                       124.38978
               51.959999                       120.16261
               52.220001                       116.01491
                   52.48                       111.96969
               52.740002                       108.04749
                      53                         104.264
               53.259998                       100.62755
                   53.52                       97.137329
               53.779999                       93.782367
               54.040001                       90.541743
               54.299999                       87.386332
               54.560001                       84.281656
                   54.82                       81.191542
               55.080002                       78.081237
                   55.34                       74.920443
               55.599998                       71.684792
               55.860001                       68.356359
               56.119999                       64.923562
               56.380001                       61.380194
               56.639999                       57.724459
               56.900002                       53.957748
                   57.16                       50.083745
               57.419998                       46.107702
                   57.68                       42.035599
               57.939999                       37.873744
               58.200001                       33.628565
               58.459999                       29.306172
               58.720001                        24.91245
                   58.98                       20.452855
               59.240002                       15.932499
                    59.5                       11.356082
               59.759998                       6.7279176
                   60.02                       2.0518061
               60.279999                      -2.6687017
               60.540001                      -7.4306268
               60.799999                      -12.231294
               61.060001                      -17.068406
                   61.32                      -21.940135
               61.580002                      -26.844812
                   61.84                      -31.781373
               62.099998                      -36.748969
               62.360001                      -41.747109
               62.619999                      -46.775797
               62.880001                      -51.835243
               63.139999                      -56.926167
               63.400002                      -62.049602
                   63.66                      -67.206749
               63.919998                      -72.399386
                   64.18                      -77.629508
               64.440002                      -82.899574
               64.699997                      -88.212313
               64.959999                      -93.570979
               65.220001                      -98.979204
               65.480003                      -104.44106
               65.739998                      -109.96111
                      66                      -115.54449
