        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                      40                      -2.8440551
               40.259998                      -2.8504605
                   40.52                      -2.8569522
               40.779999                      -2.8637584
               41.040001                         -2.8712
               41.299999                      -2.8796316
               41.560001                      -2.8893894
                   41.82                      -2.9007308
               42.079998                      -2.9137968
                   42.34                      -2.9285878
               42.599998                      -2.9449708
               42.860001                      -2.9627114
               43.119999                      -2.9815231
               43.380001                      -3.0011418
               43.639999                       -3.021388
               43.900002                       -3.042226
                   44.16                      -3.0638085
               44.419998                      -3.0864798
                   44.68                      -3.1107569
               44.939999                       -3.137286
               45.200001                      -3.1667723
               45.459999                      -3.1999124
               45.720001                      -3.2373306
                   45.98                       -3.279536
               46.240002                      -3.3269079
                    46.5                      -3.3797251
               46.759998                      -3.4382201
                   47.02                      -3.5026735
               47.279999                      -3.5735244
               47.540001                       -3.651491
               47.799999                      -3.7376736
               48.060001                      -3.8336434
                   48.32                      -3.9414827
               48.579998                      -4.0637868
                   48.84                      -4.2036196
               49.099998                      -4.3644326
               49.360001                       -4.549945
               49.619999                      -4.7640154
               49.880001                      -5.0104879
               50.139999                      -5.2930336
               50.400002                      -5.6149603
                   50.66                      -5.9789997
               50.919998                      -6.3870238
                   51.18                      -6.8396694
               51.439999                      -7.3358131
               51.700001                      -7.8718524
               51.959999                      -8.4407604
               52.220001                      -9.0309394
                   52.48                      -9.6250764
               52.740002                      -10.199477
                      53                      -10.724758
               53.259998                      -11.168963
                   53.52                      -11.503489
               53.779999                      -11.710455
               54.040001                      -11.788114
               54.299999                      -11.751108
               54.560001                      -11.625384
                   54.82                      -11.440837
               55.079998                      -11.225169
                   55.34                      -11.000558
               55.599998                      -10.782845
               55.860001                      -10.582189
               56.119999                       -10.40431
               56.380001                      -10.251766
               56.639999                      -10.125051
               56.900002                      -10.023479
                   57.16                       -9.945822
               57.419998                      -9.8907741
                   57.68                      -9.8572406
               57.939999                         -9.8445
               58.200001                      -9.8522572
               58.459999                      -9.8806036
               58.720001                      -9.9299315
                   58.98                      -10.000819
               59.240002                      -10.093904
                    59.5                      -10.209781
               59.759998                      -10.348913
                   60.02                      -10.511587
               60.279999                      -10.697896
               60.540001                      -10.907748
               60.799999                      -11.140909
               61.060001                      -11.397032
                   61.32                      -11.675699
               61.579998                      -11.976437
                   61.84                      -12.298703
               62.099998                      -12.641821
               62.360001                      -13.004856
               62.619999                      -13.386436
               62.880001                      -13.784494
               63.139999                      -14.195951
               63.400002                      -14.616358
                   63.66                      -15.039508
               63.919998                      -15.457125
                   64.18                      -15.858691
               64.440002                       -16.23161
               64.699997                      -16.561846
               64.959999                      -16.835173
               65.220001                      -17.038972
               65.480003                      -17.164238
               65.739998                      -17.207232
                      66                       -17.17019
               66.260002                      -17.060819
               66.519997                      -16.890796
               66.779999                      -16.673834
               67.040001                       -16.42388
               67.300003                      -16.153818
               67.559998                      -15.874734
                   67.82                      -15.595666
               68.080002                      -15.323662
               68.339996                      -15.063983
               68.599998                      -14.820386
               68.860001                      -14.595398
               69.120003                      -14.390567
               69.379997                      -14.206678
               69.639999                      -14.043944
               69.900002                       -13.90217
               70.159996                      -13.780883
               70.419998                       -13.67945
                   70.68                      -13.597166
               70.940002                      -13.533324
               71.199997                      -13.487246
               71.459999                      -13.458315
               71.720001                      -13.445961
               71.980003                      -13.449634
               72.239998                       -13.46877
                    72.5                      -13.502742
               72.760002                      -13.550804
               73.019997                      -13.612054
               73.279999                      -13.685384
               73.540001                      -13.769456
               73.800003                      -13.862684
               74.059998                      -13.963234
                   74.32                      -14.069022
               74.580002                      -14.177739
               74.839996                      -14.286871
               75.099998                      -14.393734
               75.360001                      -14.495515
               75.620003                      -14.589324
               75.879997                       -14.67226
               76.139999                      -14.741491
               76.400002                      -14.794355
               76.659996                      -14.828465
               76.919998                      -14.841835
                   77.18                      -14.832985
               77.440002                      -14.801046
               77.699997                      -14.745812
               77.959999                      -14.667773
               78.220001                      -14.568086
               78.480003                      -14.448515
               78.739998                      -14.311327
                      79                      -14.159185
               79.260002                      -13.995015
               79.519997                      -13.821898
               79.779999                      -13.642954
               80.040001                      -13.461265
               80.300003                        -13.2798
               80.559998                      -13.101363
                   80.82                       -12.92856
               81.080002                       -12.76378
               81.339996                       -12.60918
               81.599998                      -12.466693
               81.860001                      -12.338039
               82.120003                      -12.224739
               82.379997                       -12.12815
               82.639999                      -12.049485
               82.900002                      -11.989854
               83.159996                      -11.950291
               83.419998                      -11.931779
                   83.68                      -11.935283
               83.940002                      -11.961756
               84.199997                      -12.012156
               84.459999                      -12.087441
               84.720001                      -12.188561
               84.980003                      -12.316436
               85.239998                      -12.471927
                    85.5                        -12.6558
               85.760002                      -12.868678
               86.019997                      -13.110972
               86.279999                      -13.382816
               86.540001                      -13.683963
               86.800003                      -14.013669
               87.059998                      -14.370531
                   87.32                        -14.7523
               87.580002                      -15.155631
               87.839996                      -15.575805
               88.099998                      -16.006409
               88.360001                      -16.439048
               88.620003                      -16.863163
               88.879997                      -17.266094
               89.139999                       -17.63358
               89.400002                      -17.950833
               89.659996                      -18.204226
               89.919998                      -18.383324
                   90.18                      -18.482742
               90.440002                      -18.503185
               90.699997                      -18.451234
               90.959999                      -18.338002
               91.220001                      -18.177139
               91.480003                      -17.982866
               91.739998                      -17.768476
                      92                      -17.545447
               92.260002                      -17.323132
               92.519997                      -17.108802
               92.779999                      -16.907909
               93.040001                      -16.724409
               93.300003                        -16.5611
               93.559998                      -16.419911
                   93.82                      -16.302137
               94.080002                      -16.208624
               94.339996                      -16.139899
               94.599998                      -16.096274
               94.860001                      -16.077904
               95.120003                      -16.084834
               95.379997                      -16.117016
               95.639999                      -16.174344
               95.900002                      -16.256645
               96.159996                      -16.363691
               96.419998                      -16.495204
                   96.68                      -16.650842
               96.940002                      -16.830194
               97.199997                      -17.032745
               97.459999                      -17.257841
               97.720001                      -17.504617
               97.980003                      -17.771903
               98.239998                      -18.058086
                    98.5                      -18.360947
               98.760002                      -18.677425
               99.019997                      -19.003367
               99.279999                      -19.333246
               99.540001                       -19.65987
               99.800003                        -19.9742
                  100.06                      -20.265319
                  100.32                      -20.520742
                  100.58                      -20.727163
                  100.84                      -20.871713
                   101.1                      -20.943621
                  101.36                      -20.935903
                  101.62                      -20.846606
                  101.88                      -20.679151
                  102.14                      -20.441655
                   102.4                      -20.145485
