        Frequency / MHz                S1,1/arg,degrees
----------------------------------------------------------------------
                      40                      -140.35942
               40.259998                      -144.17262
                   40.52                      -148.01785
               40.779999                      -151.89822
               41.040001                      -155.81629
               41.299999                       -159.7737
               41.560001                      -163.77131
                   41.82                      -167.80925
               42.079998                      -171.88721
                   42.34                      -176.00483
               42.599998                       179.83787
               42.860001                       175.64016
               43.119999                       171.40025
               43.380001                        167.1153
               43.639999                       162.78148
               43.900002                       158.39414
                   44.16                       153.94837
               44.419998                       149.43935
                   44.68                       144.86292
               44.939999                       140.21584
               45.200001                       135.49608
               45.459999                       130.70272
               45.720001                        125.8358
                   45.98                       120.89586
               46.240002                       115.88352
                    46.5                       110.79889
               46.759998                       105.64109
                   47.02                       100.40809
               47.279999                       95.096478
               47.540001                       89.701851
               47.799999                       84.219258
               48.060001                       78.644019
                   48.32                       72.972695
               48.579998                        67.20415
                   48.84                       61.340605
               49.099998                       55.388624
               49.360001                        49.35994
               49.619999                       43.272178
               49.880001                        37.14942
               50.139999                       31.022728
               50.400002                       24.930712
                   50.66                       18.920045
               50.919998                       13.046103
                   51.18                       7.3735221
               51.439999                       1.9764959
               51.700001                      -3.0617389
               51.959999                       -7.651086
               52.220001                      -11.699944
                   52.48                       -15.12566
               52.740002                      -17.871913
                      53                      -19.932722
               53.259998                      -21.377775
                   53.52                      -22.366309
               53.779999                      -23.134469
               54.040001                      -23.951315
               54.299999                      -25.059662
               54.560001                      -26.629874
                   54.82                      -28.744622
               55.079998                      -31.411339
                   55.34                      -34.587334
               55.599998                      -38.204738
               55.860001                      -42.188649
               56.119999                      -46.468436
               56.380001                       -50.98333
               56.639999                        -55.6845
               56.900002                      -60.535122
                   57.16                      -65.508993
               57.419998                       -70.58898
                   57.68                      -75.764761
               57.939999                      -81.031063
               58.200001                      -86.385582
               58.459999                       -91.82772
               58.720001                      -97.357476
                   58.98                      -102.97488
               59.240002                      -108.67968
                    59.5                      -114.47164
               59.759998                      -120.35088
                   60.02                       -126.3185
               60.279999                      -132.37722
               60.540001                      -138.53193
               60.799999                      -144.79032
               61.060001                      -151.16319
                   61.32                      -157.66469
               61.579998                      -164.31243
                   61.84                      -171.12732
               62.099998                      -178.13346
               62.360001                       174.64226
               62.619999                       167.17056
               62.880001                       159.42036
               63.139999                       151.35965
               63.400002                       142.95692
                   63.66                       134.18332
               63.919998                       125.01606
                   64.18                       115.44305
               64.440002                       105.46885
               64.699997                       95.121166
               64.959999                       84.455962
               65.220001                       73.559325
               65.480003                       62.542858
               65.739998                       51.533168
                      66                       40.656501
               66.260002                       30.023428
               66.519997                        19.71798
               66.779999                       9.7930058
               67.040001                      0.27207739
               67.300003                      -8.8448595
               67.559998                      -17.574442
                   67.82                       -25.94339
               68.080002                      -33.983426
               68.339996                      -41.727438
               68.599998                      -49.207643
               68.860001                      -56.454093
               69.120003                       -63.49465
               69.379997                      -70.354754
               69.639999                      -77.057931
               69.900002                       -83.62595
               70.159996                      -90.079386
               70.419998                      -96.437746
                   70.68                      -102.71974
               70.940002                      -108.94336
               71.199997                      -115.12572
               71.459999                        -121.283
               71.720001                      -127.43066
               71.980003                      -133.58296
               72.239998                      -139.75319
                    72.5                      -145.95364
               72.760002                      -152.19578
               73.019997                      -158.49048
               73.279999                      -164.84785
               73.540001                      -171.27785
               73.800003                      -177.79013
               74.059998                       175.60567
                   74.32                       168.90034
               74.580002                       162.08523
               74.839996                       155.15243
               75.099998                       148.09558
               75.360001                       140.91028
               75.620003                       133.59515
               75.879997                       126.15188
               76.139999                       118.58633
               76.400002                       110.90859
               76.659996                       103.13305
               76.919998                       95.278441
                   77.18                        87.36646
               77.440002                       79.421475
               77.699997                       71.468893
               77.959999                       63.534017
               78.220001                       55.640453
               78.480003                       47.809281
               78.739998                        40.05784
                      79                       32.399667
               79.260002                       24.843728
               79.519997                       17.395379
               79.779999                       10.055985
               80.040001                       2.8240718
               80.300003                      -4.3044053
               80.559998                      -11.335292
                   80.82                      -18.275803
               81.080002                      -25.134022
               81.339996                      -31.918586
               81.599998                      -38.638455
               81.860001                        -45.3027
               82.120003                      -51.920604
               82.379997                      -58.501576
               82.639999                      -65.055221
               82.900002                      -71.591111
               83.159996                      -78.119244
               83.419998                      -84.649614
                   83.68                      -91.192553
               83.940002                       -97.75855
               84.199997                      -104.35826
               84.459999                      -111.00273
               84.720001                      -117.70325
               84.980003                      -124.47137
               85.239998                      -131.31942
                    85.5                      -138.26042
               85.760002                      -145.30847
               86.019997                      -152.47913
               86.279999                      -159.78967
               86.540001                      -167.25966
               86.800003                      -174.91089
               87.059998                       177.23188
                   87.32                       169.14105
               87.580002                        160.7867
               87.839996                       152.13749
               88.099998                        143.1624
               88.360001                       133.83379
               88.620003                        124.1324
               88.879997                       114.05279
               89.139999                       103.61134
               89.400002                       92.852212
               89.659996                       81.851017
               89.919998                       70.712782
                   90.18                       59.563728
               90.440002                       48.535103
               90.699997                        37.74745
               90.959999                       27.297258
               91.220001                       17.249558
               91.480003                       7.6377875
               91.739998                      -1.5305114
                      92                      -10.268454
               92.260002                      -18.601614
               92.519997                      -26.562991
               92.779999                      -34.188871
