        Time / ns                i1 (Mesh Pass=4)/real
----------------------------------------------------------------------
                       0                  -4.3258979e-09
             0.035274975                   1.4125161e-06
              0.07054995                    1.511104e-06
              0.10582492                   1.6139721e-06
               0.1410999                   1.7210552e-06
              0.17637487                   1.8322467e-06
              0.21164984                   1.9474046e-06
              0.24692482                   2.0663322e-06
               0.2821998                   2.1887911e-06
              0.31747478                    2.314483e-06
              0.35274974                   2.4430456e-06
              0.38802472                   2.5740551e-06
              0.42329967                   2.7070066e-06
              0.45857465                   2.8413217e-06
              0.49384964                   2.9763291e-06
              0.52912462                   3.1112647e-06
               0.5643996                   3.2452624e-06
              0.59967452                   3.3773417e-06
              0.63494956                   3.5064063e-06
              0.67022449                   3.6312297e-06
              0.70549947                   3.7504458e-06
              0.74077445                   3.8625449e-06
              0.77604944                   3.9658553e-06
              0.81132442                    4.058541e-06
              0.84659934                   4.1385852e-06
              0.88187432                   4.2037823e-06
              0.91714931                   4.2517281e-06
              0.95242423                   4.2798019e-06
              0.98769927                   4.2851643e-06
               1.0229743                   4.2647375e-06
               1.0582492                   4.2151978e-06
               1.0935242                   4.1329631e-06
               1.1287992                    4.014179e-06
               1.1640742                   3.8547109e-06
                1.199349                    3.650129e-06
                1.234624                   3.3956983e-06
               1.2698991                   3.0863691e-06
               1.3051741                   2.7167637e-06
                1.340449                   2.2811691e-06
                1.375724                   1.7735266e-06
               1.4109989                   1.1874239e-06
               1.4462739                   5.1608646e-07
               1.4815489                  -2.4762716e-07
               1.5168239                  -1.1112309e-06
               1.5520989                  -2.0826162e-06
               1.5873737                  -3.1700524e-06
               1.6226488                  -4.3821879e-06
               1.6579238                  -5.7280486e-06
               1.6931987                  -7.2170342e-06
               1.7284737                  -8.8589104e-06
               1.7637486                  -1.0663804e-05
               1.7990237                  -1.2642185e-05
               1.8342986                  -1.4804858e-05
               1.8695736                   -1.716294e-05
               1.9048485                   -1.972784e-05
               1.9401236                  -2.2511234e-05
