        Time / ns                i1 (11)/real
----------------------------------------------------------------------
                       0                  -4.8037236e-09
             0.068536699                   1.5053606e-06
               0.1370734                   1.7086206e-06
               0.2056101                   1.9274123e-06
               0.2741468                   2.1605381e-06
              0.34268349                   2.4060885e-06
              0.41122019                   2.6612947e-06
              0.47975689                   2.9223554e-06
              0.54829359                   3.1842569e-06
              0.61683029                   3.4405602e-06
              0.68536699                   3.6831768e-06
              0.75390369                   3.9021174e-06
              0.82244039                   4.0852292e-06
              0.89097708                   4.2179076e-06
              0.95951378                   4.2827987e-06
               1.0280504                   4.2594829e-06
               1.0965872                   4.1241551e-06
               1.1651238                   3.8492972e-06
               1.2336606                   3.4033542e-06
               1.3021972                    2.750422e-06
                1.370734                   1.8499518e-06
               1.4392706                   6.5648834e-07
               1.5078074                  -8.8055236e-07
                1.576344                  -2.8170446e-06
               1.6448808                  -5.2142404e-06
               1.7134174                   -8.138767e-06
               1.7819542                  -1.1662504e-05
               1.8504908                  -1.5862332e-05
               1.9190276                  -2.0819705e-05
               1.9875642                  -2.6620053e-05
               2.0561008                  -3.3351946e-05
               2.1246376                  -4.1106025e-05
               2.1931744                  -4.9973638e-05
               2.2617111                  -6.0045175e-05
               2.3302476                  -7.1408045e-05
               2.3987844                  -8.4144274e-05
               2.4673212                  -9.8327706e-05
               2.5358579                  -0.00011402074
               2.6043944                  -0.00013127057
               2.6729312                  -0.00015010504
                2.741468                  -0.00017052783
               2.8100045                  -0.00019251318
               2.8785412                  -0.00021600017
                2.947078                  -0.00024088632
               3.0156147                  -0.00026702072
               3.0841513                  -0.00029419668
                3.152688                   -0.0003221441
               3.2212248                  -0.00035052098
               3.2897615                  -0.00037890518
               3.3582981                  -0.00040678555
               3.4268348                  -0.00043355307
               3.4953716                  -0.00045849217
               3.5639083                  -0.00048077191
               3.6324449                  -0.00049943791
               3.7009816                  -0.00051340455
               3.7695184                  -0.00052144821
               3.8380551                  -0.00052220153
               3.9065917                  -0.00051414903
               3.9751284                   -0.0004956245
               4.0436649                  -0.00046481038
               4.1122017                  -0.00041973966
               4.1807384                  -0.00035830025
               4.2492752                  -0.00027824304
                4.317812                  -0.00017719291
               4.3863487                  -5.2664385e-05
               4.4548855                   9.7918921e-05
               4.5234222                   0.00027719972
               4.5919585                   0.00048785753
               4.6604953                   0.00073257356
                4.729032                      0.00101399
               4.7975688                    0.0013346631
               4.8661056                    0.0016970105
               4.9346423                    0.0021032512
               5.0031791                    0.0025553408
               5.0717158                    0.0030548996
               5.1402521                    0.0036031345
               5.2087889                    0.0042007556
               5.2773256                    0.0048478884
               5.3458624                    0.0055439789
               5.4143991                    0.0062876982
               5.4829359                    0.0070768427
               5.5514727                    0.0079082316
               5.6200089                    0.0087776054
               5.6885457                     0.009679527
               5.7570825                      0.01060728
               5.8256192                     0.011552778
                5.894156                     0.012506481
               5.9626927                     0.013457313
               6.0312295                     0.014392597
               6.0997663                     0.015298003
               6.1683025                     0.016157515
               6.2368393                     0.016953407
               6.3053761                      0.01766625
               6.3739128                     0.018274948
               6.4424496                     0.018756775
               6.5109863                      0.01908748
               6.5795231                     0.019241389
               6.6480598                     0.019191556
               6.7165961                     0.018909954
               6.7851329                     0.018367689
               6.8536696                     0.017535271
               6.9222064                     0.016382899
               6.9907432                      0.01488081
               7.0592799                     0.012999648
               7.1278167                     0.010710883
               7.1963534                     0.007987258
               7.2648897                    0.0048032715
               7.3334265                    0.0011356922
               7.4019632                   -0.0030359016
                  7.4705                   -0.0077285613
               7.5390368                    -0.012955392
               7.6075735                    -0.018724963
               7.6761103                    -0.025040723
                7.744647                     -0.03190041
               7.8131833                    -0.039295483
               7.8817201                    -0.047210585
               7.9502568                     -0.05562301
               8.0187941                    -0.064502239
               8.0873299                    -0.073809534
               8.1558666                    -0.083497547
               8.2244034                    -0.093510091
               8.2929401                     -0.10378189
               8.3614769                     -0.11423852
               8.4300137                     -0.12479636
               8.4985504                     -0.13536277
               8.5670872                     -0.14583631
               8.6356239                     -0.15610704
               8.7041607                     -0.16605711
               8.7726974                     -0.17556137
               8.8412342                     -0.18448812
                8.909771                     -0.19270007
               8.9783077                     -0.20005542
               9.0468445                     -0.20640899
               9.1153803                     -0.21161363
                9.183917                     -0.21552166
               9.2524538                     -0.21798643
               9.3209906                     -0.21886407
               9.3895273                     -0.21801515
               9.4580641                     -0.21530667
               9.5266008                     -0.21061383
               9.5951376                     -0.20382208
               9.6636744                     -0.19482897
               9.7322111                     -0.18354616
               9.8007479                      -0.1699013
               9.8692846                     -0.15383981
               9.9378214                     -0.13532673
               10.006358                     -0.11434822
               10.074895                    -0.090913124
               10.143432                    -0.065054238
               10.211967                    -0.036829382
               10.280504                   -0.0063223182
               10.349041                     0.026356654
               10.417578                     0.061070349
               10.486115                     0.097654626
               10.554651                      0.13591863
               10.623188                       0.1756454
               10.691725                      0.21659267
               10.760262                       0.2584942
               10.828798                      0.30106127
               10.897335                      0.34398457
               10.965872                      0.38693646
               11.034409                      0.42957336
               11.102945                      0.47153872
               11.171482                      0.51246601
               11.240018                      0.55198193
