        Time / ns                i1 (Mesh Pass=5)/real
----------------------------------------------------------------------
                       0                  -7.4468289e-09
             0.068765953                   1.5058436e-06
              0.13753191                   1.7099383e-06
              0.20629786                   1.9295851e-06
              0.27506381                   2.1636824e-06
              0.34382975                   2.4102048e-06
              0.41259572                   2.6664013e-06
              0.48136166                   2.9284822e-06
              0.55012763                   3.1912384e-06
              0.61889356                   3.4480815e-06
               0.6876595                   3.6909021e-06
               0.7564255                   3.9095444e-06
              0.82519144                   4.0916043e-06
              0.89395738                   4.2222741e-06
              0.96272331                   4.2838424e-06
               1.0314893                    4.255568e-06
               1.1002553                   4.1132566e-06
               1.1690212                   3.8288999e-06
               1.2377871                   3.3703659e-06
               1.3065531                   2.7011333e-06
                1.375319                   1.7799507e-06
                1.444085                   5.6057405e-07
                1.512851                    -1.00844e-06
               1.5816169                  -2.9839466e-06
               1.6503829                  -5.4282118e-06
               1.7191489                  -8.4089388e-06
               1.7879148                  -1.1999156e-05
               1.8566808                  -1.6276937e-05
               1.9254466                  -2.1324955e-05
               1.9942126                  -2.7229808e-05
               2.0629785                  -3.4081226e-05
               2.1317446                  -4.1970881e-05
               2.2005105                  -5.0991013e-05
               2.2692764                  -6.1232735e-05
               2.3380425                  -7.2783834e-05
               2.4068084                  -8.5726431e-05
               2.4755743                  -0.00010013393
               2.5443401                  -0.00011606771
               2.6131063                  -0.00013357333
               2.6818721                  -0.00015267612
                2.750638                  -0.00017337626
               2.8194041                  -0.00019564343
                 2.88817                  -0.00021941072
               2.9569359                  -0.00024456833
                3.025702                  -0.00027095625
               3.0944679                  -0.00029835693
               3.1632338                  -0.00032648721
               3.2319999                  -0.00035498996
               3.3007658                  -0.00038342533
               3.3695316                  -0.00041126195
               3.4382977                  -0.00043786792
               3.5070636                   -0.0004625016
               3.5758295                  -0.00048430334
               3.6445954                  -0.00050228677
               3.7133615                  -0.00051533146
               3.7821274                  -0.00052217575
               3.8508933                  -0.00052141165
               3.9196594                  -0.00051148032
               3.9884253                  -0.00049066992
               4.0571914                  -0.00045711524
                4.125957                  -0.00040880044
               4.1947231                  -0.00034356391
               4.2634892                   -0.0002591071
               4.3322549                  -0.00015300671
                4.401021                  -2.2731247e-05
               4.4697871                   0.00013433803
               4.5385528                   0.00032088114
               4.6073189                   0.00053960813
                4.676085                   0.00079322222
               4.7448506                    0.0010843769
               4.8136168                     0.001415627
               4.8823829                    0.0017893732
               4.9511485                    0.0022078007
               5.0199146                    0.0026728106
               5.0886803                    0.0031859451
               5.1574464                    0.0037483086
               5.2262125                    0.0043604793
               5.2949781                    0.0050224196
               5.3637443                    0.0057333801
               5.4325104                     0.006491798
                5.501276                    0.0072951992
               5.5700421                    0.0081400909
               5.6388083                    0.0090218615
               5.7075739                     0.009934674
                 5.77634                     0.010871374
               5.8451061                     0.011823393
               5.9138718                     0.012780663
               5.9826379                     0.013731538
                6.051404                     0.014662739
               6.1201696                     0.015559295
               6.1889358                     0.016404519
               6.2577019                      0.01717999
               6.3264675                      0.01786557
               6.3952336                      0.01843944
               6.4639997                     0.018878158
               6.5327654                     0.019156765
               6.6015315                     0.019248905
               6.6702976                     0.019126991
               6.7390633                     0.018762404
               6.8078294                     0.018125735
               6.8765955                     0.017187057
               6.9453611                     0.015916241
               7.0141273                      0.01428332
               7.0828929                     0.012258877
                7.151659                    0.0098144822
               7.2204251                    0.0069231619
               7.2891908                    0.0035598991
               7.3579569                  -0.00029783326
                7.426723                   -0.0046695159
               7.4954886                   -0.0095710065
               7.5642548                    -0.015013949
               7.6330209                    -0.021005172
               7.7017865                    -0.027546097
               7.7705526                    -0.034632139
               7.8393188                    -0.042252149
               7.9080844                    -0.050387852
               7.9768505                    -0.059013348
               8.0456161                    -0.068094648
               8.1143827                    -0.077589281
               8.1831484                    -0.087445945
                8.251914                    -0.097604252
               8.3206806                      -0.1079946
               8.3894463                     -0.11853807
               8.4582119                     -0.12914646
               8.5269785                     -0.13972253
               8.5957441                     -0.15016022
               8.6645098                     -0.16034509
               8.7332764                     -0.17015493
                8.802042                     -0.17946041
               8.8708076                       -0.188126
               8.9395742                     -0.19601092
               9.0083399                     -0.20297028
               9.0771055                     -0.20885643
               9.1458721                     -0.21352032
               9.2146378                     -0.21681303
               9.2834034                     -0.21858746
                 9.35217                      -0.2187001
               9.4209356                     -0.21701282
               9.4897013                     -0.21339482
               9.5584679                     -0.20772457
               9.6272335                     -0.19989176
               9.6959991                     -0.18979935
               9.7647657                     -0.17736545
               9.8335314                     -0.16252525
                9.902297                     -0.14523284
               9.9710636                     -0.12546296
               10.039829                     -0.10321254
               10.108595                    -0.078502119
               10.177361                    -0.051377073
               10.246127                    -0.021908648
               10.314893                    0.0098053077
               10.383658                     0.043639835
               10.452425                      0.07944265
               10.521191                      0.11703424
               10.589956                      0.15620829
               10.658723                      0.19673242
               10.727489                      0.23834921
               10.796254                      0.28077772
               10.865021                      0.32371521
               10.933786                       0.3668392
               11.002552                      0.40980986
               11.071319                      0.45227283
               11.140084                      0.49386212
                11.20885                      0.53420347
               11.277617                      0.57291764
               11.346382                      0.60962439
               11.415148                      0.64394611
               11.483914                      0.67551172
                11.55268                       0.7039609
               11.621446                        0.728948
               11.690212                      0.75014621
               11.758978                      0.76725125
               11.827744                      0.77998537
                11.89651                      0.78810102
               11.965276                      0.79138416
               12.034041                      0.78965753
               12.102808                      0.78278333
               12.171574                      0.77066576
               12.240339                      0.75325298
               12.309106                       0.7305389
               12.377872                      0.70256412
               12.446637                      0.66941673
               12.515404                      0.63123244
               12.584169                      0.58819401
               12.652935                      0.54053068
               12.721702                      0.48851639
               12.790467                      0.43246797
               12.859233                      0.37274271
               12.927999                      0.30973545
               12.996765                      0.24387497
               13.065531                      0.17562042
               13.134297                      0.10545703
               13.203063                     0.033891574
               13.271829                    -0.038552396
               13.340595                     -0.11133958
               13.409361                     -0.18392813
               13.478127                     -0.25577489
               13.546893                     -0.32634082
               13.615659                     -0.39509618
               13.684424                     -0.46152592
               13.753191                      -0.5251345
               13.821957                     -0.58545107
               13.890722                     -0.64203382
               13.959489                     -0.69447434
               14.028255                     -0.74240148
                14.09702                     -0.78548497
               14.165786                     -0.82343823
               14.234552                     -0.85602099
               14.303318                     -0.88304144
               14.372084                     -0.90435737
                14.44085                     -0.91987753
               14.509616                      -0.9295615
               14.578382                     -0.93341982
               14.647148                     -0.93151325
               14.715914                     -0.92395115
               14.784679                     -0.91089016
               14.853446                     -0.89253145
               14.922212                     -0.86911839
               14.990977                     -0.84093308
               15.059744                     -0.80829316
                15.12851                     -0.77154762
               15.197275                     -0.73107314
               15.266042                     -0.68726939
               15.334807                     -0.64055496
               15.403573                     -0.59136254
                15.47234                     -0.54013431
               15.541105                     -0.48731759
               15.609871                     -0.43336019
               15.678638                     -0.37870592
               15.747403                     -0.32379061
               15.816169                     -0.26903787
               15.884935                     -0.21485539
               15.953701                      -0.1616316
               16.022467                     -0.10973236
               16.091232                    -0.059498247
               16.159998                    -0.011242143
               16.228765                     0.034752823
               16.297531                     0.078234904
               16.366297                      0.11898494
               16.435062                      0.15681723
               16.503828                      0.19157992
               16.572594                      0.22315508
               16.641361                      0.25145832
               16.710127                      0.27643821
               16.778893                      0.29807511
               16.847658                      0.31638008
               16.916424                      0.33139309
               16.985189                      0.34318125
               17.053957                      0.35183686
               17.122723                      0.35747507
               17.191488                      0.36023161
               17.260254                      0.36026031
                17.32902                      0.35773063
               17.397785                       0.3528249
               17.466553                      0.34573603
               17.535318                      0.33666477
               17.604084                      0.32581729
                17.67285                      0.31340283
               17.741615                       0.2996313
               17.810381                      0.28471121
               17.879148                      0.26884761
               17.947914                      0.25224027
                18.01668                      0.23508194
               18.085445                      0.21755694
               18.154211                      0.19983979
               18.222977                      0.18209414
               18.291744                      0.16447182
                18.36051                      0.14711221
               18.429276                      0.13014157
               18.498041                      0.11367285
               18.566807                     0.097805411
               18.635572                     0.082625061
                18.70434                     0.068204194
               18.773106                     0.054602101
               18.841871                     0.041865341
               18.910637                     0.030028312
               18.979403                     0.019113844
               19.048168                    0.0091339285
               19.116936                    9.047323e-05
               19.185701                   -0.0080238599
               19.254467                    -0.015224792
               19.323233                    -0.021535542
               19.391998                    -0.026985923
               19.460764                    -0.031611439
               19.529531                    -0.035452403
               19.598297                     -0.03855307
               19.667063                    -0.040960792
               19.735828                    -0.042725235
               19.804594                    -0.043897614
                19.87336                    -0.044529993
               19.942127                    -0.044674642
               20.010893                    -0.044383451
               20.079659                    -0.043707386
               20.148424                     -0.04269604
                20.21719                    -0.041397206
               20.285955                    -0.039856553
               20.354721                    -0.038117319
               20.423489                    -0.036220096
               20.492254                     -0.03420265
                20.56102                    -0.032099798
               20.629786                    -0.029943332
               20.698551                     -0.02776199
               20.767317                    -0.025581462
               20.836084                    -0.023424441
                20.90485                    -0.021310691
               20.973616                    -0.019257154
               21.042381                    -0.017278083
               21.111147                    -0.015385175
               21.179913                    -0.013587741
                21.24868                    -0.011892878
               21.317446                    -0.010305639
               21.386211                   -0.0088292332
               21.454977                   -0.0074651944
               21.523743                   -0.0062135803
               21.592508                   -0.0050731455
               21.661276                   -0.0040415218
               21.730042                   -0.0031153876
               21.798807                   -0.0022906261
               21.867573                   -0.0015624791
               21.936338                  -0.00092568673
               22.005104                  -0.00037461752
               22.073872                   9.6613832e-05
               22.142637                   0.00049404002
               22.211403                    0.0008237462
               22.280169                    0.0010917868
               22.348934                    0.0013041137
                 22.4177                     0.001466515
               22.486467                     0.001584564
               22.555233                    0.0016635777
               22.623999                     0.001708585
               22.692764                    0.0017243016
                22.76153                    0.0017151146
               22.830296                    0.0016850715
               22.899063                    0.0016378764
               22.967829                    0.0015768916
               23.036594                    0.0015051431
                23.10536                    0.0014253298
               23.174126                    0.0013398366
               23.242891                    0.0012507491
               23.311659                    0.0011598709
               23.380424                    0.0010687419
                23.44919                   0.00097865798
               23.517956                    0.0008906906
               23.586721                   0.00080570759
               23.655487                    0.0007243923
               23.724255                   0.00064726383
                23.79302                   0.00057469564
               23.861786                   0.00050693372
               23.930552                   0.00044411392
               23.999317                   0.00038627745
               24.068083                   0.00033338639
               24.136848                   0.00028533698
               24.205616                   0.00024197214
               24.274382                   0.00020309277
               24.343147                    0.0001684681
               24.411913                   0.00013784392
               24.480679                   0.00011095075
               24.549444                   8.7510569e-05
               24.618212                    6.724237e-05
               24.686977                   4.9867205e-05
               24.755743                   3.5111836e-05
               24.824509                   2.2712164e-05
               24.893274                   1.2415711e-05
                24.96204                    3.983298e-06
               25.030807                  -2.8094234e-06
               25.099573                  -8.1710359e-06
               25.168339                  -1.2293905e-05
               25.237104                  -1.5354135e-05
                25.30587                  -1.7511702e-05
               25.374636                  -1.8911061e-05
               25.443403                  -1.9681014e-05
               25.512169                  -1.9936315e-05
               25.580935                  -1.9777795e-05
                 25.6497                  -1.9293646e-05
               25.718466                  -1.8560298e-05
               25.787231                  -1.7643133e-05
               25.855999                  -1.6598055e-05
               25.924765                  -1.5471776e-05
                25.99353                  -1.4302932e-05
               26.062296                  -1.3123171e-05
               26.131062                  -1.1957874e-05
               26.199827                  -1.0826891e-05
               26.268595                  -9.7454267e-06
                26.33736                  -8.7243698e-06
               26.406126                   -7.771263e-06
               26.474892                  -6.8907375e-06
               26.543657                  -6.0849097e-06
               26.612423                  -5.3539393e-06
                26.68119                  -4.6963846e-06
               26.749956                  -4.1097273e-06
               26.818722                  -3.5901012e-06
               26.887487                  -3.1331558e-06
               26.956253                  -2.7341657e-06
               27.025019                  -2.3880093e-06
               27.093786                  -2.0893615e-06
               27.162552                  -1.8330298e-06
               27.231318                   -1.613834e-06
               27.300083                  -1.4266446e-06
               27.368849                  -1.2668804e-06
               27.437614                  -1.1299883e-06
               27.506382                   -1.011886e-06
               27.575148                   -9.088829e-07
               27.643913                  -8.1742616e-07
               27.712679                  -7.3465549e-07
               27.781445                  -6.5780836e-07
                27.85021                  -5.8474018e-07
               27.918978                  -5.1353544e-07
               27.987743                   -4.426534e-07
