        Frequency / MHz                Port 1 [1] (Mesh Pass=7)/abs,linear
----------------------------------------------------------------------
                      40                       2796.5572
                   40.26                       3730.1058
                   40.52                       5677.2681
                   40.78                       11454.939
                   41.04                       36958.543
                    41.3                       11560.819
                   41.56                       6169.4675
                   41.82                       4120.6388
                   42.08                       3024.8521
                   42.34                       2357.9071
                    42.6                       1929.5156
                   42.86                       1644.0527
                   43.12                       1443.9912
                   43.38                       1291.8754
                   43.64                       1164.5602
                    43.9                         1051.54
                   44.16                       951.56815
                   44.42                       866.69933
                   44.68                        797.5316
                   44.94                        741.7211
                    45.2                       694.78771
                   45.46                       652.01436
                   45.72                       610.57911
                   45.98                       570.56299
                   46.24                       533.99073
                    46.5                       502.91342
                   46.76                       478.06246
                   47.02                       458.48514
                   47.28                       441.90335
                   47.54                       425.66639
                    47.8                       408.02538
                   48.06                       388.88917
                   48.32                       369.41338
                   48.58                       350.90589
                   48.84                       334.01327
                    49.1                       318.58024
                   49.36                       304.01194
                   49.62                       289.79643
                   49.88                       275.83783
                   50.14                       262.41133
                    50.4                       249.85454
                   50.66                       238.27375
                   50.92                       227.45763
                   51.18                       217.02117
                   51.44                       206.66343
                    51.7                       196.34693
                   51.96                       186.26877
                   52.22                       176.66736
                   52.48                       167.62269
                   52.74                       158.98232
                      53                       150.45538
                   53.26                        141.8139
                   53.52                       133.05773
                   53.78                       124.42199
                   54.04                       116.23582
                    54.3                       108.73398
                   54.56                       101.91173
                   54.82                       95.484478
                   55.08                       88.998674
                   55.34                        82.06426
                    55.6                       74.555207
                   55.86                       66.633454
                   56.12                       58.619596
                   56.38                       50.836618
                   56.64                       43.500812
                    56.9                       36.663962
                   57.16                       30.214889
                   57.42                       23.979717
                   57.68                       17.957833
                   57.94                       12.815538
                    58.2                       10.863514
                   58.46                       14.111712
                   58.72                       20.310712
                   58.98                       27.397685
                   59.24                       34.627895
                    59.5                       41.836218
                   59.76                       49.180018
                   60.02                       56.971788
                   60.28                       65.477108
                   60.54                        74.74953
                    60.8                       84.565081
                   61.06                       94.468544
                   61.32                       103.97062
                   61.58                       112.91513
                   61.84                       121.80709
                    62.1                       131.72941
                   62.36                       143.81964
                   62.62                        158.6791
                   62.88                        175.8734
                   63.14                       193.38979
                    63.4                       207.54157
                   63.66                       214.98336
                   63.92                       216.45013
                   64.18                       217.06462
                   64.44                       222.30526
                    64.7                        235.3058
                   64.96                       257.06674
                   65.22                       287.24173
                   65.48                       324.11846
                   65.74                       364.22815
                      66                       403.34425
                   66.26                       439.40785
                   66.52                       473.42768
                   66.78                       504.98654
                   67.04                       526.55924
                    67.3                       526.51885
                   67.56                       504.42923
                   67.82                       476.62611
                   68.08                       461.67408
                   68.34                       471.09169
                    68.6                       512.39766
                   68.86                        595.0344
                   69.12                       734.85552
                   69.38                       950.84717
                   69.64                       1223.5782
                    69.9                       1414.0632
                   70.16                       1425.9554
                   70.42                       1377.8117
                   70.68                       1346.4947
                   70.94                        1295.684
                    71.2                       1171.2608
                   71.46                       1000.3161
                   71.72                       845.54966
                   71.98                       731.04571
                   72.24                       651.39382
                    72.5                        593.1944
                   72.76                       544.05007
                   73.02                       496.73178
                   73.28                       450.40899
                   73.54                       407.85773
                    73.8                       371.56454
                   74.06                        341.9778
                   74.32                       317.73691
                   74.58                       296.64251
                   74.84                       276.76651
                    75.1                       257.26595
                   75.36                        238.4423
                   75.62                       221.12126
                   75.88                       205.94524
                   76.14                       193.01207
                    76.4                       181.89872
                   76.66                       171.94728
                   76.92                       162.64809
                   77.18                       153.90661
                   77.44                       146.03924
                    77.7                       139.53627
                   77.96                        134.7685
