        Frequency / MHz                Port 1 [1] (Mesh Pass=7)/arg,degrees
----------------------------------------------------------------------
                      40                        86.97229
                   40.26                       86.972575
                   40.52                       85.416997
                   40.78                       77.177483
                   41.04                      -0.3019194
                    41.3                      -68.051193
                   41.56                      -78.628006
                   41.82                      -83.692029
                   42.08                      -86.402173
                   42.34                      -87.414771
                    42.6                      -87.355544
                   42.86                      -86.908679
                   43.12                      -86.642578
                   43.38                      -86.844563
                   43.64                      -87.435752
                    43.9                       -88.06833
                   44.16                      -88.394374
                   44.42                       -88.29968
                   44.68                      -87.936338
                   44.94                      -87.589631
                    45.2                      -87.491315
                   45.46                      -87.671424
                   45.72                      -87.935487
                   45.98                      -88.000964
                   46.24                      -87.693647
                    46.5                      -87.055145
                   46.76                      -86.315311
                   47.02                      -85.776298
                   47.28                      -85.663539
                   47.54                      -86.004082
                    47.8                      -86.612715
                   48.06                      -87.215689
                   48.32                      -87.619711
                   48.58                      -87.795872
                   48.84                      -87.843519
                    49.1                      -87.890035
                   49.36                      -87.999122
                   49.62                       -88.13983
                   49.88                      -88.228395
                   50.14                      -88.203667
                    50.4                       -88.07622
                   50.66                      -87.919852
                   50.92                      -87.817586
                   51.18                      -87.801549
                   51.44                      -87.830151
                    51.7                      -87.820724
                   51.96                      -87.712388
                   52.22                      -87.511185
                   52.48                      -87.286007
                   52.74                      -87.117407
                      53                      -87.031042
                   53.26                      -86.962796
                   53.52                      -86.785846
                   53.78                      -86.384339
                   54.04                      -85.727765
                    54.3                      -84.907901
                   54.56                      -84.117635
                   54.82                      -83.564286
                   55.08                      -83.346889
                   55.34                      -83.376852
                    55.6                      -83.404171
                   55.86                      -83.118334
                   56.12                      -82.242445
                   56.38                      -80.581718
                   56.64                        -78.0353
                    56.9                      -74.560648
                   57.16                      -70.012729
                   57.42                      -63.718519
                   57.68                      -53.492799
                   57.94                      -33.438665
                    58.2                       3.2428468
                   58.46                       36.942879
                   58.72                          53.699
                   58.98                       61.690508
                   59.24                        66.17068
                    59.5                       69.284579
                   59.76                        71.87258
                   60.02                       74.130096
                   60.28                       75.941853
                   60.54                       77.136271
                    60.8                       77.649916
                   61.06                       77.600452
                   61.32                       77.293058
                   61.58                       77.136576
                   61.84                       77.438764
                    62.1                       78.184007
                   62.36                       78.991017
                   62.62                       79.283268
                   62.88                       78.519567
                   63.14                       76.422095
                    63.4                       73.280592
                   63.66                       70.176143
                   63.92                        68.54179
                   64.18                        69.10609
                   64.44                       71.415134
                    64.7                       74.349571
                   64.96                       76.814928
                   65.22                        78.04512
                   65.48                       77.640671
                   65.74                       75.610597
                      66                       72.400912
                   66.26                        68.62138
                   66.52                       64.503852
                   66.78                       59.730347
                   67.04                       54.053489
                    67.3                       48.294995
                   67.56                       44.391485
                   67.82                       43.849615
                   68.08                        46.60022
                   68.34                       51.401328
                    68.6                       56.653701
                   68.86                       60.801228
                   69.12                       62.211556
                   69.38                       58.742807
                   69.64                       48.024612
                    69.9                        31.22233
                   70.16                       15.361923
                   70.42                       3.6287782
                   70.68                      -6.8517385
                   70.94                      -18.662563
                    71.2                      -30.702277
                   71.46                      -39.876269
                   71.72                      -45.179758
                   71.98                       -47.77266
                   72.24                      -49.215687
                    72.5                      -50.619573
                   72.76                      -52.382661
                   73.02                      -54.235424
                   73.28                      -55.629875
                   73.54                      -56.216325
                    73.8                      -56.033552
                   74.06                      -55.395591
                   74.32                      -54.669165
                   74.58                      -54.072415
                   74.84                       -53.57352
                    75.1                      -52.943328
                   75.36                      -51.922599
                   75.62                      -50.377238
                   75.88                      -48.348721
                   76.14                      -45.999113
                    76.4                      -43.497761
                   76.66                      -40.910245
                   76.92                      -38.153255
                   77.18                      -35.046812
                   77.44                      -31.430623
                    77.7                      -27.271008
                   77.96                      -22.696439
                   78.22                      -17.940272
                   78.48                      -13.221518
                   78.74                      -8.6420342
                      79                      -4.1749647
                   79.26                      0.25001548
                   79.52                       4.6347299
                   79.78                       8.8609036
                   80.04                       12.735318
                    80.3                       16.093714
                   80.56                       18.887497
                   80.82                        21.19835
                   81.08                       23.176624
                   81.34                       24.944813
                    81.6                       26.527808
                   81.86                       27.853075
                   82.12                       28.815574
                   82.38                       29.361387
                   82.64                       29.535903
                    82.9                       29.463766
                   83.16                       29.269197
                   83.42                       28.989848
                   83.68                       28.547823
                   83.94                       27.800869
                    84.2                       26.640906
                   84.46                       25.076369
                   84.72                       23.238458
                   84.98                       21.294345
                   85.24                       19.324657
                    85.5                       17.262736
                   85.76                       14.946257
                   86.02                       12.245592
                   86.28                       9.1792909
                   86.54                       5.9258876
                    86.8                       2.7080216
                   87.06                     -0.36123367
                   87.32                      -3.3375535
                   87.58                         -6.3669
                   87.84                      -9.5404049
                    88.1                      -12.796406
                   88.36                      -15.947663
                   88.62                       -18.81178
                   88.88                      -21.331227
                   89.14                      -23.588078
                    89.4                      -25.719198
                   89.66                      -27.807341
                   89.92                      -29.825583
                   90.18                      -31.668006
                   90.44                      -33.234372
                    90.7                      -34.498229
                   90.96                      -35.511808
                   91.22                      -36.356847
                   91.48                      -37.085831
                   91.74                      -37.696664
                      92                      -38.155191
                   92.26                      -38.443457
                   92.52                      -38.593322
                   92.78                      -38.678408
                   93.04                      -38.768502
                    93.3                       -38.87741
                   93.56                      -38.942329
                   93.82                      -38.853097
                   94.08                       -38.51354
                   94.34                      -37.893842
                    94.6                      -37.041703
                   94.86                      -36.048265
                   95.12                      -34.990622
                   95.38                      -33.885312
                   95.64                      -32.681443
                    95.9                       -31.29725
                   96.16                      -29.674852
                   96.42                      -27.816958
                   96.68                      -25.783149
                   96.94                      -23.649735
                    97.2                      -21.460067
                   97.46                      -19.198995
                   97.72                       -16.80967
                   97.98                      -14.241439
                   98.24                      -11.495477
                    98.5                       -8.636373
                   98.76                      -5.7613142
                   99.02                      -2.9479058
                   99.28                      -0.2170235
                   99.54                       2.4634195
                    99.8                       5.1374132
                  100.06                       7.8128675
                  100.32                        10.44141
                  100.58                        12.93988
                  100.84                       15.237374
                   101.1                       17.314504
                  101.36                       19.208257
                  101.62                       20.979973
                  101.88                       22.668909
                  102.14                       24.263441
                   102.4                       25.709127
                  102.66                       26.946929
                  102.92                       27.954876
                  103.18                       28.765048
                  103.44                       29.443944
                   103.7                       30.048514
                  103.96                        30.58778
                  104.22                       31.017191
                  104.48                       31.270027
                  104.74                       31.304693
                     105                        31.13603
                  105.26                       30.827948
                  105.52                       30.449611
                  105.78                       30.024621
                  106.04                       29.510609
                   106.3                       28.825612
                  106.56                       27.904313
                  106.82                       26.745945
                  107.08                       25.418214
