        Frequency / MHz                S1,1 (Mesh Pass=7)/abs,dB
----------------------------------------------------------------------
                      40                    -0.032768784
               40.259998                    -0.024578848
                   40.52                    -0.024441797
               40.779999                    -0.033654383
               41.040001                    -0.047002807
               41.299999                    -0.056162283
               41.560001                    -0.055506708
                   41.82                    -0.046293283
               42.080002                    -0.036000194
                   42.34                    -0.033171847
               42.599998                    -0.041427897
               42.860001                    -0.056772899
               43.119999                    -0.070120578
               43.380001                    -0.073579533
               43.639999                    -0.066250642
               43.900002                    -0.055187497
                   44.16                    -0.050595001
               44.419998                    -0.058692899
                   44.68                    -0.077224819
               44.939999                    -0.096745694
               45.200001                      -0.1072251
               45.459999                     -0.10576955
               45.720001                    -0.099822555
                   45.98                     -0.10304613
               46.240002                     -0.12649018
                    46.5                     -0.17073316
               46.759998                     -0.22378779
                   47.02                     -0.26647028
               47.279999                     -0.28286605
               47.540001                       -0.269604
               47.799999                     -0.23736081
               48.060001                     -0.20357076
                   48.32                     -0.18199759
               48.580002                     -0.17612088
                   48.84                     -0.17963142
               49.099998                     -0.18278197
               49.360001                     -0.18005641
               49.619999                     -0.17390194
               49.880001                      -0.1721057
               50.139999                     -0.18122957
               50.400002                      -0.2012145
                   50.66                     -0.22505251
               50.919998                     -0.24379434
                   51.18                     -0.25335861
               51.439999                     -0.25795744
               51.700001                     -0.26722832
               51.959999                       -0.289081
               52.220001                     -0.32353305
                   52.48                     -0.36212428
               52.740002                     -0.39400045
                      53                     -0.41510901
               53.259998                     -0.43385479
                   53.52                       -0.468245
               53.779999                     -0.53561759
               54.040001                     -0.64096579
               54.299999                     -0.77025092
               54.560001                     -0.89316122
                   54.82                     -0.97664415
               55.080002                      -1.0039802
                   55.34                     -0.98678337
               55.599998                     -0.96007701
               55.860001                     -0.96443914
               56.119999                      -1.0277886
               56.380001                      -1.1551305
               56.639999                       -1.327568
               56.900002                      -1.5096931
                   57.16                      -1.6640976
               57.419998                      -1.7682281
                   57.68                      -1.8243006
               57.939999                      -1.8554829
               58.200001                      -1.8915313
               58.459999                      -1.9533086
               58.720001                      -2.0429705
                   58.98                        -2.14189
               59.240002                      -2.2170438
                    59.5                      -2.2359605
               59.759998                      -2.1854091
                   60.02                       -2.082189
               60.279999                      -1.9667953
               60.540001                       -1.883651
               60.799999                      -1.8598848
               61.060001                       -1.891425
                   61.32                      -1.9408068
               61.580002                      -1.9517413
                   61.84                       -1.881762
               62.099998                      -1.7358867
               62.360001                      -1.5718211
               62.619999                      -1.4709871
               62.880001                      -1.5003851
               63.139999                      -1.6847666
               63.400002                      -1.9883061
                   63.66                      -2.3055585
               63.919998                      -2.4852335
                   64.18                      -2.4148383
               64.440002                      -2.1120366
               64.699997                      -1.7086285
               64.959999                      -1.3495722
               65.220001                      -1.1235516
               65.480003                      -1.0526134
               65.739998                      -1.1081585
                      66                      -1.2350706
               66.260002                      -1.3817232
               66.519997                       -1.527575
               66.779999                      -1.6895869
               67.040001                       -1.898946
               67.300003                      -2.1622126
               67.559998                       -2.429254
                   67.82                      -2.5919061
               68.080002                       -2.539452
               68.339996                      -2.2503692
               68.599998                      -1.8214997
               68.860001                      -1.3970343
               69.120003                      -1.0877158
               69.379997                      -0.9412811
               69.639999                     -0.94698061
               69.900002                       -1.050431
               70.160004                      -1.1761157
               70.419998                      -1.2604769
