        Frequency / MHz                S1,1 (Mesh Pass=7)/arg,degrees
----------------------------------------------------------------------
                      40                       4.0901542
               40.259998                       3.0670618
                   40.52                       2.0117745
               40.779999                      0.97540458
               41.040001                   -0.0016307235
               41.299999                     -0.91934858
               41.560001                       -1.820795
                   41.82                      -2.7635616
               42.080002                      -3.7795115
                   42.34                      -4.8520514
               42.599998                      -5.9272913
               42.860001                      -6.9514557
               43.119999                      -7.9096728
               43.380001                       -8.839306
               43.639999                      -9.8061811
               43.900002                      -10.858794
                   44.16                      -11.993775
               44.419998                      -13.157801
                   44.68                      -14.284789
               44.939999                      -15.343864
               45.200001                      -16.365678
               45.459999                      -17.425586
               45.720001                      -18.591281
                   45.98                      -19.870852
               46.240002                      -21.198095
                    46.5                      -22.465426
               46.759998                      -23.585785
                   47.02                      -24.549188
               47.279999                       -25.43807
               47.540001                      -26.385479
               47.799999                      -27.500497
               48.060001                      -28.812938
                   48.32                      -30.272303
               48.580002                      -31.793638
                   48.84                       -33.31564
               49.099998                      -34.835161
               49.360001                      -36.398945
               49.619999                      -38.061354
               49.880001                      -39.840914
               50.139999                      -41.707807
               50.400002                      -43.609686
                   50.66                      -45.515272
               50.919998                      -47.443924
                   51.18                      -49.458206
               51.439999                      -51.622696
               51.700001                      -53.959975
               51.959999                      -56.438004
               52.220001                      -58.998915
                   52.48                      -61.611829
               52.740002                       -64.31154
                      53                      -67.192394
               53.259998                      -70.353653
                   53.52                      -73.829544
               53.779999                      -77.554824
               54.040001                      -81.388568
               54.299999                      -85.189105
               54.560001                      -88.909317
                   54.82                      -92.663285
               55.080002                      -96.707474
                   55.34                      -101.32612
               55.599998                      -106.69148
               55.860001                      -112.79381
               56.119999                      -119.46775
               56.380001                      -126.47648
               56.639999                      -133.60924
               56.900002                      -140.76536
                   57.16                      -147.99651
               57.419998                      -155.47495
                   57.68                      -163.38997
               57.939999                      -171.82838
               58.200001                       179.28743
               58.459999                       170.18083
               58.720001                       161.14695
                   58.98                       152.45488
               59.240002                       144.25237
                    59.5                        136.5088
               59.759998                       129.04297
                   60.02                       121.64375
               60.279999                       114.21389
               60.540001                       106.84374
               60.799999                       99.783043
               61.060001                       93.336219
                   61.32                       87.713634
               61.580002                       82.880647
                   61.84                       78.501812
               62.099998                       74.085932
               62.360001                       69.273135
