        Frequency / MHz                Port 1 [1] (12)/abs,linear
----------------------------------------------------------------------
                      40                        3921.566
                   40.26                       6077.0916
                   40.52                       10834.593
                   40.78                       24696.539
                   41.04                       18238.651
                    41.3                       7751.0657
                   41.56                       4488.8537
                   41.82                       3093.6013
                   42.08                       2386.7561
                   42.34                       1989.1857
                    42.6                       1739.2143
                   42.86                       1551.8876
                   43.12                       1384.1627
                   43.38                       1226.8893
                   43.64                       1089.1377
                    43.9                       979.01146
                   44.16                       896.36646
                   44.42                       834.61129
                   44.68                       784.24601
                   44.94                       736.68909
                    45.2                       688.01552
                   45.46                       639.78392
                   45.72                       595.94896
                   45.98                       559.23425
                   46.24                       529.66728
                    46.5                       504.97902
                   46.76                       481.98743
                   47.02                           458.4
                   47.28                       433.99285
                   47.54                       410.21669
                    47.8                       388.76252
                   48.06                       370.40119
                   48.32                       354.66637
                   48.58                       340.24731
                   48.84                       325.81099
                    49.1                       310.79403
                   49.36                       295.59963
                   49.62                       281.10946
                   49.88                         268.007
                   50.14                       256.38508
                    50.4                       245.75876
                   50.66                        235.4002
                   50.92                       224.79418
                   51.18                       213.91397
                   51.44                       203.13542
                    51.7                       192.91276
                   51.96                       183.48108
                   52.22                       174.74336
                   52.48                        166.3593
                   52.74                       157.96566
                      53                       149.38838
                   53.26                       140.70732
                   53.52                       132.15329
                   53.78                       123.93974
                   54.04                       116.14168
                    54.3                       108.67116
                   54.56                       101.34333
                   54.82                         93.9869
                   55.08                       86.529956
                   55.34                       79.012731
                    55.6                       71.535496
                   55.86                       64.187685
                   56.12                       56.999376
                   56.38                       49.932453
                   56.64                       42.908485
                    56.9                       35.855547
                   57.16                       28.750601
                   57.42                       21.648678
                   57.68                       14.738524
                   57.94                       8.6901614
                    58.2                       6.6275313
                   58.46                       11.018379
                   58.72                       17.556929
                   58.98                        24.67001
                   59.24                       32.115424
                    59.5                       39.858411
                   59.76                       47.877972
                   60.02                       56.126706
                   60.28                        64.53792
                   60.54                       73.057656
                    60.8                       81.685244
                   61.06                       90.497695
                   61.32                       99.633734
                   61.58                       109.23582
                   61.84                       119.37927
                    62.1                        130.0302
                   62.36                       141.06405
                   62.62                       152.35268
                   62.88                       163.88746
                   63.14                       175.85954
                    63.4                       188.61978
                   63.66                       202.52114
                   63.92                        217.7345
                   64.18                       234.15096
                   64.44                       251.45414
                    64.7                       269.38162
                   64.96                       288.05967
                   65.22                       308.16072
                   65.48                       330.70895
                   65.74                       356.63051
                      66                       386.31666
                   66.26                       419.46412
                   66.52                       455.42577
                   66.78                       494.12366
                   67.04                       537.04224
                    67.3                       587.47911
                   67.56                       649.77157
                   67.82                       727.93792
                   68.08                       824.25035
                   68.34                       938.57516
                    68.6                         1070.47
                   68.86                       1225.1481
                   69.12                       1418.8348
                   69.38                       1673.4638
                   69.64                       1981.3274
                    69.9                       2218.7282
                   70.16                       2185.4463
                   70.42                       1931.2616
                   70.68                       1652.2831
                   70.94                       1421.3044
                    71.2                       1231.6261
                   71.46                       1068.0768
                   71.72                       926.21218
                   71.98                       807.70787
                   72.24                       712.89445
                    72.5                       638.60522
                   72.76                       579.50048
