        Frequency / MHz                Port 1 [1] (12)/arg,degrees
----------------------------------------------------------------------
                      40                       90.727051
                   40.26                       85.514591
                   40.52                       71.581932
                   40.78                       30.698052
                   41.04                      -61.221319
                    41.3                       -85.46136
                   41.56                      -90.588338
                   41.82                      -90.424284
                   42.08                      -88.605813
                   42.34                      -86.888501
                    42.6                      -86.246842
                   42.86                      -86.917963
                   43.12                      -88.334819
                   43.38                       -89.53478
                   43.64                      -89.891684
                    43.9                      -89.434989
                   44.16                      -88.637664
                   44.42                      -88.062088
                   44.68                      -88.060492
                   44.94                      -88.589143
                    45.2                       -89.25779
                   45.46                      -89.631087
                   45.72                      -89.528871
                   45.98                      -89.090584
                   46.24                      -88.636159
                    46.5                      -88.459423
                   46.76                      -88.653237
                   47.02                      -89.058954
                   47.28                      -89.390789
                   47.54                      -89.442347
                    47.8                      -89.208783
                   48.06                       -88.86102
                   48.32                      -88.623631
                   48.58                      -88.633737
                   48.84                      -88.857247
                    49.1                      -89.120896
                   49.36                      -89.239479
                   49.62                      -89.137318
                   49.88                      -88.882214
                   50.14                      -88.629424
                    50.4                      -88.520427
                   50.66                       -88.59432
                   50.92                      -88.767234
                   51.18                      -88.895324
                   51.44                      -88.872266
                    51.7                      -88.690953
                   51.96                      -88.438072
                   52.22                      -88.235198
                   52.48                      -88.162542
                   52.74                       -88.21003
                      53                      -88.287619
                   53.26                      -88.285596
                   53.52                      -88.140075
                   53.78                      -87.863771
                   54.04                      -87.531537
                    54.3                      -87.233327
                   54.56                      -87.020286
                   54.82                      -86.874547
                   55.08                      -86.719937
                   55.34                      -86.462618
                    55.6                      -86.033212
                   55.86                      -85.407805
                   56.12                      -84.599916
                   56.38                      -83.625076
                   56.64                       -82.44477
                    56.9                      -80.894229
                   57.16                      -78.568809
                   57.42                      -74.532039
                   57.68                      -66.239656
                   57.94                      -44.556876
                    58.2                       11.167029
                   58.46                       51.778309
                   58.72                       66.174085
                   58.98                       72.764732
                   59.24                       76.513571
                    59.5                       78.881419
                   59.76                       80.424479
                   60.02                       81.421636
                   60.28                       82.061442
                   60.54                       82.497673
                    60.8                       82.853419
                   61.06                       83.204447
                   61.32                       83.565137
                   61.58                       83.895477
                   61.84                       84.132231
                    62.1                       84.230328
                   62.36                       84.194364
                   62.62                       84.084097
                   62.88                       83.987108
                   63.14                       83.968673
                    63.4                       84.028594
                   63.66                       84.096172
                   63.92                       84.069401
                   64.18                       83.875717
                   64.44                       83.520501
                    64.7                       83.092928
                   64.96                       82.715486
                   65.22                       82.460559
                   65.48                        82.29153
                   65.74                       82.073078
                      66                       81.645243
                   66.26                       80.919055
                   66.52                       79.940294
                   66.78                       78.869438
                   67.04                       77.864634
                    67.3                       76.937481
                   67.56                        75.88848
                   67.82                       74.364702
                   68.08                       72.007352
                   68.34                       68.628111
                    68.6                       64.298119
                   68.86                       59.172379
                   69.12                       53.023947
                   69.38                       44.768487
                   69.64                       32.447791
                    69.9                       14.841728
                   70.16                      -4.8572043
                   70.42                      -21.032983
                   70.68                      -32.433349
                   70.94                      -40.792701
                    71.2                      -47.524931
                   71.46                      -53.037988
                   71.72                      -57.220986
                   71.98                      -60.036623
                   72.24                      -61.743633
                    72.5                      -62.787709
                   72.76                      -63.598551
                   73.02                      -64.426749
                   73.28                      -65.278327
                   73.54                       -65.98173
                    73.8                      -66.347387
                   74.06                       -66.30446
                   74.32                      -65.932695
                   74.58                      -65.399068
                   74.84                      -64.854258
                    75.1                      -64.345882
                   75.36                      -63.795507
                   75.62                      -63.052726
                   75.88                      -61.986392
                   76.14                      -60.550775
                    76.4                      -58.792558
                   76.66                      -56.804006
                   76.92                      -54.650282
                   77.18                      -52.309768
                   77.44                      -49.663316
                    77.7                      -46.541305
                   77.96                      -42.801751
                   78.22                      -38.397985
                   78.48                      -33.402576
                   78.74                      -27.971343
                      79                      -22.261623
                   79.26                      -16.360157
                   79.52                      -10.284422
                   79.78                      -4.0654128
                   80.04                        2.157645
                    80.3                        8.122883
                   80.56                       13.539636
                   80.82                       18.221317
                   81.08                       22.158594
                   81.34                       25.491601
                    81.6                       28.409062
                   81.86                       31.036559
                   82.12                       33.377322
                   82.38                       35.336183
                   82.64                       36.805038
                    82.9                       37.754446
                   83.16                       38.277546
                   83.42                       38.555897
                   83.68                       38.757926
                   83.94                       38.932288
                    84.2                       38.974076
                   84.46                       38.691924
                   84.72                       37.935568
                   84.98                       36.708558
                   85.24                       35.188549
                    85.5                       33.615881
                   85.76                       32.111578
                   86.02                       30.567773
                   86.28                       28.702815
                   86.54                       26.249099
                    86.8                       23.161594
                   87.06                       19.697214
                   87.32                       16.251447
                   87.58                       13.046532
                   87.84                       9.9530983
                    88.1                       6.6026387
                   88.36                       2.6980531
                   88.62                      -1.6936407
                   88.88                      -6.1167786
                   89.14                      -10.060355
                    89.4                      -13.351709
                   89.66                      -16.237418
                   89.92                      -19.140027
                   90.18                      -22.315517
                   90.44                      -25.642623
                    90.7                      -28.711096
                   90.96                      -31.152016
                   91.22                      -32.907881
                   91.48                      -34.235568
                   91.74                       -35.50434
                      92                      -36.949223
                   92.26                      -38.524466
                   92.52                      -39.957957
                   92.78                       -40.97108
                   93.04                      -41.482405
                    93.3                      -41.648475
                   93.56                      -41.746109
                   93.82                      -41.987606
                   94.08                      -42.379836
                   94.34                      -42.723487
                    94.6                      -42.760149
                   94.86                       -42.35369
                   95.12                      -41.574367
                   95.38                      -40.645221
                   95.64                      -39.794601
                    95.9                      -39.101398
                   96.16                      -38.434202
                   96.42                       -37.53652
                   96.68                      -36.199851
                   96.94                      -34.400144
                    97.2                      -32.313082
                   97.46                      -30.203996
                   97.72                      -28.253824
                   97.98                      -26.429811
                   98.24                      -24.500274
                    98.5                       -22.19506
                   98.76                      -19.400398
                   99.02                      -16.254226
                   99.28                      -13.077145
                   99.54                        -10.1749
                    99.8                      -7.6384288
                  100.06                      -5.2878103
                  100.32                      -2.8151725
                  100.58                    -0.033187236
                  100.84                       2.9507079
                   101.1                       5.7633051
                  101.36                       7.9824349
                  101.62                       9.4007612
                  101.88                       10.166545
                  102.14                       10.689647
                   102.4                       11.334431
                  102.66                        12.09962
                  102.92                       12.525133
                  103.18                       11.891412
                  103.44                       9.6067692
                   103.7                       5.6239718
                  103.96                      0.58890165
                  104.22                      -4.6664735
                  104.48                      -10.022633
                  104.74                       -16.38444
                     105                      -24.834575
                  105.26                      -34.892056
                  105.52                      -43.907565
                  105.78                      -49.357754
                  106.04                       -50.44063
                   106.3                      -47.084087
                  106.56                      -38.779288
                  106.82                      -24.445151
                  107.08                      -4.3647541
                  107.34                       16.571014
                   107.6                       32.526451
                  107.86                       42.427672
                  108.12                       47.770226
                  108.38                       50.118847
                  108.64                       50.754212
                   108.9                       50.736558
                  109.16                       50.756374
                  109.42                       50.967917
                  109.68                       51.089342
                  109.94                       50.711706
                   110.2                       49.596997
                  110.46                       47.835503
                  110.72                       45.794632
                  110.98                       43.858549
                  111.24                       42.143865
                   111.5                       40.432559
                  111.76                       38.347288
                  112.02                       35.612811
                  112.28                       32.241141
                  112.54                       28.516968
                   112.8                       24.765566
                  113.06                       21.092488
                  113.32                       17.331586
                  113.58                       13.222373
                  113.84                       8.6505526
                   114.1                       3.7645125
                  114.36                      -1.1264031
                  114.62                      -5.7751909
                  114.88                      -10.124988
                  115.14                      -14.251642
                   115.4                      -18.225935
                  115.66                      -22.035471
                  115.92                      -25.610939
                  116.18                      -28.897385
                  116.44                      -31.887442
                   116.7                      -34.596035
                  116.96                      -37.022542
                  117.22                      -39.149812
                  117.48                      -40.980774
                  117.74                      -42.569519
                     118                       -44.00703
                  118.26                      -45.363557
                  118.52                      -46.631529
                  118.78                      -47.721855
                  119.04                      -48.527879
                   119.3                      -49.011688
                  119.56                        -49.2454
                  119.82                      -49.373325
                  120.08                      -49.512985
                  120.34                      -49.655636
                   120.6                      -49.641894
                  120.86                        -49.2438
                  121.12                      -48.297881
                  121.38                      -46.792207
                  121.64                      -44.845926
                   121.9                      -42.574109
                  122.16                      -39.883051
                  122.42                      -36.299787
                  122.68                       -30.93827
                  122.94                       -22.62849
                   123.2                      -10.315673
                  123.46                       5.8863711
                  123.72                       23.529331
                  123.98                       39.202362
                  124.24                        51.31385
                   124.5                       60.070916
                  124.76                       66.062018
                  125.02                       69.462738
                  125.28                        69.57489
                  125.54                       63.833392
                   125.8                       45.166762
                  126.06                       7.0019458
                  126.32                      -25.411996
                  126.58                      -41.688441
                  126.84                      -50.541333
                   127.1                      -55.735825
                  127.36                      -58.466832
                  127.62                        -59.4228
                  127.88                      -59.264023
